StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,g_knows_1,g_fake,g_reasonable_1,g_right,g_ability_1,g_situation,e_knows_1,e_fake,e_reasonable_1,e_right,e_ability_1,e_situation,d_knows_1,d_fake,d_reasonable_1,d_right,d_ability_1,d_situation,age,gender,gender_3_TEXT,country_now,country_now_2_TEXT,country_birth,country_birth_2_TEXT,ethnicity,ethnicity_7_TEXT,lvl_edu,english,enjoy_study,nervous_study,difficult_study,boring_study,tiring_study,quickly_study,regularly_study,selfcons_study,motivated_study,important_study,aim_study,comments_study,purpose_study,similar_study,SPI,FL_40_DO,FL_41_DO,FL_50_DO,FL_56_DO
10/29/2020 9:37,10/29/2020 9:50,IP Address,100,774,TRUE,10/29/2020 9:50,R_1EhWufjF0xhtSCv,anonymous,PT,I agree to participate in this study,4,real,42,right,83,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,cubic zirconium stones,0,wrong,0,Emma knows that she chose a necklace made of diamonds.,0,ground squirrel,0,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,19,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,2,7,6,9,9,5. Not sure,3,2,1. I was strongly motivated to help make the study a success for the researchers,2,2,-99,-99,Não,8980,FL_43|FL_55|FL_49,FL_66,FL_69,FL_71
10/29/2020 9:43,10/29/2020 9:53,IP Address,100,543,TRUE,10/29/2020 9:53,R_114HWjixE6YlAv3,anonymous,PT,I agree to participate in this study,100,real,0,right,100,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,cubic zirconium stones,0,wrong,0,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,19,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,4,10. I was not nervous during the study at all,8,6,8,2,2,2,3,4,6,-99,-99,-99,9019,FL_49|FL_55|FL_43,FL_62,FL_69,FL_72
10/29/2020 9:48,10/29/2020 9:53,IP Address,100,269,TRUE,10/29/2020 9:53,R_23TuMvXM6JyICqD,anonymous,PT,I agree to participate in this study,72,fake,6,wrong,13,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",0,cubic zirconium stones,4,wrong,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,7,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,19,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,2,10. I was not nervous during the study at all,10. I did not find the study tasks difficult to complete at all,8,10. I did not find the study task tiring at all,2,3,2,1. I was strongly motivated to help make the study a success for the researchers,2,5. Not sure,-99,-99,-99,8992,FL_49|FL_55|FL_43,FL_62,FL_70,FL_73
10/29/2020 9:37,10/29/2020 9:56,IP Address,100,1137,TRUE,10/29/2020 9:56,R_21zYADVnZvs8J1D,anonymous,PT,I agree to participate in this study,100,fake,0,wrong,17,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",37,diamonds,22,right,70,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,prairie dog,0,right,9,-99,19,Female,-99,United States,-99,United States,-99,White/European,-99,"4-year college degree (B.A., B.S.)",Very well,2,1. I was very nervous during the study,3,4,1. I found the study task very tiring,5. Not sure,1. I have taken part in many research studies,1. I was very self-conscious of the responses I gave in this study,6,3,1. I was trying to work out the aim of the study during my participation,-99,-99,-99,-99,FL_49|FL_43|FL_55,FL_64,FL_68,FL_72
10/29/2020 9:52,10/29/2020 10:00,IP Address,100,483,TRUE,10/29/2020 10:00,R_3oGa3YuBdRFEebU,anonymous,PT,I agree to participate in this study,0,real,0,right,0,Gerald knows that the house he is pointing at is a real house.,100,cubic zirconium stones,0,right,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",-99,prairie dog,15,wrong,-99,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",20,Male,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,2,10. I was not nervous during the study at all,4,10. I did not find the study activity boring at all,10. I did not find the study task tiring at all,1. I was able to adjust to the study task very quickly,5. Not sure,2,1. I was strongly motivated to help make the study a success for the researchers,3,5. Not sure,-99,-99,-99,9109,FL_43|FL_49|FL_55,FL_62,FL_70,FL_73
10/29/2020 9:43,10/29/2020 10:03,IP Address,100,1226,TRUE,10/29/2020 10:03,R_3KTP4XczikAHRGy,anonymous,PT,I agree to participate in this study,50,fake,20,right,62,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",32,cubic zirconium stones,33,right,37,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",36,prairie dog,43,right,-99,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",19,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,8,10. I was not nervous during the study at all,3,2,1. I found the study task very tiring,3,3,3,2,3,3,-99,-99,Não ,8938,FL_43|FL_55|FL_49,FL_64,FL_70,FL_71
10/29/2020 9:56,10/29/2020 10:06,IP Address,100,548,TRUE,10/29/2020 10:06,R_3QLfER9AV3j2GI0,anonymous,PT,I agree to participate in this study,-99,fake,0,right,100,Gerald knows that the house he is pointing at is a real house.,100,cubic zirconium stones,0,wrong,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,ground squirrel,0,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,21,Female,-99,United States,-99,United States,-99,"White/European,Hispanic Latino",-99,High school diploma (or GED),Very well,7,8,6,4,4,3,2,5. Not sure,2,2,5. Not sure,-99,memorização,-99,8944,FL_49|FL_43|FL_55,FL_66,FL_69,FL_71
10/29/2020 9:55,10/29/2020 10:20,IP Address,100,1503,TRUE,10/29/2020 10:20,R_2YhspgorECCCF46,anonymous,PT,I agree to participate in this study,12,real,12,right,79,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",18,diamonds,17,right,90,Emma knows that she chose a necklace made of diamonds.,12,ground squirrel,11,right,11,Darrel knows that the animal he saw is a red speckled ground squirrel.,23,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,1. I enjoyed the study a lot,7,6,6,8,8,1. I have taken part in many research studies,2,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,4,-99,-99,não,8971,FL_55|FL_43|FL_49,FL_64,FL_68,FL_72
10/29/2020 10:18,10/29/2020 10:29,IP Address,100,686,TRUE,10/29/2020 10:29,R_sM8SMTaC6xS6nPH,anonymous,PT,I agree to participate in this study,-99,real,0,right,0,Gerald knows that the house he is pointing at is a real house.,100,diamonds,0,right,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,wrong,0,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",41,Female,-99,United States,-99,United States,-99,White/European,-99,"4-year college degree (B.A., B.S.)",Very well,3,7,7,9,9,6,5. Not sure,3,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,10. I was not trying to work out the aim of the study during my participation,-99,-99,-99,9595,FL_55|FL_49|FL_43,FL_64,FL_70,FL_71
10/29/2020 10:34,10/29/2020 10:49,IP Address,100,943,TRUE,10/29/2020 10:49,R_3EssqRoF1WhmUM0,anonymous,PT,I agree to participate in this study,-99,real,10,right,20,Gerald knows that the house he is pointing at is a real house.,60,diamonds,0,right,100,Emma knows that she chose a necklace made of diamonds.,0,ground squirrel,11,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,20,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,3,8,4,4,4,3,4,2,2,2,2,-99,Testar a concentração dos participantes e a perceção e compreensão da língua portuguesa ,-99,10081,FL_49|FL_43|FL_55,FL_64,FL_70,FL_71
10/29/2020 10:47,10/29/2020 10:56,IP Address,100,492,TRUE,10/29/2020 10:56,R_2cwj2IC6auynCPS,anonymous,PT,I agree to participate in this study,0,fake,0,wrong,100,Gerald knows that the house he is pointing at is a real house.,100,diamonds,0,right,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,21,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,2,5. Not sure,4,10. I did not find the study activity boring at all,10. I did not find the study task tiring at all,1. I was able to adjust to the study task very quickly,3,1. I was very self-conscious of the responses I gave in this study,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,1. I was trying to work out the aim of the study during my participation,-99,Acho que o objetivo deste estudo é perceber se as pessoas compreendem realmente o que leem. ,Não.,9142,FL_49|FL_55|FL_43,FL_64,FL_68,FL_72
10/29/2020 10:51,10/29/2020 11:01,IP Address,100,592,TRUE,10/29/2020 11:01,R_BDlPaIMLQxapWq5,anonymous,PT,I agree to participate in this study,0,real,0,right,50,Gerald knows that the house he is pointing at is a real house.,100,cubic zirconium stones,0,right,0,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,49,Darrel knows that the animal he saw is a red speckled ground squirrel.,20,Female,-99,United States,-99,United States,-99,White/European,-99,Less than High School,Very well,5. Not sure,10. I was not nervous during the study at all,9,2,10. I did not find the study task tiring at all,1. I was able to adjust to the study task very quickly,3,2,1. I was strongly motivated to help make the study a success for the researchers,3,3,-99,-99,Não ,9100,FL_49|FL_55|FL_43,FL_62,FL_69,FL_72
10/29/2020 11:10,10/29/2020 11:17,IP Address,100,447,TRUE,10/29/2020 11:17,R_2wGEziC67rFqtg5,anonymous,PT,I agree to participate in this study,80,real,4,right,94,Gerald knows that the house he is pointing at is a real house.,100,diamonds,0,right,88,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",7,prairie dog,80,wrong,1,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",19,Female,-99,United States,-99,Other (please specify):,Moçambique ,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,5. Not sure,8,3,2,2,5. Not sure,1. I have taken part in many research studies,5. Not sure,3,2,3,-99,-99,Nao,8986,FL_49|FL_43|FL_55,FL_66,FL_68,FL_73
10/29/2020 11:54,10/29/2020 12:10,IP Address,100,956,TRUE,10/29/2020 12:10,R_1Fkz4wEUo36P9cu,anonymous,PT,I agree to participate in this study,20,fake,0,wrong,20,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,diamonds,18,right,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,100,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",19,Female,-99,-99,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,3,4,6,8,10. I did not find the study task tiring at all,4,3,2,1. I was strongly motivated to help make the study a success for the researchers,2,1. I was trying to work out the aim of the study during my participation,-99,"O objetivo deste estudo deve ter sido o estudo da língua portuguesa, pois esta pode ser muito matreira e complexa em certos casos.",Nunca tinha participado num estudo deste género. ,10093,FL_55|FL_49|FL_43,FL_64,FL_68,FL_72
10/29/2020 9:31,10/29/2020 12:17,IP Address,100,9942,TRUE,10/29/2020 12:17,R_doPq1HzbihRfiTv,anonymous,PT,I agree to participate in this study,-99,fake,0,wrong,4,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",14,diamonds,0,right,8,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,ground squirrel,0,right,100,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",32,Male,-99,United States,-99,United States,-99,"White/European,Hispanic Latino",-99,High school diploma (or GED),Very well,3,9,7,5. Not sure,7,3,9,10. I was not at all self-conscious of the responses I gave in this study,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,10. I was not trying to work out the aim of the study during my participation,-99,-99,-99,9832,FL_49|FL_55|FL_43,FL_64,FL_68,FL_72
