StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,g_knows_1,g_fake,g_reasonable_1,g_right,g_ability_1,g_situation,e_knows_1,e_fake,e_reasonable_1,e_right,e_ability_1,e_situation,d_knows_1,d_fake,d_reasonable_1,d_right,d_ability_1,d_situation,age,gender,gender_3_TEXT,country_now,country_now_2_TEXT,country_birth,country_birth_2_TEXT,ethnicity,ethnicity_7_TEXT,lvl_edu,english,enjoy_study,nervous_study,difficult_study,boring_study,tiring_study,quickly_study,regularly_study,selfcons_study,motivated_study,important_study,aim_study,comments_study,purpose_study,similar_study,FL_40_DO,FL_41_DO,FL_50_DO,FL_56_DO,FL_76_DO
6/24/20 18:53,6/24/20 19:49,IP Address,,100,3353,TRUE,6/24/20 19:49,R_1QrsdQDx53t0zN4,,,,,,,anonymous,EN,I agree to participate in this study,66,real,27,right,26,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",68,diamonds,65,right,69,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",72,ground squirrel,20,right,25,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",37,Male,-99,Other (please specify):,Australia,Other (please specify):,Australia,White/European,-99,Less than High School,Well,1. I enjoyed the study a lot,6,5. Not sure,10. I did not find the study activity boring at all,10. I did not find the study task tiring at all,10. I was not able to adjust to the study task quickly,10. I have never taken part in a research study before,4,1. I was strongly motivated to help make the study a success for the researchers,3,1. I was trying to work out the aim of the study during my participation,-99,-99,-99,FL_55|FL_43|FL_49,FL_64,FL_70,FL_71,debrief_4
6/26/20 19:43,6/26/20 19:54,IP Address,,100,678,TRUE,6/26/20 19:54,R_3es5Z6YN85lmdFK,,,,,,,anonymous,EN,I agree to participate in this study,20,real,20,right,10,Gerald knows that the house he is pointing at is a real house.,90,cubic zirconium stones,50,right,10,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",80,prairie dog,30,wrong,20,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",19,Female,-99,Other (please specify):,Australia,Other (please specify):,Australia,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,4,10. I was not nervous during the study at all,2,8,8,3,1. I have taken part in many research studies,9,1. I was strongly motivated to help make the study a success for the researchers,2,2,-99,-99,No,FL_55|FL_43|FL_49,FL_62,FL_69,FL_72,debrief_2
7/3/20 4:41,7/3/20 4:51,IP Address,,100,595,TRUE,7/3/20 4:51,R_bDFr4AYJtBEN7Gh,,,,,,,anonymous,EN,I agree to participate in this study,69,real,0,right,93,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",68,diamonds,17,right,76,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,ground squirrel,42,wrong,6,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",21,Female,-99,Other (please specify):,Australia,Other (please specify):,Victoria,White/European,-99,High school diploma (or GED),Very well,1. I enjoyed the study a lot,10. I was not nervous during the study at all,10. I did not find the study tasks difficult to complete at all,7,10. I did not find the study task tiring at all,1. I was able to adjust to the study task very quickly,1. I have taken part in many research studies,10. I was not at all self-conscious of the responses I gave in this study,5. Not sure,5. Not sure,1. I was trying to work out the aim of the study during my participation,-99,-99,-99,FL_49|FL_55|FL_43,FL_66,FL_68,FL_73,debrief_4
6/29/20 22:49,6/29/20 23:03,IP Address,,98,827,FALSE,7/6/20 23:03,R_1OCQIq0XoFjqFJD,,,,,,,anonymous,EN,I agree to participate in this study,100,real,0,right,30,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,diamonds,0,wrong,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,28,Darrel knows that the animal he saw is a red speckled ground squirrel.,30,Female,-99,Other (please specify):,Australia ,Other (please specify):,Australia ,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,3,10. I was not nervous during the study at all,7,8,10. I did not find the study task tiring at all,5. Not sure,4,4,3,3,1. I was trying to work out the aim of the study during my participation,-99,I think it's about perception not language.,No,FL_43|FL_55|FL_49,FL_62,FL_69,FL_72,debrief_2
7/3/20 22:41,7/3/20 22:53,IP Address,,98,766,FALSE,7/10/20 22:53,R_2Ect2cCs91WQc14,,,,,,,anonymous,EN,I agree to participate in this study,7,real,11,right,10,Gerald knows that the house he is pointing at is a real house.,95,diamonds,21,right,98,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",80,prairie dog,13,wrong,23,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",27,Female,-99,Other (please specify):,Australia,Other (please specify):,New Zealand,I prefer not to answer this question,-99,High school diploma (or GED),Very well,3,2,3,5. Not sure,2,4,4,3,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,2,-99,-99,-99,FL_49|FL_55|FL_43,FL_62,FL_70,FL_73,debrief_3
7/20/20 22:56,7/20/20 23:18,IP Address,,100,1303,TRUE,7/20/20 23:18,R_22G14yDL5Jhib8o,,,,,,,anonymous,EN,I agree to participate in this study,-99,real,19,right,77,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",87,cubic zirconium stones,16,wrong,-99,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",-99,ground squirrel,19,right,21,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",47,Female,-99,Other (please specify):,Australia,Other (please specify):,Australia,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,3,9,8,8,8,2,5. Not sure,3,3,5. Not sure,4,-99,"Real vs. Fake
Purpose is to identify whether people are concerned if things are real or not and what impact the outcome may play. Obviously, in the diamond story, Emma will get ripped off financially if she purchases a fake diamond. A real consequence. But does it really matter if the house is fake or not? Only to the people who were living in the real houses, not in the context of this story. It also matters, from a research point of view whether the animal seen was a squirrel or not. Another real consequence.",No,FL_43|FL_55|FL_49,FL_66,FL_69,FL_71,debrief_2
7/21/20 4:19,7/21/20 5:02,IP Address,,100,2543,TRUE,7/21/20 5:02,R_5hDWfuQF2ZTwZzP,,,,,,,anonymous,EN,I agree to participate in this study,100,real,0,right,97,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,cubic zirconium stones,15,right,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,4,wrong,100,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",28,Female,-99,Other (please specify):,Australia,Other (please specify):,Australia,White/European,-99,High school diploma (or GED),Very well,5. Not sure,10. I was not nervous during the study at all,4,3,7,4,1. I have taken part in many research studies,8,4,5. Not sure,5. Not sure,-99,-99,-99,FL_49|FL_55|FL_43,FL_62,FL_69,FL_72,debrief_4
7/22/20 3:30,7/22/20 3:54,IP Address,,100,1413,TRUE,7/22/20 3:54,R_ulFURtiRi4RYcOR,,,,,,,anonymous,EN,I agree to participate in this study,80,fake,0,wrong,100,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",32,diamonds,7,right,80,Emma knows that she chose a necklace made of diamonds.,17,ground squirrel,0,right,78,Darrel knows that the animal he saw is a red speckled ground squirrel.,50,Male,-99,Other (please specify):,Australia,Other (please specify):,Australia,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,4,10. I was not nervous during the study at all,6,8,9,2,9,4,4,4,5. Not sure,"I was a little confused by the first story as it states that the new houses are completed and people can live in them but then goes on to affirm that they are fake houses. If they are finished and liveable, they are now real houses I would think.","I think it was to see how opinions influence how we interpret what is said. For example, using only the information in the story, the girl has to know she has a diamond. However, it would be easy to have an opinion that she couldn't be 100% sure if you let your opinions cloud the certainty of the words used in the story.",-99,FL_43|FL_55|FL_49,FL_64,FL_68,FL_72,debrief_4
7/24/20 1:55,7/24/20 2:02,IP Address,,100,414,TRUE,7/24/20 2:02,R_yUY9p9ZFH6iL09r,,,,,,,anonymous,EN,I agree to participate in this study,100,fake,0,wrong,100,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,diamonds,30,wrong,22,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,100,Darrel knows that the animal he saw is a red speckled ground squirrel.,20,Female,-99,Other (please specify):,Australia,Other (please specify):,Australia,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,6,4,6,4,6,5. Not sure,4,6,4,6,4,No. ,-99,No. ,FL_55|FL_43|FL_49,FL_64,FL_70,FL_71,debrief_2
7/24/20 6:35,7/24/20 6:43,IP Address,,100,493,TRUE,7/24/20 6:43,R_3qDrJ4HQRHAN7Al,,,,,,,anonymous,EN,I agree to participate in this study,90,fake,0,wrong,-99,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",95,diamonds,0,right,98,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",90,ground squirrel,0,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,21,Female,-99,Other (please specify):,Australia,Other (please specify):,Australia,White/European,-99,High school diploma (or GED),Very well,3,9,8,9,9,2,1. I have taken part in many research studies,3,4,5. Not sure,3,-99,-99,-99,FL_55|FL_49|FL_43,FL_64,FL_70,FL_71,debrief_1
7/25/20 22:54,7/25/20 23:04,IP Address,,100,604,TRUE,7/25/20 23:04,R_1QopoDzTgihoFZA,,,,,,,anonymous,EN,I agree to participate in this study,87,real,4,right,88,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,cubic zirconium stones,1,wrong,86,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",64,ground squirrel,13,right,7,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",19,Male,-99,Other (please specify):,australia,Other (please specify):,australia,White/European,-99,High school diploma (or GED),Very well,5. Not sure,10. I was not nervous during the study at all,10. I did not find the study tasks difficult to complete at all,7,10. I did not find the study task tiring at all,1. I was able to adjust to the study task very quickly,3,10. I was not at all self-conscious of the responses I gave in this study,4,5. Not sure,3,-99,"peoples perspectives (male v female, age)",-99,FL_49|FL_55|FL_43,FL_62,FL_69,FL_72,debrief_3
7/26/20 1:25,7/26/20 1:36,IP Address,,100,649,TRUE,7/26/20 1:36,R_xaxsLhwxIBPYSuB,,,,,,,anonymous,EN,I agree to participate in this study,82,fake,4,wrong,86,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",99,cubic zirconium stones,10,wrong,88,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",73,ground squirrel,34,right,69,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",30,Male,-99,Other (please specify):,Australia,Other (please specify):,Australia,White/European,-99,"4-year college degree (B.A., B.S.)",Very well,3,9,5. Not sure,6,7,4,8,5. Not sure,2,5. Not sure,2,-99,Identifying the definition we give to words ,no,FL_55|FL_49|FL_43,FL_62,FL_69,FL_72,debrief_3
7/26/20 20:51,7/26/20 20:57,IP Address,,100,347,TRUE,7/26/20 20:57,R_OcVmhHYPAmLuVAl,,,,,,,anonymous,EN,I agree to participate in this study,0,real,0,right,81,Gerald knows that the house he is pointing at is a real house.,90,diamonds,13,right,86,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,prairie dog,22,wrong,0,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",24,Female,-99,Other (please specify):,Australia,United States,-99,White/European,-99,High school diploma (or GED),Very well,2,2,3,6,6,2,8,2,4,7,1. I was trying to work out the aim of the study during my participation,-99,Discerning our perception of truth,-99,FL_55|FL_43|FL_49,FL_66,FL_68,FL_73,debrief_3
