"id","survey_lang","previous"
"s2033","ger","Nein"
"s2036","ger","Nein"
"s2092","nor","Nei. "
"s2099","eng","Yes, it was very similar to this one, the scenarios were different though."
"s2103","eng","yes"
"s2122","nor","Ikke deltatt i lignende tidligere, men har heller ikke vært i et studiemiljø tidligere. "
"s2127","eng","no"
"s2128","eng","no"
"s2130","eng","no"
"s2142","nor","Ikke noe lignende studie "
"s2145","nor","Nei, det har jeg ikke"
"s2147","nor","Ja, husker ikke nøyaktig detaljer, men den var så å si identisk til denne, man skulle lese en lang historie, og hovedpoenget var at personene i historien hadde fått presentert falsk informasjon, og så skulle man definere hva som var """"""""egentlig rett"""""""" eller noe lignende "
"s2150","nor","Nei."
"s2151","nor","nei"
"s2152","nor","Nei."
"s2154","nor","En studie om hvordan språk påvirker vår forståelse av nyheter. Relatert til """"""""Fake news""""""""."
"s2155","nor","Har deltatt i ulike undersøkelse; spørreskjemaer og intervjuer i forbindelse med den videregående skolen jeg gikk på (Foss videregående i Oslo) "
"s2156","nor","Ikke i det siste, jeg har deltatt i spørreskjemaer og evaluering av arbeid, men ikke forskning på denne måten. "
"s2157","nor","Nei"
"s2158","nor","Nei"
"s2161","nor","Ikke helt liknende, men deltatt i en studie som omhandlet """"""""mot"""""""". Noe som skulle måle motet til en personen i forskejllige situasjoner. "
"s2165","eng","No."
"s2166","eng","No I have not."
"s2167","eng","I don't think so"
"s2168","eng","No"
"s2169","eng","No"
"s2170","eng","I have participated in ones that I answered questions, but nothing similar to this type of study "
"s2173","eng","No. All the studies have been fairly different "
"s2174","eng","no"
"s2176","eng","No"
"s2178","eng","No, but similar formatting "
"s2179","eng","I have not participated in a similar study."
"s2180","eng","No"
"s2183","eng","No"
"s2184","eng","No, I don't think any studies I have participated in were similar to this one."
"s2185","eng","No I have not."
"s2186","eng","no."
"s2187","eng","No, I have not. At least I do not remember. "
"s2188","eng","No"
"s2189","eng","I have participated in a study where I read scenarios from a court case and gave my opinion."
"s2190","eng","No. "
"s2191","eng","No"
"s2192","eng","no"
"s2193","eng","I have participated in a somewhat similar study, but I am sure I can not talk about it."
"s2194","eng","No, I have never participated in a study like this one."
"s2195","eng","yes"
"s2196","eng","no"
"s2220","eng","TEST"
"s2224","eng","TEST"
"s2226","eng","TEST"
"s2227","zho","TESt"
"s2228","zho","TEST"
"s2229","eng","TEST"
"s2231","eng","TEST"
"s2234","eng","No"
"s2242","eng","no"
"s2245","eng","TEST"
"s2246","nor","Nei. "
"s2249","nor","Nei"
"s2253","nor","nei"
"s2255","nor","Nei
"
"s2267","nor","nei"
"s2268","nor","Ja, engelsk setningsoppbygging. Man skulle svare på hvor ord i setninger skulle komme o.l. "
"s2269","nor","Nei"
"s2296","nor","Nei"
"s2301","nor","Nei."
"s2310","nor","Deltatt i forskning, men ikke slik som denne"
"s2311","nor","Ikke på denne måten, men jeg har bidratt i andre studier. "
"s2312","nor","Nei, deltatt i en forskningstudie, men ikke som denne."
"s2316","nor","Jeg har deltatt på andre spørreundersøkelser, men ikke en som hadde slike scenarioer. "
"s2323","nor","Nei"
"s2325","nor","nei"
"s2327","eng","No, never."
"s2330","nor","Nei"
"s2334","nor","Nei"
"s2368","nor","Nei."
"s2369","nor","Nei ingen studier om språk så langt gitt"
"s2370","nor","Tror ikke det. Men scenariet (""""""""tankeeksperimentet"""""""") med landeveien hørtes kjent ut fra tidligere."
"s2377","nor","Ja, kanskje"
"s2379","eng","I participated in a study that was set up to be a mock trial. In this study, I had to listen to a fake courtroom session and give a decision as a jury member.  After I had made my decision, I was asked questions regarding how my emotions led my decision making process versus the role of logic."
"s2380","eng","No, I have not  "
"s2381","eng","Yes, I have. The other ones were more complex, but were scenario based."
"s2393","nor","Nei"
"s2394","eng","I have not"
"s2395","nor","nei "
"s2396","nor","Nei"
"s2398","nor","nei"
"s2404","nor","Nei. "
"s2412","nor","Nei. "
"s2415","nor","Nei. "
"s2416","eng","No"
"s2448","nor","Nei. "
"s2466","eng","no I haven't "
"s2467","eng","no."
"s2468","eng","no"
"s2469","eng","No, I haven't participated in a similar study. "
"s2470","eng","not really no."
"s2471","eng","no"
"s2472","eng","Yes i did some online surveys "
"s2476","eng","No."
"s2477","nor","nei"
"s2479","eng","No"
"s2480","eng","no"
"s2547","nor","Nei. "
"s2566","eng","No"
"s2568","eng","yes, the study involves watching pictures and then describing them later."
"s2604","fre","dwq"
"s2605","eng","no"
"s2606","eng","no"
"s2608","eng","n/a"
"s2611","eng","no"
"s2612","eng","no"
"s2614","eng","Word Puzzles"
"s2615","eng","Yes, interpreting others emotions during the transition to college. "
"s2616","eng","no"
"s2617","eng","no i have not participated in a similar study"
"s2619","eng","No I have not."
"s2620","eng","I have somewhat participated in a similar study. however, in the other study i had to write an essay about a given senario / story.  "
"s2621","eng","No i have not."
"s2622","eng","no"
"s2623","eng","no"
"s2624","eng","No I have not."
"s2626","eng","no"
"s2627","eng","No"
"s2628","eng","No"
"s2629","eng","I have not. This was I think one of the first, if not the first study I have done. So this is a relatively new experience for me. But for the most part I really enjoyed this study."
"s2630","eng","No"
"s2631","eng","No i have not "
"s2632","eng","No."
"s2633","eng","no"
"s2634","eng","no"
"s2635","eng","No, none of the studies I have participated in were similar to this."
"s2636","eng","Yes and you should stop forcing people to take these studies."
"s2637","eng","No"
"s2638","eng","no. "
"s2639","eng","no"
"s2640","eng","no"
"s2641","eng","I think so. The one when you watch the video of a girl who is a Fairfield U student who actually wasn't."
"s2642","eng","no i have not "
"s2643","eng","No"
"s2646","eng","No"
"s2647","eng","No I have not. "
"s2648","eng","No I have not "
"s2649","eng","Yes, once. It was a study on relationships"
"s2651","eng","no, this was different then any of the other ones i have participated in."
"s2652","eng","I do not believe so."
"s2653","eng","Nope"
"s2654","eng","no"
"s2655","eng","no"
"s2656","eng","no"
"s2657","eng","No"
"s2658","eng","Yes, I participated in an online study that involves reading and answering questions. "
"s2659","eng","No, I have not. "
"s2660","eng","No, I don't think that I have"
"s2661","eng","no"
"s2662","eng","no"
"s2666","eng","Yes I have participated in a similar study."
"s2667","eng","No"
"s2668","eng","No."
"s2669","eng","No"
"s2670","eng","no i have not"
"s2671","eng","No, this was a unique study for me."
"s2672","eng","No."
"s2675","eng","i have not"
"s2676","eng","No."
"s2677","eng","No"
"s2679","eng","no"
"s2680","eng","no"
"s2681","eng","no "
"s2682","eng","No I have not."
"s2683","eng","No, I have not. "
"s2689","eng","no"
"s2690","eng","no"
"s2691","eng","No "
"s2698","eng","No"
"s2699","eng","Not really.  I once watched a video and answered questions about it, but that's it."
"s2700","eng","not really just other studies done here at Fairfield University where you have to judge things"
"s2701","eng","No "
"s2702","eng","No"
"s2703","eng","no"
"s2704","eng","no"
"s2705","eng","no"
"s2707","eng","I have not."
"s2721","eng","No, I haven't. There was one study where they could be similar but this one is better and interesting. "
"s2722","eng","No."
"s2723","eng","I did an online study that kind of put me in the same spot, knowing both sides of the stories in order to come to a decision. However, it never asked me to think from that person's point of view. Instead, I was the person making the decisions. "
"s2726","eng","no"
"s2727","eng","I have not"
"s2728","eng","No, I have not. "
"s2729","eng","No I have not participated in a similar study. "
"s2730","eng","no i have not "
"s2731","eng","I have not."
"s2756","eng","no "
"s2757","eng","No."
"s2758","eng","No, but I really enjoyed participating in a new kind of study unlike any one I had done before. "
"s2759","eng","No, I have not."
"s2760","eng","No"
"s2761","eng","no "
"s2762","eng","no"
"s2763","eng","no"
"s2765","eng","No"
"s2766","eng","yes"
"s2771","eng","no"
"s2836","eng","no"
"s2838","eng","no "
"s2839","eng","No."
"s2840","eng","I have participated in many studies at Fairfield so far, some similar in terms of materials but none too similar to the content."
"s2845","eng","no"
"s2846","eng","No"
"s2847","eng","No I haven't participated in a study like this one."
"s2848","eng","No"
"s2849","eng","I have not participated in a similar study before."
"s2850","eng","no"
"s2851","eng","No"
"s2852","eng","No, I have not participated in a study of a similar format"
"s2853","eng","n/a"
"s2855","eng","No"
"s2858","eng","No, I haven't."
"s2860","eng","No"
"s2861","eng","No, I have not. "
"s2862","eng","no"
"s2863","eng","no"
"s2864","eng","maybe some similar psych studies"
"s2865","eng","No I have not."
"s2867","eng","n/a"
"s2868","eng","No"
"s2869","eng","no"
"s2872","eng","I have not participated in a study similar to this before."
"s2877","eng","No"
"s2882","eng","Yes, I have done a few of the research for PLU."
"s2887","eng","Yes, Perceptions of Individuals. "
"s2888","eng","No"
"s2890","eng","I have not participated in studies that have a sliding bar"
"s2891","eng","No. "
"s2893","eng","No"
"s2895","eng","No"
"s2896","eng","No ma’am "
"s2901","eng","no"
"s2902","eng","No."
"s2903","eng","no"
"s2904","eng","No"
"s2905","eng","No I have not"
"s2906","eng","No"
"s2907","eng","No I have not. "
"s2908","eng","No"
"s2910","eng","no"
"s2911","eng","No."
"s2912","eng","No."
"s2913","eng","not really"
"s2915","eng","I have not participated in a study quite like this before."
"s2916","eng","yes, I had to read a passage and answer questions"
"s2917","eng","N/A"
"s2918","eng","I never benn a part of a study like this "
"s2919","eng","no "
"s2920","eng","I don't think so "
"s2921","eng","I have not"
"s2922","eng","No I haven't."
"s2924","eng","N/A"
"s2934","eng","no "
"s2936","eng","No."
"s2937","eng","No all studies have been different"
"s2938","eng","no"
"s2939","eng","no, I have not"
"s2942","eng","I have participated in a similar study where the researcher was looking at how word choices in a description about a student were very deliberate in order to influence the interpretations the participants made. Different participants were given the same students and similar descriptions for them, just with different word choices."
"s2943","eng","No"
"s2946","eng","No"
"s2947","eng","yes, except that study was based off on mind wondering/ attention span"
"s2972","eng","No."
"s2973","eng","No, I have not participated in a similar study."
"s2981","eng","No"
"s2983","eng","empty"
"s2984","eng","No"
"s2991","nor","Nei."
"s2992","eng","no I have not"
"s2993","eng","No, this is the first one. "
"s2994","eng","no"
"s2995","eng","No I have not "
"s2996","eng","no"
"s2999","eng","yes"
"s3005","eng","No"
"s3006","eng","No, the other studies were very different from this one."
"s3007","eng","No."
"s3012","eng","No"
"s3013","eng","No I have not"
"s3021","eng","No"
"s3027","eng","no not a reading comprehension study or a study that asked about my feelings"
"s3028","eng","not one quite like it"
"s3034","eng","no"
"s3036","eng","Not really"
"s3040","eng","I don't think I have."
"s3042","eng","Not sure, I have taken many studies but do not recall"
"s3043","eng","no"
"s3044","eng","I don't think I have."
"s3046","eng","No. I have not participated in a study such as this. "
"s3047","eng","No I have not"
"s3049","eng","No"
"s3053","eng","No"
"s3056","eng","Only in studies with similar data collection methods (i.e., surveys). The sliders were new."
"s3058","eng","No"
"s3068","eng","No I never have participated in a similar study."
"s3070","eng","No, I have not."
"s3071","eng","No."
"s3073","eng","no"
"s3078","eng","I have not, but I have participated in a study where there are different scenarios."
"s3080","eng","No I have not participated in a similar study but this topic somewhat co-insides with the subject of one of my other classes. "
"s3088","eng","no"
"s3090","eng","no "
"s3091","eng","No"
"s3092","eng","I have not"
"s3093","eng","No"
"s3094","eng","Nope"
"s3096","eng","No"
"s3097","eng","No. "
"s3100","eng","NOPE! ;)"
"s3102","eng","no"
"s3105","eng","No"
"s3106","eng","No I have not"
"s3108","eng","No"
"s3110","eng","No."
"s3111","eng","No"
"s3113","eng","Never"
"s3117","eng","No"
"s3119","eng","No"
"s3121","eng","No"
"s3125","eng","TEST"
"s3130","eng","No I have not."
"s3135","eng","Yes, It was about fallacies."
"s3138","eng","No"
"s3141","eng","no"
"s3146","eng","No."
"s3149","eng","No."
"s3156","eng","This is my first study I have participated in."
"s3158","eng","No"
"s3161","eng","I have done an online study but not in this format. "
"s3162","eng","no"
"s3163","eng","no"
"s3164","eng","no"
"s3166","eng","I have not be a part of. a study like this."
"s3167","eng","yes"
"s3169","eng","No"
"s3171","eng","I have not. This is the first study I have participated in that used a bar that I could drag to determine how sure I was of my answer. "
"s3173","eng","no"
"s3176","eng","No"
"s3177","eng","no"
"s3180","eng","I have not."
"s3201","eng","Yes, I have had to take this one 3 times because it is not showing that I completed it. "
"s3202","eng","No."
"s3204","eng","n/a"
"s3205","eng","no"
"s3207","eng","No"
"s3209","eng","I have never participated in this type of study before."
"s3211","eng","yes, if was based on mind wondering and how we could handle difficult tasks "
"s3212","eng","yes, we had to read a passage and answer questions"
"s3214","eng","no"
"s3215","eng","i have not"
"s3218","eng","I have participated in other studies, but nothing very similar to this"
"s3221","eng","I participated in a word puzzle study a few months ago."
"s3222","eng","No I have not"
"s3230","eng","No."
"s3231","eng","no
"
"s3233","eng","Negative"
"s3234","eng","Yes. I have done a few studies where I was asked questions based on different wordings of readings."
"s3235","eng","no."
"s3236","eng","No"
"s3237","eng","I have not"
"s3238","eng","No"
"s3239","eng","no"
"s3240","eng","No"
"s3241","eng","No I haven't"
"s3242","eng","no"
"s3243","eng","yes , but it didn't contain any reading it was all a automated story."
"s3244","eng","No, I have participated in a few studies similar to this one but this study was different in certain ways."
"s3245","eng","Yes and no, I have done online studies similar to this but no the same tasks. "
"s3246","eng","I took a reading test in a study not too long ago, however it would ask me things such as what words go in here, and just comprehension questions."
"s3247","eng","No I have not"
"s3248","eng","no"
"s3249","eng","N/A"
"s3250","eng","no"
"s3251","eng","No"
"s3252","eng","No."
"s3254","eng","No"
"s3255","eng","Nope!"
"s3256","eng","No"
"s3257","eng","While I've participated in multiple studies before, this is the first one where I was expected to read and answer comprehension questions. "
"s3263","eng","I have not participated in a study like this."
"s3264","eng","No"
"s3265","eng","no."
"s3266","eng","no "
"s3267","eng","No."
"s3268","eng","No I have not participated in a similar study."
"s3269","eng","no"
"s3270","eng","no"
"s3271","eng","no"
"s3272","eng","no.
"
"s3273","eng","no"
"s3303","eng","no"
"s3313","eng","Yes, I participated in studies like this one."
"s3314","eng","No "
"s3315","eng","No"
"s3316","eng","no."
"s3317","eng","I never participated in a similar study like this. "
"s3318","eng","no"
"s3319","eng","no"
"s3320","eng","no"
"s3321","eng","NO"
"s3327","eng","no not really "
"s3329","eng","Nope"
"s3345","pol","Nie"
"s3346","eng","no"
"s3354","pol","Nie"
"s3382","pol","nie wiem"
"s3391","pol","Wydaje mi się, że tak - niestety nie jestem w stanie go przytoczyć."
"s3402","eng","Cannot recall. "
"s3403","eng","no i have not"
"s3404","eng","no"
"s3405","eng","No"
"s3407","eng","I have done other research studies"
"s3409","eng","No I have not"
"s3410","eng","no"
"s3429","pol","Nie."
"s3430","pol","Nie."
"s3431","pol","Chyba nie"
"s3432","pol","nie"
"s3433","pol","Nigdy"
"s3434","pol","Nie"
"s3435","pol","nie"
"s3438","pol","Nigdy"
"s3439","pol","nie "
"s3502","ger","nein"
"s3503","ger","Nein"
"s3504","ger","Nein"
"s3505","ger","Nein."
"s3506","ger","Nein"
"s3507","ger","nein"
"s3515","ger","Nein, habe ich nicht."
"s3521","ger","nein"
"s3522","tur","hayır"
"s3523","ger","Nein, habe ich nicht"
"s3524","ger","Nein, an so einer Studie habe ich noch nihct teilgenommen."
"s3527","ger","Nein, ich habe noch nie zuvor an irgendeiner Studie teilgenommen."
"s3531","ger","Nicht wirklich, nein"
"s3532","ger","nein"
"s3540","tur","Çeşitli psikolojik ölçek çalışmalarına katıldım fakat içerik olarak buna benzeyen bir çalışmaya katıldığımı düşünmüyorum."
"s3543","tur","katılmadım"
"s3556","ger","Nein"
"s3560","tur","evet"
"s3573","ger","nein"
"s3579","ger","nein"
"s3589","ger","Nein"
"s3590","ger","nein"
"s3591","ger","nein "
"s3592","ger","Ja, ich habe bereits an einer ähnlichen Studie teilgenommen. Dort musste man entscheiden, ob gezeigte personen lügen oder die Wahrheit sagen."
"s3594","ger","Ich haeb des öfteren an psychologischen Studien teilgenommen, bei denen es u.a. auch um Textverständnis ging."
"s3595","ger","Ja, es ging um Wörter und deren Zusammensetzung"
"s3600","ger","nein"
"s3601","ger","Nein."
"s3602","ger","Nein"
"s3603","ger","Ich habe an Psycholgiestudien teilgenommen, aber nicht an einer, die mit Sprache zu tun hat."
"s3608","ger","nein"
"s3610","tur","hayır"
"s3611","eng","I have participated in a few studies before, but non of them had similar questions I believe -however the scaling system of  answers e.g. strongly believe, believe, neutral, disagree, strongly disagree. have been used in some of them."
"s3615","ger","Nein."
"s3617","ger","nein"
"s3620","eng","no"
"s3625","ger","Nein"
"s3632","ger","nein"
"s3633","ger","Ja einige Umfragen für Bachelorarbeiten auf den verschiedensten Themengebieten"
"s3634","ger","Ja vor einem Jahr mit ähnlichen oder sogar identischen Texten."
"s3635","ger","Ja. text lesen, Fragen beantworten - fast identisch"
"s3637","ger","Ja, ich war im Empra bei Sophia"
"s3640","ger","nein"
"s3641","tur","Hayır."
"s3643","ger","nein"
"s3647","ger","nein"
"s3654","eng","yes , on pappers but i don't remmber the deatails"
"s3660","tur","hayır"
"s3662","eng","no"
"s3663","tur","evet, buna benzer deneysel bir ankete katıldım. onun amacı da hafızayı test etmekti."
"s3664","tur","Hayır katılmadım"
"s3665","tur","evet"
"s3666","pol","Nie."
"s3667","pol","Ocena sytuacji kryminalnych"
"s3668","pol","Nie uczestniczyłam "
"s3672","pol","nie."
"s3673","pol","nie pamiętam, chyba nie, "
"s3674","tur","Hayır."
"s3690","tur","hayır"
"s3693","tur","hayır"
"s3695","tur","Hayır"
"s3696","tur","Evet."
"s3704","hun","Logopédiát tanulok, így az egyetemen már beszélgettünk párszor a nyelv és a gondolkodás összefüggéseiről."
"s3709","pol","Tak, odpowiadalem na pytania na bazie tekstu do ktorego nie moglem wrocic."
"s3710","hun","Még nem."
"s3712","tur","Yine aynı ders kapsamında düşünce yapısının incelenmesine yönelik bir çalışma"
"s3715","ger","nein"
"s3719","ger","Nein"
"s3720","ger","nein"
"s3721","ger","Wenn ja kann ich mich nicht erinnern."
"s3722","pol","nie"
"s3728","ger","nein"
"s3729","ger","nein"
"s3730","ger","Nein"
"s3732","ger","nein."
"s3738","ger","nein "
"s3739","ger","Nein"
"s3743","ger","Nein"
"s3744","ger","Nein"
"s3745","ger","Nein"
"s3755","ger","Nein"
"s3756","ger","Nein noch nicht"
"s3759","ger","Ich glaube, dass ich schon einmal an der gleichen Studie teilgenommen habe."
"s3762","ger","nein"
"s3764","ger","Nein"
"s3765","ger","nein"
"s3766","ger","Nein, an keiner ähnlichen Studie."
"s3767","ger","Nein habe ich nicht"
"s3769","ger","Ja, habe ich, ich weiß allerdings nicht mehr, ob es sich um die gleichen Texte gehandelt hat - zumindest musste ich auch Entscheidungen zwischen """"""""wissen"""""""" und """"""""glauben zu wissen"""""""" treffen."
"s3770","ger","Nein"
"s3771","ger","Nein"
"s3772","ger","Ich glaube nicht."
"s3773","ger","Nein, habe ich nicht."
"s3775","ger","Nein"
"s3776","ger","Nein"
"s3777","ger","nein"
"s3779","ger","Ja"
"s3780","tur","Hayır."
"s3782","tur","hayır"
"s3783","ger","Ich habe im Laufe des Studiums (5 Semester) schon an einem Dutzend psychologischer Studien teilgenommen, die inhaltlich teilwiese ähnlich Waren.
Die Form war immer dieselbe.
"
"s3784","ger","nein "
"s3785","ger","Nein habe ich nicht "
"s3786","ger","nein"
"s3787","ger","nein"
"s3792","ger","Nein"
"s3793","ger","nein"
"s3794","ger","nein"
"s3795","ger","nein"
"s3798","ger","Nein"
"s3799","ger","Nein, dass war das erste Mal."
"s3802","ger","Nein "
"s3808","ger","nein"
"s3809","ger","Nein, noch nicht zu dem Thema Sprache"
