"id","survey_lang","previous"
"s20466","hun","Nem."
"s20467","hun","nem"
"s20472","hun","Nem"
"s20475","hun","nem"
"s20476","hun","Nem"
"s20478","hun","Nem"
"s20479","hun","Még nem vettem részt semmilyen kísérletben."
"s20483","hun","Még nem, de ez nagyon tetszett."
"s20486","hun","Még nem."
"s20487","hun","(még nem)"
"s20488","hun","Még nem"
"s20491","hun","nem"
"s20492","hun","Még nem, ez volt az első alkalom."
"s20497","hun","Még nem."
"s20498","hun","Nem, még sosem."
"s20502","hun","Hasonlóban még nem. "
"s20503","hun","Még nem vettem részt hasonló kísérletben."
"s20504","hun","nem"
"s20505","hun","Még nem."
"s20506","hun","Nem."
"s20507","hun","Még nem."
"s20508","hun","még nem"
"s20511","hun","Hasonlóban még nem. "
"s20514","hun","Még nem"
"s20517","hun","Még nem"
"s20518","hun","Nem emlékszem pontosan, de valami hasonlóban vettem már részt."
"s20519","hun","Nem."
"s20520","hun","Még nem."
"s20521","hun","Nem."
"s20522","hun","Nem"
"s20526","hun","Nem."
"s20527","hun","Nem"
"s20528","hun","Nem még"
"s20530","hun","Nem"
"s20531","hun","Nem vettem még részt hasonló kísérletben."
"s20532","hun","Nem, ez volt az első."
"s20533","hun","még nem"
"s20534","hun","nem"
"s20536","hun","nem"
"s20537","hun","nem"
"s20539","hun","Még nem vettem rész hasonló kísérletben. "
"s20540","hun","Nem."
"s20541","hun","Nem"
"s20544","hun","nem vettem még részt."
"s20546","hun","Nem."
"s20547","hun","Nem."
"s20548","hun","Még nem, ez volt az első alkalom, hogy kísérletben vettem részt."
"s20549","hun","Eddig még nem vettem részt semmilyen kísérletben."
"s20550","hun","Nem"
"s20551","hun","Még nem vettem részt hasonlóban."
"s20554","hun","nem"
"s20555","hun","Még nem vettem részt."
"s20557","hun","Nem vettem részt."
"s20558","hun","Nem. "
"s20559","hun","még nem vettem"
"s20561","hun","Nem"
"s20562","hun","Még nem"
"s20563","hun","még nem"
"s20564","hun","nem."
"s20565","hun","Nem."
"s20566","hun","Nem vettem részt korábban hasonló kítérletben."
"s20567","hun","Nem vettem még részt hasonló kísérletben."
"s20568","hun","Nem."
"s20569","hun","Nem, ez volt az első kísérlet amin részt vettem."
"s20570","hun","online kísérletben és személyes részvételt igénylő kísérletben is részt vettem már, ahol leginkább a gyorsaságot és az agy alkalmazkodását a különböző szövegekhez, képekhez vizsgálták."
"s20571","hun","nem"
"s20573","hun","Nem"
"s20574","hun","Nem"
"s20575","hun","nem."
"s20577","hun","Nem, még nem."
"s20579","hun","Nem."
"s20580","hun","Nem vettem még részt kísérletben, vagy legalábbis nincs tudomásom róla"
"s20581","hun","Nem."
"s20584","hun","nem."
"s20585","hun","Úgy emlékszem még nem."
"s20590","hun","Nem, ez a legelső kísérlet amiben részt veszek"
"s20591","hun","még nem sajnos"
"s20592","hun","Még nem volt alkalmam."
"s20594","hun","Nem."
"s20596","hun","még nem vettem részt ilyen kísérletben"
"s20597","hun","Nem, még nem"
"s20600","hun","még soha"
"s20602","hun","Nem vettem részt."
"s20603","hun","Nem"
"s20604","hun","Nem vettem részt"
"s20606","hun","Nem. "
"s20607","hun","Nem"
"s20610","hun","Igen, amikor emberek bűnösségét kellett megítélni bizonyos helyzetekben."
"s20611","hun","Nem."
"s20613","hun","Nem."
"s20614","hun","Még nem."
"s20617","hun","Még nem."
"s20618","hun","Nem"
"s20619","hun","nem"
"s20620","hun","Még nem."
"s20621","hun","nem emlékszem, hogy részt vettem volna"
"s20622","hun","Nem."
"s20627","hun","Nem"
"s20628","hun","Nem"
"s20629","hun","Nem."
"s20630","hun","Nem vettem még részt."
"s20632","hun","Ez az első kísérletben való részvételem."
"s20633","hun","nem vettem még részt."
"s20636","hun","Nem "
"s20637","hun","Még nem."
"s20638","hun","Nem."
"s20640","hun","Még nem vettem részt hasonló kísérletben. "
"s20641","hun","Nem"
"s20643","hun","Nem emlékszem"
"s20644","hun","Ez az első kísérlet, amiben részt vettem."
"s20646","hun","Vettem már részt hasonló kísérletben, ahol szintén olyan feladatok voltak, amelyek inkább a nyelvhelyesség vizsgálatára voltak kihegyezve bizonyos kontextusban. "
"s20648","hun","Nem."
"s20649","hun","Még nem."
"s20650","hun","nem,még nem volt részem ilyenben"
"s20651","hun","Nem, emlékeim szerint ilyen formátumú kísérlettel még nem találkoztam."
"s20652","hun","Egy olyan kísérletben vettem részt, ahol a tárgyakról voltak képek, 1 órán keresztül, és le kellett írnom, hogy hogyan nevezzük. "
"s20653","hun","Mindezidáig nem vettem részt hasonló kísérletben, ez az első alkalom."
"s20655","hun","Nem"
"s20656","hun","Nem"
"s20658","hun","Nem vettem részt."
"s20661","hun","nem"
"s20663","hun","nem, még nem"
"s20666","hun","Nem még nem vettem részt hasonló kísérletben."
"s20667","hun","még nem vettem részt ilyen kísérletben."
"s20668","hun","Nem."
"s20669","hun","Nem"
"s20670","hun","Nem"
"s20671","hun","Ezelőtt még nem."
"s20673","hun","Rorschach tesztben vettem már részt."
"s20674","hun","Nem"
"s20676","hun","nem"
"s20677","hun","Igen, ott viszont azt kellett eldönteni, hogy helyesen cselekedett-e a történet főszereplője egy olyan döntésben,ahol embereket kellett megmentenie. "
"s20678","hun","Nem emlékszem, esetleg hasonló nyelvi kísérletben már vettem részt az előző évben Pszichológiai ksíérletben való tudományos részvétel kurzusán belül."
"s20679","hun","Nyelvi funkciókat vizsgáló kísérletben vettem már részt de ilyenben nem."
"s20680","hun","Nem, még nem vettem részt hasonló kísérletben. "
"s20682","hun","ez volt az első alkalom."
"s20683","hun","Nem vettem részt."
"s20684","hun","Igen, ott azt kellett eldönteni, hogy a főszereplők helyesen döntöttek-e pl. akkor amikor egy ember helyett többet mentettek meg egy halálos balesetben, illetve, hogy ez mennyire lehet tudatos."
"s20685","hun","Ehhez hasonló tesztben még nem vettem részt."
"s20689","hun","még nem"
"s20690","hun","Még nem."
"s20691","hun","Nem."
"s20692","hun","ez volt az első"
"s20693","hun","nem"
"s20694","hun","Nem"
"s20695","hun","nem"
"s20698","hun","Nem"
"s20699","hun","Nem"
"s20700","hun","Nem."
"s20701","hun","Még nem."
"s20703","hun","Nem"
"s20704","hun","nem hinném "
"s20705","hun","nem"
"s20706","hun","Nem, még nem."
"s20707","hun","Nem"
"s20708","hun","Nem, ez volt az első kísérletem."
"s20710","hun","Még nem."
"s20711","hun","Sajnos még nem."
"s20712","hun","hasonlóban még nem"
"s20713","hun","Nem vettem részt hasonló kísérletben."
"s20715","hun","Még nem."
"s20719","hun","Nem."
"s20720","hun","Még nem vettem részt hasonló kísérletben."
"s20722","hun","Még nem."
"s20723","hun","Még nem."
"s20724","hun","Még nem."
"s20726","hun","Nem"
"s20727","hun","Még nem vettem részt eddig hasonló kísérletben"
"s20728","hun","Nem."
"s20729","hun","nem"
"s20730","hun","Még sosem."
"s20732","hun","nem"
"s20733","hun","Még nem vettem részt hasonló kísérletben."
"s20735","hun","Nem"
"s20736","hun","Nem vettem még részt hasonló kísérletben. "
"s20738","hun","nem"
"s20739","hun","Nem vettem még részt."
"s20741","hun","Ez az első kísérletem."
"s20744","hun","Nem"
"s20745","hun","Még nem vettem részt ezelőtt kísérletben."
"s20749","hun","Még nem vettem részt."
"s20750","hun","Még nem."
"s20751","hun","Nem vettem részt eddig."
"s20752","hun","Nem még."
"s20753","hun","még sosem"
"s20754","hun","Nem"
"s20755","hun","nem"
"s20756","hun","Ez volt az első komolyabb, többször töltöttem ki nem pszihológiai kérdőívet, például egy termékről, vagy ismerősök által összeállított kérdőívet, amellyel (állítólag) segítettem a szakdolgozatuk megírásában - például vásárlási szokások."
"s20757","hun","Még sosem."
"s20758","hun","Igen, nyelvi és szövegértési kísérletben vettem részt."
"s20759","hun","Nem."
"s20760","hun","Nem"
"s20762","hun","Nem vettem részt még hasonló kísérletben."
"s20764","hun","nem"
"s20767","hun","nem, még nem vettem részt"
"s20768","hun","Nem."
"s20769","hun","Nem vettem még részt."
"s20771","hun","Nem"
"s20772","hun","Még nem. "
"s20774","hun","Nem"
"s20775","hun","Nem, még idáig nem vettem részt hasonló kísérletben."
"s20776","hun","Nem, még nem vettem részt hasonló kísérletben."
"s20780","hun","Nem."
"s20781","hun","Nem."
"s20782","hun","nem."
"s20783","hun","Nem vettem részt még."
"s20784","hun","Nem, még sosem. "
"s20787","hun","Nem vettem részt."
"s20788","hun","Még nem"
"s20789","hun","Nem, ehhez hasonlóban még nem vettem részt. "
"s20790","hun","nem"
"s20792","hun","Még nem."
"s20793","hun","Nem"
"s20795","hun","Nem tudom pontosan felidézni, de elképzelhető."
"s20796","hun","Még nem."
"s20798","hun","Nem, még nem vettem részt hasonló kísérletben. "
"s20803","hun","Nem."
"s20804","hun","nem igazán"
"s20805","hun","Nem"
"s20806","hun","nem"
"s20807","hun","Nem"
"s20809","hun","Az előző félév során a döntéslabor további kísérleteiben"
"s20810","hun","Nem"
"s20813","hun","Nem"
"s20815","hun","Nem."
"s20818","hun","nem"
"s20821","hun","Nem"
"s20823","hun","Nem."
"s20824","hun","Nem."
"s20826","hun","Nem."
"s20828","hun","Nem."
"s20829","hun","Nem vettem még részt."
"s20830","hun","Még nem"
"s20831","hun","Még nem vettem részt ilyen és ehhez hasonló kísérletben."
"s20832","hun","Nem"
"s20835","hun","nem"
"s20837","hun","Nem, még nem. Ez az első"
"s20838","hun","Még nem."
"s20839","hun","Nem"
"s20840","hun","nem"
"s20841","hun","Még nem vettem részt."
"s20843","hun","nem, még soha."
"s20845","hun","Nem."
"s20846","hun","nem"
"s20847","hun","Még nem."
"s20850","hun","Nem emlékszem."
"s20851","hun","nem"
"s20853","hun","Eddig még nem vettem részt semmilyen kísérletben."
"s20855","hun","Még nem, ez volt az első."
"s20858","hun","Nem."
"s20861","hun","Még nem"
"s20863","hun","Még nem vettem részt hasonló kísérletben."
"s20864","hun","Nem"
"s20865","hun","Nem"
"s20867","hun","Nem, ilyen fajta kísérletben még nem vettem részt. "
"s20869","hun","Nem "
"s20870","hun","Még nem."
"s20872","hun","Még nem"
"s20874","hun","Nem."
"s20875","hun","Nem "
"s20876","hun","Nem ."
"s20879","hun","nem"
"s20880","hun","Nem vettem részt."
"s20881","hun","Nem"
"s20882","hun","Nem"
"s20887","hun","még nem."
"s20888","hun","Nem vettem részt hasonló kísérletbe."
"s20889","hun","még nem"
"s20890","hun","Még nem."
"s20891","hun","Nem."
"s20895","hun","nem"
"s20896","hun","Nem"
"s20897","hun","Nem."
"s20899","hun","Nem."
"s20901","hun","Nem."
"s20902","hun","Nem."
"s20904","hun","Nem. "
"s20906","hun","Igen, de ott a szövegekből az adott szereplők érzelmi állapotaira kellett reflektálni, skálákon be kellett jelölni, hogy az adott szereplő mennyire lehetett pl. boldog, csalódott, elégedett stb"
"s20910","hun","Nem igazán emlékszem, hogy részt vettem volna."
"s20911","hun","Nem"
"s20937","hun","Még nem."
"s20943","hun","még nem"
"s20953","hun","TEST"
"s20955","hun","Nem."
