StartDate,EndDate,Country,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,self_esteem_1,Q108_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,No_bots_correct,age_rec,sex_rec,edu_rec,geo_rec,vote.recall_rec,weight,weight_trimmed_0.999,weight_trimmed_0.995,weight_trimmed_0.990
05/01/2020,05/01/2020,MEX,100,2013,1,05/01/2020,R_10JbFXOQ0qf4NNK,email,ES,1,8,5,5,10,8,6,6,6,5,10,2,5,2,2,8,100,0,0,8,8,5,5,5,10,10,10,8,5,8,6,10,10,10,0,7,2,2,2,5,2,0,0,9,9,8,5,5,10,5,9,5,0,9,0,6,6,0,6,6,6,9,9,5,0,9,9,0,5,5,5,0,10,5,10,10,50,1,4,1, ,48,3,3,6,tiempo completo con medio sueldo por la contingencia,6,1,1,1,213,1,2,1,2,4,1,0.047477027,0.070583505,0.108439339,0.125252111
05/04/2020,05/04/2020,MEX,95,1434,0,05/06/2020,R_117Nfacds3o9mHS,email,ES,1,10,0,10,10,10,10,0,10,0,10,10,10,10,10,10,0,100,0,9,8,0,0,0,10,10,0,0,0,0,0,10,0,10,0,10,10,10,10,10,10,10,10,6,6,0,0,0,10,10,10,0,0,0,10,0,0,10,0,10,0,0,0,0,10,0,0,10,0,10,0,60,80,10,16,9,1.5,300,7,2, ,64,1,1,1, ,4,1,1,1,213,1,3,2,2,3,1,0.060118732,0.08322521,0.121081044,0.137893816
05/04/2020,05/04/2020,MEX,98,907,0,05/06/2020,R_11azFGdt8Su6jwu,anonymous,ES,1,8,7,9,9,9,9,8,10,9,10,10,9,10,9,10,40,30,30,7,6,3,3,3,8,7,2,5,2,2,4,3,8,8,1,2,6,8,8,7,4,4,4,8,8,8,8,8,8,8,6,5,6,8,9,6,8,3,8,7,3,9,7,8,1,7,7,9,9,9,8,70,80,6,12,7,501,1,4,2, ,36,1,0,1, ,5,1,1,1,213,1,2,2,2,3,2,0.012836525,0.035943003,0.073798837,0.090611608
05/03/2020,05/03/2020,MEX,100,1278,1,05/03/2020,R_11azPQRnVsnEaG8,email,ES,1,8,1,8,8,9,8,7,9,8,9,9,9,7,7,9,98,1,1,6,6,6,6,6,9,5,1,1,1,1,3,8,8,8,2,2,8,8,8,6,9,7,9,8,8,6,8,8,8,8,8,2,2,7,7,8,6,3,7,7,1,8,8,5,1,7,8,1,9,8,9,10,10,5,6,8,25,3,7,1, ,35,3,3,1, ,4,1,1,1,213,1,2,1,2,2,1,0.000209399,0.023315876,0.061171711,0.077984482
05/02/2020,05/02/2020,MEX,100,1528,1,05/02/2020,R_11baRZ7jKhjO2JQ,email,ES,1,10,0,2,10,10,6,3,3,0,10,2,2,10,10,10,50,30,20,8,6,0,7,3,7,3,0,0,0,7,0,10,10,10,0,0,8,9,8,7,10,3,8,10,10,10,8,7,7,3,4,3,4,8,0,6,1,6,7,3,10,10,10,0,0,10,10,0,0,8,10,0,50,0,1,0,250,300,4,1, ,31,1,0,4, ,8,1,1,1,213,1,1,1,2,2,1,0.065424568,0.088531045,0.12638688,0.143199651
4/30/2020,4/30/2020,MEX,98,879,0,05/02/2020,R_11Y1gkODp5AMSKx,email,ES,1,9,0,10,10,10,10,9,10,10,10,3,4,0,0,3,0,70,30,8,8,5,0,0,10,10,0,0,0,0,0,10,10,10,0,3,0,7,4,1,1,10,10,8,10,10,4,8,6,8,4,6,5,7,0,6,0,0,5,3,7,9,7,0,0,6,8,2,7,1,7,30,60,3,12,8,25,3,7,2, ,33,3,0,1, ,1,1,1,1,213,1,1,2,2,3,1,0.02484661,0.047953088,0.085808922,0.102621694
4/30/2020,4/30/2020,MEX,100,1898,1,4/30/2020,R_123kuV5d5oo4ZEN,email,ES,1,7,9,7,8,9,8,8,10,9,9,6,9,5,9,9,85,15,0,2,4,8,8,9,10,10,1,1,1,2,5,4,7,7,3,3,7,7,3,7,8,6,4,8,8,8,7,8,9,7,8,5,5,7,6,7,6,5,5,7,5,8,8,8,5,7,7,5,7,7,5,30,30,8,6,8,50,3,3,1, ,77,3,6,2, ,4,1,1,2,213,1,4,1,2,3,3,4.82E-05,0.023154703,0.061010537,0.077823309
4/30/2020,4/30/2020,MEX,100,1284,1,4/30/2020,R_129IGEoaxs4FxCG,email,ES,1,9,0,9,10,10,10,6,10,10,10,10,10,10,10,10,60,40,0,10,8,0,0,0,10,5,0,0,0,0,2,10,10,10,0,0,10,7,10,7,8,10,8,10,10,10,10,10,9,10,8,0,5,8,0,5,5,0,0,0,0,10,9,5,0,5,5,3,0,8,5,30,70,5,14,10,50,300,4,2, ,29,2,0,4, ,7,1,1,2,213,1,1,2,2,3,1,0.02484661,0.047953088,0.085808922,0.102621694
4/30/2020,4/30/2020,MEX,9,211,0,05/07/2020,R_129LHQ78GAeTmTY,email,ES,1, , , , , , , , , , , , , , , ,90,5,5, , , , , , , , , , , , , , , , , , , , , , , , ,9,7, , , , , , , , , , , , , , , , ,10,9,7,4,8,4,4,4,8,9, , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , 
4/30/2020,4/30/2020,MEX,100,2084,1,4/30/2020,R_12bSm4JfF0uBHXQ,email,ES,1,7,6,9,8,10,9,9,8,8,8,8,8,0,9,10,5,50,45,7,5,5,5,2,10,9,2,3,1,4,8,10,9,9,0,5,8,6,7,4,0,9,9,9,8,7,7,7,7,4,7,2,4,8,0,7,7,3,6,2,2,10,8,5,0,6,7,7,2,2,9,70,80,4,14,8,25,3,7,1, ,34,1,0,1, ,8,1,1,1,213,1,1,1,2,3,1,0.032012328,0.055118805,0.09297464,0.109787411
05/01/2020,05/01/2020,MEX,100,1116,1,05/01/2020,R_12FnFPqsMU6cyDA,email,ES,1,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,100,0,0,8,6,0,5,5,8,8,2,0,0,0,2,10,10,10,0,0,10,8,10,8,5,1,0,9,9,8,9,10,8,8,8,6,6,8,7,5,5,5,5,10,7,10,7,7,0,3,4,2,4,2,5,20,90,4,16,4,25,1,4,2, ,35,3,1,6,Mama,3,1,1,1,213,1,2,2,2,2,4,0.002874768,0.025981246,0.06383708,0.080649851
05/03/2020,05/03/2020,MEX,100,2149,1,05/03/2020,R_12KBvRFZES8igrN,email,ES,1,10,0,10,10,10,10,7,10,6,10,10,10,10,10,10,0,100,0,8,6,10,10,10,10,10,0,0,0,0,0,10,10,10,0,0,10,10,10,10,10,10,10,10,10,7,8,8,10,10,10,0,0,9,9,5,5,5,5,5,5,10,10,10,0,10,10,0,5,10,10,10,20,4,5,8,50,1,7,1, ,53,3,4,1, ,8,1,1,1,213,1,3,1,1,3,1,1.364105216,1.387211694,1.425067528,1.4418803
05/04/2020,05/04/2020,MEX,100,1863,1,05/04/2020,R_1BPZ4EVDUo9cOAV,anonymous,ES,1,10,0,10,10,10,10,8,10,10,3,10,10,10,10,10,50,50,0,8,4,4,7,3,10,9,5,5,8,0,3,10,10,10,0,0,7,7,9,7,5,10,10,8,10,3,8,8,3,7,7,3,3,5,0,4,10,2,10,6,0,10,10,5,0,3,8,0,8,8,8,70,100,7,4,9,50,3,7,2, ,29,1,1,2, ,8,1,1,1,213,1,1,2,2,1,4,0.0136225,0.036728978,0.074584812,0.091397584
05/01/2020,05/01/2020,MEX,100,5289,1,05/01/2020,R_1BQnLp60Q22hjlq,email,ES,1,10,0,5,10,10,10,10,10,9,10,10,10,6,10,10,80,10,10,7,6,10,8,10,10,10,5,9,5,5,0,10,10,10,0,0,4,4,2,9,6,7,10,8,10,8,9,9,10,8,9,0,9,9,7,4,8,1,7,10,4,10,10,8,0,9,10,8,10,6,10,10,50,4,1,8,1,3,4,1, ,67,3,3,2, ,7,1,1,1,213,1, , , , , , , , , 
05/03/2020,05/03/2020,MEX,95,1556,0,05/03/2020,R_1CatLRO5BtvzvXL,email,ES,1,6,0,1,1,0,10,10,10,10,10,7,10,6,10,10,60,20,20,2,6,6,7,4,10,8,7,10,10,10,9,10,10,9,1,1,9,9,9,9,10,10,0,4,9,8,8,9,7,7,6,1,1,7,0,2,5,1,8,2,0,10,10,8,0,7,8,0,7,9,9,60,70,8,16,7,50,90,16,2, ,60,1,2,3, ,6,1,1,2,213,1,3,2,1,2,3,2.708935561,2.732042039,2.769897873,2.786710644
05/02/2020,05/02/2020,MEX,100,3300,1,05/02/2020,R_1CatsEZPe53rZrX,email,ES,1,10,0,10,10,10,10,10,10,7,10,10,10,8,10,10,85,15,0,6,8,0,0,0,7,7,0,0,0,0,8,10,10,10,0,2,0,10,10,10,10,0,0,9,10,9,9,10,10,8,10,2,0,9,0,8,7,5,7,8,5,10,10,0,0,8,8,0,8,7,10,0,80,7,11,8,50,3,4,1, ,58,3,2,2, ,4,1,1,1,213,1,3,1,2,3,2,0.001131988,0.024238466,0.0620943,0.078907072
4/30/2020,4/30/2020,MEX,2,11,0,05/07/2020,R_1Cj60MNMSnhobAx,email,ES, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , 
05/04/2020,05/04/2020,MEX,100,39794,1,05/04/2020,R_1CjcCa5UUKWOgiG,email,ES,1,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,50,50,5,5,5,5,10,10,10,0,0,0,0,5,10,10,10,0,0,10,10,10,10,10,4,4,10,10,10,10,5,10,5,10,2,0,10,0,5,5,0,10,5,0,10,10,5,0,10,10,0,5,10,10,50,50,2,14,5,50,300,4,2, ,46,3,3,4, ,6,1,1,1,213,1,2,2,1,4,1,18.34203405,18.36514052,18.40299636,18.41980913
05/02/2020,05/02/2020,MEX,98,2030,0,05/03/2020,R_1cSM6Ch8Egvda3w,email,ES,1,9,4,9,8,10,9,10,10,10,10,2,1,0,1,4,0,90,10,8,8,0,0,0,10,8,3,4,3,3,5,10,10,10,0,0,7,6,7,7,8,3,0,6,6,8,9,9,9,7,7,7,0,6,0,4,6,0,8,6,4,10,10,5,0,5,8,0,0,5,3,90,90,7,16,8,50,300,4,2, ,50,3,2,1, ,5,1,2,1,213,1,3,2,2,3,2,0.073214836,0.096321314,0.134177148,0.15098992
05/05/2020,05/05/2020,MEX,98,1960,0,05/06/2020,R_1d6Sf7NQDAUwpTs,email,ES,1,9,6,7,9,10,6,9,9,6,10,7,10,5,10,10,70,20,10,4,5,3,6,5,10,9,8,7,7,7,3,10,9,10,0,1,7,9,9,9,7,6,8,7,8,3,8,8,9,8,9,2,1,8,3,3,3,1,8,3,0,10,7,8,0,7,7,2,5,2,8,10,60,8,10,9,50,3,4,2, ,52,3,3,5, ,5,1,1,2,213,1,3,2,2,1,5,0.97965126,1.002757738,1.040613572,1.057426344
05/03/2020,05/03/2020,MEX,100,1005,1,05/03/2020,R_1DBCFfSpxgVsS6g,email,ES,1,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,0,50,50,7,7,5,5,5,10,10,0,0,0,0,2,10,10,10,0,0,10,10,10,10,8,9,10,9,9,10,9,9,10,3,8,8,5,10,0,3,6,2,8,8,5,10,10,5,0,5,5,0,7,7,8,10,10,3,11,7,50,3,7,2, ,38,2,0,1, ,3,1,1,1,213,1,2,2,2,3,1,0.010540426,0.033646904,0.071502738,0.08831551
05/06/2020,05/06/2020,MEX,100,3423,1,05/06/2020,R_1DBTuuyfEYEHDsm,anonymous,ES,1,10,0,10,9,10,7,9,10,10,10,8,8,8,9,10,100,0,0,8,7,1,7,5,8,4,0,0,0,7,7,10,10,10,2,0,2,2,2,1,2,2,1,3,10,7,7,7,8,4,9,2,5,9,0,7,8,2,9,8,0,3,7,0,0,9,8,3,8,8,5,70,80,3,4,8,50,3,4,2, ,49,3,2,2, ,4,1,1,2,213,1,2,2,2,4,1,0.000137279,0.023243756,0.06109959,0.077912362
4/30/2020,4/30/2020,MEX,100,2283,1,4/30/2020,R_1dcTs6gVpJJnqoh,email,ES,1,8,0,8,10,10,10,10,10,8,10,10,10,10,10,10,70,30,0,4,5,10,10,10,10,10,8,5,5,5,5,10,9,10,2,1,9,9,10,10,6,3,1,5,8,6,9,7,10,10,7,9,5,5,0,5,7,0,6,6,3,10,6,5,5,5,5,3,5,5,9,20,20,9,10,5,250,300,4,2, ,57,3,2,6,vendedora casas,9,1,1,1,213,1,3,2,1,2,1,3.561420026,3.584526503,3.622382338,3.639195109
4/30/2020,4/30/2020,MEX,4,24,0,05/07/2020,R_1dFRaGT603mx872,email,ES,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , 
05/01/2020,05/01/2020,MEX,95,2076,0,05/02/2020,R_1dhs9ktjrmVeC73,email,ES,1,10,0,10,10,10,10,10,10,9,10,10,10,10,10,10,80,10,10,8,9,5,5,0,10,10,10,10,9,9,2,10,10,10,0,0,10,7,9,0,1,9,10,9,10,8,7,8,10,9,10,1,2,9,0,0,0,0,1,0,0,10,10,8,0,10,10,0,0,8,10,40,70,7,12,8,25,3,7,1, ,64,3,3,3, ,3,1,1,2,213,1,3,1,2,1,2,1.26E-05,0.023119116,0.06097495,0.077787722
05/05/2020,05/05/2020,MEX,100,1974,1,05/05/2020,R_1dKyrOkaSrUEXdo,anonymous,ES,1,9,1,10,9,10,9,9,10,2,8,10,10,10,10,10,0,70,30,9,8,0,0,2,10,1,0,0,0,0,2,10,10,10,0,3,5,6,7,5,5,4,4,8,9,7,8,9,6,6,9,8,7,8,0,7,8,4,7,6,3,8,7,7,0,6,7,3,3,7,8,50,70,4,11,8,25,3,7.6,1, ,40,3,0,1, ,3,1,1,1,213,1,2,1,2,3,5,0.259792843,0.282899321,0.320755155,0.337567927
05/01/2020,05/01/2020,MEX,98,2495,0,05/02/2020,R_1dMExiZKqXia471,email,ES,1,10,0,8,10,10,8,8,10,5,10,10,10,8,10,10,90,5,5,5,6,7,6,5,10,10,0,0,1,0,2,10,10,10,0,2,8,8,10,8,8,7,8,10,10,8,10,10,10,9,10,4,1,10,5,5,5,1,8,7,0,10,10,10,0,10,10,8,3,8,8,30,40,8,16,10,25,3,7,1, ,46,3,0,3, ,3,1,1,1,213,1,2,1,2,1,2,0.00069483,0.023801308,0.061657142,0.078469914
4/30/2020,4/30/2020,MEX,98,1783,0,05/02/2020,R_1DMPixc9ybVlaPB,email,ES,1,10,0,5,10,10,8,8,10,8,8,10,10,7,7,10,70,30,0,5,5,0,5,5,9,9,5,0,5,0,0,10,10,10,0,0,5,5,5,0,0,3,5,7,7,8,8,8,10,7,8,2,5,8,0,0,0,0,0,0,0,8,8,0,0,8,5,2,0,0,5,50,50,8,14,8,50,3,7,1, ,38,3,0,4, ,4,1,1,2,213,1, , , , , , , , , 
05/04/2020,05/04/2020,MEX,98,1196,0,05/06/2020,R_1dnOEQTLgdetiRf,email,ES,1,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,50,25,25,9,9,0,5,5,10,10,5,6,5,6,2,10,10,10,0,0,9,9,9,9,9,9,6,9,9,10,10,10,10,9,8,8,1,8,9,9,5,0,7,7,0,10,10,10,0,10,10,0,10,9,10,80,70,5,7,8,50,300,4,2, ,60,2,2,1, ,4,1,1,2,213,1,3,2,2,3,1,0.060118732,0.08322521,0.121081044,0.137893816
05/03/2020,05/03/2020,MEX,100,1853,1,05/03/2020,R_1DOujvjpqrRE34M,email,ES,1,9,0,10,9,9,7,7,8,7,7,10,10,10,10,10,0,100,0,7,10,7,7,4,10,10,1,1,1,1,3,9,9,9,1,2,0,10,10,10,6,1,10,9,9,8,8,9,10,10,10,1,1,9,5,6,1,1,6,6,1,9,9,6,1,6,6,10,6,6,0,50,70,5,14,9,150,3,4,1, ,56,3,6,6,Independiente,6,1,1,1,213,1,3,1,2,1,1,1.04E-05,0.023116855,0.06097269,0.077785461
05/01/2020,05/03/2020,MEX,89,191641,0,05/06/2020,R_1dpeQzOpbxxP95Q,email,ES,1,10,2,2,2,10,10,10,10,10,10,2,10,2,2,2,80,10,10,8,8,10,2,2,10,10,2,2,5,5,5,10,10,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,2,2,10,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,30,5,14,5,125,1,7,1, ,44,3,3,1, ,7,1,1,1,213,1,2,1,2,3,5,0.259792843,0.282899321,0.320755155,0.337567927
05/03/2020,05/03/2020,MEX,100,2402,1,05/03/2020,R_1DtJqP1h1RjeWYW,email,ES,1,9,0,10,10,10,7,8,7,4,9,10,10,5,10,10,25,65,10,8,8,5,5,5,10,10,1,0,0,0,2,10,10,10,0,0,9,8,10,5,5,5,8,8,8,8,8,9,10,7,8,5,0,8,5,8,5,6,5,5,0,10,10,5,0,5,8,2,5,5,5,20,30,5,14,8,50,300,4,2, ,51,3,0,1, ,4,1,1,1,213,1, , , , , , , , , 
05/04/2020,05/04/2020,MEX,98,1144,0,05/06/2020,R_1E0R6XJBeW3CRkK,anonymous,ES,1,8,0,9,9,10,10,10,10,10,10,10,10,10,10,10,80,10,10,9,8,2,8,5,10,9,1,1,1,1,4,9,9,9,2,2,8,7,8,8,8,8,8,8,8,7,8,8,8,4,8,3,3,8,0,8,6,5,8,7,5,8,8,5,2,7,8,5,5,7,8,20,70,5,10,9,50,3,7,1, ,49,3,2,1, ,4,1,1,2,213,1,2,1,2,4,2,0.057819296,0.080925774,0.118781608,0.13559438
05/05/2020,05/05/2020,MEX,100,1910,1,05/05/2020,R_1E5MMFLuUsBYUYh,email,ES,1,10,3,10,3,10,8,7,10,10,10,10,10,10,10,10,70,20,10,7,7,5,5,5,10,10,7,0,0,0,5,0,0,0,0,0,9,9,9,9,5,5,5,10,10,9,10,10,10,1,6,7,6,7,10,5,5,0,6, ,0,9,9,8,0,6,6,1,6,9,7,80,80,7,8,4,50,300,16,2, ,35,3,3,1, ,5,1,1,1,213,1,2,2,2,2,5,0.821906879,0.845013357,0.882869191,0.899681963
05/02/2020,05/02/2020,MEX,100,2350,1,05/02/2020,R_1Eb26jDgTuCc9lT,email,ES,1,9,0,4,10,10,10,10,10,10,10,10,8,5,10,5,0,75,25,4,6,9,9,9,8,10,6,4,4,4,3,10,10,10,0,0,10,10,10,10,10,5,5,7,10,9,1,1,1,8,8,5,9,9,0,0,0,0,0,0,0,10,10,1,0,2,0,10,0,0,5,50,50,0,16,4,50,300,12,2, ,35,1,2,1, ,7,2,1,1,213,1,2,2,1,4,1,18.34203405,18.36514052,18.40299636,18.41980913
05/03/2020,05/03/2020,MEX,95,9909,0,05/04/2020,R_1eCQSJJdqkWCqw6,email,ES,1,10,0,9,9,9,2,5,9,9,8,9,9,8,9,10,50,25,25,9,9,6,5,5,8,2,1,1,1,1,9,10,8,9,5,2,8,8,5,5,4,5,4,9,9,10,3,3,10,8,9,5,10,7,9,4,5,2,5,1,1,9,9,3,2,9,4,2,2,2,2,30,50,5,9,9,50,3,en ocho horas se evaporaria el te..,2, ,70,1,2,5, ,6,1,1,2,213,1,4,2,1,4,1,13.18982132,13.2129278,13.25078363,13.2675964
