StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,DistributionChannel,UserLanguage,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,self_esteem_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,attention_1,CRT1,CRT2,CRT3,sex,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,edu,Geo,Q46,vote.recall,Q49,no_bots,Q54_1,Q114_1,Q114_2,Q114_3,Q114_4,Q114_5,Q114_6,Q114_7,Q114_8,Q114_9,Q114_10,weight,weight_trimmed_0.999,weight_trimmed_0.995,weight_trimmed_0.990
4/24/2020,4/24/2020,0,99,3407,0,5/1/2020,R_10TbsPhWfoXq66Q, , ,anonymous,DE,10,0,0,0,0,10,10,10,8,10,2,8,0,10,5,0,100,0,2,4,5,5,5,5,5,0,0,0,0,3,10,10,10,0,6,10,10,10,10,2,7,10,2,6,2,7,7,10,0,8,8,3,3,7,3,4,5,2,0,3,3,0,5,0,0,4,0,0,5,50,10,4,3,8,0,50,900,4,2,56,2,0,2, ,5,1,1,1,12,9,1020,1,6,213,0,2,4,4,5,2,3,4,3,5,2,.15822328585594,.15822328585594,.16786580860391,.198990825513368
4/23/2020,4/23/2020,0,100,719,1,4/23/2020,R_10VDE56HSaPulUx, , ,email,DE,8,1,3,1,6,2,6,10,0,3,4,3,0,3,2,100,0,0,5,4,9,6,5,8,6,2,7,5,6,2,10,8,8,0,7,6,4,8,2,5,2,9,1,2,4,4,4,5,5,6,8,10,6,4,5,3,4,3,6,3,0,1,6,3,8,7,0,3,4,20,20,10,4,8,0,25,3,7,1,20,1,0,4, ,4,1,1,1,6,9,1220,4,4,213,0,1,4,2,3,3,3,4,3,5,1,7.40701767958458,7.40701767958458,7.41666020233255,7.44778521924201
4/23/2020,4/23/2020,0,100,1579,1,4/23/2020,R_10vjMTkOZEkcx26, , ,email,DE,8,1,9,10,10,8,5,9,2,10,8,10,3,8,6,20,60,20,7,8,5,5,5,10,10,0,0,0,0,1,9,8,7,1,2,5,5,5,5,5,5,8,10,9,7,7,8,9,8,9,3,0,9,1,2,1,1,5,2,8,8,5,1,7,5,3,8,7,7,30,20,5,9,7,0,25 Cent,3 mina,6 stunden,2,49,3,2,1, ,3,2,1,2,9,3,3495,8,8,213,0,3,2,1,4,4,2,5,5,4,1, , , , 
4/26/2020,4/26/2020,0,100,1390,1,4/26/2020,R_10VJsk0HPUfCBa5, , ,email,DE,8,0,9,9,10,9,9,10,7,9,9,10,8,10,10,0,50,50,8,8,7,9,9,9,8,2,0,0,0,5,10,10,10,1,5,7,7,9,7,5,7,2,10,9,8,8,8,7,9,10,8,0,10,5,6,1,9,7,5,8,8,5,0,8,8,0,9,9,9,70,80,6,16,9,0,50,3,7,1,44,3,3,1, ,2,1,1,2,12,6,8010,5,1,213,28,3,2,2,4,4,2,4,4,3,2,.285088139536935,.285088139536935,.294730662284905,.325855679194363
4/24/2020,4/24/2020,0,100,1014,1,4/24/2020,R_10wrSFK54OqB3aM, , ,email,DE,8,0,10,10,10,10,10,10,8,10,0,0,0,1,0,0,50,50,6,6,0,0,0,5,5,4,6,2,1,0,10,10,10,0,2,9,6,7,6,3,8,10,9,7,6,6,8,10,8,9,2,1,6,5,5,5,6,9,5,7,8,2,0,8,7,1,10,10,8,100,90,5,4,10,0,25,300,4,2,31,1,0,1, ,2,1,1,2,11,9,1180,8,8,213,9,4,5,4,4,3,3,3,2,4,3, , , , 
4/23/2020,4/23/2020,0,45,625,0,4/30/2020,R_10xsCD297idsc1z, , ,email,DE,5,8,3,10,10,10,10,10,10,10, , , , , ,25,30,45,7,7,4,2,0, , ,3,9,7,10,0,10,9,10,0,3,10,10,10,10,4,4,1,10,9,9,8,7,10,4,6,7,7,8,7,6,4,6,7,8,5,7,1,3,3,7,6,10,9,9, , ,1,10,4,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4/26/2020,4/26/2020,0,100,1300,1,4/26/2020,R_10YsN5XOKZbmzdF, , ,email,DE,9,0,9,9,10,7,7,8,1,8,4,8,2,8,10,90,10,0,4,7,10,6,3,10,10,0,0,0,0,0,10,9,10,0,0,2,6,10,8,3,2,0,7,7,8,6,8,9,7,9,6,3,4,0,0,0,1,1,4,8,8,1,0,3,3,1,0,7,6,20,20,6,16,9,0,50, ,7 Stunden,1,55,3,3,1, ,3,2,1,1,6,4,4810,1,1,213,15,3,1,3,4,2,2,4,4,5,2,1.03751012368717,1.03751012368717,1.04715264643514,1.07827766334459
4/26/2020,4/26/2020,0,100,1747,1,4/26/2020,R_115AUvhRlehuWF7, , ,email,DE,1,7,1,7,7,5,5,5,0,0,2,2,0,2,0,0,50,50,5,5,5,1,1,8,3,0,0,6,1,9,10,10,9,0,5,5,8,9,6,1,3,8,8,10,10,2,8,10,6,8,7,6,8,0,1,1,1,1,0,6,6,2,2,6,6,5,6,6,2,40,40,2,16,4,0,25,3,7,2,58,2,1,6,EPU,6,2,1,1,9,3,3580,6,3,213,81,4,4,3,4,2,2,4,3,2,2,.164417631383649,.164417631383649,.174060154131619,.205185171041077
4/23/2020,4/23/2020,0,100,1709,1,4/23/2020,R_117pwipbXLjJoht, , ,email,DE,4,0,8,9,10,8,8,9,1,10,8,9,1,9,9,0,30,70,8,8,0,5,0,6,5,0,0,0,0,2,10,9,9,0,3,6,7,6,6,6,8,8,7,9,7,7,9,8,6,8,4,3,7,4,2,5,6,4,0,9,7,1,0,6,6,1,7,7,8,40,40,2,12,9,0,25,"Gleich lang (3min), ausser die Blutabnahmezeit steigt nicht linear mit der Anzahl der PatientInnen.",7 Stunden,2,38,3,2,1, ,2,1,1,2,12,9,1170,3,3,213,1,2,2,3,4,4,2,4,4,3,1,.0214639911921454,.0214639911921454,.0311065139401156,.0622315308495736
4/24/2020,4/24/2020,0,100,1343,1,4/24/2020,R_11bS3aLvzA60GZ4, , ,anonymous,DE,1,9,7,2,1,0,1,8,0,8,0,0,0,0,0,100,0,0,3,8,0,0,0,2,0,8,10,7,10,2,10,9,9,4,2,7,6,10,10,10,8,0,2,3,10,9,8,8,8,8,2,0,10,2,3,3,2,7,2,9,8,3,1,8,7,1,8,10,10,0,0,3,4,9,0,25,3,7,1,23,1,0,4, ,8,1,1,1,6,6,8020,3,3,213,84,2,4,2,4,2,2,3,2,5,2,.24451964724109,.24451964724109,.254162169989061,.285287186898519
4/29/2020,4/30/2020,0,94,58905,0,5/3/2020,R_123DOQKgPga3ZP4, , ,email,DE,6,0,7,10,10,6,6,10,10,9,3,9,0,4,2,50,25,25,7,6,0,0,0,10,10,0,0,0,0,4,10,10,10,0,2,6,10,8,6,0,4,10,6,7,10,9,9,10,4,8,6,0,6,6,6,0,6,5,0,10,8,3,0,6,8,0,2,9,10,40,50,2,11,6,0,50,3,7,2,55,3,1,1, ,4,1,1,2,11,9,1130,2,2,213,0,2,3,2,5,4,1,5,5,5,1,.156227160914636,.156227160914636,.165869683662606,.196994700572064
4/24/2020,4/24/2020,0,100,2335,1,4/24/2020,R_124pziUpZENl8MS, , ,email,DE,8,0,8,10,10,10,10,10,0,7,0,5,0,8,8,0,50,50,3,5,0,5,0,9,5,0,0,0,0,1,10,10,10,0,8,10,10,10,7,3,5,10,7,7,9,10,9,10,8,7,7,2,8,3,2,0,5,2,0,9,9,0,0,0,6,0,5,7,9,20,50,3,11,9,0,50,300,4,2,50,2,0,1, ,6,1,1,1,10,9,1220,3,3,213,20,4,4,5,3,3,3,3,3,4,3,.0120836407238139,.0120836407238139,.0217261634717841,.0528511803812421
5/1/2020,5/1/2020,0,100,3246,1,5/1/2020,R_12A94LtTTVnMU9O, , ,anonymous,DE,9,6,9,10,10,5,5,6,5,5,3,3,0,1,7,60,10,30,6,6,0,5,0,0,0,6,7,7,9,0,10,10,10,0,1,8,10,9,6,5,7,10,7,9,10,4,5,10,5,4,7,5,5,6,5,0,6,3,0,8,5,5,0,0,8,1,5,7,7,80,80,2,15,4,0,25,3,4,2,53,2,4,6,Selbständig Tagespflege,8,2,1,1,7,2,9200,7,7,213,61,2,3,3,4,3,3,2,3,3,2,4.65732715340878,4.65732715340878,4.66696967615675,4.69809469306621
4/27/2020,4/27/2020,0,97,4654,0,5/3/2020,R_12brZzFpXccRAHr, , ,anonymous,DE,9,0,10,9,9,6,7,10,0,10,7,8,0,9,10,20,30,50,5,8,0,0,0,2,0,0,0,0,0,4,10,10,9,0,3,8,8,8,7,7,9,9,8,9,10,10,10,9,5,7,7,0,3,1,0,0,5,2,0,10,10,0,0,7,8,0,0,6,10,30,30,2,14,9,0,25,3,4,2,46,3,2,2, ,3,1,1,1,11,9,1160,7,3,213,20,2,4,4,3,2,5,3,3,2,3,1.00136293143956,1.00136293143956,1.01100545418753,1.04213047109699
4/24/2020,4/24/2020,0,100,1476,1,4/24/2020,R_12Fjmybbqmrm1tL, , ,email,DE,9,1,10,10,10,7,7,9,5,10,9,10,5,7,9,0,100,0,5,5,3,5,0,10,10,0,0,0,0,1,10,10,10,0,0,5,8,10,8,5,0,0,7,8,8,8,8,10,7,10,3,0,7,2,5,5,7,6,0,9,9,0,0,5,7,0,5,6,7,50,50,5,4,8,0,50,900,2,1,55,3,2,1, ,4,1,1,1,10,9,1220,1,1,213,0,2,2,3,4,3,3,4,4,3,2,.245007125593479,.245007125593479,.25464964834145,.285774665250908
4/24/2020,4/24/2020,0,100,2305,1,4/24/2020,R_12meV38L6GnqaxZ, , ,email,DE,5,6,6,6,8,7,7,9,5,5,5,5,0,9,9,0,90,10,3,6,5,8,5,9,9,6,6,6,6,2,10,10,10,0,0,7,7,9,9,3,3,5,5,4,8,5,7,7,7,7,3,5,5,5,1,1,6,5,5,8,8,2,2,5,7,7,6,7,5,10,20,5,7,9,0,25,3,7,1,65,3,2,5, ,4,2,1,1,9,3,2625,4,6,213,0,3,3,5,4,3,2,4,4,4,3,.750852021098678,.750852021098678,.760494543846648,.791619560756106
4/29/2020,4/29/2020,0,100,4030,1,4/29/2020,R_12mYjqHB9tAS3vq, , ,email,DE,10,0,9,10,10,10,10,10,10,10,3,8,2,10,10,10,50,40,5,7,1,2,2,10,10,0,0,0,0,2,10,10,10,0,0,10,10,10,10,1,0,0,7,7,10,9,9,10,10,10,2,0,7,1,1,0,0,0,0,6,6,3,3,3,6,4,4,4,6,30,100,3,5,8,0,25 Cent,3 Minuten,7 Stunden,2,65,1,3,5, ,6,2,1,1,6,5,5600,3,3,213, ,2,2,2,4,3,2,4,4,3,2,.559850912749472,.559850912749472,.569493435497442,.6006184524069
4/26/2020,4/26/2020,0,100,2190,1,4/26/2020,R_12R47GhLNHLr8rl, , ,email,DE,9,0,10,9,10,7,7,10,1,9,9,9,0,9,9,30,30,40,3,3,0,1,0,3,1,1,0,0,0,0,10,10,10,0,1,8,6,8,9,0,10,8,8,7,7,7,6,10,7,2,7,5,7,0,0,1,6,1,0,8,8,1,0,7,5,0,1,6,8,10,10,1,14,6,0,25,3,7,1,53,1,1,6,Selbstständig (Ein-Personen-Unternehmen),7,1,1,1,6,7,6020,6,2,213,100,3,3,4,3,2,3,4,3,4,3,1.07812801478864,1.07812801478864,1.08777053753661,1.11889555444607
4/25/2020,4/25/2020,0,2,74,0,5/2/2020,R_12xsspacb9EJrHR, , ,anonymous,DE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4/24/2020,4/24/2020,0,100,2114,1,4/24/2020,R_12xtYuJoaNeGp7w, , ,anonymous,DE,5,0,8,10,10,5,5,7,5,5,1,1,0,1,1,0,80,20,6,6,5,5,0,5,0,1,1,1,1,1,10,10,10,0,1,8,7,9,9,7,8,10,6,7,6,6,6,8,4,8,5,6,8,0,0,5,5,5,1,7,7,0,0,5,5,3,2,5,4,70,70,1,14,6,0,25,3,7,1,49,1,0,2, ,7,1,1,1,7,9,1210,6,6,213,29,2,3,3,4,3,3,3,3,2,2,2.36975085482648,2.36975085482648,2.37939337757445,2.41051839448391
4/24/2020,4/24/2020,0,39,2603,0,5/1/2020,R_1BPZ2LfsN8jQQBJ, , ,email,DE,7,0,9,8,10, , , , , , , , , , ,100,0,0,5,5,5,5,5,10,8,5,5,5,5, , , , , , ,5,5,8,7,7,6,5,9,9,10,10,10,5,8,8,5,5,7, , , , , , ,10,10,10,0,9,10,0,5,8,10,0,10,5,16,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4/27/2020,4/27/2020,0,100,964,1,4/27/2020,R_1BPZfitxeYDmRHs, , ,email,DE,8,0,9,8,10,9,10,9,9,10,7,9,8,10,10,10,80,10,6,7,4,4,3,7,8,1,0,0,0,6,10,8,10,0,0,7,8,9,9,7,10,9,7,8,7,6,7,8,4,7,9,3,7,1,4,6,8,6,1,7,8,3,0,7,4,1,9,8,7,60,10,7,14,4,0,49,3 Minuten,7 Stunden,1,33,2,0,1, ,3,1,1,1,11,9,1060,1,1,123,7,4,3,4,3,4,1,5,3,5,3, , , , 
