V1,V2,V3,V4,V5,SC0_0,SC0_1,SC0_2,rid,pid,SUPPLIER_ID,SUPNAME,complete,information sheet,consent,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_4,collective_narcis_5,collective_narcis_6,national_identity_4,national_identity_5,conspiracy_theories_4,conspiracy_theories_5,conspiracy_theories_7,conspiracy_theories_8,open_mindness_4,open_mindness_5,open_mindness_7,open_mindness_8,open_mindness_9,open_mindness_10,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_7,morality_as_cooperat_8,morality_as_cooperat_9,morality_as_cooperat_10,morality_as_cooperat_11,trait_optimism_4,trait_optimism_5,social_belonging_4,social_belonging_5,social_belonging_12,social_belonging_13,trait_self-control_4,trait_self-control_5,trait_self-control_12,trait_self-control_13,self-esteem_4,attention_check_4,narcissism_4,narcissism_5,narcissism_12,narcissism_13,narcissism_14,narcissism_15,moral_identity_4,moral_identity_5,moral_identity_12,moral_identity_13,moral_identity_14,moral_identity_15,moral_identity_16,moral_identity_17,moral_identity_18,moral_identity_19,risk_perception_4,risk_perception_5,political_ideology_1,moral_circle,moral_circle1,health_8,CRT,CRT1,CRT2,CRT3,intro,sex,sex_TEXT,age,marital,children,employment,employment_TEXT,ladder_instro,ladder_picture,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,prefecture,education,income,support,comments,debrief,
R_1Pb0vQKxs9Xlck9,Default Response Set,2020-04-28 06:04:17,2020-04-28 06:09:30,1,0,0,0,5ea7ff89-4eae-908a-7c46-da555a9d4b08,116960602,968,TheoremReach,1,1,1,10,3,9,3,4,10,10,9,9,9,10,5,10,10,10,50,30,20,5,5,10,6,5,10,8,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,4,5,4,4,5,10,5,5,5,0,7,10,4,10,10,3,9,8,8,3,5,5,5,5,5,5,20,20,5,1,5,9,1,25,3,4,1,2,,23,1,0,4,,1,1,5,1,1,1,213,2,5,6,1,,1,
R_1EZjP9EEmSSu3IG,Default Response Set,2020-04-28 06:01:41,2020-04-28 06:10:17,1,0,0,0,5ea7fee0-1cd4-ad51-4f29-188ff61fbad0,fa6596ba23f4956a4fcb14223255eade,708,TapResearch,1,1,1,7,3,8,8,8,9,8,9,7,9,7,3,5,4,10,60,40,0,7,9,3,8,8,10,10,5,3,4,4,5,6,7,7,3,3,6,7,6,6,2,7,3,9,9,9,8,9,9,8,9,7,5,9,0,5,6,6,9,7,3,9,9,7,2,6,7,3,7,7,7,0,20,3,1,9,8,1,50,3,4,1,2,,48,1,0,1,,1,1,4,1,1,1,213,3,5,8,1,,1,
R_3G6WcowiAOMenLg,Default Response Set,2020-04-28 05:50:27,2020-04-28 06:10:29,1,0,0,0,5ea7fc58-7d67-b026-dba3-805ec903f82b,111596961,398,P2Sample,1,1,1,8,9,8,7,10,7,10,9,8,10,8,10,8,9,10,50,20,30,6,8,9,3,5,8,9,4,8,2,2,8,2,2,9,8,1,8,7,8,8,8,7,4,8,10,8,9,8,9,8,9,0,1,9,0,3,7,4,7,8,5,8,9,3,1,8,8,1,8,9,10,50,40,5,1,13,6,1,50,1,not sure,1,1,,35,3,2,1,,1,1,3,1,1,1,213,1,5,5,1,,1,
R_1Q9JyAtVpEZ0jHH,Default Response Set,2020-04-28 06:03:46,2020-04-28 06:10:30,1,0,0,0,5ea7ff3e-2009-8bdf-9d53-9131e1947ccd,0ebf2bb2f27e3903bb46111943fdb136,708,TapResearch,1,1,1,8,8,9,9,8,9,9,8,9,7,7,7,9,9,8,80,10,10,7,8,8,7,8,9,9,8,8,10,10,8,8,5,8,7,7,8,7,8,9,9,9,8,10,9,7,7,9,10,9,8,8,10,9,8,9,8,8,8,8,8,9,8,4,4,9,5,3,8,7,3,90,80,9,1,10,10,1,50,30,9,1,2,,44,1,0,1,,1,1,6,1,1,1,213,3,2,2,1,없음,1,
R_2y9kFP8Dl2n57AU,Default Response Set,2020-04-28 05:59:28,2020-04-28 06:10:52,1,0,0,0,5ea7fe3c-a22d-11a8-5df2-697480b2b4b0,35020047,968,TheoremReach,1,1,1,7,9,8,7,10,7,8,4,7,6,7,6,8,4,7,20,40,40,7,9,5,4,7,9,8,7,8,7,6,7,7,4,4,7,6,6,8,9,7,6,7,9,7,8,6,7,8,6,7,4,4,7,7,3,8,7,8,6,8,6,8,7,6,9,6,4,6,7,8,8,70,60,7,1,10,8,1,50,300 minute ,8 hour ,1,1,,30,3,1,2,,1,1,6,1,1,2,213,14,3,2,1,,1,
R_2v7JxV33C9LdckG,Default Response Set,2020-04-28 06:03:46,2020-04-28 06:11:10,1,0,0,0,5ea7ff5c-acaa-52b4-2a67-0759eb3ccb2e,f74f4e8761bce5ce552b5117c7fe3ec8,708,TapResearch,1,1,1,9,2,7,8,7,7,8,8,8,10,7,8,9,8,8,10,90,0,4,4,2,3,3,10,10,3,2,3,3,8,9,7,7,2,2,8,8,9,8,9,8,8,7,7,8,8,8,8,7,8,4,2,4,0,3,3,2,2,7,6,8,9,8,6,5,7,7,7,7,7,30,20,9,1,3,3,1,50,3,4,1,1,,35,3,0,1,,1,1,8,1,1,1,213,3,5,4,1,Hfsvc. Gnhhh,1,
R_yCGiKhieJZQXJbb,Default Response Set,2020-04-28 06:02:22,2020-04-28 06:11:44,1,0,0,0,5ea7ff13-a8ca-4944-224f-94c89a0c500f,82303686,968,TheoremReach,1,1,1,5,5,5,5,5,5,5,5,3,5,7,5,7,7,6,0,50,50,6,6,3,7,5,5,5,2,2,2,2,6,7,7,7,2,7,6,4,7,7,3,3,3,6,6,6,5,5,7,7,6,6,1,7,0,3,6,3,4,6,5,7,7,7,1,5,7,3,5,5,6,10,10,5,1,9,6,1,25,3,7,1,1,,52,1,0,1,,1,1,5,1,1,1,213,1,5,3,3,,1,
R_Xk2J3CTNVrQ2ezL,Default Response Set,2020-04-28 06:05:57,2020-04-28 06:12:37,1,0,0,0,5ea7ffde-5c42-4279-8efd-b12339ac6e6c,105837078,968,TheoremReach,1,1,1,8,1,8,7,8,8,7,8,7,8,7,8,7,3,9,20,40,040,3,3,8,7,6,8,9,7,7,2,4,7,3,4,4,7,4,7,3,7,3,7,4,6,7,7,7,3,4,4,7,4,6,4,8,0,3,5,7,4,4,4,7,3,4,7,3,3,7,3,3,7,10,10,4,1,1,7,1,50,3분,4,1,1,,35,3,1,1,,1,1,8,1,1,1,213,3,5,2,3,설문많이 주길 바랍니다 ,1,
R_323LYFuaiddiCQg,Default Response Set,2020-04-28 05:59:00,2020-04-28 06:12:38,1,0,0,0,5ea7fe4c-90f2-099d-f775-5f3734c14092,90014296,968,TheoremReach,1,1,1,8,3,7,7,9,9,9,9,4,6,6,6,3,7,7,70,20,10,7,6,8,8,8,10,8,2,2,2,2,4,8,8,8,3,3,7,7,8,8,3,3,3,7,6,8,8,8,8,4,6,6,6,7,0,6,7,4,7,7,6,8,8,6,3,5,5,3,6,5,7,20,60,7,1,5,7,1,25,3,7,1,1,,46,3,1,1,,1,1,6,1,1,2,213,12,4,5,1,없음,1,
R_3NVaNxx9gT1qbXQ,Default Response Set,2020-04-28 06:06:42,2020-04-28 06:13:25,1,0,0,0,5ea8000b-5814-0202-8bce-1f984c7d035b,dc57fd400d300bb0bca497690abc804d,708,TapResearch,1,1,1,7,3,8,8,8,8,8,9,8,8,7,7,7,7,7,50,30,20,7,7,5,5,5,5,5,5,5,5,7,5,6,5,6,5,5,5,5,5,5,5,5,5,7,7,5,5,5,8,5,7,6,5,6,0,5,5,5,5,5,5,5,5,5,6,5,6,5,5,5,6,50,50,5,1,9,7,1,25,300,4,1,2,,28,1,0,1,,1,1,6,1,1,1,213,1,5,2,1,none,1,
R_aYwE5KVAaNa8jPb,Default Response Set,2020-04-28 06:03:47,2020-04-28 06:13:49,1,0,0,0,5ea7ff53-0268-d9e4-4bb0-e3857e22bced,120590343,968,TheoremReach,1,1,1,10,2,10,10,10,4,4,4,4,9,9,9,9,9,9,0,0,100,6,6,6,6,6,10,10,4,4,4,4,0,10,10,10,0,0,7,7,6,7,7,7,7,6,4,10,10,10,10,3,4,4,4,10,0,10,10,0,10,10,10,7,8,8,8,7,7,9,9,7,6,0,100,4,1,10,6,1,,3,4,1,1,,42,3,3,6,,1,1,6,1,1,1,213,2,5,5,1,,1,
R_2dsatJrPtxkTOBn,Default Response Set,2020-04-28 05:59:27,2020-04-28 06:14:05,1,0,0,0,5ea7fe64-cb78-eaff-03ce-8fc6e9bc4c8d,121262656,968,TheoremReach,1,1,1,10,3,6,7,7,7,8,10,2,7,8,7,4,9,9,90,10,0,4,3,6,7,6,8,5,2,4,2,2,6,7,8,8,0,4,5,4,8,6,3,4,5,4,6,6,5,6,6,2,6,8,6,3,0,6,5,4,6,4,7,4,6,3,1,6,3,3,7,5,6,20,70,2,1,7,4,1,25,300,4,1,2,,27,1,0,2,,1,1,8,1,1,1,213,9,5,2,1,좋은 설문 감사합니다.,1,
R_3kB3rKryFGJzgyA,Default Response Set,2020-04-28 06:06:44,2020-04-28 06:14:13,1,0,0,0,5ea80005-c42b-6be4-9be7-636b87eb733d,a1637b5c-8834-4999-8dde-a992fcc86d17,737,Dalia_Research,1,1,1,10,0,10,10,10,8,9,9,9,9,10,8,8,10,10,100,0,0,7,7,6,3,7,10,10,1,1,1,1,6,7,7,7,3,6,7,7,8,9,6,8,8,9,9,8,8,8,9,7,8,8,3,8,0,7,8,5,8,8,4,10,7,7,2,7,8,4,8,8,8,0,20,1,1,6,7,1,50,3,4,1,1,,37,3,0,1,,1,1,4,1,1,1,213,3,5,3,1,없다,1,
R_2WIIMRZOn0xGOZo,Default Response Set,2020-04-28 06:06:31,2020-04-28 06:14:26,1,0,0,0,5ea7fff9-a8fb-b9e9-369b-a5916e072519,a0a5fc12-fa32-450b-b291-bac8816e5f3d,737,Dalia_Research,1,1,1,10,10,10,10,1,10,10,10,3,10,0,7,5,9,10,6,80,14,2,3,10,1,10,10,10,2,0,1,0,10,10,10,10,0,5,7,7,10,8,8,6,8,9,9,9,8,10,7,6,3,5,10,10,7,1,10,10,10,10,2,10,10,10,2,10,10,10,10,10,9,0,0,5,1,9,10,1,250,3,뫃라,1,2,,19,1,0,4,,1,1,1,1,1,1,213,16,2,1,5,,1,
R_s86J33y3aqY6oUN,Default Response Set,2020-04-28 06:04:44,2020-04-28 06:15:04,1,0,0,0,5ea7ff75-63c9-29c5-71b0-c87b1f438e17,7e248888-36f7-4976-acc1-5b3143719a1e,737,Dalia_Research,1,1,1,9,3,7,9,8,10,10,10,10,9,10,9,7,9,10,60,40,0,6,7,8,4,8,10,10,2,10,1,1,10,8,8,8,7,4,7,7,8,9,8,8,7,8,8,7,7,8,8,8,9,6,4,7,0,6,9,10,6,7,5,9,8,10,4,6,3,3,7,7,10,20,30,3,1,9,3,1,25원,30분,4시간,1,1,,63,3,2,5,,1,1,4,1,1,1,213,3,5,8,1,,1,
R_1kObxHW33yUjU4c,Default Response Set,2020-04-28 06:02:11,2020-04-28 06:15:22,1,0,0,0,5ea7fef5-0231-9d92-54da-5162621bc1cf,290f8a52-43b2-4738-b436-4bbafe41741b,737,Dalia_Research,1,1,1,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,100,0,0,4,4,5,5,5,5,5,10,10,0,0,5,10,10,10,0,5,5,5,10,10,0,0,0,6,6,0,0,5,5,10,10,0,5,5,0,0,10,5,5,5,5,10,5,0,0,5,5,0,5,5,8,0,60,5,1,3,6,1,25,3,4,1,1,,30,3,0,1,,1,1,9,1,1,1,213,6,5,2,4,,1,
