subId,country,check_selfrep,check_voting,age,education,subj_SES,pol_ideology,religiosity,argument,gender_recode,race_recode,exclude_behav,dimension,dilemma,behav,support,avg_trust,taskOrder
7,ASDF1,1,1,50,4,4,2,2,Utilitarian,Male,White,0,IB,ppe,Utilitarian,2,NA,self-rep
7,ASDF1,0,1,50,4,4,2,2,Utilitarian,Male,White,0,IH,lockdown,NA,1,1,self-rep
8,ASDF1,1,1,19,1,5,4,1,Utilitarian,Male,White,0,IH,ventilator,NA,2,5,behav
8,ASDF1,1,1,19,1,5,4,1,Utilitarian,Male,White,0,IB,ppe,Non-Utilitarian,4,NA,behav
8,ASDF1,1,1,19,1,5,4,1,Utilitarian,Male,White,0,IH,lockdown,NA,4,5,behav
9,ASDF1,1,1,31,2,8,1,1,Utilitarian,Male,White,0,IH,ventilator,NA,1,2,behav
9,ASDF1,1,1,31,2,8,1,1,Utilitarian,Male,White,0,IH,tracing,NA,1,2,behav
9,ASDF1,1,1,31,2,8,1,1,Utilitarian,Male,White,0,IB,medicine,Non-Utilitarian,2,NA,behav
10,ASDF1,1,1,24,4,9,3,4,Utilitarian,Male,Asian,0,IH,ventilator,NA,1,4,self-rep
10,ASDF1,1,1,24,4,9,3,4,Utilitarian,Male,Asian,0,IH,lockdown,NA,2,2,self-rep
10,ASDF1,1,1,24,4,9,3,4,Utilitarian,Male,Asian,0,IB,medicine,Utilitarian,5,NA,self-rep
11,ASDF1,1,1,39,3,8,5,7,Non-Utilitarian,Female,White,0,IH,lockdown,NA,3,5.5,self-rep
11,ASDF1,1,1,39,3,8,5,7,Non-Utilitarian,Female,White,0,IH,ventilator,NA,2,5.5,self-rep
11,ASDF1,1,1,39,3,8,5,7,Non-Utilitarian,Female,White,0,IB,ppe,Non-Utilitarian,2,NA,self-rep
12,ASDF1,1,1,32,4,2,1,1,Non-Utilitarian,Male,Other,0,IB,medicine,Utilitarian,7,NA,self-rep
12,ASDF1,1,0,32,4,2,1,1,Non-Utilitarian,Male,Other,0,IH,ventilator,NA,5,4,self-rep
12,ASDF1,1,1,32,4,2,1,1,Non-Utilitarian,Male,Other,0,IH,lockdown,NA,2,5,self-rep
13,ASDF1,1,1,29,2,6,7,2,Utilitarian,Male,White,0,IH,ventilator,Non-Utilitarian,1,NA,self-rep
13,ASDF1,1,1,29,2,6,7,2,Utilitarian,Male,White,0,IB,ppe,NA,1,4,self-rep
13,ASDF1,1,1,29,2,6,7,2,Utilitarian,Male,White,0,IB,medicine,NA,1,4,self-rep
14,ASDF1,1,1,23,4,2,2,3,Non-Utilitarian,Female,White,0,IB,ppe,NA,5,3,behav
14,ASDF1,1,1,23,4,2,2,3,Non-Utilitarian,Female,White,0,IH,tracing,Non-Utilitarian,1,NA,behav
14,ASDF1,1,1,23,4,2,2,3,Non-Utilitarian,Female,White,0,IB,medicine,NA,5,3,behav
15,ASDF1,1,1,18,1,6,1,1,Non-Utilitarian,Male,Other,0,IB,medicine,NA,6,4,self-rep
15,ASDF1,1,1,18,1,6,1,1,Non-Utilitarian,Male,Other,0,IB,ppe,NA,7,3,self-rep
15,ASDF1,1,1,18,1,6,1,1,Non-Utilitarian,Male,Other,0,IH,lockdown,Non-Utilitarian,5,NA,self-rep
16,ASDF1,1,1,19,2,8,2,5,Non-Utilitarian,Female,Other,0,IB,ppe,NA,7,1,self-rep
16,ASDF1,1,1,19,2,8,2,5,Non-Utilitarian,Female,Other,0,IB,medicine,NA,7,1,self-rep
16,ASDF1,1,1,19,2,8,2,5,Non-Utilitarian,Female,Other,0,IH,lockdown,Non-Utilitarian,2,NA,self-rep
17,ASDF1,1,1,27,4,7,1,1,Utilitarian,Female,White,0,IB,ppe,NA,6,6.5,behav
17,ASDF1,1,1,27,4,7,1,1,Utilitarian,Female,White,0,IB,medicine,NA,6,6.5,behav
17,ASDF1,1,1,27,4,7,1,1,Utilitarian,Female,White,0,IH,ventilator,Non-Utilitarian,2,NA,behav
18,ASDF1,1,1,26,4,8,3,1,Non-Utilitarian,Male,White,0,IH,ventilator,Non-Utilitarian,1,NA,behav
18,ASDF1,1,1,26,4,8,3,1,Non-Utilitarian,Male,White,0,IB,medicine,NA,2,4,behav
18,ASDF1,1,0,26,4,8,3,1,Non-Utilitarian,Male,White,0,IB,ppe,NA,2,4,behav
19,ASDF1,1,1,38,2,7,2,5,Utilitarian,Female,White,0,IH,ventilator,NA,3,3,behav
19,ASDF1,1,1,38,2,7,2,5,Utilitarian,Female,White,0,IH,lockdown,NA,1,3,behav
19,ASDF1,1,1,38,2,7,2,5,Utilitarian,Female,White,0,IB,ppe,Utilitarian,7,NA,behav
20,ASDF1,1,1,19,2,1,1,2,Non-Utilitarian,Female,Asian,0,IH,ventilator,Non-Utilitarian,6,NA,self-rep
20,ASDF1,1,1,19,2,1,1,2,Non-Utilitarian,Female,Asian,0,IB,ppe,NA,6,3.5,self-rep
20,ASDF1,1,1,19,2,1,1,2,Non-Utilitarian,Female,Asian,0,IB,medicine,NA,6,2,self-rep
21,ASDF1,1,1,28,5,6,5,6,Non-Utilitarian,Female,White,0,IH,lockdown,Non-Utilitarian,5,NA,self-rep
21,ASDF1,1,1,28,5,6,5,6,Non-Utilitarian,Female,White,0,IB,ppe,NA,3,4,self-rep
21,ASDF1,0,1,28,5,6,5,6,Non-Utilitarian,Female,White,0,IB,medicine,NA,3,4,self-rep
22,ASDF1,1,1,33,4,10,2,4,Non-Utilitarian,Female,Other,0,IH,tracing,NA,5,4,behav
22,ASDF1,1,1,33,4,10,2,4,Non-Utilitarian,Female,Other,0,IB,medicine,Utilitarian,2,NA,behav
22,ASDF1,1,1,33,4,10,2,4,Non-Utilitarian,Female,Other,0,IH,ventilator,NA,1,4.5,behav
23,ASDF1,1,1,33,2,6,1,4,Utilitarian,Female,White,0,IB,ppe,Utilitarian,1,NA,behav
23,ASDF1,0,1,33,2,6,1,4,Utilitarian,Female,White,0,IH,tracing,NA,1,1,behav
23,ASDF1,1,1,33,2,6,1,4,Utilitarian,Female,White,0,IH,ventilator,NA,1,1,behav
24,ASDF1,1,1,25,4,5,1,1,Non-Utilitarian,Female,White,0,IH,ventilator,Utilitarian,7,NA,behav
24,ASDF1,1,1,25,4,5,1,1,Non-Utilitarian,Female,White,0,IB,medicine,NA,7,2,behav
24,ASDF1,1,1,25,4,5,1,1,Non-Utilitarian,Female,White,0,IB,ppe,NA,7,3,behav
25,ASDF1,1,1,47,2,8,2,6,Utilitarian,Female,White,0,IH,lockdown,NA,2,2.5,self-rep
25,ASDF1,1,1,47,2,8,2,6,Utilitarian,Female,White,0,IB,medicine,Non-Utilitarian,2,NA,self-rep
25,ASDF1,0,1,47,2,8,2,6,Utilitarian,Female,White,0,IH,ventilator,NA,2,5,self-rep
26,ASDF1,1,1,24,4,4,2,1,Utilitarian,Male,White,0,IH,ventilator,NA,2,3,behav
26,ASDF1,1,1,24,4,4,2,1,Utilitarian,Male,White,0,IB,medicine,Utilitarian,3,NA,behav
26,ASDF1,1,1,24,4,4,2,1,Utilitarian,Male,White,0,IH,lockdown,NA,2,2,behav
27,ASDF1,1,1,34,4,9,1,2,Non-Utilitarian,Male,White,1,IH,ventilator,NA,4,4,self-rep
27,ASDF1,1,1,34,4,9,1,2,Non-Utilitarian,Male,White,1,IB,ppe,Utilitarian,4,NA,self-rep
27,ASDF1,0,1,34,4,9,1,2,Non-Utilitarian,Male,White,1,IH,tracing,NA,2,3.5,self-rep
28,ASDF1,1,1,26,5,9,2,3,Utilitarian,Other,Black,0,IB,medicine,Utilitarian,7,NA,self-rep
28,ASDF1,1,1,26,5,9,2,3,Utilitarian,Other,Black,0,IH,lockdown,NA,3,5.5,self-rep
28,ASDF1,1,1,26,5,9,2,3,Utilitarian,Other,Black,0,IH,ventilator,NA,3,6,self-rep
29,ASDF1,1,1,28,4,7,4,7,Non-Utilitarian,Female,White,0,IB,medicine,NA,3,3.5,self-rep
29,ASDF1,1,1,28,4,7,4,7,Non-Utilitarian,Female,White,0,IH,tracing,Non-Utilitarian,3,NA,self-rep
29,ASDF1,1,1,28,4,7,4,7,Non-Utilitarian,Female,White,0,IB,ppe,NA,3,3.5,self-rep
30,ASDF1,1,1,20,2,1,3,3,Non-Utilitarian,Male,Other,0,IH,tracing,Non-Utilitarian,4,NA,self-rep
30,ASDF1,0,0,20,2,1,3,3,Non-Utilitarian,Male,Other,0,IB,ppe,NA,5,4,self-rep
30,ASDF1,1,1,20,2,1,3,3,Non-Utilitarian,Male,Other,0,IB,medicine,NA,2,4.5,self-rep
31,ASDF1,1,1,21,2,2,1,1,Non-Utilitarian,Male,White,0,IH,ventilator,NA,1,5,behav
31,ASDF1,1,1,21,2,2,1,1,Non-Utilitarian,Male,White,0,IH,lockdown,NA,1,6,behav
31,ASDF1,1,1,21,2,2,1,1,Non-Utilitarian,Male,White,0,IB,medicine,Utilitarian,7,NA,behav
32,ASDF1,1,1,20,1,2,1,1,Non-Utilitarian,Male,Other,0,IB,medicine,NA,1,4.5,self-rep
32,ASDF1,1,1,20,1,2,1,1,Non-Utilitarian,Male,Other,0,IB,ppe,NA,1,4.5,self-rep
32,ASDF1,1,0,20,1,2,1,1,Non-Utilitarian,Male,Other,0,IH,ventilator,Utilitarian,3,NA,self-rep
33,ASDF1,1,1,20,2,1,1,1,Utilitarian,Male,White,0,IH,lockdown,NA,1,2,behav
33,ASDF1,1,1,20,2,1,1,1,Utilitarian,Male,White,0,IH,ventilator,NA,5,4,behav
33,ASDF1,1,1,20,2,1,1,1,Utilitarian,Male,White,0,IB,ppe,Utilitarian,7,NA,behav
34,ASDF1,1,1,28,4,3,2,1,Utilitarian,Male,White,0,IB,ppe,NA,3,5.5,behav
34,ASDF1,1,1,28,4,3,2,1,Utilitarian,Male,White,0,IH,tracing,Non-Utilitarian,3,NA,behav
34,ASDF1,1,1,28,4,3,2,1,Utilitarian,Male,White,0,IB,medicine,NA,3,5.5,behav
35,ASDF1,1,1,22,4,4,5,2,Non-Utilitarian,Male,White,0,IH,ventilator,NA,1,5.5,self-rep
35,ASDF1,1,1,22,4,4,5,2,Non-Utilitarian,Male,White,0,IB,medicine,Non-Utilitarian,1,NA,self-rep
35,ASDF1,1,1,22,4,4,5,2,Non-Utilitarian,Male,White,0,IH,lockdown,NA,5,4,self-rep
36,ASDF1,1,1,21,2,3,3,5,Utilitarian,Female,White,0,IB,medicine,NA,7,4,behav
36,ASDF1,1,1,21,2,3,3,5,Utilitarian,Female,White,0,IH,ventilator,Non-Utilitarian,1,NA,behav
36,ASDF1,1,1,21,2,3,3,5,Utilitarian,Female,White,0,IB,ppe,NA,7,4,behav
37,ASDF1,1,1,35,1,2,1,7,Non-Utilitarian,Male,Black,0,IB,ppe,Utilitarian,7,NA,self-rep
37,ASDF1,1,1,35,1,2,1,7,Non-Utilitarian,Male,Black,0,IH,ventilator,NA,1,6.5,self-rep
37,ASDF1,1,1,35,1,2,1,7,Non-Utilitarian,Male,Black,0,IH,tracing,NA,1,6.5,self-rep
38,ASDF1,1,1,28,4,6,4,1,Non-Utilitarian,Female,White,0,IH,ventilator,NA,3,4,self-rep
38,ASDF1,1,1,28,4,6,4,1,Non-Utilitarian,Female,White,0,IB,medicine,Utilitarian,2,NA,self-rep
38,ASDF1,1,1,28,4,6,4,1,Non-Utilitarian,Female,White,0,IH,lockdown,NA,2,4.5,self-rep
39,ASDF1,1,1,21,2,1,3,1,Utilitarian,Female,White,0,IB,medicine,NA,7,5.5,self-rep
39,ASDF1,1,1,21,2,1,3,1,Utilitarian,Female,White,0,IH,tracing,Non-Utilitarian,5,NA,self-rep
39,ASDF1,1,1,21,2,1,3,1,Utilitarian,Female,White,0,IB,ppe,NA,7,5,self-rep
40,ASDF1,1,1,24,2,2,2,1,Utilitarian,Male,White,0,IB,ppe,Non-Utilitarian,7,NA,behav
40,ASDF1,1,1,24,2,2,2,1,Utilitarian,Male,White,0,IH,ventilator,NA,4,3.5,behav
40,ASDF1,1,1,24,2,2,2,1,Utilitarian,Male,White,0,IH,lockdown,NA,1,1.5,behav
41,ASDF1,1,1,31,4,9,2,3,Utilitarian,Male,White,0,IH,ventilator,NA,5,4,behav
41,ASDF1,0,1,31,4,9,2,3,Utilitarian,Male,White,0,IB,ppe,Utilitarian,5,NA,behav
41,ASDF1,1,1,31,4,9,2,3,Utilitarian,Male,White,0,IH,lockdown,NA,2,2,behav
42,ASDF1,1,1,60,2,8,4,5,Non-Utilitarian,Male,Other,0,IB,medicine,Non-Utilitarian,1,NA,self-rep
42,ASDF1,1,1,60,2,8,4,5,Non-Utilitarian,Male,Other,0,IH,lockdown,NA,7,1,self-rep
42,ASDF1,0,1,60,2,8,4,5,Non-Utilitarian,Male,Other,0,IH,ventilator,NA,4,1,self-rep
43,ASDF1,1,1,18,1,1,1,1,Non-Utilitarian,Male,White,0,IB,medicine,NA,5,2,self-rep
43,ASDF1,1,1,18,1,1,1,1,Non-Utilitarian,Male,White,0,IH,lockdown,Non-Utilitarian,1,NA,self-rep
43,ASDF1,1,1,18,1,1,1,1,Non-Utilitarian,Male,White,0,IB,ppe,NA,5,2,self-rep
44,ASDF1,1,1,25,4,1,3,6,Utilitarian,Female,Other,1,IB,medicine,NA,4,4.5,self-rep
44,ASDF1,0,1,25,4,1,3,6,Utilitarian,Female,Other,1,IB,ppe,NA,4,4.5,self-rep
44,ASDF1,1,1,25,4,1,3,6,Utilitarian,Female,Other,1,IH,tracing,Non-Utilitarian,1,NA,self-rep
45,ASDF1,1,1,21,3,5,2,1,Non-Utilitarian,Female,White,0,IB,ppe,NA,6,1,behav
45,ASDF1,1,1,21,3,5,2,1,Non-Utilitarian,Female,White,0,IH,tracing,Non-Utilitarian,3,NA,behav
45,ASDF1,1,1,21,3,5,2,1,Non-Utilitarian,Female,White,0,IB,medicine,NA,4,2,behav
46,ASDF1,1,1,49,3,6,5,5,Utilitarian,Male,White,0,IB,medicine,NA,1,4,self-rep
46,ASDF1,1,1,49,3,6,5,5,Utilitarian,Male,White,0,IB,ppe,NA,1,4,self-rep
46,ASDF1,1,0,49,3,6,5,5,Utilitarian,Male,White,0,IH,ventilator,Non-Utilitarian,4,NA,self-rep
47,ASDF1,1,1,21,2,4,1,2,Utilitarian,Other,White,0,IH,ventilator,NA,1,1.5,self-rep
47,ASDF1,0,1,21,2,4,1,2,Utilitarian,Other,White,0,IB,medicine,Utilitarian,7,NA,self-rep
47,ASDF1,1,1,21,2,4,1,2,Utilitarian,Other,White,0,IH,lockdown,NA,1,2,self-rep
48,ASDF1,0,1,40,4,5,1,1,Utilitarian,Female,White,0,IB,medicine,NA,6,6,self-rep
48,ASDF1,1,1,40,4,5,1,1,Utilitarian,Female,White,0,IB,ppe,NA,6,6,self-rep
48,ASDF1,1,1,40,4,5,1,1,Utilitarian,Female,White,0,IH,ventilator,Utilitarian,5,NA,self-rep
49,ASDF1,1,1,21,2,5,1,5,Non-Utilitarian,Male,Other,0,IH,ventilator,NA,1,5,self-rep
49,ASDF1,1,1,21,2,5,1,5,Non-Utilitarian,Male,Other,0,IH,lockdown,NA,1,6,self-rep
49,ASDF1,1,1,21,2,5,1,5,Non-Utilitarian,Male,Other,0,IB,ppe,Utilitarian,6,NA,self-rep
50,ASDF1,1,1,29,4,1,1,1,Utilitarian,Other,White,0,IH,ventilator,NA,4,4,self-rep
50,ASDF1,1,1,29,4,1,1,1,Utilitarian,Other,White,0,IH,lockdown,NA,1,2,self-rep
50,ASDF1,0,1,29,4,1,1,1,Utilitarian,Other,White,0,IB,ppe,Utilitarian,5,NA,self-rep
51,ASDF1,1,1,26,4,5,2,3,Non-Utilitarian,Female,Asian,0,IH,ventilator,NA,1,5.5,self-rep
51,ASDF1,1,1,26,4,5,2,3,Non-Utilitarian,Female,Asian,0,IB,medicine,Utilitarian,6,NA,self-rep
51,ASDF1,1,1,26,4,5,2,3,Non-Utilitarian,Female,Asian,0,IH,lockdown,NA,2,5.5,self-rep
52,ASDF1,1,1,25,4,1,1,1,Utilitarian,Female,White,0,IH,ventilator,Non-Utilitarian,4,NA,self-rep
52,ASDF1,1,1,25,4,1,1,1,Utilitarian,Female,White,0,IB,ppe,NA,3,5,self-rep
52,ASDF1,1,1,25,4,1,1,1,Utilitarian,Female,White,0,IB,medicine,NA,2,4.5,self-rep
53,ASDF1,1,1,53,2,6,5,5,Utilitarian,Female,White,0,IB,ppe,NA,5,5,self-rep
53,ASDF1,1,1,53,2,6,5,5,Utilitarian,Female,White,0,IB,medicine,NA,4,5,self-rep
53,ASDF1,1,1,53,2,6,5,5,Utilitarian,Female,White,0,IH,lockdown,Utilitarian,7,NA,self-rep
54,ASDF1,1,1,21,4,1,4,5,Non-Utilitarian,Female,Asian,0,IB,ppe,NA,2,4,behav
54,ASDF1,1,1,21,4,1,4,5,Non-Utilitarian,Female,Asian,0,IH,ventilator,Non-Utilitarian,1,NA,behav
54,ASDF1,1,1,21,4,1,4,5,Non-Utilitarian,Female,Asian,0,IB,medicine,NA,2,1.5,behav
55,ASDF1,1,1,23,2,5,1,1,Non-Utilitarian,Male,White,0,IB,ppe,Utilitarian,5,NA,self-rep
55,ASDF1,1,1,23,2,5,1,1,Non-Utilitarian,Male,White,0,IH,ventilator,NA,3,6,self-rep
55,ASDF1,1,1,23,2,5,1,1,Non-Utilitarian,Male,White,0,IH,lockdown,NA,1,6.5,self-rep
56,ASDF1,1,1,26,2,2,7,6,Utilitarian,Female,Other,0,IB,medicine,NA,7,1.5,behav
56,ASDF1,1,1,26,2,2,7,6,Utilitarian,Female,Other,0,IB,ppe,NA,1,1,behav
56,ASDF1,1,1,26,2,2,7,6,Utilitarian,Female,Other,0,IH,lockdown,Non-Utilitarian,1,NA,behav
57,ASDF1,1,1,19,1,1,4,1,Non-Utilitarian,Female,White,0,IB,medicine,Utilitarian,7,NA,self-rep
57,ASDF1,1,1,19,1,1,4,1,Non-Utilitarian,Female,White,0,IH,lockdown,NA,4,7,self-rep
57,ASDF1,1,1,19,1,1,4,1,Non-Utilitarian,Female,White,0,IH,ventilator,NA,3,7,self-rep
58,ASDF1,1,1,19,1,6,1,1,Non-Utilitarian,Male,Other,1,IB,medicine,NA,7,3,self-rep
58,ASDF1,1,1,19,1,6,1,1,Non-Utilitarian,Male,Other,1,IH,lockdown,Non-Utilitarian,1,NA,self-rep
58,ASDF1,1,1,19,1,6,1,1,Non-Utilitarian,Male,Other,1,IB,ppe,NA,7,3,self-rep
59,ASDF1,1,1,32,4,2,1,1,Utilitarian,Female,White,0,IH,lockdown,NA,1,1,behav
59,ASDF1,0,1,32,4,2,1,1,Utilitarian,Female,White,0,IB,medicine,Utilitarian,4,NA,behav
59,ASDF1,1,1,32,4,2,1,1,Utilitarian,Female,White,0,IH,ventilator,NA,5,7,behav
60,ASDF1,1,1,20,3,1,4,5,Non-Utilitarian,Male,Black,0,IH,ventilator,NA,3,4,self-rep
60,ASDF1,1,1,20,3,1,4,5,Non-Utilitarian,Male,Black,0,IB,medicine,Utilitarian,3,NA,self-rep
60,ASDF1,1,1,20,3,1,4,5,Non-Utilitarian,Male,Black,0,IH,lockdown,NA,4,4.5,self-rep
61,ASDF1,1,1,47,5,10,2,3,Non-Utilitarian,Male,White,0,IB,medicine,NA,2,5,self-rep
61,ASDF1,0,1,47,5,10,2,3,Non-Utilitarian,Male,White,0,IH,lockdown,Non-Utilitarian,2,NA,self-rep
61,ASDF1,1,1,47,5,10,2,3,Non-Utilitarian,Male,White,0,IB,ppe,NA,2,5,self-rep
62,ASDF1,1,0,28,4,9,2,1,Utilitarian,Female,Asian,0,IB,ppe,NA,2,4,self-rep
62,ASDF1,1,1,28,4,9,2,1,Utilitarian,Female,Asian,0,IB,medicine,NA,2,4,self-rep
62,ASDF1,1,1,28,4,9,2,1,Utilitarian,Female,Asian,0,IH,lockdown,Non-Utilitarian,2,NA,self-rep
63,ASDF1,1,1,38,4,5,3,1,Non-Utilitarian,Male,Other,0,IB,ppe,Utilitarian,5,NA,self-rep
63,ASDF1,1,1,38,4,5,3,1,Non-Utilitarian,Male,Other,0,IH,lockdown,NA,1,5.5,self-rep
63,ASDF1,1,1,38,4,5,3,1,Non-Utilitarian,Male,Other,0,IH,ventilator,NA,1,4,self-rep
64,ASDF1,1,1,24,4,2,3,1,Utilitarian,Female,White,0,IB,ppe,NA,2,5,self-rep
64,ASDF1,1,1,24,4,2,3,1,Utilitarian,Female,White,0,IH,ventilator,Non-Utilitarian,5,NA,self-rep
64,ASDF1,1,1,24,4,2,3,1,Utilitarian,Female,White,0,IB,medicine,NA,3,5,self-rep
65,ASDF1,1,1,27,1,4,6,4,Non-Utilitarian,Male,Other,0,IB,ppe,NA,2,4,behav
65,ASDF1,1,1,27,1,4,6,4,Non-Utilitarian,Male,Other,0,IH,ventilator,Non-Utilitarian,1,NA,behav
65,ASDF1,1,1,27,1,4,6,4,Non-Utilitarian,Male,Other,0,IB,medicine,NA,2,4,behav
66,ASDF1,1,1,32,4,6,5,2,Utilitarian,Male,White,0,IH,lockdown,Utilitarian,5,NA,self-rep
66,ASDF1,1,0,32,4,6,5,2,Utilitarian,Male,White,0,IB,medicine,NA,2,3.5,self-rep
66,ASDF1,1,1,32,4,6,5,2,Utilitarian,Male,White,0,IB,ppe,NA,2,3.5,self-rep
67,ASDF1,0,1,34,4,5,6,6,Utilitarian,Male,White,0,IB,ppe,NA,7,7,behav
67,ASDF1,1,1,34,4,5,6,6,Utilitarian,Male,White,0,IB,medicine,NA,4,6,behav
67,ASDF1,1,1,34,4,5,6,6,Utilitarian,Male,White,0,IH,ventilator,Non-Utilitarian,5,NA,behav
68,ASDF1,1,1,22,2,1,7,4,Non-Utilitarian,Male,White,0,IH,tracing,NA,5,2,behav
68,ASDF1,1,1,22,2,1,7,4,Non-Utilitarian,Male,White,0,IH,ventilator,NA,2,3,behav
68,ASDF1,1,1,22,2,1,7,4,Non-Utilitarian,Male,White,0,IB,ppe,Utilitarian,6,NA,behav
69,ASDF1,1,1,38,4,10,2,1,Non-Utilitarian,Female,White,0,IH,tracing,Non-Utilitarian,7,NA,behav
69,ASDF1,1,1,38,4,10,2,1,Non-Utilitarian,Female,White,0,IB,medicine,NA,3,4,behav
69,ASDF1,1,1,38,4,10,2,1,Non-Utilitarian,Female,White,0,IB,ppe,NA,3,4,behav
70,ASDF1,1,1,19,2,1,2,1,Utilitarian,Female,Asian,0,IB,medicine,NA,5,7,behav
70,ASDF1,1,1,19,2,1,2,1,Utilitarian,Female,Asian,0,IH,lockdown,Non-Utilitarian,2,NA,behav
70,ASDF1,1,1,19,2,1,2,1,Utilitarian,Female,Asian,0,IB,ppe,NA,5,7,behav
71,ASDF1,1,1,20,2,1,1,1,Utilitarian,Other,White,0,IB,medicine,NA,6,4,self-rep
71,ASDF1,1,1,20,2,1,1,1,Utilitarian,Other,White,0,IH,lockdown,Non-Utilitarian,1,NA,self-rep
71,ASDF1,1,1,20,2,1,1,1,Utilitarian,Other,White,0,IB,ppe,NA,2,5.5,self-rep
72,ASDF1,1,1,34,1,4,3,6,Non-Utilitarian,Female,White,0,IH,ventilator,NA,1,6,self-rep
72,ASDF1,1,1,34,1,4,3,6,Non-Utilitarian,Female,White,0,IB,ppe,Non-Utilitarian,2,NA,self-rep
72,ASDF1,1,1,34,1,4,3,6,Non-Utilitarian,Female,White,0,IH,tracing,NA,1,6.5,self-rep
73,ASDF1,1,1,18,1,1,4,2,Non-Utilitarian,Male,Asian,0,IH,ventilator,Non-Utilitarian,3,NA,behav
73,ASDF1,1,1,18,1,1,4,2,Non-Utilitarian,Male,Asian,0,IB,medicine,NA,6,5.5,behav
73,ASDF1,1,1,18,1,1,4,2,Non-Utilitarian,Male,Asian,0,IB,ppe,NA,5,4.5,behav
74,ASDF1,1,1,29,4,7,3,6,Utilitarian,Male,Black,0,IH,ventilator,NA,1,2.5,behav
74,ASDF1,1,1,29,4,7,3,6,Utilitarian,Male,Black,0,IH,lockdown,NA,2,3,behav
74,ASDF1,1,1,29,4,7,3,6,Utilitarian,Male,Black,0,IB,medicine,Utilitarian,7,NA,behav
75,ASDF1,1,1,40,5,6,1,1,Utilitarian,Male,White,0,IH,ventilator,NA,1,3.5,behav
75,ASDF1,1,1,40,5,6,1,1,Utilitarian,Male,White,0,IB,ppe,Non-Utilitarian,2,NA,behav
75,ASDF1,1,1,40,5,6,1,1,Utilitarian,Male,White,0,IH,tracing,NA,1,1,behav
76,ASDF1,1,1,53,3,3,3,3,Utilitarian,Male,White,0,IH,lockdown,NA,1,1,self-rep
76,ASDF1,1,0,53,3,3,3,3,Utilitarian,Male,White,0,IH,ventilator,NA,1,1,self-rep
76,ASDF1,1,1,53,3,3,3,3,Utilitarian,Male,White,0,IB,ppe,Non-Utilitarian,1,NA,self-rep
77,ASDF1,1,0,38,4,7,6,5,Non-Utilitarian,Female,White,0,IB,medicine,NA,1,5.5,behav
77,ASDF1,1,1,38,4,7,6,5,Non-Utilitarian,Female,White,0,IH,lockdown,Non-Utilitarian,6,NA,behav
77,ASDF1,1,1,38,4,7,6,5,Non-Utilitarian,Female,White,0,IB,ppe,NA,1,6,behav
78,ASDF1,1,1,21,4,3,1,2,Utilitarian,Female,White,0,IH,ventilator,Non-Utilitarian,1,NA,behav
78,ASDF1,1,1,21,4,3,1,2,Utilitarian,Female,White,0,IB,ppe,NA,5,4.5,behav
