"subject","cntr","country","R_attendance","R_prayer","R_religiousID","R_member","R_denomination","R_denominationText","R_god","R_afterlife","R_NormsSelfRelLife","R_NormsSelfGod","religiosity.s","religiosity","culturalNorms","norms","norms_z","spirituality","source_first","important_scientific","credible_scientific","important_spiritual","credible_spiritual","sourceCorrect_scientific","sourceCorrect_spiritual","recallHit_scientific","recallHit_spiritual","recallFa_scientific","recallFa_spiritual","RT_scientific","RT_spiritual","statementAndOrder","Age","Gender","Education","SES","Ethnicity","EthnicityText","Recruitment","Sample","Compensation","Language"
11,"AUS","Australia",0,0,0.5,0,NA,NA,0,0.166666666666667,0,0,-0.78718355739644,0.0952380952380952,0.5,0.455723542116631,0.221678153568798,2,"scientific",4,6,3,5,1,1,4,5,0,0,32.724,37.357,"S1_G2",20,"woman",4,7,"Mixed / other","indian & European","TurkPrime","online panel","monetary reward","English"
12,"AUS","Australia",0,0.857142857142857,1,1,"Christian (Roman Catholic)",NA,0.666666666666667,0.666666666666667,0.5,0.5,0.581092873951825,0.598639455782313,0.25,0.455723542116631,0.221678153568798,5,"scientific",5,5,5,5,1,1,3,3,0,0,8.715,31.09,"S1_G2",42,"woman",3,6,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
13,"AUS","Australia",0.5,0.428571428571429,0,1,"Muslim",NA,0.166666666666667,0,0.25,0,-0.47873587610791,0.192176870748299,0,0.455723542116631,0.221678153568798,2,"scientific",5,6,2,1,1,1,4,4,0,0,44.579,43.82,"S2_G1",18,"woman",5,7,"Middle-Eastern/Arab",NA,"TurkPrime","online panel","monetary reward","English"
14,"AUS","Australia",0.166666666666667,0,1,1,"Buddhist",NA,0.166666666666667,1,0.5,0,0.0758621298071599,0.404761904761905,0.25,0.455723542116631,0.221678153568798,1,"scientific",7,1,1,1,0,1,4,3,0,1,14.725,23.817,"S1_G2",26,"woman",5,5,"South Asian",NA,"TurkPrime","online panel","monetary reward","English"
15,"AUS","Australia",0,0,0.5,0,NA,NA,0,0,0,0,-0.850254932235167,0.0714285714285714,0.5,0.455723542116631,0.221678153568798,1,"spiritual",5,5,5,4,1,1,5,4,1,1,30.276,27.136,"G1_S2",36,"woman",3,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
16,"AUS","Australia",0.5,0.571428571428571,0.5,0,NA,NA,0.666666666666667,0.5,0.5,0.5,0.441267823279397,0.534013605442177,0.5,0.455723542116631,0.221678153568798,4,"scientific",4,4,4,4,1,1,2,1,0,0,17.102,16.262,"S1_G2",30,"woman",5,6,"I would rather not say",NA,"TurkPrime","online panel","monetary reward","English"
17,"AUS","Australia",0,0,0.5,0,NA,NA,0,0.666666666666667,0,0,-0.597969432880259,0.166666666666667,0,0.455723542116631,0.221678153568798,7,"scientific",5,6,3,2,1,1,3,4,1,2,13.186,8.519,"S1_G2",31,"man",4,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
18,"AUS","Australia",1,1,1,1,"Muslim",NA,1,1,1,1,1.74250454814817,1,1,0.455723542116631,0.221678153568798,7,"scientific",7,7,7,7,1,1,4,4,0,1,20.956,25.456,"S1_G2",47,"man",7,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
19,"AUS","Australia",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,0,0.455723542116631,0.221678153568798,1,"scientific",5,6,5,4,1,1,2,1,1,1,11.292,76.241,"S2_G1",20,"man",3,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
20,"AUS","Australia",0,0.285714285714286,0,0,NA,NA,0.5,1,0.25,0,-0.252869613714678,0.290816326530612,0,0.455723542116631,0.221678153568798,4,"scientific",5,5,5,5,1,1,3,3,0,0,35.7,30.454,"S2_G1",33,"woman",3,5,"Pacific Islander",NA,"TurkPrime","online panel","monetary reward","English"
21,"AUS","Australia",0.166666666666667,0.857142857142857,1,1,"Christian (Roman Catholic)",NA,1,0.333333333333333,0.5,0.75,0.747447784344014,0.658163265306122,0.75,0.455723542116631,0.221678153568798,5,"scientific",7,7,7,7,1,1,2,3,1,1,25.322,28.45,"S2_G1",45,"man",7,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
22,"AUS","Australia",0.166666666666667,1,1,1,"Muslim",NA,1,0.666666666666667,1,1,1.2476338566098,0.833333333333333,0.375,0.455723542116631,0.221678153568798,6,"scientific",5,5,4,5,1,1,1,1,0,0,21.894,21.301,"S1_G2",37,"woman",3,7,"African",NA,"TurkPrime","online panel","monetary reward","English"
23,"AUS","Australia",0.666666666666667,0.857142857142857,1,1,"Christian (Roman Catholic)",NA,1,1,0.5,1,1.31614691875586,0.860544217687075,0.75,0.455723542116631,0.221678153568798,6,"spiritual",6,5,3,4,1,0,1,2,0,0,11.601,13.279,"G1_S2",45,"man",7,10,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
24,"AUS","Australia",0.833333333333333,0.714285714285714,1,0,NA,NA,1,1,0.75,0.75,1.35179822859216,0.863945578231292,0.75,0.455723542116631,0.221678153568798,5,"spiritual",7,7,7,6,1,1,5,5,0,0,95.975,130.175,"G1_S2",48,"man",5,7,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
25,"AUS","Australia",0,0,0,0,NA,NA,0,0.166666666666667,0,0,-0.975373151787387,0.0238095238095238,0.375,0.455723542116631,0.221678153568798,1,"spiritual",4,5,6,5,1,1,4,4,0,1,36.8,27.082,"G2_S1",23,"woman",3,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
26,"AUS","Australia",0,0.857142857142857,0,0,NA,NA,1,1,0.75,1,0.756768391169369,0.658163265306122,1,0.455723542116631,0.221678153568798,5,"scientific",5,5,4,5,1,0,1,1,0,0,13.016,11.255,"S2_G1",22,"man",3,7,"African",NA,"TurkPrime","online panel","monetary reward","English"
27,"AUS","Australia",0,0.142857142857143,0.5,1,"Other:","Pentacostal",1,1,0.5,0.5,0.368119114597139,0.520408163265306,0.25,0.455723542116631,0.221678153568798,6,"spiritual",4,4,3,3,1,1,2,1,1,0,7.01,12.086,"G1_S2",49,"man",2,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
28,"AUS","Australia",0.166666666666667,0.714285714285714,0.5,0,NA,NA,1,1,0,1,0.627854106600408,0.625850340136054,0.5,0.455723542116631,0.221678153568798,7,"spiritual",5,5,5,5,1,1,4,3,2,2,22.799,25.611,"G2_S1",50,"woman",4,4,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
29,"AUS","Australia",0.833333333333333,0.714285714285714,0.5,1,"Christian (Roman Catholic)",NA,0.666666666666667,0.666666666666667,0.5,0.75,0.801907668082528,0.66156462585034,0.5,0.455723542116631,0.221678153568798,4,"spiritual",6,6,7,6,1,1,2,2,1,1,29.754,7.377,"G2_S1",47,"man",7,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
30,"AUS","Australia",0.833333333333333,1,0.5,1,"Christian (Protestant)",NA,1,0.333333333333333,0.5,0.75,0.909140966721462,0.702380952380952,0.625,0.455723542116631,0.221678153568798,4,"spiritual",7,7,7,6,1,1,3,4,0,0,12.381,37.342,"G2_S1",35,"man",5,7,"Indigenous",NA,"TurkPrime","online panel","monetary reward","English"
31,"AUS","Australia",0,0,0,0,NA,NA,0,0,0.25,0.25,-0.831284642001588,0.0714285714285714,0.25,0.455723542116631,0.221678153568798,1,"spiritual",4,4,3,1,1,0,3,1,0,0,34.904,26.92,"G1_S2",19,"woman",2,4,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
32,"AUS","Australia",0.833333333333333,0.857142857142857,1,0,NA,NA,1,1,0.75,0.75,1.40669865187181,0.884353741496599,0.75,0.455723542116631,0.221678153568798,5,"scientific",7,7,7,7,0,1,5,5,0,0,115.002,186.974,"S1_G2",46,"woman",5,8,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
33,"AUS","Australia",0,0.142857142857143,0.5,0,NA,NA,0.166666666666667,0.666666666666667,0,0,-0.481281408722065,0.210884353741497,0.25,0.455723542116631,0.221678153568798,4,"spiritual",6,5,6,6,1,0,2,3,2,2,14.994,28.853,"G2_S1",18,"man",3,7,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
34,"AUS","Australia",0.833333333333333,0.857142857142857,1,1,"Christian (Roman Catholic)",NA,1,0.833333333333333,0.75,1,1.43880414697346,0.896258503401361,0.625,0.455723542116631,0.221678153568798,5,"spiritual",4,4,4,4,1,1,2,4,2,0,18.96,24.194,"G1_S2",39,"woman",6,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
35,"AUS","Australia",0.666666666666667,0.714285714285714,1,0,NA,NA,0.833333333333333,0.5,0.5,0.25,0.724714160260344,0.637755102040816,0.75,0.455723542116631,0.221678153568798,5,"scientific",6,4,6,6,1,1,2,2,0,1,6.545,6.99,"S2_G1",32,"man",5,8,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
36,"AUS","Australia",0,0,0.5,0,NA,NA,0,1,0,0,-0.471826683202805,0.214285714285714,0,0.455723542116631,0.221678153568798,7,"scientific",7,6,7,7,1,0,4,4,2,4,25.59,37.07,"S1_G2",52,"woman",2,2,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
37,"AUS","Australia",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,1,0.455723542116631,0.221678153568798,7,"spiritual",7,7,6,2,1,1,3,2,1,0,13.423,13.052,"G2_S1",43,"woman",2,2,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
38,"AUS","Australia",1,1,1,1,"Christian (Orthodox - Russian/Greek/etc.)",NA,1,0.833333333333333,1,1,1.67943317330945,0.976190476190476,1,0.455723542116631,0.221678153568798,5,"spiritual",7,7,6,7,1,0,4,3,0,0,30.897,21.643,"G1_S2",30,"man",5,10,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
39,"AUS","Australia",0,0.142857142857143,1,1,"Christian (Roman Catholic)",NA,1,0.666666666666667,0.25,0.75,0.413359814566865,0.54421768707483,0.625,0.455723542116631,0.221678153568798,5,"spiritual",1,1,1,1,1,1,2,3,1,0,27.981,33.101,"G2_S1",47,"woman",2,1,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
40,"AUS","Australia",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,0,0.455723542116631,0.221678153568798,1,"scientific",6,7,2,3,1,1,4,5,0,0,72.405,31.747,"S1_G2",35,"man",4,4,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
41,"AUS","Australia",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,0,0.455723542116631,0.221678153568798,1,"scientific",6,7,6,7,0,1,1,2,1,0,7.879,9.002,"S2_G1",54,"woman",3,10,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
42,"AUS","Australia",1,0.714285714285714,1,1,"Christian (Roman Catholic)",NA,0.833333333333333,0.666666666666667,0.75,1,1.33279033634873,0.852040816326531,0.625,0.455723542116631,0.221678153568798,5,"spiritual",7,7,6,7,1,1,1,4,0,2,18.357,27.161,"G2_S1",35,"man",7,9,"Indigenous",NA,"TurkPrime","online panel","monetary reward","English"
43,"AUS","Australia",0,0,0.5,0,NA,NA,0.5,1,0,0.25,-0.191287010626807,0.321428571428571,0.125,0.455723542116631,0.221678153568798,4,"scientific",5,3,4,3,1,1,4,4,0,0,33.592,33.074,"S1_G2",37,"woman",3,3,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
44,"AUS","Australia",0,0,0.5,0,NA,NA,0.166666666666667,0.666666666666667,0,0,-0.536181832001719,0.19047619047619,0.25,0.455723542116631,0.221678153568798,5,"spiritual",5,6,2,3,1,1,5,4,1,1,10.064,23.045,"G2_S1",29,"man",7,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
45,"AUS","Australia",1,1,1,1,"Christian (Protestant)",NA,1,1,1,1,1.74250454814817,1,0.625,0.455723542116631,0.221678153568798,6,"scientific",7,7,7,7,1,1,4,4,0,0,219.997,147.221,"S1_G2",47,"man",7,6,"Indigenous",NA,"TurkPrime","online panel","monetary reward","English"
46,"AUS","Australia",0.5,0,0.5,0,NA,NA,0.166666666666667,0.666666666666667,0,0,-0.314945066885164,0.261904761904762,0,0.455723542116631,0.221678153568798,5,"spiritual",5,4,3,2,1,1,1,1,0,0,13.579,1.996,"G2_S1",24,"man",4,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
47,"AUS","Australia",0,0,0.5,0,NA,NA,0,0.5,0,0,-0.661040807718986,0.142857142857143,0,0.455723542116631,0.221678153568798,4,"scientific",6,6,6,4,1,1,5,4,0,0,213.639,31.817,"S2_G1",48,"woman",6,4,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
48,"AUS","Australia",0,0.142857142857143,0,0,NA,NA,0.5,0.833333333333333,0,0,-0.482824426517206,0.210884353741497,0,0.455723542116631,0.221678153568798,2,"scientific",3,4,4,2,1,1,3,3,0,0,18.027,12.801,"S2_G1",39,"woman",5,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
49,"AUS","Australia",1,1,1,1,"Muslim",NA,1,1,0.75,1,1.63052153346403,0.964285714285714,0.875,0.455723542116631,0.221678153568798,6,"spiritual",7,7,7,6,1,1,3,5,1,0,32.945,38.872,"G2_S1",44,"man",7,9,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
50,"AUS","Australia",0.5,0.571428571428571,1,1,"Christian (Orthodox - Russian/Greek/etc.)",NA,0.333333333333333,0.666666666666667,0.25,0.5,0.456970576067846,0.545918367346939,0.125,0.455723542116631,0.221678153568798,5,"scientific",6,3,5,4,0,1,4,5,1,3,24.345,28.557,"S1_G2",28,"woman",5,6,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
51,"AUS","Australia",1,1,1,1,"Christian (Roman Catholic)",NA,1,0.5,0.75,0.75,1.34613053900747,0.857142857142857,0.625,0.455723542116631,0.221678153568798,7,"scientific",7,7,6,7,1,1,4,4,0,0,29.566,34.845,"S1_G2",45,"woman",7,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
52,"AUS","Australia",0,0.142857142857143,0.5,0,NA,NA,0.5,0.5,0,0,-0.420777581803713,0.23469387755102,0.75,0.455723542116631,0.221678153568798,5,"scientific",7,6,4,4,1,1,5,5,0,0,24.995,17.56,"S2_G1",21,"woman",4,1,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
53,"AUS","Australia",0,1,1,0,NA,NA,0.5,0.5,0.25,0.25,0.303974436889687,0.5,0.25,0.455723542116631,0.221678153568798,6,"scientific",5,6,6,7,1,1,4,2,0,0,44.674,24.126,"S2_G1",61,"woman",7,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
54,"AUS","Australia",0.833333333333333,1,1,1,"Christian (Roman Catholic)",NA,1,1,1,1,1.66875895977599,0.976190476190476,1,0.455723542116631,0.221678153568798,5,"spiritual",7,7,7,7,1,1,2,3,0,0,80.357,27.944,"G1_S2",35,"man",5,10,"Indigenous",NA,"TurkPrime","online panel","monetary reward","English"
55,"AUS","Australia",1,1,1,1,"Christian (Roman Catholic)",NA,1,1,1,1,1.74250454814817,1,1,0.455723542116631,0.221678153568798,7,"scientific",6,6,6,6,1,1,5,5,0,0,47.915,39.179,"S1_G2",40,"man",5,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
56,"AUS","Australia",0.166666666666667,0.714285714285714,0.5,1,"Christian (Roman Catholic)",NA,0.666666666666667,0.5,0.25,0.75,0.331870925070914,0.506802721088435,0.5,0.455723542116631,0.221678153568798,5,"spiritual",4,4,4,4,1,1,1,1,0,0,15.723,15.357,"G2_S1",23,"woman",5,7,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
57,"AUS","Australia",0.833333333333333,0.714285714285714,1,1,"Christian (Protestant)",NA,1,1,0.75,1,1.44697509853253,0.899659863945578,0.75,0.455723542116631,0.221678153568798,7,"scientific",5,5,6,7,1,1,2,3,1,1,23.265,16.182,"S2_G1",25,"man",5,7,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
58,"AUS","Australia",1,1,1,1,"Christian (Roman Catholic)",NA,1,1,0.75,0.75,1.53534466352365,0.928571428571429,0.75,0.455723542116631,0.221678153568798,7,"scientific",7,7,7,7,1,1,4,4,1,0,64.937,63.056,"S2_G1",46,"man",7,6,"Indigenous",NA,"TurkPrime","online panel","monetary reward","English"
59,"AUS","Australia",0,0.571428571428571,0.5,1,"Christian (Protestant)",NA,0.333333333333333,0.333333333333333,0.25,0.25,-0.17377540305749,0.319727891156463,0.25,0.455723542116631,0.221678153568798,4,"scientific",5,4,3,3,1,1,2,2,0,0,32.128,34.122,"S1_G2",66,"man",3,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
60,"AUS","Australia",0.5,1,1,1,"Muslim",NA,1,1,1,1,1.52126778303162,0.928571428571429,1,0.455723542116631,0.221678153568798,7,"scientific",7,7,7,7,1,0,3,2,3,0,37.124,13.542,"S1_G2",45,"man",7,10,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
61,"AUS","Australia",0.166666666666667,0.142857142857143,1,1,"Christian (Protestant)",NA,0.666666666666667,0.666666666666667,0.25,0.5,0.268353331241591,0.48469387755102,0.25,0.455723542116631,0.221678153568798,3,"scientific",5,5,5,5,1,1,5,5,0,1,27.802,38.389,"S1_G2",42,"man",7,6,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
62,"AUS","Australia",0,0,0.5,0,NA,NA,0.166666666666667,0.5,0,0,-0.599253206840446,0.166666666666667,0,0.455723542116631,0.221678153568798,3,"spiritual",4,4,4,4,1,1,3,2,0,1,9.147,11.816,"G2_S1",43,"man",3,3,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
63,"AUS","Australia",0.166666666666667,1,1,1,"Muslim",NA,1,1,1,1,1.37377660628725,0.880952380952381,0.625,0.455723542116631,0.221678153568798,6,"scientific",6,6,6,6,1,1,4,4,0,0,53.75,39.019,"S2_G1",40,"man",7,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
64,"AUS","Australia",0.166666666666667,0.714285714285714,1,0,NA,NA,0.833333333333333,1,0.5,1,0.978222129481108,0.744897959183674,0.75,0.455723542116631,0.221678153568798,5,"spiritual",7,6,5,6,1,1,3,1,0,0,78.759,32.776,"G2_S1",45,"woman",6,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
65,"AUS","Australia",0.833333333333333,1,1,1,"Christian (Roman Catholic)",NA,0.666666666666667,0.666666666666667,0.5,0.5,1.0047212390924,0.738095238095238,0.75,0.455723542116631,0.221678153568798,4,"spiritual",6,6,6,6,0,1,2,2,0,0,32.214,15.759,"G2_S1",30,"man",7,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
66,"AUS","Australia",0,0,0.5,0,NA,NA,0.666666666666667,1,0.25,1,0.268014214757018,0.488095238095238,0.75,0.455723542116631,0.221678153568798,7,"scientific",1,1,7,7,1,1,1,2,0,0,10.01,21.61,"S2_G1",55,"woman",2,3,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
67,"AUS","Australia",1,1,1,1,"Muslim",NA,1,0.666666666666667,1,1,1.61636179847072,0.952380952380952,0.875,0.455723542116631,0.221678153568798,6,"scientific",6,6,6,6,1,1,3,1,0,0,11.747,2.136,"S2_G1",40,"man",7,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
68,"AUS","Australia",0.666666666666667,0.857142857142857,0.5,0,NA,NA,0.666666666666667,1,0.5,1,1.00438212260783,0.741496598639456,0.875,0.455723542116631,0.221678153568798,5,"scientific",7,7,6,7,1,1,2,2,0,0,18.395,18.409,"S1_G2",40,"man",6,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
69,"AUS","Australia",0,0,0.5,1,"Christian (Protestant)",NA,0.333333333333333,0.333333333333333,0,0,-0.600536980800634,0.166666666666667,0.25,0.455723542116631,0.221678153568798,3,"spiritual",4,4,4,5,1,1,3,3,1,1,25.739,16.257,"G2_S1",62,"woman",3,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
70,"AUS","Australia",0,0,0.5,0,NA,NA,0.666666666666667,0.5,0,0,-0.413890404204828,0.238095238095238,0,0.455723542116631,0.221678153568798,4,"scientific",1,4,5,5,1,1,4,4,0,0,59.33,43.168,"S2_G1",38,"woman",3,3,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
71,"AUS","Australia",1,1,1,1,"Christian (Protestant)",NA,1,1,0.75,1,1.63052153346403,0.964285714285714,1,0.455723542116631,0.221678153568798,7,"scientific",7,6,7,7,1,1,5,5,0,0,17.155,10.698,"S1_G2",27,"man",7,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
72,"AUS","Australia",1,0.714285714285714,0.5,0,NA,NA,0.166666666666667,0.333333333333333,0.25,0.5,0.356987819517115,0.494897959183673,0.625,0.455723542116631,0.221678153568798,3,"spiritual",6,7,5,5,1,0,3,4,3,5,4.26,2.277,"G2_S1",26,"man",6,6,"Pacific Islander",NA,"TurkPrime","online panel","monetary reward","English"
73,"AUS","Australia",1,1,1,1,"Christian (Protestant)",NA,1,1,1,1,1.74250454814817,1,0.875,0.455723542116631,0.221678153568798,7,"spiritual",6,7,6,7,1,1,4,5,0,0,34.162,24.063,"G1_S2",45,"man",7,9,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
74,"AUS","Australia",1,1,1,1,"Christian (Protestant)",NA,1,1,0.75,0.75,1.53534466352365,0.928571428571429,0.75,0.455723542116631,0.221678153568798,6,"scientific",6,6,7,6,1,1,5,4,0,0,58.872,124.508,"S2_G1",45,"man",5,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
75,"AUS","Australia",0.833333333333333,1,1,1,"Christian (Protestant)",NA,1,1,1,1,1.66875895977599,0.976190476190476,1,0.455723542116631,0.221678153568798,7,"scientific",7,6,7,6,0,1,3,4,1,0,52.614,40.368,"S2_G1",46,"man",7,9,"African",NA,"TurkPrime","online panel","monetary reward","English"
76,"AUS","Australia",0.833333333333333,1,1,1,"Christian (Roman Catholic)",NA,1,1,0.75,0.75,1.46159907515146,0.904761904761905,0.75,0.455723542116631,0.221678153568798,5,"spiritual",4,4,4,4,1,0,2,2,0,0,24.192,35.095,"G1_S2",35,"man",7,6,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
77,"AUS","Australia",1,1,1,1,"Muslim",NA,1,1,1,1,1.74250454814817,1,1,0.455723542116631,0.221678153568798,7,"scientific",7,7,6,7,0,0,1,1,0,0,24.935,20.432,"S2_G1",34,"man",5,10,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
78,"AUS","Australia",0,0,0.5,0,NA,NA,0,0,0.25,0.25,-0.643095047610641,0.142857142857143,0.25,0.455723542116631,0.221678153568798,1,"spiritual",5,4,7,7,0,0,1,0,0,1,2.448,2.027,"G1_S2",18,"man",2,4,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
79,"AUS","Australia",0.666666666666667,0.714285714285714,1,1,"Muslim",NA,0.5,0.333333333333333,0.5,0.25,0.538067583664538,0.566326530612245,0,0.455723542116631,0.221678153568798,4,"spiritual",2,2,1,1,1,1,2,4,0,1,13.536,22.629,"G2_S1",51,"woman",7,2,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
