StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age_1,footwear,footwear_DO_1,footwear_DO_2,footwear_DO_3,footwear_DO_4,footwear_DO_5,rsvp,rsvp_DO_1,rsvp_DO_2,rsvp_DO_3,rsvp_DO_4,rsvp_DO_5,elevator,elevator_DO_1,elevator_DO_2,elevator_DO_3,elevator_DO_4,elevator_DO_5,consent,today,2015,2010,2005,2000,1995,1990,1985,1980,1975,2000_born,1995_born,1990_born,1985_born,1980_born,1975_born,1970_born,1965_born,1960_born,1955_ born,1980_before,1975_before,1970_before,1965_before,1960_before,1955_before,1950_before,1945_before,1940_before,1935_before,1960_before2,1955_before2,1950_before2,1945_before2,1940_before2,1935_before2,1930_before2,1925_before2,1920_before2,1915_before2,check_60,check_65,check_70,check_75,check_80,check_85,check_90,check_95,check_100,check_105,explain_more_60,explain_more_65,explain_more_70,explain_more_75,explain_more_80,explain_more_85,explain_more_90,explain_more_95,explain_more_100,explain_more_105,explain_less_60,explain_less_65,explain_less_70,explain_less_75,explain_less_80,explain_less_85,explain_less_90,explain_less_95,explain_less_100,explain_less_105,age,gender,race,income,check,check_4_TEXT,education,kids,political_ideology,oldest_kid,comments
3/5/21 12:45,3/5/21 12:46,IP Address,100,84,TRUE,3/5/21 12:46,R_1OVJntRU5aLZUDQ,,,,,42.99079895,-75.96199799,anonymous,EN,35-39,Bell bottoms,2,4,1,5,3,A wedding invitation,5,3,1,4,2,An elevator,3,4,1,5,2,I consent to take part in this study,6,,,6,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 75 years ago",,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,White,"$75,000 - $95,000",Other,apple,Graduate school,0,Very liberal,,
3/5/21 12:46,3/5/21 12:46,IP Address,100,7,TRUE,3/5/21 12:46,R_3nbXd7O29DjW377,,,,,27.55949402,-82.3934021,anonymous,EN,70+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/21 12:45,3/5/21 12:46,IP Address,100,71,TRUE,3/5/21 12:46,R_XzYVpOvcUU7ms9j,,,,,38.83050537,-77.10140228,anonymous,EN,35-39,Bell bottoms,1,2,5,4,3,A wedding invitation,2,4,3,1,5,An elevator,2,1,4,3,5,I consent to take part in this study,5,,,4,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 75 years ago",,,,,,,,,,,,,,,,,,,,,,,,,,,35,Male,White,"$95,000 - $150,000",Introverted,,Four-year college degree,1,Somewhat conservative,2019,"No, thank you."
3/5/21 12:45,3/5/21 12:46,IP Address,100,103,TRUE,3/5/21 12:46,R_bjRLrq9fcSe8NGx,,,,,47.69009399,-122.3746948,anonymous,EN,45-49,Bell bottoms,4,3,5,2,1,A wedding invitation,1,2,5,3,4,An elevator,4,1,5,2,3,I consent to take part in this study,3,,,,,5,,,,,,,,,,6,,,,,,,,,,4,,,,,,,,,,6,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 85 years ago",,,,,,,,,,,,,,,,,,,,Social media is a big reason. It fosters division and mean comments.,,,,,45,Male,Asian,"$55,000 - $75,000",Neither extroverted nor introverted,,Four-year college degree,0,Somewhat liberal,,
3/5/21 12:45,3/5/21 12:46,IP Address,100,113,TRUE,3/5/21 12:46,R_1JWqSYhkfhqFnBH,,,,,31.72270203,-83.25589752,anonymous,EN,25-29,Bell bottoms,4,1,5,3,2,A wedding invitation,4,5,2,1,3,An elevator,3,2,5,1,4,I consent to take part in this study,5,5,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,"People are MORE kind, honest, nice, and good today compared to about 65 years ago",,,,,,,,,,People now are more open but try not to be offensive.,,,,,,,,,,,,,,,,,,,25,Female,Hispanic or Latino Origin,"$55,000 - $75,000",Introverted,,Four-year college degree,0,Somewhat liberal,,
3/5/21 12:44,3/5/21 12:46,IP Address,100,139,TRUE,3/5/21 12:47,R_1KfFa3bot4ry93m,,,,,42.42610168,-83.25140381,anonymous,EN,35-39,Bell bottoms,1,4,3,2,5,A wedding invitation,3,1,5,2,4,An elevator,4,3,2,1,5,I consent to take part in this study,4,,,4,,,,,,,,,,5,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,"People are MORE kind, honest, nice, and good today compared to about 75 years ago",,,,,,,,,,"Civil rights and women's rights have advanced considerably, meaning there's less racism and bigotry, and ""niceness"" for lack of a better word has advanced on all fronts.",,,,,,,,,,,,,,,,,39,Male,White,"$35,000 - $55,000",Other,apple,Four-year college degree,0,Very liberal,,
3/5/21 12:45,3/5/21 12:47,IP Address,100,66,TRUE,3/5/21 12:47,R_1rvmuvqmbjJLfys,,,,,36.15020752,-115.0335999,anonymous,EN,45-49,Flip-flops,3,1,5,2,4,A thank-you note,5,1,3,2,4,An elevator,1,5,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/21 12:45,3/5/21 12:47,IP Address,100,122,TRUE,3/5/21 12:47,R_3shI4DPIHZHqBX2,,,,,36.09129333,-80.32710266,anonymous,EN,25-29,Bell bottoms,5,3,4,1,2,A wedding invitation,4,5,3,1,2,An elevator,5,2,4,1,3,I consent to take part in this study,5,6,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 65 years ago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Male,White,"$95,000 - $150,000",Other,apple,Four-year college degree,0,Somewhat conservative,,
3/5/21 12:46,3/5/21 12:47,IP Address,100,41,TRUE,3/5/21 12:47,R_3lSu4o7Bz7T5Cmz,,,,,37.53370667,-122.0289001,anonymous,EN,30-34,Bell bottoms,4,2,5,3,1,A wedding invitation,4,5,2,3,1,A pizza,2,3,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/21 12:45,3/5/21 12:47,IP Address,100,108,TRUE,3/5/21 12:47,R_1QMjcZ6aCpOW68g,,,,,40.71569824,-74,anonymous,EN,50-54,Bell bottoms,3,5,1,2,4,A wedding invitation,3,2,5,1,4,An elevator,5,1,4,3,2,I consent to take part in this study,4,,,,,,5,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 90 years ago",,,,,,,,,,,,,,,,,,,,,,,,50,Female,More than 1 of the above,"$55,000 - $75,000",Other,apple,Graduate school,0,Somewhat conservative,,
3/5/21 12:45,3/5/21 12:47,IP Address,100,109,TRUE,3/5/21 12:47,R_2WM8h7zc37waAvl,,,,,26.62390137,-80.09480286,anonymous,EN,35-39,Bell bottoms,2,1,3,4,5,A wedding invitation,1,2,3,4,5,An elevator,2,4,5,1,3,I consent to take part in this study,6,,,7,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,3,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 75 years ago",,,,,,,,,,,,,,,,,,,,I think a lot of people today forget about manners and how one person should be acting around theirs in public and at home.,,,,,,,36,Female,More than 1 of the above,"less than $15,000",Other,apple,Some graduate school,0,Somewhat conservative,,
3/5/21 12:45,3/5/21 12:47,IP Address,100,85,TRUE,3/5/21 12:47,R_2aCDAHamQUo59b5,,,,,41.70249939,-86.24230194,anonymous,EN,18-24,Bell bottoms,3,2,4,5,1,A wedding invitation,4,2,3,5,1,An elevator,3,1,4,2,5,I consent to take part in this study,5,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,"People are MORE kind, honest, nice, and good today compared to about 60 years ago",,,,,,,,,,General accountability for their actions via social media and the internet.,,,,,,,,,,,,,,,,,,,,22,Male,White,"$95,000 - $150,000",Other,apple,Some graduate school,0,Very liberal,,
3/5/21 12:45,3/5/21 12:47,IP Address,100,102,TRUE,3/5/21 12:47,R_2cdUblo9fvfHQ2o,,,,,35.28430176,-80.76000214,anonymous,EN,18-24,Bell bottoms,2,3,1,4,5,A wedding invitation,4,1,5,2,3,An elevator,2,5,3,4,1,I consent to take part in this study,5,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,7,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 60 years ago",,,,,,,,,,,,,,,,,,,,"Societal changes, and people focusing on their own success more than helping others",,,,,,,,,,21,Male,White,"$55,000 - $75,000",Other,apple,Some college,0,Neither liberal nor conservative,,
3/5/21 12:44,3/5/21 12:47,IP Address,100,167,TRUE,3/5/21 12:47,R_RWiaE9kTmIYs1NL,,,,,29.79780579,-90.80970001,anonymous,EN,55-59,Bell bottoms,3,2,5,1,4,A wedding invitation,2,1,3,5,4,An elevator,2,4,3,1,5,I consent to take part in this study,4,,,,,,,5,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 95 years ago",,,,,,,,,,,,,,,,,,,,,,,57,Female,White,"$15,000 - $35,000",Other,apple,Some college,0,Very liberal,,"people are individuals. some are nice, honest and compassionate. some are not. "
3/5/21 12:44,3/5/21 12:47,IP Address,100,182,TRUE,3/5/21 12:47,R_1IFYY6UdGAfZyzs,,,,,37.24940491,-81.26950073,anonymous,EN,35-39,Bell bottoms,5,3,2,1,4,A wedding invitation,3,1,2,5,4,An elevator,1,4,5,3,2,I consent to take part in this study,4,,,5,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 75 years ago",,,,,,,,,,,,,,,,,,,,"People today are more interested in themselves than anyone else.  They seem to want instant gratification and benefits now, regardless of who they take advantage of.  ",,,,,,,39,Male,White,"$55,000 - $75,000",Other,apple,Four-year college degree,2,Very conservative,2004,
3/5/21 12:44,3/5/21 12:47,IP Address,100,179,TRUE,3/5/21 12:47,R_bJAJS0QvwrJAnhD,,,,,41.59829712,-86.70259857,anonymous,EN,25-29,Bell bottoms,3,5,2,1,4,A wedding invitation,5,2,4,1,3,An elevator,3,4,5,1,2,I consent to take part in this study,4,6,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,5,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 65 years ago",,,,,,,,,,,,,,,,,,,,There was less problems that we knew of. News was a lot slower,,,,,,,,,28,Male,White,"$95,000 - $150,000",Other,,Four-year college degree,0,Somewhat conservative,,n/a
3/5/21 12:45,3/5/21 12:47,IP Address,100,100,TRUE,3/5/21 12:47,R_27Cq5iPRemLcKjW,,,,,42.27090454,-83.72679901,anonymous,EN,18-24,Bell bottoms,4,1,2,5,3,A wedding invitation,3,5,1,2,4,An elevator,1,2,5,3,4,I consent to take part in this study,2,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,"People are MORE kind, honest, nice, and good today compared to about 60 years ago",,,,,,,,,,Social norms probably caused people to more kind and the law,,,,,,,,,,,,,,,,,,,,20,Male,Asian,"$95,000 - $150,000",Other,apple,High school diploma,0,Somewhat liberal,,
3/5/21 12:44,3/5/21 12:47,IP Address,100,165,TRUE,3/5/21 12:47,R_2xXfiRXdfMngy1I,,,,,44.25039673,-85.43000031,anonymous,EN,40-44,Bell bottoms,4,3,2,1,5,A wedding invitation,2,5,4,1,3,An elevator,5,2,4,1,3,I consent to take part in this study,4,,,,5,,,,,,,,,,5,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 80 years ago",,,,,,,,,,,,,,,,,,,,Social media. ,,,,,,44,Male,White,"$35,000 - $55,000",Other,apple,Four-year college degree,0,Somewhat liberal,,"Social media is good in some ways, destructive to so many others. "
3/5/21 12:44,3/5/21 12:47,IP Address,100,162,TRUE,3/5/21 12:47,R_3q9e6WgLbhRSo2Q,,,,,44.00900269,-92.3934021,anonymous,EN,25-29,Bell bottoms,4,3,5,2,1,A wedding invitation,1,3,2,4,5,An elevator,2,1,4,3,5,I consent to take part in this study,4,4,,,,,,,,,,6,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 65 years ago",,,,,,,,,,,,,,,,,,,,"A lot of people feel that if your opinion is different then theirs, then they will object and try to change your opinion. People now days also seem to care about themselves and those immediately around them. When I hold the door open for people, all I ask is for a thank you, which doesn't happen a lot of the time anymore.",,,,,,,,,27,Male,White,"$95,000 - $150,000",Other,apple,Associate's degree,0,Somewhat liberal,,
3/5/21 12:45,3/5/21 12:47,IP Address,100,112,TRUE,3/5/21 12:47,R_3ffUqO9ZXytj1ZF,,,,,32.74459839,-97.38420105,anonymous,EN,30-34,Bell bottoms,3,1,4,5,2,A wedding invitation,4,1,3,5,2,An elevator,4,2,5,1,3,I consent to take part in this study,5,,5,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,6,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 70 years ago",,,,,,,,,,,,,,,,,,,,The increasing knowledge of the evil that resides in the world. We are now much more careful and less trusting of each other.,,,,,,,,33,Male,White,"$55,000 - $75,000",Other,apple,Some college,2,Very conservative,2010,
3/5/21 12:45,3/5/21 12:47,IP Address,100,106,TRUE,3/5/21 12:47,R_paX7JH3THJMokKt,,,,,40.59210205,-74.62380219,anonymous,EN,18-24,Bell bottoms,1,4,3,5,2,A wedding invitation,3,4,2,5,1,An elevator,2,4,1,3,5,I consent to take part in this study,2,,,,,,,,,,3,,,,,,,,,,5,,,,,,,,,,6,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 60 years ago",,,,,,,,,,,,,,,,,,,,"Social media, consumerism, irreligiosity, lack of morals",,,,,,,,,,28,Male,More than 1 of the above,"$95,000 - $150,000",Other,apple,Four-year college degree,0,Very conservative,,n/a
3/5/21 12:45,3/5/21 12:47,IP Address,100,117,TRUE,3/5/21 12:47,R_RQwNPXyIE6R09Il,,,,,33.3348999,-111.8170013,anonymous,EN,45-49,Bell bottoms,4,1,5,3,2,A wedding invitation,1,5,4,3,2,An elevator,3,5,4,2,1,I consent to take part in this study,5,,,,,4,,,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 85 years ago",,,,,,,,,,,,,,,,,,,,,,,,,48,Female,White,"$75,000 - $95,000",Other,apple,Four-year college degree,2,Somewhat liberal,1999,thank you
3/5/21 12:44,3/5/21 12:47,IP Address,100,213,TRUE,3/5/21 12:47,R_1DRLjv9QYXL9XJ0,,,,,41.91369629,-70.63929749,anonymous,EN,40-44,Bell bottoms,5,3,2,1,4,A wedding invitation,4,3,2,5,1,An elevator,4,3,2,5,1,I consent to take part in this study,5,,,,6,,,,,,,,,,6,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 80 years ago",,,,,,,,,,,,,,,,,,,,It seems that people are more ego driven and selfish than they were in the 20th century. The prevalence of these attributes seem to increasingly have an impact on kindness. ,,,,,,41,Male,White,"$95,000 - $150,000",Other,apple,Graduate school,0,Somewhat liberal,,
3/5/21 12:44,3/5/21 12:48,IP Address,100,184,TRUE,3/5/21 12:48,R_27k5w3jrTDPbJ4C,,,,,39.83779907,-84.11109924,anonymous,EN,35-39,Bell bottoms,3,5,2,4,1,A wedding invitation,4,1,3,5,2,An elevator,1,5,2,3,4,I consent to take part in this study,4,,,4,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,"People are MORE kind, honest, nice, and good today compared to about 75 years ago",,,,,,,,,,far less open racism,,,,,,,,,,,,,,,,,38,Male,White,"$15,000 - $35,000",Other,apple,High school diploma,0,Very liberal,,
3/5/21 12:46,3/5/21 12:48,IP Address,100,103,TRUE,3/5/21 12:48,R_2R3ySsBarnHXjc5,,,,,39.06610107,-94.62879944,anonymous,EN,40-44,Bell bottoms,2,1,5,3,4,A wedding invitation,3,2,1,5,4,An elevator,1,2,4,5,3,I consent to take part in this study,4,,,,3,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 80 years ago",,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,White,"less than $15,000",Introverted,,Some college,2,Very liberal,2007,
3/5/21 12:45,3/5/21 12:48,IP Address,100,160,TRUE,3/5/21 12:48,R_24bKM8etu5uhy5w,,,,,40.82969666,-72.728302,anonymous,EN,50-54,Bell bottoms,3,5,1,4,2,A wedding invitation,3,4,2,1,5,An elevator,4,2,1,3,5,I consent to take part in this study,5,,,,,,5,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 90 years ago",,,,,,,,,,,,,,,,,,,,,,,,58,Male,White,"$15,000 - $35,000",Other,apple,Graduate school,0,Somewhat conservative,,
3/5/21 12:44,3/5/21 12:48,IP Address,100,231,TRUE,3/5/21 12:48,R_1obR2GHbWBIm3qg,,,,,42.1920929,-121.7232971,anonymous,EN,65-69,Bell bottoms,5,2,3,1,4,A wedding invitation,1,2,5,3,4,An elevator,4,2,5,3,1,I consent to take part in this study,5,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,"People are MORE kind, honest, nice, and good today compared to about 105 years ago",,,,,,,,,,"I think life was a lot tougher 105 years ago and people didn't know that a lot of conditions that made people different were physical and not the person's fault. On the other hand, I do think people are less so today than 50 years ago when people were more polite and more likely to help others. ",,,,,,,,,,,68,Female,White,"$35,000 - $55,000",Other,apple,Four-year college degree,0,Very liberal,,
3/5/21 12:45,3/5/21 12:48,IP Address,100,161,TRUE,3/5/21 12:48,R_2zoQuUvLJD7g79O,,,,,43.07609558,-83.84729767,anonymous,EN,40-44,Bell bottoms,3,4,2,5,1,A wedding invitation,5,3,2,4,1,An elevator,5,2,4,1,3,I consent to take part in this study,4,,,,5,,,,,,,,,,5,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 80 years ago",,,,,,,,,,,,,,,,,,,,,,,,,,41,Male,White,"$150,000 - $200,000",Other,apple,Some college,2,Somewhat liberal,2004,
3/5/21 12:46,3/5/21 12:48,IP Address,100,85,TRUE,3/5/21 12:48,R_2TTZveLCQPKXyqi,,,,,41.51939392,-71.27700043,anonymous,EN,55-59,Bell bottoms,5,2,4,1,3,A wedding invitation,5,4,1,3,2,An elevator,1,2,4,5,3,I consent to take part in this study,3,,,,,,,3,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 95 years ago",,,,,,,,,,,,,,,,,,,,,,,57,Male,White,"$95,000 - $150,000",Other,apple,Graduate school,0,Somewhat conservative,,
3/5/21 12:47,3/5/21 12:48,IP Address,100,66,TRUE,3/5/21 12:48,R_b9twE0rTMaWKIlX,,,,,42.55799866,-82.9980011,anonymous,EN,25-29,Bell bottoms,5,4,1,2,3,A wedding invitation,1,4,5,2,3,An elevator,5,3,1,4,2,I consent to take part in this study,7,6,,,,,,,,,,5,,,,,,,,,,7,,,,,,,,,,4,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 65 years ago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Female,White,"$35,000 - $55,000",Other,apple,Associate's degree,0,Very liberal,,no
3/5/21 12:44,3/5/21 12:48,IP Address,100,215,TRUE,3/5/21 12:48,R_2Pwez0WbmZJHLrK,,,,,39.79930115,-75.1536026,anonymous,EN,50-54,Bell bottoms,2,1,4,5,3,A wedding invitation,2,4,3,5,1,An elevator,2,1,5,3,4,I consent to take part in this study,4,,,,,,5,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 90 years ago",,,,,,,,,,,,,,,,,,,,"I believe people have become more self-centered and are doing what they can to promote their own self interests, rather than looking out for society.",,,,50,Male,Hispanic or Latino Origin,"$150,000 - $200,000",Other,apple,Graduate school,1,Neither liberal nor conservative,2003,
