,StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,kindergarten,kindergarten_DO_1,kindergarten_DO_2,kindergarten_DO_3,kindergarten_DO_4,kindergarten_DO_5,zip,zip_DO_1,zip_DO_2,zip_DO_3,zip_DO_4,zip_DO_5,turkey,turkey_DO_1,turkey_DO_2,turkey_DO_3,turkey_DO_4,turkey_DO_5,consent,manip_check,explain_more,explain_less,age,gender,race,language,language_2_TEXT,eng_comp,check,check_4_TEXT,education,kids,political_ideology,oldest_kid,comments,inclusion,reason,ten_trend,trend,strict,diff,year,rating,participant
11.202,1/16/20 11:29,1/16/20 11:30,IP Address,100,72,TRUE,1/16/20 11:30,R_1GPwXomO9XEKl0J,NA,NA,NA,NA,43.47360229,-112.0201035,anonymous,EN,Kindergarten,5,2,3,4,1,2138,5,3,2,4,1,Eating turkey,4,1,2,3,5,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,23,Male,Hispanic or Latino Origin,English,,Very Good,Other,day,Some college,0,Neither liberal nor conservative,NA,,NA,NA,0,equal,NA,0,2020,4,11
12.202,1/16/20 11:29,1/16/20 11:31,IP Address,100,105,TRUE,1/16/20 11:31,R_2y3dr2O4GpzzE3z,NA,NA,NA,NA,39.69039917,-105.0987015,anonymous,EN,Kindergarten,4,3,1,5,2,2138,1,2,5,3,4,Eating turkey,5,4,3,2,1,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,32,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Somewhat liberal,NA,,NA,NA,0,equal,NA,0,2020,5,12
13.202,1/16/20 11:28,1/16/20 11:31,IP Address,100,150,TRUE,1/16/20 11:31,R_1CrTCAMzT0Zg8Bt,NA,NA,NA,NA,35.72740173,-77.92279816,anonymous,EN,Kindergarten,1,3,2,4,5,2138,5,2,3,4,1,Eating turkey,5,2,4,1,3,I consent to take part in this study,"More kind, honest, nice, good today compared to ten years ago","I think people became more understanding of others' differences and things that were once considered a detriment to someone's character, people are now very sensitive to, such as homosexuality, being a racial minority, etc.",,28,Female,White,English,,Very Good,Other,day,Some graduate school,1,Somewhat liberal,2015,,NA,NA,1,more,NA,1,2020,5,13
14.202,1/16/20 11:30,1/16/20 11:31,IP Address,100,57,TRUE,1/16/20 11:31,R_Xv2bLIy3PhiU57r,NA,NA,NA,NA,42.84060669,-106.2806015,anonymous,EN,Kindergarten,3,1,4,5,2,2138,3,4,5,2,1,Eating turkey,4,1,5,2,3,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,28,Male,White,English,,Very Good,Other,day,Graduate school,0,Very conservative,NA,,NA,NA,0,equal,NA,0,2020,5,14
15.202,1/16/20 11:30,1/16/20 11:32,IP Address,100,105,TRUE,1/16/20 11:32,R_2pKsLP1SjlDpuoD,NA,NA,NA,NA,36.00970459,-115.2148972,anonymous,EN,Kindergarten,5,4,3,2,1,2138,3,4,5,2,1,Eating turkey,5,2,4,1,3,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,Depression and anxiety becoming more rampant in today's culture. People getting angrier as time goes on just in general.,29,Male,White,English,,Very Good,Other,day,Graduate school,0,Neither liberal nor conservative,NA,,NA,NA,-1,less,NA,-1,2020,2,15
16.202,1/16/20 11:28,1/16/20 11:32,IP Address,100,198,TRUE,1/16/20 11:32,R_A4ctE9M39neV1qp,NA,NA,NA,NA,41.60420227,-87.8871994,anonymous,EN,Kindergarten,1,3,4,2,5,2138,2,4,5,1,3,Eating turkey,4,3,1,2,5,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,People are too tied into themselves and self absorbed. Everyone is always on their phones and no one interacts anymore.,36,Male,White,English,,Very Good,Other,day,Graduate school,0,Very conservative,NA,,NA,NA,-2,less,NA,-2,2020,5,16
17.202,1/16/20 11:29,1/16/20 11:32,IP Address,100,194,TRUE,1/16/20 11:32,R_3syx4keivDw5WcH,NA,NA,NA,NA,40.03640747,-75.22190094,anonymous,EN,Kindergarten,5,1,4,2,3,2138,4,3,1,5,2,Eating turkey,4,2,5,1,3,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,42,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Somewhat liberal,NA,,NA,NA,0,equal,NA,0,2020,4,17
18.202,1/16/20 11:29,1/16/20 11:32,IP Address,100,201,TRUE,1/16/20 11:32,R_12DdwNAAbwdMVps,NA,NA,NA,NA,32.66090393,-97.03420258,anonymous,EN,Kindergarten,5,2,4,3,1,2138,1,2,4,5,3,Eating turkey,5,4,2,3,1,I consent to take part in this study,"More kind, honest, nice, good today compared to ten years ago",the way violence is on the rise and deaths in bombings,,31,Male,White,English,,Very Good,Other,day,Associate's degree,1,Somewhat conservative,2018,,NA,NA,1,more,NA,1,2020,6,18
19.202,1/16/20 11:31,1/16/20 11:32,IP Address,100,71,TRUE,1/16/20 11:32,R_3kiWL6rk4bWqhna,NA,NA,NA,NA,36.96890259,-121.9902954,anonymous,EN,Kindergarten,4,5,2,1,3,2138,1,2,5,3,4,Eating turkey,3,5,4,1,2,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,27,Male,White,English,,Very Good,Other,day,Graduate school,0,Somewhat liberal,NA,n/a,NA,NA,0,equal,NA,0,2020,4,19
20.202,1/16/20 11:30,1/16/20 11:32,IP Address,100,115,TRUE,1/16/20 11:32,R_DrigOk0T1tX4v4Z,NA,NA,NA,NA,39.96530151,-83.02349854,anonymous,EN,Kindergarten,1,2,3,4,5,2138,5,1,4,3,2,Eating turkey,4,2,1,3,5,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,35,Male,White,English,,Very Good,Other,day,Some college,0,Very liberal,NA,,NA,NA,0,equal,NA,0,2020,4,20
21.202,1/16/20 11:31,1/16/20 11:33,IP Address,100,83,TRUE,1/16/20 11:33,R_3Db8hYfsaUXRHoy,NA,NA,NA,NA,41.44430542,-71.53170013,anonymous,EN,Kindergarten,1,4,3,2,5,2138,3,4,5,2,1,Eating turkey,2,5,1,4,3,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,36,Male,White,English,,Very Good,Other,day,Some college,0,Very liberal,NA,,NA,NA,0,equal,NA,0,2020,4,21
22.202,1/16/20 11:31,1/16/20 11:33,IP Address,100,94,TRUE,1/16/20 11:33,R_2c5vEtdecrawqoy,NA,NA,NA,NA,28.60350037,-96.62619781,anonymous,EN,Kindergarten,1,2,3,4,5,2138,4,1,3,2,5,Eating turkey,1,2,4,5,3,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,Changes in the world and the way most people my age were raised,28,Male,White,English,,Very Good,Other,day,Four-year college degree,1,Very conservative,2019,,NA,NA,-1,less,NA,-1,2020,5,22
23.202,1/16/20 11:28,1/16/20 11:33,IP Address,100,310,TRUE,1/16/20 11:33,R_W21CDuL2kYDwPQd,NA,NA,NA,NA,42.11860657,-70.95760345,anonymous,EN,Kindergarten,3,4,5,1,2,2138,3,2,4,5,1,Eating turkey,2,4,1,5,3,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,I think a lot of issues have been brought to light from the past to now. An example would probably be unequal wage between men and women where it was true 10 years ago as well but today it's at the forefront of a major issue because people are fighting for it. Health care in the US and just other hot topics are being brought to light. ,29,Male,Asian,English,,Very Good,Other,day,Four-year college degree,0,Somewhat liberal,NA,,NA,NA,-1,less,NA,-1,2020,5,23
24.202,1/16/20 11:33,1/16/20 11:34,IP Address,100,62,TRUE,1/16/20 11:34,R_Ceq8vEi8LC2JzcR,NA,NA,NA,NA,21.28900146,-157.8027954,anonymous,EN,Kindergarten,2,4,5,3,1,2138,1,2,3,4,5,Eating turkey,2,5,1,4,3,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,The focus on self and not others,39,Female,White,English,,Very Good,Other,day,Four-year college degree,0,Very liberal,NA,,NA,NA,-1,less,NA,-1,2020,6,24
25.202,1/16/20 11:33,1/16/20 11:34,IP Address,100,66,TRUE,1/16/20 11:34,R_2U4TEjEsGCoFY70,NA,NA,NA,NA,30.20089722,-93.4437027,anonymous,EN,Kindergarten,2,4,3,1,5,2138,4,1,5,2,3,Eating turkey,4,2,1,5,3,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,The political atmosphere,28,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Somewhat liberal,NA,,NA,NA,-1,less,NA,-1,2020,3,25
26.202,1/16/20 11:31,1/16/20 11:34,IP Address,100,166,TRUE,1/16/20 11:34,R_AgK5KE3dAPe7rBT,NA,NA,NA,NA,33.6026001,-84.47689819,anonymous,EN,Kindergarten,1,3,2,5,4,2138,2,4,5,1,3,Eating turkey,1,4,2,3,5,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,I think a variety of factors. One of which is probably a decline in religion. Another is how isolated we've all become due to technology. ,25,Male,Asian,English,,Very Good,Other,day,Some college,0,Somewhat liberal,NA,,NA,NA,-1,less,NA,-1,2020,4,26
27.202,1/16/20 11:32,1/16/20 11:34,IP Address,100,156,TRUE,1/16/20 11:34,R_2sBOz3gdQCG0OWJ,NA,NA,NA,NA,32.21299744,-110.8279037,anonymous,EN,Kindergarten,4,3,5,1,2,2138,1,4,5,3,2,Eating turkey,1,5,4,3,2,I consent to take part in this study,"More kind, honest, nice, good today compared to ten years ago",I think people have more respect for life in general than 10 years ago.  Could also be generation x.,,32,Male,White,English,,Very Good,Other,day,Graduate school,2,Somewhat conservative,2008,good survey,NA,NA,2,more,NA,2,2020,5,27
28.202,1/16/20 11:33,1/16/20 11:34,IP Address,100,108,TRUE,1/16/20 11:34,R_1gFt9W4LfiqjuXX,NA,NA,NA,NA,33.13710022,-96.74880219,anonymous,EN,Kindergarten,4,3,5,1,2,2138,4,2,3,5,1,Eating turkey,5,3,1,2,4,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,35,Male,White,English,,Very Good,Other,day,Some college,0,Very liberal,NA,,NA,NA,0,equal,NA,0,2020,5,28
29.202,1/16/20 11:33,1/16/20 11:35,IP Address,100,76,TRUE,1/16/20 11:35,R_3ESC8UA0MgadlyZ,NA,NA,NA,NA,30.34710693,-97.76490021,anonymous,EN,Kindergarten,1,2,4,5,3,2138,2,4,5,3,1,Eating turkey,5,2,3,4,1,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,47,Female,White,English,,Very Good,Other,day,Associate's degree,0,Somewhat liberal,NA,,NA,NA,0,equal,NA,0,2020,4,29
30.202,1/16/20 11:33,1/16/20 11:35,IP Address,100,121,TRUE,1/16/20 11:35,R_VUqPX8eHjndxo7D,NA,NA,NA,NA,36.93649292,-84.09010315,anonymous,EN,Kindergarten,4,1,5,2,3,2138,1,5,4,3,2,Eating turkey,5,3,1,4,2,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,"I think people are so busy with their day to day lives that they forget about the people around them. They can be forceful, rude and impolite when associating with those around them.",35,Female,White,English,,Very Good,Other,day,Associate's degree,1,Somewhat liberal,2009,,NA,NA,-2,less,NA,-2,2020,2,30
31.202,1/16/20 11:34,1/16/20 11:35,IP Address,100,90,TRUE,1/16/20 11:35,R_1r3ptbNgk4oBrbE,NA,NA,NA,NA,32.86849976,-97.28630066,anonymous,EN,Kindergarten,3,1,2,4,5,2138,4,1,5,2,3,Eating turkey,4,5,3,1,2,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,internet,31,Male,White,English,,Very Good,Other,day,Graduate school,1,Very conservative,2019,,NA,NA,-1,less,NA,-1,2020,2,31
32.202,1/16/20 11:34,1/16/20 11:36,IP Address,100,80,TRUE,1/16/20 11:36,R_10UEcH73XyZ0Abs,NA,NA,NA,NA,42.55859375,-83.47730255,anonymous,EN,Kindergarten,4,3,5,1,2,2138,4,1,3,2,5,Eating turkey,2,5,1,3,4,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,33,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Somewhat liberal,NA,none,NA,NA,0,equal,NA,0,2020,4,32
33.202,1/16/20 11:33,1/16/20 11:36,IP Address,100,148,TRUE,1/16/20 11:36,R_1jdBoNXwRsFhvYN,NA,NA,NA,NA,41.39590454,-82.00350189,anonymous,EN,Kindergarten,4,2,1,5,3,2138,3,2,1,4,5,Eating turkey,3,1,4,2,5,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,politics has gotten to divide people more now than in the past,38,Female,White,English,,Very Good,Other,day,Four-year college degree,2,Neither liberal nor conservative,2011,none,NA,NA,-1,less,NA,-1,2020,5,33
34.202,1/16/20 11:34,1/16/20 11:36,IP Address,100,83,TRUE,1/16/20 11:36,R_1LIGtt8WnVf8lNV,NA,NA,NA,NA,41.94639587,-86.33889771,anonymous,EN,Kindergarten,2,5,1,3,4,2138,2,3,1,5,4,Eating turkey,3,1,2,5,4,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,45,Female,White,English,,Very Good,Other,day,Four-year college degree,2,Very liberal,2003,"no, thank you",NA,NA,0,equal,NA,0,2020,5,34
35.202,1/16/20 11:33,1/16/20 11:36,IP Address,100,181,TRUE,1/16/20 11:36,R_TnN7dduloUJsYx3,NA,NA,NA,NA,37.69020081,-82.2641983,anonymous,EN,Kindergarten,1,4,2,5,3,2138,2,1,5,3,4,Eating turkey,4,2,1,3,5,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,Greed and economic issues.,53,Female,White,English,,Very Good,Other,day,Some college,2,Very conservative,1992,,NA,NA,-2,less,NA,-2,2020,5,35
36.202,1/16/20 11:32,1/16/20 11:37,IP Address,100,248,TRUE,1/16/20 11:37,R_3HHc1JPbbrkFcdW,NA,NA,NA,NA,36.33399963,-82.34390259,anonymous,EN,Kindergarten,5,4,1,2,3,2138,2,1,3,5,4,Eating turkey,5,2,4,1,3,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,"The inability to interact with other's in a ""face to face"" manner.  The group-think culture combined with being overly sensitive to anything negative makes individuals less likely to be honest in their daily lives.",45,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Somewhat conservative,NA,none,NA,NA,-1,less,NA,-1,2020,4,36
37.202,1/16/20 11:36,1/16/20 11:37,IP Address,100,80,TRUE,1/16/20 11:37,R_3FJTGNyvOBDZ6xM,NA,NA,NA,NA,41.31860352,-72.93019867,anonymous,EN,Kindergarten,1,3,4,2,5,2138,2,3,1,4,5,Eating turkey,4,5,2,1,3,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,28,Male,Black or African-American,English,,Very Good,Other,day,Four-year college degree,0,Neither liberal nor conservative,NA,,NA,NA,0,equal,NA,0,2020,4,37
38.202,1/16/20 11:36,1/16/20 11:38,IP Address,100,113,TRUE,1/16/20 11:38,R_3rOPamXGRGJO137,NA,NA,NA,NA,32.93209839,-97.28340149,anonymous,EN,Kindergarten,2,4,1,5,3,2138,4,1,2,5,3,Eating turkey,1,2,5,3,4,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,31,Female,White,English,,Very Good,Other,day,Four-year college degree,3,Neither liberal nor conservative,2010,,NA,NA,0,equal,NA,0,2020,4,38
39.202,1/16/20 11:33,1/16/20 11:39,IP Address,100,323,TRUE,1/16/20 11:39,R_1EgQdSblhbUVlOi,NA,NA,NA,NA,33.44129944,-112.042099,anonymous,EN,Kindergarten,1,4,2,5,3,2138,1,4,3,5,2,Eating turkey,3,5,4,2,1,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,Because criminal mindedness appears to have grown faster than better attitudes.,36,Male,White,English,,Very Good,Other,day,Four-year college degree,2,Somewhat conservative,2014,,NA,NA,-2,less,NA,-2,2020,3,39
40.202,1/16/20 11:36,1/16/20 11:39,IP Address,100,191,TRUE,1/16/20 11:39,R_33kz4b9ErNUyNTx,NA,NA,NA,NA,39.99079895,-78.52610016,anonymous,EN,Kindergarten,4,3,2,1,5,2138,1,5,2,4,3,Eating turkey,3,1,4,2,5,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,53,Female,White,English,,Very Good,Other,day,High school diploma,0,Somewhat conservative,NA,,NA,NA,0,equal,NA,0,2020,5,40
41.202,1/16/20 11:38,1/16/20 11:39,IP Address,100,67,TRUE,1/16/20 11:39,R_UmwV7eqHttGwgCJ,NA,NA,NA,NA,28.13890076,-82.74980164,anonymous,EN,Kindergarten,2,3,4,5,1,2138,3,5,4,2,1,Eating turkey,1,2,3,4,5,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,32,Male,White,English,,Very Good,Other,day,Some college,1,Very conservative,2012,,NA,NA,0,equal,NA,0,2020,5,41
42.202,1/16/20 11:37,1/16/20 11:39,IP Address,100,137,TRUE,1/16/20 11:39,R_29cwC4CwY9xTaqv,NA,NA,NA,NA,46.99609375,-122.7380981,anonymous,EN,Kindergarten,1,5,2,4,3,2138,3,5,2,1,4,Eating turkey,4,1,3,5,2,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,60,Female,White,English,,Very Good,Other,day,Four-year college degree,2,Somewhat conservative,1980,"none, thank you",NA,NA,0,equal,NA,0,2020,3,42
43.202,1/16/20 11:39,1/16/20 11:40,IP Address,100,64,TRUE,1/16/20 11:40,R_eyPNT6pHYZy8i1r,NA,NA,NA,NA,40.95089722,-90.36579895,anonymous,EN,Kindergarten,3,1,2,5,4,2138,3,2,1,5,4,Eating turkey,2,4,3,5,1,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,31,Male,White,English,,Very Good,Other,day,High school diploma,0,Somewhat liberal,NA,,NA,NA,0,equal,NA,0,2020,5,43
44.202,1/16/20 11:38,1/16/20 11:40,IP Address,100,73,TRUE,1/16/20 11:40,R_3QGHTk3DTeaJLAj,NA,NA,NA,NA,34.8493042,-82.40409851,anonymous,EN,Kindergarten,5,3,2,1,4,2138,4,3,1,2,5,Eating turkey,3,4,2,5,1,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,27,Female,White,English,,Very Good,Other,day,Graduate school,0,Very liberal,NA,,NA,NA,0,equal,NA,0,2020,5,44
45.202,1/16/20 11:36,1/16/20 11:40,IP Address,100,237,TRUE,1/16/20 11:40,R_0GtxPMiynmvl8ZP,NA,NA,NA,NA,42.44709778,-76.48539734,anonymous,EN,Kindergarten,3,5,4,2,1,2138,3,5,4,2,1,Eating turkey,5,1,3,4,2,I consent to take part in this study,"More kind, honest, nice, good today compared to ten years ago","I believe a change in culture occurred, and as a result, our beliefs have been reformed. For example, I believe people today are much more accepting of homosexual marriage than ten years ago. Changes in beliefs like this allow people to be more empathetic and thus more kind, honest, and nice.",,19,Male,Hispanic or Latino Origin,English,,Very Good,Other,day,High school diploma,0,Somewhat conservative,NA,,NA,NA,2,more,NA,2,2020,5,45
46.202,1/16/20 11:40,1/16/20 11:41,IP Address,100,36,TRUE,1/16/20 11:41,R_1DBzjIRyByMilGC,NA,NA,NA,NA,42.04870605,-87.89050293,anonymous,EN,Kindergarten,2,4,5,1,3,2138,3,2,5,1,4,Eating turkey,5,4,1,3,2,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,24,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Very liberal,NA,,NA,NA,0,equal,NA,0,2020,1,46
47.202,1/16/20 11:39,1/16/20 11:42,IP Address,100,182,TRUE,1/16/20 11:42,R_1ifKeC0xWSlb1uq,NA,NA,NA,NA,38.06629944,-122.1654968,anonymous,EN,Kindergarten,3,5,2,1,4,2138,5,2,1,3,4,Eating turkey,4,1,5,2,3,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,32,Male,White,English,,Very Good,Other,day,Associate's degree,0,Somewhat liberal,NA,,NA,NA,0,equal,NA,0,2020,5,47
48.202,1/16/20 11:41,1/16/20 11:42,IP Address,100,58,TRUE,1/16/20 11:42,R_2QnVp6sBVK80zaq,NA,NA,NA,NA,37.75100708,-97.8219986,anonymous,EN,Kindergarten,4,5,3,2,1,2138,3,2,4,5,1,Eating turkey,2,1,4,5,3,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,35,Female,White,English,,Very Good,Other,day,Four-year college degree,0,Neither liberal nor conservative,NA,,NA,NA,0,equal,NA,0,2020,4,48
49.202,1/16/20 11:37,1/16/20 11:42,IP Address,100,296,TRUE,1/16/20 11:42,R_21B4mMSHypFFMEH,NA,NA,NA,NA,37.11610413,-85.26560211,anonymous,EN,Kindergarten,5,3,1,2,4,2138,5,4,3,2,1,Eating turkey,1,5,3,2,4,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,"Today it is a dog eat dog world.  There are still a lot of nice people, but there are the ones who aren't so nice.",72,Female,White,English,,Very Good,Other,day,High school diploma,2,Very conservative,1969,Thank you,NA,NA,-2,less,NA,-2,2020,5,49
50.202,1/16/20 11:42,1/16/20 11:42,IP Address,100,53,TRUE,1/16/20 11:42,R_2CqVs5AzJqVJRuA,NA,NA,NA,NA,33.96749878,-118.1464005,anonymous,EN,Kindergarten,1,3,2,4,5,2138,2,4,5,3,1,Eating turkey,5,3,4,2,1,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,28,Male,Hispanic or Latino Origin,English,,Very Good,Other,day,High school diploma,0,Somewhat liberal,NA,,NA,NA,0,equal,NA,0,2020,1,50
