StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,prolific,footwear,footwear_DO,rsvp,rsvp_DO,elevator,elevator_DO,consent,birth_year,instruct1,instruct2,choice,estimate_1956,estimate_2017,check_1,check_2,age,gender,race,income,check_3,check_3_4_TEXT,education,kids,political_ideology,oldest_kid,comments
9/20/22 14:47,9/20/22 14:50,IP Address,100,201,TRUE,9/20/22 14:50,R_1F9QawtrrGwXe2p,,,,,39.4611,-76.5134,anonymous,EN,614e64473e9073bb219b270d,Bell bottoms,Slippers|High heels|Bell bottoms|Flip-flops|Sneakers,A wedding invitation,A diary|A restaurant bill|A wedding invitation|A thank-you note|A diploma,An elevator,An umbrella|An elevator|A person|A book|A pizza,I consent to take part in this study,1949,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,60,20,The person who chose to COOPERATE got nothing,They both got $30,73,Male,Other,"$95,000 - $150,000",Other,shoe,Some graduate school,2,Very conservative,1982,
9/20/22 14:49,9/20/22 14:53,IP Address,100,186,TRUE,9/20/22 14:53,R_1IBqLDq83ah6hOs,,,,,43.6381,-84.2029,anonymous,EN,5b0481d17ac6e4000107e12a,Bell bottoms,High heels|Bell bottoms|Slippers|Flip-flops|Sneakers,A wedding invitation,A diary|A restaurant bill|A thank-you note|A wedding invitation|A diploma,An elevator,An elevator|An umbrella|A book|A person|A pizza,I consent to take part in this study,1985,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,63,52,The person who chose to COOPERATE got nothing,They both got $30,36,Male,White,"$15,000 - $35,000",Other,shoe,Four-year college degree,0,Very liberal,,none
9/20/22 14:46,9/20/22 14:53,IP Address,100,414,TRUE,9/20/22 14:53,R_30de9HzpLxt6Xbr,,,,,34.0447,-118.2946,anonymous,EN,5c9fe7385aeef10017150a93,Bell bottoms,Sneakers|Slippers|Flip-flops|Bell bottoms|High heels,A wedding invitation,A wedding invitation|A restaurant bill|A diploma|A diary|A thank-you note,An elevator,An elevator|A pizza|A person|A book|An umbrella,I consent to take part in this study,1963,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,70,45,The person who chose to COOPERATE got nothing,They both got $30,59,Female,White,"$35,000 - $55,000",Other,Shoe,Some college,2,Somewhat liberal,1989,
9/20/22 14:49,9/20/22 14:53,IP Address,100,216,TRUE,9/20/22 14:53,R_vSLYDG04TUVvkbL,,,,,33.9339,-117.1851,anonymous,EN,5f49806859401418f7ec6764,Bell bottoms,Bell bottoms|High heels|Flip-flops|Slippers|Sneakers,A wedding invitation,A diary|A thank-you note|A diploma|A wedding invitation|A restaurant bill,An elevator,A book|An elevator|A pizza|A person|An umbrella,I consent to take part in this study,1998,Yes,Yes,I think the percentage of people who chose to cooperate went up between 1956 and 2017,40,60,The person who chose to COOPERATE got nothing,They both got $30,24,Male,Hispanic or Latino Origin,"$55,000 - $75,000",Other,shoe,Four-year college degree,0,Neither liberal nor conservative,,
9/20/22 14:45,9/20/22 14:53,IP Address,100,521,TRUE,9/20/22 14:53,R_29mhcNi1xWAQp65,,,,,33.5226,-86.8033,anonymous,EN,6170286967442d5df0e27c83,Bell bottoms,Flip-flops|Slippers|High heels|Sneakers|Bell bottoms,A wedding invitation,A restaurant bill|A thank-you note|A wedding invitation|A diary|A diploma,An elevator,An elevator|An umbrella|A book|A pizza|A person,I consent to take part in this study,1989,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,70,40,The person who chose to COOPERATE got nothing,They both got $30,32,Female,Black or African-American,"$15,000 - $35,000",Introverted,,Four-year college degree,1,Somewhat conservative,2020,
9/20/22 14:54,9/20/22 14:57,IP Address,100,185,TRUE,9/20/22 14:57,R_UEAMliMwDUx1HW1,,,,,38.7472,-90.7247,anonymous,EN,60d4ae17ee61ee2f8ad2bcc3,Bell bottoms,Slippers|High heels|Sneakers|Bell bottoms|Flip-flops,A wedding invitation,A wedding invitation|A diploma|A thank-you note|A restaurant bill|A diary,An elevator,A person|An elevator|A book|A pizza|An umbrella,I consent to take part in this study,1989,Yes,Yes,I think the percentage of people who chose to cooperate went up between 1956 and 2017,42,61,The person who chose to COOPERATE got nothing,They both got $30,33,Male,White,"$35,000 - $55,000",Other,shoe,Some college,2,Very liberal,2015,
9/20/22 14:56,9/20/22 14:58,IP Address,100,113,TRUE,9/20/22 14:58,R_3PIhnyoUOgHxqF3,,,,,39.7513,-74.9999,anonymous,EN,5e89533c4d3d675e800bfc7c,Bell bottoms,Slippers|Flip-flops|Bell bottoms|High heels|Sneakers,A wedding invitation,A diary|A thank-you note|A restaurant bill|A wedding invitation|A diploma,An elevator,A person|A pizza|An umbrella|An elevator|A book,I consent to take part in this study,1987,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,20,10,The person who chose to COOPERATE got nothing,They both got nothing,35,Male,White,"$15,000 - $35,000",Other,shoe,Four-year college degree,0,Very liberal,,
9/20/22 14:55,9/20/22 14:58,IP Address,100,199,TRUE,9/20/22 14:59,R_1lawzo8GqXAsJqq,,,,,34.1394,-118.266,anonymous,EN,60493e65aba91587246602a2,Bell bottoms,Sneakers|High heels|Slippers|Flip-flops|Bell bottoms,A wedding invitation,A diary|A diploma|A restaurant bill|A wedding invitation|A thank-you note,An elevator,An elevator|A pizza|A person|A book|An umbrella,I consent to take part in this study,1953,Yes,Yes,I think the percentage of people who chose to cooperate stayed the same between 1956 and 2017,65,65,The person who chose to COOPERATE got nothing,They both got $30,68,Male,Hispanic or Latino Origin,"$150,000 - $200,000",Other,shoe,Four-year college degree,3,Somewhat liberal,1977,
9/20/22 14:43,9/20/22 14:59,IP Address,100,915,TRUE,9/20/22 14:59,R_WB9ycOP75BxyDYZ,,,,,41.591,-88.0484,anonymous,EN,6109728bf4643f9d0fcfb033,Bell bottoms,Flip-flops|Sneakers|Slippers|Bell bottoms|High heels,A wedding invitation,A restaurant bill|A diary|A diploma|A thank-you note|A wedding invitation,An elevator,A pizza|An umbrella|A book|A person|An elevator,I consent to take part in this study,2000,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,70,50,Each person got the same amount of money,They both got nothing,22,Female,White,"$55,000 - $75,000",Other,shoe,High school diploma,0,Somewhat conservative,,
9/20/22 14:56,9/20/22 14:59,IP Address,100,205,TRUE,9/20/22 14:59,R_UMX2LAiawxLMIPD,,,,,34.8775,-92.2265,anonymous,EN,5ce4526ccf8db30015ba7187,Bell bottoms,Sneakers|Bell bottoms|Slippers|Flip-flops|High heels,A wedding invitation,A restaurant bill|A wedding invitation|A diary|A diploma|A thank-you note,An elevator,A pizza|A person|An umbrella|An elevator|A book,I consent to take part in this study,1989,Yes,Yes,I think the percentage of people who chose to cooperate went up between 1956 and 2017,60,75,The person who chose to COOPERATE got nothing,They both got $30,32,Male,Hispanic or Latino Origin,"$75,000 - $95,000",Other,Shoe,Four-year college degree,0,Somewhat liberal,,
9/20/22 14:57,9/20/22 14:59,IP Address,100,141,TRUE,9/20/22 14:59,R_22J7rAMX0rhnIEd,,,,,61.0988,-149.8077,anonymous,EN,5d58471ffe8768001a31d33a,Bell bottoms,High heels|Bell bottoms|Flip-flops|Slippers|Sneakers,A wedding invitation,A diary|A wedding invitation|A thank-you note|A diploma|A restaurant bill,An elevator,A book|A pizza|An umbrella|A person|An elevator,I consent to take part in this study,1970,Yes,Yes,I think the percentage of people who chose to cooperate stayed the same between 1956 and 2017,85,85,The person who chose to COOPERATE got nothing,They both got $30,52,Female,White,"$95,000 - $150,000",Other,shoe,Four-year college degree,2,Very liberal,2001,
9/20/22 14:57,9/20/22 15:00,IP Address,100,167,TRUE,9/20/22 15:00,R_3peZeDvF1rbG11s,,,,,29.4213,-98.5313,anonymous,EN,60fcda2818c2d1cdd55a18aa,Bell bottoms,Sneakers|Slippers|Flip-flops|High heels|Bell bottoms,A wedding invitation,A wedding invitation|A diploma|A thank-you note|A restaurant bill|A diary,An elevator,A pizza|A person|An umbrella|An elevator|A book,I consent to take part in this study,2000,Yes,Yes,I think the percentage of people who chose to cooperate went up between 1956 and 2017,37,39,Each person got the same amount of money,They both got $30,22,Female,White,"$75,000 - $95,000",Other,shoe,Four-year college degree,0,Neither liberal nor conservative,,
9/20/22 14:57,9/20/22 15:00,IP Address,100,163,TRUE,9/20/22 15:00,R_3nhZSZtYL9uIJ7R,,,,,30.181,-92.0477,anonymous,EN,5c3d49f6486a390001e87d8e,Bell bottoms,Slippers|Flip-flops|High heels|Bell bottoms|Sneakers,A wedding invitation,A thank-you note|A diploma|A wedding invitation|A restaurant bill|A diary,An elevator,A pizza|A person|An elevator|An umbrella|A book,I consent to take part in this study,1995,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,34,54,The person who chose NOT TO COOPERATE got nothing,They both got nothing,26,Female,White,"$95,000 - $150,000",Other,Shoe,Four-year college degree,0,Neither liberal nor conservative,,
9/20/22 14:56,9/20/22 15:00,IP Address,100,273,TRUE,9/20/22 15:00,R_2EAfbUACElEGzwp,,,,,35.0812,-92.4722,anonymous,EN,60ff2a18526eac6c75f66b52,Bell bottoms,Slippers|Flip-flops|Sneakers|High heels|Bell bottoms,A wedding invitation,A thank-you note|A diary|A diploma|A restaurant bill|A wedding invitation,An elevator,An elevator|An umbrella|A pizza|A book|A person,I consent to take part in this study,2000,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,70,80,The person who chose to COOPERATE got nothing,They both got $30,22,Male,White,"$35,000 - $55,000",Other,shoe,Some college,0,Somewhat liberal,,This was a very well constructed survey.
9/20/22 14:58,9/20/22 15:00,IP Address,100,128,TRUE,9/20/22 15:00,R_6X6sk4STvsgoipH,,,,,39.5177,-87.1238,anonymous,EN,5aaa7ccbf8a57d00010fe4d1,Bell bottoms,Slippers|Flip-flops|Sneakers|High heels|Bell bottoms,A wedding invitation,A thank-you note|A restaurant bill|A diploma|A diary|A wedding invitation,An elevator,A person|A book|An elevator|An umbrella|A pizza,I consent to take part in this study,1991,Yes,Yes,I think the percentage of people who chose to cooperate went up between 1956 and 2017,25,40,The person who chose to COOPERATE got nothing,They both got $30,30,Female,White,"$35,000 - $55,000",Other,shoe,Four-year college degree,0,Somewhat conservative,,
9/20/22 14:54,9/20/22 15:00,IP Address,100,365,TRUE,9/20/22 15:00,R_3Pn0gtUr9BC76Ty,,,,,42.2808,-122.9047,anonymous,EN,5dd8c6e24c97928688acd05d,Bell bottoms,Bell bottoms|Sneakers|High heels|Flip-flops|Slippers,A wedding invitation,A wedding invitation|A diary|A restaurant bill|A thank-you note|A diploma,An elevator,An umbrella|A book|A person|An elevator|A pizza,I consent to take part in this study,1975,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,78,55,The person who chose to COOPERATE got nothing,They both got $30,47,Male,White,"$55,000 - $75,000",Other,shoe,Four-year college degree,2,Very liberal,1999,none
9/20/22 14:58,9/20/22 15:01,IP Address,100,135,TRUE,9/20/22 15:01,R_2ToqnaEbSSeunqd,,,,,38.662,-90.2889,anonymous,EN,5a79f1720f1bce000121ba14,Bell bottoms,Flip-flops|Slippers|Sneakers|High heels|Bell bottoms,A wedding invitation,A wedding invitation|A thank-you note|A restaurant bill|A diary|A diploma,An elevator,A book|An umbrella|A person|An elevator|A pizza,I consent to take part in this study,1989,Yes,Yes,I think the percentage of people who chose to cooperate stayed the same between 1956 and 2017,62,60,The person who chose to COOPERATE got nothing,They both got nothing,33,Female,White,"$95,000 - $150,000",Other,shoe,Graduate school,0,Somewhat liberal,,
9/20/22 14:55,9/20/22 15:01,IP Address,100,309,TRUE,9/20/22 15:01,R_22Vt52T3WEA51n5,,,,,43.5513,-71.02,anonymous,EN,59565b1bbbb52400017ad4e1,Bell bottoms,High heels|Flip-flops|Bell bottoms|Sneakers|Slippers,A wedding invitation,A wedding invitation|A thank-you note|A diary|A diploma|A restaurant bill,An elevator,A pizza|A person|An elevator|A book|An umbrella,I consent to take part in this study,1970,Yes,Yes,I think the percentage of people who chose to cooperate went up between 1956 and 2017,65,80,The person who chose to COOPERATE got nothing,They both got $30,51,Female,White,"less than $15,000",Other,shoe,High school diploma,0,Somewhat conservative,,Thanks and be well!
9/20/22 14:56,9/20/22 15:01,IP Address,100,285,TRUE,9/20/22 15:01,R_2z6emzvzbTcbLnW,,,,,28.6841,-81.2812,anonymous,EN,60e659f8b6b6f5cf8f7ab89b,Bell bottoms,Flip-flops|Bell bottoms|Slippers|High heels|Sneakers,A wedding invitation,A thank-you note|A diary|A diploma|A restaurant bill|A wedding invitation,An elevator,A book|An umbrella|A person|An elevator|A pizza,I consent to take part in this study,2001,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,70,40,The person who chose to COOPERATE got nothing,They both got $30,21,Female,White,"$35,000 - $55,000",Other,shoe,Some college,0,Somewhat conservative,,
9/20/22 14:56,9/20/22 15:01,IP Address,100,309,TRUE,9/20/22 15:01,R_3emqpQYkrtypTis,,,,,32.3546,-86.2629,anonymous,EN,5ac6e74f9534ba0001c756d5,Bell bottoms,Flip-flops|Bell bottoms|High heels|Sneakers|Slippers,A wedding invitation,A diploma|A diary|A wedding invitation|A thank-you note|A restaurant bill,An elevator,A book|A person|A pizza|An umbrella|An elevator,I consent to take part in this study,1985,Yes,Yes,I think the percentage of people who chose to cooperate stayed the same between 1956 and 2017,70,70,The person who chose to COOPERATE got nothing,They both got $30,37,Female,White,"$35,000 - $55,000",Other,shoe,Four-year college degree,1,Somewhat liberal,2007,
9/20/22 14:59,9/20/22 15:01,IP Address,100,156,TRUE,9/20/22 15:01,R_sv65S6dQnu9NYeB,,,,,29.8973,-95.6463,anonymous,EN,5f504261fc46741bfbeb8240,Bell bottoms,Slippers|Flip-flops|Bell bottoms|Sneakers|High heels,A diary,A diploma|A restaurant bill|A thank-you note|A diary|A wedding invitation,An elevator,A book|A pizza|An umbrella|An elevator|A person,I consent to take part in this study,2000,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,75,69,The person who chose to COOPERATE got nothing,They both got $30,21,Male,Asian,"$55,000 - $75,000",Other,shoe,Some college,0,Neither liberal nor conservative,,
9/20/22 14:59,9/20/22 15:02,IP Address,100,144,TRUE,9/20/22 15:02,R_21bHT2KgKvsFoDs,,,,,47.1112,-122.5897,anonymous,EN,61006914011a580d835d661a,Bell bottoms,High heels|Sneakers|Bell bottoms|Slippers|Flip-flops,A wedding invitation,A thank-you note|A wedding invitation|A restaurant bill|A diary|A diploma,An elevator,A pizza|A book|An umbrella|An elevator|A person,I consent to take part in this study,2002,Yes,Yes,I think the percentage of people who chose to cooperate went up between 1956 and 2017,47,63,The person who chose to COOPERATE got nothing,They both got $30,20,Female,Hispanic or Latino Origin,"less than $15,000",Other,shoe,Some college,0,Neither liberal nor conservative,,No thank you :)
9/20/22 14:59,9/20/22 15:02,IP Address,100,198,TRUE,9/20/22 15:02,R_upM5gItN9eAW93P,,,,,21.4254,-157.8138,anonymous,EN,5ec195df3f2aec276ff0bf33,Bell bottoms,Bell bottoms|Slippers|Sneakers|Flip-flops|High heels,A wedding invitation,A wedding invitation|A thank-you note|A restaurant bill|A diploma|A diary,An elevator,A person|A pizza|An umbrella|A book|An elevator,I consent to take part in this study,1950,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,90,80,Each person got the same amount of money,They both got $30,72,Female,White,"$75,000 - $95,000",Other,shoe,Four-year college degree,3,Very liberal,1969,
9/20/22 14:58,9/20/22 15:02,IP Address,100,236,TRUE,9/20/22 15:02,R_2qgGgRZ6KIKyXB1,,,,,39.9581,-82.8068,anonymous,EN,5e32cbad3db17e2868d1f41e,Bell bottoms,Bell bottoms|High heels|Flip-flops|Sneakers|Slippers,A wedding invitation,A thank-you note|A restaurant bill|A diary|A wedding invitation|A diploma,An elevator,An elevator|A person|An umbrella|A book|A pizza,I consent to take part in this study,1984,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,78,53,The person who chose to COOPERATE got nothing,They both got $30,38,Male,White,"$75,000 - $95,000",Other,shoe,Associate's degree,3,Somewhat liberal,2010,
9/20/22 14:58,9/20/22 15:02,IP Address,100,277,TRUE,9/20/22 15:02,R_2Qzk8VmVUyycbg2,,,,,41.1893,-74.0432,anonymous,EN,5e4915503f7dd939f72a73f8,Bell bottoms,Bell bottoms|Slippers|Flip-flops|Sneakers|High heels,A wedding invitation,A wedding invitation|A restaurant bill|A diary|A diploma|A thank-you note,An elevator,An elevator|A pizza|A book|A person|An umbrella,I consent to take part in this study,1957,Yes,Yes,I think the percentage of people who chose to cooperate went up between 1956 and 2017,70,75,The person who chose to COOPERATE got nothing,They both got $30,65,Female,White,"$200,000+",Other,shoe,Four-year college degree,3,Very conservative,1987,
9/20/22 15:00,9/20/22 15:02,IP Address,100,164,TRUE,9/20/22 15:02,R_1rvOqTGSzSfE1sm,,,,,33.2821,-96.5703,anonymous,EN,60131babd3a5ad18ed8b15a3,Bell bottoms,High heels|Bell bottoms|Slippers|Sneakers|Flip-flops,A wedding invitation,A thank-you note|A diploma|A restaurant bill|A wedding invitation|A diary,An elevator,An umbrella|An elevator|A person|A book|A pizza,I consent to take part in this study,2000,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,60,50,The person who chose to COOPERATE got nothing,They both got $30,22,Female,White,"$95,000 - $150,000",Other,shoe,Associate's degree,0,Somewhat liberal,,
9/20/22 14:57,9/20/22 15:02,IP Address,100,310,TRUE,9/20/22 15:02,R_1I6EgRUXJxGVUMT,,,,,29.7502,-95.471,anonymous,EN,5ebca8441a2b811012a6d659,Bell bottoms,High heels|Flip-flops|Bell bottoms|Slippers|Sneakers,A wedding invitation,A thank-you note|A diploma|A restaurant bill|A wedding invitation|A diary,An elevator,An umbrella|An elevator|A person|A pizza|A book,I consent to take part in this study,1999,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,70,40,The person who chose to COOPERATE got nothing,They both got $30,23,Male,More than 1 of the above,"$95,000 - $150,000",Other,shoe,Four-year college degree,0,Somewhat liberal,,
9/20/22 15:00,9/20/22 15:02,IP Address,100,165,TRUE,9/20/22 15:02,R_2Blp6oBnjGlcDEs,,,,,39.109,-77.2489,anonymous,EN,610b57f552e3982da159f85f,Bell bottoms,Slippers|High heels|Sneakers|Bell bottoms|Flip-flops,A wedding invitation,A wedding invitation|A restaurant bill|A diploma|A thank-you note|A diary,An elevator,An elevator|A book|A person|A pizza|An umbrella,I consent to take part in this study,2000,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,70,55,The person who chose to COOPERATE got nothing,They both got $30,22,Female,White,"$35,000 - $55,000",Other,shoe,Four-year college degree,0,Very liberal,,
9/20/22 14:59,9/20/22 15:03,IP Address,100,212,TRUE,9/20/22 15:03,R_Y6mSiVxmFmo36et,,,,,34.024,-84.2396,anonymous,EN,60ff07c07d90ea3422892eeb,Bell bottoms,Slippers|Sneakers|Flip-flops|High heels|Bell bottoms,A wedding invitation,A restaurant bill|A diploma|A diary|A wedding invitation|A thank-you note,An elevator,A person|An umbrella|An elevator|A book|A pizza,I consent to take part in this study,1998,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,80,50,The person who chose to COOPERATE got nothing,They both got $30,24,Female,White,"$55,000 - $75,000",Introverted,,High school diploma,0,Somewhat conservative,,
