,Source,Question,Response options,Years,N,b,R2,% of 89% HDI in ROPE,data_source
15,World Values Survey,"Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair?","1 = most people try to take advantage of me, 10 = most people try to be fair",1981-2018 (but varies by country),53007,0.02,0.0009,100,https://www.worldvaluessurvey.org/wvs.jsp
16,European Social Survey,"All rounds: Using this card, generally speaking, would you say that most people can be trusted, or that you can't be too careful in dealing with people? Please tell me on a score of 0 to 10, where 0 means you can't be too careful and 10 means that most people can be trusted.","0 = you can't be too careful, 10 = most people can be trusted",2002-2018 (but varies by country),421379,0.02,0.0002,100,https://www.europeansocialsurvey.org/
17,European Social Survey,Have you or a member of your household been the victim of a burglary or assault in the last 5 years?,"1 = yes, 2 = no",2002-2018 (but varies by country),421416,0.004,0.00009,100,https://www.europeansocialsurvey.org/
18,European Social Survey,"All rounds: Using this card, do you think that most people would try to take advantage of you if they got the chance, or would they try to be fair?","0 = most people try to take advantage of me, 10 = most people try to be fair",2002-2018 (but varies by country),418880,0.01,0.00008,100,https://www.europeansocialsurvey.org/
19,European Social Survey,Most of the time people helpful or mostly looking out for themselves,"0 = people mostly look out for themselves, 10 = people mostly try to be helpful",2002-2018 (but varies by country),92774,0.04,0.0008,100,https://www.europeansocialsurvey.org/
20,European Social Survey,All rounds: How safe do you - or would you - feel walking alone in this area after dark? ,"1 = all or most of the time, 2 = some of the time, 3 = just occasionally, 4 = never",2002-2018 (but varies by country),418124,-0.03,0.002,100,https://www.europeansocialsurvey.org/
21,European Social Survey,"How often, if at all, do you worry about your home being burgled?","1 = all or most of the time, 2 = some of the time, 3 = just occasionally, 4 = never",2002-2018 (but varies by country),148663,-0.01,0.00004,100,https://www.europeansocialsurvey.org/
22,European Social Survey,How often worry about becoming a victim of violent crime,"1 = all or most of the time, 2 = some of the time, 3 = just occasionally, 4 = never",2002-2018 (but varies by country),148112,-0.01,0.00002,100,https://www.europeansocialsurvey.org/
23,European Social Survey,Now I will briefly describe some people. Please listen to each description and tell me how much each person is or is not like you. Use this card for your answer. She/he thinks it is important that every person in the world should be treated equally. She/he believes everyone should have equal opportunities in life.,"1 = very much like me, 2 = like me, 3 = somewhat like me, 4 = a little like me, 5 = not like me, 6 = not like me at all",2002-2018 (but varies by country),407185,-0.005,0.00006,100,https://www.europeansocialsurvey.org/
24,European Social Survey,"Now I will briefly describe some people. Please listen to each description and tell me how much each person is or is not like you. Use this card for your answer. It is important to her/him to listen to people who are different from her/him. Even when she/he disagrees with them, she/he still wants to understand them.","1 = very much like me, 2 = like me, 3 = somewhat like me, 4 = a little like me, 5 = not like me, 6 = not like me at all",2002-2018 (but varies by country),406259,-0.02,0.0008,100,https://www.europeansocialsurvey.org/
25,European Social Survey,Now I will briefly describe some people. Please listen to each description and tell me how much each person is or is not like you. Use this card for your answer. It's very important to her/him to help the people around her/him. She/he wants to care for their well-being.,"1 = very much like me, 2 = like me, 3 = somewhat like me, 4 = a little like me, 5 = not like me, 6 = not like me at all",2002-2018 (but varies by country),407386,-0.04,0.003,100,https://www.europeansocialsurvey.org/
26,European Social Survey,"Using this card, please tell me to what extent... ...you feel that people in your local area help one another?",0 (not at all) - 6 (a great deal),2002-2018 (but varies by country),407185,0.05,0.001,100,https://www.europeansocialsurvey.org/
27,European Social Survey,"Using this card, please tell me to what extent... ...you feel that people treat you with respect?",0 (not at all) - 6 (a great deal),2002-2018 (but varies by country),93558,-0.02,0.00004,100,https://www.europeansocialsurvey.org/
28,European Values Survey,"Here is a list of qualities which children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people",[participants could choose the quality from the list or not],1981-2017 (but varies by country),180972,0.004,0.006,100,https://europeanvaluesstudy.eu/
29,European Values Survey,"Here is a list of qualities which children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Unselfishness",[participants could choose the quality from the list or not],1981-2017 (but varies by country),179125,0.003,0.003,100,https://europeanvaluesstudy.eu/
30,European Values Survey,"Please look carefully at the following list of voluntary organisations and activities and say ... b) which, if any, are you currently doing unpaid voluntary work for? Social welfare services for elderly, handicapped or deprived people","[participants could indicate they currently do unpaid work, or not]",1981-2017 (but varies by country),122756,-0.0002,0.00007,100,https://europeanvaluesstudy.eu/
31,European Values Survey,"Please look carefully at the following list of voluntary organisations and activities and say ... b) which, if any, are you currently doing unpaid voluntary work for? And do you currently do any unpaid work for any of them? Third world development or human rights","[participants could indicate they currently do unpaid work, or not]",1981-2017 (but varies by country),122661,0.005,0.001,100,https://europeanvaluesstudy.eu/
32,European Values Survey,"Generally speaking, would you say that most people can be trusted or that you can't be too careful in dealing with people?","Most people can be trusted (recoded as 1), can't be too careful (recoded as 0)",1981-2017 (but varies by country),178714,0.002,0.001,100,https://europeanvaluesstudy.eu/
33,European Values Survey,Here are some aspects of a job that people say are important. Please look at them and tell me which ones you personally think are important in a job? A useful job for society,[participants could choose the quality from the list or not],1981-2017 (but varies by country),163278,-0.0002,0.00001,100,https://europeanvaluesstudy.eu/
