StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,kindergarten,kindergarten_DO_1,kindergarten_DO_2,kindergarten_DO_3,kindergarten_DO_4,kindergarten_DO_5,zip,zip_DO_1,zip_DO_2,zip_DO_3,zip_DO_4,zip_DO_5,turkey,turkey_DO_1,turkey_DO_2,turkey_DO_3,turkey_DO_4,turkey_DO_5,consent,today,2018,2016,2014,2012,2010,manip_check,explain_more,explain_less,age,gender,race,language,language_2_TEXT,eng_comp,check,check_4_TEXT,education,kids,political_ideology,oldest_kid,comments
1/16/20 11:28,1/16/20 11:30,IP Address,100,102,TRUE,1/16/20 11:30,R_3PbjEgRlNdgZZQV,,,,,35.98539734,-115.1193008,anonymous,EN,Kindergarten,5,4,1,2,3,2138,2,5,1,4,3,Eating turkey,2,4,3,5,1,I consent to take part in this study,4,5,5,4,4,4,"Equally kind, honest, nice, good today and ten years ago",,,37,Female,White,English,,Very Good,Other,day,Some college,0,Very liberal,,
1/16/20 11:28,1/16/20 11:30,IP Address,100,120,TRUE,1/16/20 11:30,R_BXG9hwzX0kX7O4F,,,,,27.97860718,-82.70149994,anonymous,EN,Kindergarten,1,2,5,3,4,2138,1,3,4,2,5,Eating turkey,2,4,5,3,1,I consent to take part in this study,5,5,5,5,5,5,"Equally kind, honest, nice, good today and ten years ago",,,62,Male,White,English,,Very Good,Other,day,Four-year college degree,3,Neither liberal nor conservative,1982,Interesting topic.
1/16/20 11:28,1/16/20 11:30,IP Address,100,119,TRUE,1/16/20 11:30,R_32WmqTyFGIkGtmw,,,,,36.5052948,-84.52929688,anonymous,EN,Kindergarten,1,2,3,5,4,2138,3,1,5,2,4,Eating turkey,1,4,2,5,3,I consent to take part in this study,5,5,5,5,5,5,"Less kind, honest, nice, good today compared to ten years ago",,I think the current political scene and the internet has caused people to think only about their own interests. ,35,Female,White,English,,Very Good,Other,day,Some graduate school,4+,Very liberal,2008,
1/16/20 11:29,1/16/20 11:30,IP Address,100,72,TRUE,1/16/20 11:30,R_1GPwXomO9XEKl0J,,,,,43.47360229,-112.0201035,anonymous,EN,Kindergarten,5,2,3,4,1,2138,5,3,2,4,1,Eating turkey,4,1,2,3,5,I consent to take part in this study,4,4,4,4,4,4,"Equally kind, honest, nice, good today and ten years ago",,,23,Male,Hispanic or Latino Origin,English,,Very Good,Other,day,Some college,0,Neither liberal nor conservative,,
1/16/20 11:29,1/16/20 11:31,IP Address,100,105,TRUE,1/16/20 11:31,R_2y3dr2O4GpzzE3z,,,,,39.69039917,-105.0987015,anonymous,EN,Kindergarten,4,3,1,5,2,2138,1,2,5,3,4,Eating turkey,5,4,3,2,1,I consent to take part in this study,5,6,6,6,6,5,"Equally kind, honest, nice, good today and ten years ago",,,32,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Somewhat liberal,,
1/16/20 11:29,1/16/20 11:31,IP Address,100,98,TRUE,1/16/20 11:31,R_3JDSAOQjrqOKc1O,,,,,26.01620483,-80.19550323,anonymous,EN,Kindergarten,3,5,4,2,1,2138,4,5,3,2,1,Eating turkey,3,2,5,4,1,I consent to take part in this study,4,4,4,4,4,5,"Equally kind, honest, nice, good today and ten years ago",,,36,Male,Asian,English,,Very Good,Other,day,High school diploma,0,Somewhat liberal,,
1/16/20 11:28,1/16/20 11:31,IP Address,100,150,TRUE,1/16/20 11:31,R_1CrTCAMzT0Zg8Bt,,,,,35.72740173,-77.92279816,anonymous,EN,Kindergarten,1,3,2,4,5,2138,5,2,3,4,1,Eating turkey,5,2,4,1,3,I consent to take part in this study,5,5,5,4,4,4,"More kind, honest, nice, good today compared to ten years ago","I think people became more understanding of others' differences and things that were once considered a detriment to someone's character, people are now very sensitive to, such as homosexuality, being a racial minority, etc.",,28,Female,White,English,,Very Good,Other,day,Some graduate school,1,Somewhat liberal,2015,
1/16/20 11:30,1/16/20 11:31,IP Address,100,57,TRUE,1/16/20 11:31,R_Xv2bLIy3PhiU57r,,,,,42.84060669,-106.2806015,anonymous,EN,Kindergarten,3,1,4,5,2,2138,3,4,5,2,1,Eating turkey,4,1,5,2,3,I consent to take part in this study,5,5,6,5,5,5,"Equally kind, honest, nice, good today and ten years ago",,,28,Male,White,English,,Very Good,Other,day,Graduate school,0,Very conservative,,
1/16/20 11:30,1/16/20 11:32,IP Address,100,66,TRUE,1/16/20 11:32,R_1Fu37a6p4oppRDR,,,,,47.60920715,-122.3314056,anonymous,EN,Third grade,2,3,1,5,4,2138,5,4,1,2,3,Trick-or-treating,3,2,5,4,1,,,,,,,,,,,,,,,,,,,,,,,
1/16/20 11:30,1/16/20 11:32,IP Address,100,105,TRUE,1/16/20 11:32,R_2pKsLP1SjlDpuoD,,,,,36.00970459,-115.2148972,anonymous,EN,Kindergarten,5,4,3,2,1,2138,3,4,5,2,1,Eating turkey,5,2,4,1,3,I consent to take part in this study,2,2,2,2,2,3,"Less kind, honest, nice, good today compared to ten years ago",,Depression and anxiety becoming more rampant in today's culture. People getting angrier as time goes on just in general.,29,Male,White,English,,Very Good,Other,day,Graduate school,0,Neither liberal nor conservative,,
1/16/20 11:28,1/16/20 11:32,IP Address,100,198,TRUE,1/16/20 11:32,R_A4ctE9M39neV1qp,,,,,41.60420227,-87.8871994,anonymous,EN,Kindergarten,1,3,4,2,5,2138,2,4,5,1,3,Eating turkey,4,3,1,2,5,I consent to take part in this study,5,6,6,6,6,7 (very),"Less kind, honest, nice, good today compared to ten years ago",,People are too tied into themselves and self absorbed. Everyone is always on their phones and no one interacts anymore.,36,Male,White,English,,Very Good,Other,day,Graduate school,0,Very conservative,,
1/16/20 11:29,1/16/20 11:32,IP Address,100,194,TRUE,1/16/20 11:32,R_3syx4keivDw5WcH,,,,,40.03640747,-75.22190094,anonymous,EN,Kindergarten,5,1,4,2,3,2138,4,3,1,5,2,Eating turkey,4,2,5,1,3,I consent to take part in this study,4,4,4,4,4,4,"Equally kind, honest, nice, good today and ten years ago",,,42,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Somewhat liberal,,
1/16/20 11:29,1/16/20 11:32,IP Address,100,199,TRUE,1/16/20 11:32,R_2h1drAcQZ76y3jb,,,,,28.36369324,-82.67590332,anonymous,EN,Kindergarten,3,2,4,1,5,2138,1,4,3,2,5,Eating turkey,4,1,3,5,2,I consent to take part in this study,4,3,5,5,5,4,"Less kind, honest, nice, good today compared to ten years ago",,I think the political division in the country has caused people to generally distrust others. There is tension among people which is causing them to be less kind or willing to help others.,37,Female,White,English,,Very Good,Other,day,High school diploma,3,Very liberal,2004,
1/16/20 11:29,1/16/20 11:32,IP Address,100,201,TRUE,1/16/20 11:32,R_12DdwNAAbwdMVps,,,,,32.66090393,-97.03420258,anonymous,EN,Kindergarten,5,2,4,3,1,2138,1,2,4,5,3,Eating turkey,5,4,2,3,1,I consent to take part in this study,6,6,5,5,4,5,"More kind, honest, nice, good today compared to ten years ago",the way violence is on the rise and deaths in bombings,,31,Male,White,English,,Very Good,Other,day,Associate's degree,1,Somewhat conservative,2018,
1/16/20 11:31,1/16/20 11:32,IP Address,100,71,TRUE,1/16/20 11:32,R_3kiWL6rk4bWqhna,,,,,36.96890259,-121.9902954,anonymous,EN,Kindergarten,4,5,2,1,3,2138,1,2,5,3,4,Eating turkey,3,5,4,1,2,I consent to take part in this study,4,4,4,4,4,4,"Equally kind, honest, nice, good today and ten years ago",,,27,Male,White,English,,Very Good,Other,day,Graduate school,0,Somewhat liberal,,n/a
1/16/20 11:30,1/16/20 11:32,IP Address,100,141,TRUE,1/16/20 11:32,R_1GTShViBt7Yylyv,,,,,42.4499054,-74.68710327,anonymous,EN,Kindergarten,1,4,3,2,5,2138,2,1,4,3,5,Eating turkey,4,3,1,5,2,I consent to take part in this study,4,5,5,5,4,5,"More kind, honest, nice, good today compared to ten years ago",I took mushrooms,,34,Male,Black or African-American,English,,Fair,Other,day,Some college,4+,Somewhat conservative,2014,
1/16/20 11:28,1/16/20 11:32,IP Address,100,226,TRUE,1/16/20 11:32,R_2xRSAju8d6fLx7O,,,,,36.59629822,-94.75630188,anonymous,EN,Kindergarten,4,5,1,2,3,2138,4,1,3,5,2,Eating turkey,2,1,4,3,5,I consent to take part in this study,4,4,4,4,4,4,"Less kind, honest, nice, good today compared to ten years ago",,It seems people are more self absorbed today than ten years ago. People today are not as giving and definitely not as honest.,66,Female,More than 1 of the above,English,,Very Good,Other,day,Associate's degree,3,Somewhat conservative,1972,
1/16/20 11:30,1/16/20 11:32,IP Address,100,115,TRUE,1/16/20 11:32,R_DrigOk0T1tX4v4Z,,,,,39.96530151,-83.02349854,anonymous,EN,Kindergarten,1,2,3,4,5,2138,5,1,4,3,2,Eating turkey,4,2,1,3,5,I consent to take part in this study,4,4,4,5,5,4,"Equally kind, honest, nice, good today and ten years ago",,,35,Male,White,English,,Very Good,Other,day,Some college,0,Very liberal,,
1/16/20 11:31,1/16/20 11:33,IP Address,100,83,TRUE,1/16/20 11:33,R_3Db8hYfsaUXRHoy,,,,,41.44430542,-71.53170013,anonymous,EN,Kindergarten,1,4,3,2,5,2138,3,4,5,2,1,Eating turkey,2,5,1,4,3,I consent to take part in this study,4,4,4,4,4,4,"Equally kind, honest, nice, good today and ten years ago",,,36,Male,White,English,,Very Good,Other,day,Some college,0,Very liberal,,
1/16/20 11:31,1/16/20 11:33,IP Address,100,94,TRUE,1/16/20 11:33,R_2c5vEtdecrawqoy,,,,,28.60350037,-96.62619781,anonymous,EN,Kindergarten,1,2,3,4,5,2138,4,1,3,2,5,Eating turkey,1,2,4,5,3,I consent to take part in this study,5,5,5,6,6,6,"Less kind, honest, nice, good today compared to ten years ago",,Changes in the world and the way most people my age were raised,28,Male,White,English,,Very Good,Other,day,Four-year college degree,1,Very conservative,2019,
1/16/20 11:32,1/16/20 11:33,IP Address,100,91,TRUE,1/16/20 11:33,R_tKflTICyKPT0CtP,,,,,36.6434021,-76.24199677,anonymous,EN,Kindergarten,4,2,5,1,3,2138,4,5,3,2,1,Eating turkey,3,5,4,2,1,I consent to take part in this study,5,5,5,5,5,6,"Equally kind, honest, nice, good today and ten years ago",,,34,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Somewhat liberal,,
1/16/20 11:28,1/16/20 11:33,IP Address,100,310,TRUE,1/16/20 11:33,R_W21CDuL2kYDwPQd,,,,,42.11860657,-70.95760345,anonymous,EN,Kindergarten,3,4,5,1,2,2138,3,2,4,5,1,Eating turkey,2,4,1,5,3,I consent to take part in this study,5,5,5,5,6,6,"Less kind, honest, nice, good today compared to ten years ago",,I think a lot of issues have been brought to light from the past to now. An example would probably be unequal wage between men and women where it was true 10 years ago as well but today it's at the forefront of a major issue because people are fighting for it. Health care in the US and just other hot topics are being brought to light. ,29,Male,Asian,English,,Very Good,Other,day,Four-year college degree,0,Somewhat liberal,,
1/16/20 11:32,1/16/20 11:34,IP Address,100,97,TRUE,1/16/20 11:34,R_3qU5uQKzYX3IDVU,,,,,47.60920715,-122.3314056,anonymous,EN,Kindergarten,1,4,5,2,3,2138,2,1,5,4,3,Pumpkins,4,2,5,3,1,,,,,,,,,,,,,,,,,,,,,,,
1/16/20 11:33,1/16/20 11:34,IP Address,100,62,TRUE,1/16/20 11:34,R_Ceq8vEi8LC2JzcR,,,,,21.28900146,-157.8027954,anonymous,EN,Kindergarten,2,4,5,3,1,2138,1,2,3,4,5,Eating turkey,2,5,1,4,3,I consent to take part in this study,6,6,6,6,6,7 (very),"Less kind, honest, nice, good today compared to ten years ago",,The focus on self and not others,39,Female,White,English,,Very Good,Other,day,Four-year college degree,0,Very liberal,,
1/16/20 11:33,1/16/20 11:34,IP Address,100,66,TRUE,1/16/20 11:34,R_2U4TEjEsGCoFY70,,,,,30.20089722,-93.4437027,anonymous,EN,Kindergarten,2,4,3,1,5,2138,4,1,5,2,3,Eating turkey,4,2,1,5,3,I consent to take part in this study,3,3,3,4,4,4,"Less kind, honest, nice, good today compared to ten years ago",,The political atmosphere,28,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Somewhat liberal,,
1/16/20 11:31,1/16/20 11:34,IP Address,100,166,TRUE,1/16/20 11:34,R_AgK5KE3dAPe7rBT,,,,,33.6026001,-84.47689819,anonymous,EN,Kindergarten,1,3,2,5,4,2138,2,4,5,1,3,Eating turkey,1,4,2,3,5,I consent to take part in this study,4,4,5,5,5,5,"Less kind, honest, nice, good today compared to ten years ago",,I think a variety of factors. One of which is probably a decline in religion. Another is how isolated we've all become due to technology. ,25,Male,Asian,English,,Very Good,Other,day,Some college,0,Somewhat liberal,,
1/16/20 11:34,1/16/20 11:34,IP Address,100,14,TRUE,1/16/20 11:34,R_3it1h0iAvqwOzo4,,,,,47.60920715,-122.3314056,anonymous,EN,Kindergarten,1,3,5,2,4,2138,1,4,2,3,5,Ghosts,5,1,4,2,3,,,,,,,,,,,,,,,,,,,,,,,
1/16/20 11:29,1/16/20 11:34,IP Address,100,279,TRUE,1/16/20 11:34,R_pcM0EI7XxccKlah,,,,,39.75010681,-104.995697,anonymous,EN,Kindergarten,5,1,4,2,3,19,4,2,3,5,1,Costumes,5,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,
1/16/20 11:32,1/16/20 11:34,IP Address,100,156,TRUE,1/16/20 11:34,R_2sBOz3gdQCG0OWJ,,,,,32.21299744,-110.8279037,anonymous,EN,Kindergarten,4,3,5,1,2,2138,1,4,5,3,2,Eating turkey,1,5,4,3,2,I consent to take part in this study,5,4,4,4,3,3,"More kind, honest, nice, good today compared to ten years ago",I think people have more respect for life in general than 10 years ago.  Could also be generation x.,,32,Male,White,English,,Very Good,Other,day,Graduate school,2,Somewhat conservative,2008,good survey
1/16/20 11:33,1/16/20 11:34,IP Address,100,108,TRUE,1/16/20 11:34,R_1gFt9W4LfiqjuXX,,,,,33.13710022,-96.74880219,anonymous,EN,Kindergarten,4,3,5,1,2,2138,4,2,3,5,1,Eating turkey,5,3,1,2,4,I consent to take part in this study,5,5,5,5,5,5,"Equally kind, honest, nice, good today and ten years ago",,,35,Male,White,English,,Very Good,Other,day,Some college,0,Very liberal,,
1/16/20 11:33,1/16/20 11:35,IP Address,100,76,TRUE,1/16/20 11:35,R_3ESC8UA0MgadlyZ,,,,,30.34710693,-97.76490021,anonymous,EN,Kindergarten,1,2,4,5,3,2138,2,4,5,3,1,Eating turkey,5,2,3,4,1,I consent to take part in this study,4,4,4,4,4,4,"Equally kind, honest, nice, good today and ten years ago",,,47,Female,White,English,,Very Good,Other,day,Associate's degree,0,Somewhat liberal,,
1/16/20 11:34,1/16/20 11:35,IP Address,100,32,TRUE,1/16/20 11:35,R_5iiBmb0i2J9eIzT,,,,,47.60920715,-122.3314056,anonymous,EN,Kindergarten,4,1,2,3,5,2138,2,4,5,3,1,Pumpkins,3,2,5,1,4,,,,,,,,,,,,,,,,,,,,,,,
1/16/20 11:33,1/16/20 11:35,IP Address,100,109,TRUE,1/16/20 11:35,R_5BdFw79EvJN66dz,,,,,25.88200378,-80.22910309,anonymous,EN,Kindergarten,1,3,4,2,5,2138,2,4,5,1,3,Eating turkey,3,1,4,5,2,I consent to take part in this study,6,5,4,5,6,7 (very),"Equally kind, honest, nice, good today and ten years ago",,,29,Male,Hispanic or Latino Origin,English,,Very Good,Other,day,Four-year college degree,0,Somewhat liberal,,God bless and good luck!
1/16/20 11:33,1/16/20 11:35,IP Address,100,121,TRUE,1/16/20 11:35,R_VUqPX8eHjndxo7D,,,,,36.93649292,-84.09010315,anonymous,EN,Kindergarten,4,1,5,2,3,2138,1,5,4,3,2,Eating turkey,5,3,1,4,2,I consent to take part in this study,2,2,2,3,3,4,"Less kind, honest, nice, good today compared to ten years ago",,"I think people are so busy with their day to day lives that they forget about the people around them. They can be forceful, rude and impolite when associating with those around them.",35,Female,White,English,,Very Good,Other,day,Associate's degree,1,Somewhat liberal,2009,
1/16/20 11:34,1/16/20 11:35,IP Address,100,90,TRUE,1/16/20 11:35,R_1r3ptbNgk4oBrbE,,,,,32.86849976,-97.28630066,anonymous,EN,Kindergarten,3,1,2,4,5,2138,4,1,5,2,3,Eating turkey,4,5,3,1,2,I consent to take part in this study,2,2,2,2,2,3,"Less kind, honest, nice, good today compared to ten years ago",,internet,31,Male,White,English,,Very Good,Other,day,Graduate school,1,Very conservative,2019,
1/16/20 11:35,1/16/20 11:35,IP Address,100,29,TRUE,1/16/20 11:35,R_2zewlBgk3pU2PWd,,,,,47.60920715,-122.3314056,anonymous,EN,Kindergarten,5,2,3,1,4,2138,4,2,1,5,3,Costumes,3,1,5,2,4,,,,,,,,,,,,,,,,,,,,,,,
1/16/20 11:34,1/16/20 11:36,IP Address,100,80,TRUE,1/16/20 11:36,R_10UEcH73XyZ0Abs,,,,,42.55859375,-83.47730255,anonymous,EN,Kindergarten,4,3,5,1,2,2138,4,1,3,2,5,Eating turkey,2,5,1,3,4,I consent to take part in this study,4,4,5,5,5,4,"Equally kind, honest, nice, good today and ten years ago",,,33,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Somewhat liberal,,none
1/16/20 11:33,1/16/20 11:36,IP Address,100,143,TRUE,1/16/20 11:36,R_1f26clYxrysdSaL,,,,,37.2507019,-121.8359985,anonymous,EN,Kindergarten,1,2,5,3,4,2138,5,4,3,2,1,Eating turkey,2,1,3,4,5,I consent to take part in this study,5,5,6,6,5,5,"Less kind, honest, nice, good today compared to ten years ago",,I think a lot of political division and tension has caused a lot of people to become less nice. There's a bleakness and hopeless feeling about the future that contributes too.,28,Female,White,English,,Very Good,Other,day,Associate's degree,0,Very liberal,,
1/16/20 11:33,1/16/20 11:36,IP Address,100,148,TRUE,1/16/20 11:36,R_1jdBoNXwRsFhvYN,,,,,41.39590454,-82.00350189,anonymous,EN,Kindergarten,4,2,1,5,3,2138,3,2,1,4,5,Eating turkey,3,1,4,2,5,I consent to take part in this study,5,5,5,5,5,6,"Less kind, honest, nice, good today compared to ten years ago",,politics has gotten to divide people more now than in the past,38,Female,White,English,,Very Good,Other,day,Four-year college degree,2,Neither liberal nor conservative,2011,none
1/16/20 11:34,1/16/20 11:36,IP Address,100,83,TRUE,1/16/20 11:36,R_1LIGtt8WnVf8lNV,,,,,41.94639587,-86.33889771,anonymous,EN,Kindergarten,2,5,1,3,4,2138,2,3,1,5,4,Eating turkey,3,1,2,5,4,I consent to take part in this study,5,5,5,5,5,5,"Equally kind, honest, nice, good today and ten years ago",,,45,Female,White,English,,Very Good,Other,day,Four-year college degree,2,Very liberal,2003,"no, thank you"
1/16/20 11:35,1/16/20 11:36,IP Address,100,59,TRUE,1/16/20 11:36,R_1qebIYgXiotAtRb,,,,,21.35710144,-157.9257965,anonymous,EN,Kindergarten,5,1,2,4,3,2138,3,4,1,2,5,Eating turkey,5,3,1,4,2,I consent to take part in this study,4,5,7 (very),5,6,7 (very),"Equally kind, honest, nice, good today and ten years ago",,,24,Female,Asian,English,,Very Good,Other,day,Some college,0,Neither liberal nor conservative,,
1/16/20 11:33,1/16/20 11:36,IP Address,100,181,TRUE,1/16/20 11:36,R_TnN7dduloUJsYx3,,,,,37.69020081,-82.2641983,anonymous,EN,Kindergarten,1,4,2,5,3,2138,2,1,5,3,4,Eating turkey,4,2,1,3,5,I consent to take part in this study,5,5,5,5,6,7 (very),"Less kind, honest, nice, good today compared to ten years ago",,Greed and economic issues.,53,Female,White,English,,Very Good,Other,day,Some college,2,Very conservative,1992,
1/16/20 11:34,1/16/20 11:36,IP Address,100,128,TRUE,1/16/20 11:36,R_3G6sUXlTIr2sTLt,,,,,37.55029297,-77.39420319,anonymous,EN,Kindergarten,4,2,3,1,5,2138,4,5,1,3,2,Eating turkey,5,2,4,1,3,I consent to take part in this study,5,5,5,5,5,5,"Less kind, honest, nice, good today compared to ten years ago",,"I think that the world and especially the United States has trended towards individualism, which plays an important role.",26,Male,White,English,,Very Good,Other,day,Some graduate school,0,Neither liberal nor conservative,,
1/16/20 11:35,1/16/20 11:36,IP Address,100,82,TRUE,1/16/20 11:36,R_z267c7rfVp7clKV,,,,,34.17579651,-86.82900238,anonymous,EN,Kindergarten,5,4,2,1,3,2138,5,3,4,1,2,Eating turkey,2,1,5,3,4,I consent to take part in this study,6,6,6,6,6,7 (very),"Equally kind, honest, nice, good today and ten years ago",,,23,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Neither liberal nor conservative,,
1/16/20 11:34,1/16/20 11:36,IP Address,100,160,TRUE,1/16/20 11:36,R_3jVXhtKnKQXwRz3,,,,,33.74240112,-90.729599,anonymous,EN,Kindergarten,2,4,1,5,3,2138,5,4,2,3,1,Eating turkey,4,1,2,5,3,I consent to take part in this study,5,5,5,5,5,5,"Less kind, honest, nice, good today compared to ten years ago",,"I think that many factors relate to how honest and good people are today compared to ten years ago. In society today, a lot of people are just violent and do not care about other's lives. The world has gotten worse in society now than it was years ago.",34,Female,Black or African-American,English,,Very Good,Other,day,Graduate school,1,Somewhat liberal,2008,
1/16/20 11:32,1/16/20 11:37,IP Address,100,248,TRUE,1/16/20 11:37,R_3HHc1JPbbrkFcdW,,,,,36.33399963,-82.34390259,anonymous,EN,Kindergarten,5,4,1,2,3,2138,2,1,3,5,4,Eating turkey,5,2,4,1,3,I consent to take part in this study,4,4,5,5,5,5,"Less kind, honest, nice, good today compared to ten years ago",,"The inability to interact with other's in a ""face to face"" manner.  The group-think culture combined with being overly sensitive to anything negative makes individuals less likely to be honest in their daily lives.",45,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Somewhat conservative,,none
1/16/20 11:37,1/16/20 11:37,IP Address,100,32,TRUE,1/16/20 11:37,R_2CeTe83uYGqmGra,,,,,36.07110596,-86.71959686,anonymous,EN,Kindergarten,1,3,4,5,2,7TX 4LZ,4,1,5,3,2,Eating turkey,1,3,4,5,2,,,,,,,,,,,,,,,,,,,,,,,
