,StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,QID41,manip_check,explain_more,explain_less,age,gender,race,check,check_4_TEXT,education,political_ideology,party,kids,oldest_kid,comments,PROLIFIC_PID,inclusion,reason,trend,trend_cat,strict,year,rating,participant
13.202,6/11/20 13:09,6/11/20 13:11,IP Address,100,113,TRUE,6/11/20 13:11,R_SUcC5kqZgmcOuFr,NA,NA,NA,NA,40.17500305,-76.18170166,anonymous,EN,I consent to take part in this study,5cb780117c68990016026fcf,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,I was a child so my perceptions are very skewed but if I had to attribute it to one thing I'd say social media and viral news are the reason people are not so nice today,28,Male,White,Other,Sky,Four-year college degree,Somewhat conservative,Lean Republican,3,2015,,5cb780117c68990016026fcf,NA,NA,-2,less,NA,2020,4,13
14.202,6/11/20 13:09,6/11/20 13:12,IP Address,100,139,TRUE,6/11/20 13:12,R_3J8X1KDUL1ZDMxI,NA,NA,NA,NA,42.31820679,-71.64289856,anonymous,EN,I consent to take part in this study,5ba4309d6347f70001650348,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,People today depend on instant gratification. Many people are vocal on social media platforms - saying things they would never say otherwise. People have come into a sense of false entitlement and look down on others.,30,Female,White,Other,sky,Four-year college degree,Neither liberal nor conservative,Lean Republican,0,NA,,5ba4309d6347f70001650348,NA,NA,-1,less,NA,2020,4,14
15.202,6/11/20 13:09,6/11/20 13:12,IP Address,100,148,TRUE,6/11/20 13:12,R_1PbH2O8qAAZMaKD,NA,NA,NA,NA,42.28529358,-87.95320129,anonymous,EN,I consent to take part in this study,5eb0554cc233820e5e36351a,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,Ignorance and entitlement ,29,Male,White,Other,sky,Some graduate school,Neither liberal nor conservative,Independent,0,NA,People are awful because they are incredibly stupid and have large egos,5eb0554cc233820e5e36351a,NA,NA,-3,less,NA,2020,1,15
16.202,6/11/20 13:09,6/11/20 13:12,IP Address,100,168,TRUE,6/11/20 13:12,R_2a8KtVtppL9wtvM,NA,NA,NA,NA,37.73530579,-122.3731995,anonymous,EN,I consent to take part in this study,5ddaa698e0b21ba0b0c2fc64,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,35,Male,White,Other,sky,Some college,Somewhat liberal,Strongly Democrat,0,NA,,5ddaa698e0b21ba0b0c2fc64,NA,NA,0,equal,NA,2020,5,16
17.202,6/11/20 13:10,6/11/20 13:12,IP Address,100,143,TRUE,6/11/20 13:12,R_1OoF5CWOwXWa8k1,NA,NA,NA,NA,37.4967041,-122.2664948,anonymous,EN,I consent to take part in this study,5eaf9c6d12e70169784c6c9b,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago",not sure,,22,Female,Black or African-American,Other,sky,Four-year college degree,Neither liberal nor conservative,Independent,0,NA,,5eaf9c6d12e70169784c6c9b,NA,NA,1,more,NA,2020,5,17
18.202,6/11/20 13:08,6/11/20 13:12,IP Address,100,255,TRUE,6/11/20 13:12,R_3DvkYMTGh3Sdpaf,NA,NA,NA,NA,39.66700745,-85.99810028,anonymous,EN,I consent to take part in this study,5ed2e2c33160b8144ff35cee,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,I believe that kindness takes attention and concern for others. I believe that we are now more distracted and don't have the time inclination to pay attention to others to extend kindness.,30,Female,Black or African-American,Other,sky,Graduate school,Somewhat liberal,Strongly Democrat,0,NA,,5ed2e2c33160b8144ff35cee,NA,NA,-1,less,NA,2020,3,18
19.202,6/11/20 13:07,6/11/20 13:12,IP Address,100,343,TRUE,6/11/20 13:12,R_2aWVVskjjfH47QQ,NA,NA,NA,NA,42.46490479,-83.36840057,anonymous,EN,I consent to take part in this study,5e987a22826ef708dc75c698,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,"I feel that Donald Trump has divided people in the United States, giving people the attitude that this is an us versus them situation. It does not have to be that way. I feel that people basically want the same things in life and those basics should be the goal for all Americans.",63,Female,Black or African-American,Other,sky,Associate's degree,Somewhat liberal,Strongly Democrat,1,1987,No comments,5e987a22826ef708dc75c698,NA,NA,-2,less,NA,2020,5,19
20.202,6/11/20 13:11,6/11/20 13:13,IP Address,100,106,TRUE,6/11/20 13:13,R_25Xcd9oKMpnQvAl,NA,NA,NA,NA,33.96539307,-78.0358963,anonymous,EN,I consent to take part in this study,5c28d3540091e40001ca581e,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,63,Male,White,Other,sky,Four-year college degree,Somewhat liberal,Lean Democrat,0,NA,,5c28d3540091e40001ca581e,NA,NA,0,equal,NA,2020,5,20
21.202,6/11/20 13:10,6/11/20 13:13,IP Address,100,151,TRUE,6/11/20 13:13,R_0Ajf8ENljyyqbsJ,NA,NA,NA,NA,37.75100708,-97.8219986,anonymous,EN,I consent to take part in this study,5ed40ddff615650a50f1cbb2,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,"Greed, fast lane antics of everyday life, only caring about your job and not enjoying the roses.  ",30,Male,White,Other,sky,Four-year college degree,Somewhat liberal,Independent,0,NA,,5ed40ddff615650a50f1cbb2,NA,NA,-2,less,NA,2020,3,21
22.202,6/11/20 13:12,6/11/20 13:14,IP Address,100,74,TRUE,6/11/20 13:14,R_1fZqtKhwL8DfXKx,NA,NA,NA,NA,30.67010498,-81.46579742,anonymous,EN,I consent to take part in this study,5dd5e3abdba6345a8640ec03,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,27,Female,White,Other,sky,Graduate school,Very liberal,Independent,0,NA,,5dd5e3abdba6345a8640ec03,NA,NA,0,equal,NA,2020,3,22
23.202,6/11/20 13:12,6/11/20 13:14,IP Address,100,133,TRUE,6/11/20 13:14,R_33j0gfHNYRNhLp9,NA,NA,NA,NA,39.95170593,-76.70639801,anonymous,EN,I consent to take part in this study,56d7848303a4c2000c876dbd,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,67,Male,White,Other,sky,High school diploma,Somewhat conservative,Lean Republican,3,1982,Thanks. You are very kind. Probably much kinder than people were 20 years ago. ,56d7848303a4c2000c876dbd,NA,NA,0,equal,NA,2020,5,23
24.202,6/11/20 13:13,6/11/20 13:15,IP Address,100,108,TRUE,6/11/20 13:15,R_3EFk9KU5l8O9ZVY,NA,NA,NA,NA,35.37159729,-80.52999878,anonymous,EN,I consent to take part in this study,5c5792947b9ffe00013df57c,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago",People were less considerate of others race and gender compared to today.,,20,Male,Asian,Other,sky,Some college,Somewhat liberal,Lean Democrat,0,NA,,5c5792947b9ffe00013df57c,NA,NA,1,more,NA,2020,5,24
25.202,6/11/20 13:13,6/11/20 13:15,IP Address,100,167,TRUE,6/11/20 13:15,R_1OkvgZuTUpCawH2,NA,NA,NA,NA,33.93429565,-84.60759735,anonymous,EN,I consent to take part in this study,5e5d0db691b5f00115a796b8,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,everything that has changed in the world and how it runs has changed people,26,Female,Hispanic or Latino Origin,Other,sky,Some college,Neither liberal nor conservative,Independent,0,NA,,5e5d0db691b5f00115a796b8,NA,NA,-6,less,NA,2020,1,25
26.202,6/11/20 13:14,6/11/20 13:16,IP Address,100,76,TRUE,6/11/20 13:16,R_1ClJLdW0UYlP1CS,NA,NA,NA,NA,25.97290039,-97.46949768,anonymous,EN,I consent to take part in this study,5d43c5d3397a630001f3c7fd,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,social media,21,Female,Hispanic or Latino Origin,Other,sky,Four-year college degree,Very liberal,Strongly Democrat,0,NA,,5d43c5d3397a630001f3c7fd,NA,NA,-2,less,NA,2020,3,26
27.202,6/11/20 13:15,6/11/20 13:17,IP Address,100,97,TRUE,6/11/20 13:17,R_RF60s2xTbwlbvrP,NA,NA,NA,NA,33.74850464,-84.38710022,anonymous,EN,I consent to take part in this study,564d4918b48dec0005b51a1d,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,29,Male,Black or African-American,Other,sky,Associate's degree,Neither liberal nor conservative,Independent,0,NA,None.,564d4918b48dec0005b51a1d,NA,NA,0,equal,NA,2020,5,27
28.202,6/11/20 13:15,6/11/20 13:17,IP Address,100,87,TRUE,6/11/20 13:17,R_z2UjqmGI81eTh4J,NA,NA,NA,NA,38.92999268,-77.34999847,anonymous,EN,I consent to take part in this study,5ea5d4a12992295d2fb91917,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,23,Male,White,Other,sky,Four-year college degree,Very liberal,Strongly Democrat,0,NA,,5ea5d4a12992295d2fb91917,NA,NA,0,equal,NA,2020,4,28
29.202,6/11/20 13:15,6/11/20 13:17,IP Address,100,108,TRUE,6/11/20 13:17,R_12A7pz0MEPWU0Qj,NA,NA,NA,NA,40.08999634,-75.03630066,anonymous,EN,I consent to take part in this study,5ed9bd075540a656621f4401,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,too many people and people can be rude and lie,22,Female,White,Other,sky,Four-year college degree,Neither liberal nor conservative,Independent,0,NA,,5ed9bd075540a656621f4401,NA,NA,-1,less,NA,2020,4,29
30.202,6/11/20 13:14,6/11/20 13:17,IP Address,100,163,TRUE,6/11/20 13:17,R_2zdb3MU9SQZtz2d,NA,NA,NA,NA,36.13589478,-81.15730286,anonymous,EN,I consent to take part in this study,5b76ce43bfc4cb0001f2c4c3,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,I think the stress of life nowadays is too much for everyone and it has made people meaner.,46,Female,White,Other,sky,Associate's degree,Very liberal,Independent,2,1999,no,5b76ce43bfc4cb0001f2c4c3,NA,NA,-2,less,NA,2020,4,30
31.202,6/11/20 13:14,6/11/20 13:18,IP Address,100,200,TRUE,6/11/20 13:18,R_3smouIDzIDXCees,NA,NA,NA,NA,39.61239624,-104.8804016,anonymous,EN,I consent to take part in this study,5afda89559ae1e00017e62f2,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,Todays generation are more materialistic than before. The availability of goods to buy and more buying power in young people has led to niceties and kindness being forgotten. ,51,Male,Asian,Other,sky,Four-year college degree,Somewhat liberal,Lean Democrat,2,1997,,5afda89559ae1e00017e62f2,NA,NA,-2,less,NA,2020,4,31
32.202,6/11/20 13:15,6/11/20 13:18,IP Address,100,167,TRUE,6/11/20 13:18,R_1P2eoa4fnBHgncn,NA,NA,NA,NA,38.78930664,-104.8220978,anonymous,EN,I consent to take part in this study,5de884714fc5667f1e51c96f,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,64,Female,White,Other,sky,Four-year college degree,Very liberal,Lean Democrat,1,1986,No,5de884714fc5667f1e51c96f,NA,NA,0,equal,NA,2020,4,32
33.202,6/11/20 13:17,6/11/20 13:18,IP Address,100,61,TRUE,6/11/20 13:18,R_3iLwKrDxU7HQoeG,NA,NA,NA,NA,40.6598053,-73.63710022,anonymous,EN,I consent to take part in this study,5c54a8697f5e0c000143ec6c,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,34,Female,More than 1 of the above,Other,Sky,Some college,Somewhat liberal,Lean Democrat,0,NA,,5c54a8697f5e0c000143ec6c,NA,NA,0,equal,NA,2020,6,33
34.202,6/11/20 13:17,6/11/20 13:19,IP Address,100,116,TRUE,6/11/20 13:19,R_eXLXxpyon2U4I3D,NA,NA,NA,NA,35.59620667,-81.0338974,anonymous,EN,I consent to take part in this study,5cbe00898f939c0017c0b9d8,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,53,Male,White,Other,sky,Associate's degree,Somewhat liberal,Lean Democrat,4+,1988,,5cbe00898f939c0017c0b9d8,NA,NA,0,equal,NA,2020,1,34
35.202,6/11/20 13:16,6/11/20 13:19,IP Address,100,206,TRUE,6/11/20 13:19,R_28AnFnq7LBDGpiu,NA,NA,NA,NA,33.80189514,-84.38610077,anonymous,EN,I consent to take part in this study,5e1c863dfa970c011a77d150,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago","I think that social norms have changed, and what is considered kind, honest, nice, and good have progressed from 20 years ago. For example, today more people are fully accepting of people with non-cis sexualities than they were 20 years ago. I think that means people are better today than they were 20 years ago. ",,26,Female,Asian,Other,sky,Graduate school,Very liberal,Strongly Democrat,0,NA,,5e1c863dfa970c011a77d150,NA,NA,1,more,NA,2020,5,35
36.202,6/11/20 13:17,6/11/20 13:19,IP Address,100,165,TRUE,6/11/20 13:19,R_24qIFMcDE2mdhNY,NA,NA,NA,NA,53.01759338,18.62019348,anonymous,EN,I consent to take part in this study,5ebd69cfb6b9b70571a22c00,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,"Life tempo, careers, its more about the money",27,Male,White,Other,sky,High school diploma,Somewhat conservative,Independent,0,NA,,5ebd69cfb6b9b70571a22c00,NA,NA,-1,less,NA,2020,4,36
37.202,6/11/20 13:17,6/11/20 13:19,IP Address,100,118,TRUE,6/11/20 13:19,R_T13dhtlgbge1puN,NA,NA,NA,NA,42.1815033,-71.30110168,anonymous,EN,I consent to take part in this study,5e7d324b0b53c33bfeb9e642,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago",People learning about other cultures through modern platforms such as social media,,24,Male,White,Other,sky,Four-year college degree,Somewhat liberal,Lean Democrat,0,NA,,5e7d324b0b53c33bfeb9e642,NA,NA,2,more,NA,2020,4,37
38.202,6/11/20 13:19,6/11/20 13:20,IP Address,100,90,TRUE,6/11/20 13:20,R_3WbY1ZCelGDyPhD,NA,NA,NA,NA,44.30560303,-94.4693985,anonymous,EN,I consent to take part in this study,5d96bd7df99276001128087c,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,People today seem to be more focused on themselves and their technology and don't have their eyes open to what is going on around them. ,30,Female,White,Other,sky,Four-year college degree,Somewhat liberal,Strongly Democrat,0,NA,,5d96bd7df99276001128087c,NA,NA,-1,less,NA,2020,4,38
39.202,6/11/20 13:17,6/11/20 13:20,IP Address,100,187,TRUE,6/11/20 13:20,R_AgPSxOU5wFA6Stz,NA,NA,NA,NA,32.92750549,-97.25119781,anonymous,EN,I consent to take part in this study,5dce56cf1480fb0dfc4bfd2f,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,64,Female,White,Other,sky,Graduate school,Somewhat liberal,Lean Democrat,3,1983,,5dce56cf1480fb0dfc4bfd2f,NA,NA,0,equal,NA,2020,5,39
40.202,6/11/20 13:19,6/11/20 13:21,IP Address,100,89,TRUE,6/11/20 13:21,R_2bWulrYPg9ncqpI,NA,NA,NA,NA,48.18299866,-122.1136017,anonymous,EN,I consent to take part in this study,5e9739d265fe5b0791d6e6b7,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,28,Male,White,Other,sky,Four-year college degree,Very liberal,Lean Democrat,0,NA,,5e9739d265fe5b0791d6e6b7,NA,NA,0,equal,NA,2020,5,40
41.202,6/11/20 13:21,6/11/20 13:22,IP Address,100,71,TRUE,6/11/20 13:22,R_2rvaV843hqxhRgJ,NA,NA,NA,NA,39.14840698,-94.56860352,anonymous,EN,I consent to take part in this study,5c76ed4a909522000114e278,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,25,Female,White,Other,sky,Associate's degree,Somewhat liberal,Lean Democrat,0,NA,,5c76ed4a909522000114e278,NA,NA,0,equal,NA,2020,5,41
42.202,6/11/20 13:21,6/11/20 13:22,IP Address,100,96,TRUE,6/11/20 13:22,R_bDf5S0PPeh7ciC5,NA,NA,NA,NA,42.31039429,-71.27410126,anonymous,EN,I consent to take part in this study,5dadab4f47c6be0010d6975b,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago",I think a global understanding and acceptance of equality is causing people to overall act better.,,20,Male,White,Other,sky,High school diploma,Very liberal,Strongly Democrat,0,NA,,5dadab4f47c6be0010d6975b,NA,NA,1,more,NA,2020,5,42
43.202,6/11/20 13:18,6/11/20 13:23,IP Address,100,252,TRUE,6/11/20 13:23,R_1JEgCMvvH7MP2V8,NA,NA,NA,NA,40.12150574,-75.32689667,anonymous,EN,I consent to take part in this study,5ec878685d5a2e35ed61dfe2,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,"I think advancement in every aspect giving rising to more engagement in their own work and own world, greed, etc have caused people to be less honest, nice and good than people were 20 years ago. In today's world, its easier to survive without people than technology. The social relationship has reduced considerably.",37,Female,Asian,Other,sky,Four-year college degree,Somewhat conservative,Lean Republican,0,NA,,5ec878685d5a2e35ed61dfe2,NA,NA,-4,less,NA,2020,3,43
44.202,6/11/20 13:20,6/11/20 13:23,IP Address,100,157,TRUE,6/11/20 13:23,R_27UxFZ9YMvv2Czp,NA,NA,NA,NA,41.44999695,-70.59369659,anonymous,EN,I consent to take part in this study,5c9663d625e64c001611865b,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,People are more anonymous and too busy. Also there is less of a sense of community today than in the past. There are too many people and people are immunized to things by media reporting.,56,Female,White,Other,sky,Some graduate school,Somewhat liberal,Strongly Democrat,0,NA,,5c9663d625e64c001611865b,NA,NA,-1,less,NA,2020,6,44
45.202,6/11/20 13:16,6/11/20 13:23,IP Address,100,439,TRUE,6/11/20 13:23,R_30jySfZL44QZYyP,NA,NA,NA,NA,42.11239624,-87.97899628,anonymous,EN,I consent to take part in this study,5ed559e5afbd830e2117ed55,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,"The internet, especially online news and social media, which both spread negative ideas and views, and tend to make people more nervous, anxious and angry.",59,Male,White,Other,sky,Graduate school,Neither liberal nor conservative,Independent,0,NA,,5ed559e5afbd830e2117ed55,NA,NA,-1,less,NA,2020,5,45
46.202,6/11/20 13:22,6/11/20 13:23,IP Address,100,87,TRUE,6/11/20 13:23,R_2feUBXLeBGdFNBP,NA,NA,NA,NA,33.75740051,-84.42359924,anonymous,EN,I consent to take part in this study,5dba1dde5758d0075f0c9fb6,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,43,Female,White,Other,SKY,Some college,Somewhat liberal,Lean Democrat,0,NA,,5dba1dde5758d0075f0c9fb6,NA,NA,0,equal,NA,2020,4,46
47.202,6/11/20 13:19,6/11/20 13:24,IP Address,100,283,TRUE,6/11/20 13:24,R_PBTZHlqQV5WbpK1,NA,NA,NA,NA,47.83880615,-122.1985016,anonymous,EN,I consent to take part in this study,5e4db97c679288216771f059,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,"from my own experience, people today are more rude, selfish and complaint a lot.",50,Female,Asian,Other,sky,Four-year college degree,Neither liberal nor conservative,Lean Democrat,0,NA,,5e4db97c679288216771f059,NA,NA,-2,less,NA,2020,3,47
48.202,6/11/20 13:20,6/11/20 13:25,IP Address,100,260,TRUE,6/11/20 13:25,R_OpyKtfEDoHPQ7Qd,NA,NA,NA,NA,40.88059998,-74.14559937,anonymous,EN,I consent to take part in this study,5d134be5269dd500012b15fd,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,"Music, the media, and a bad parenting is at and all time high.
",27,Male,Black or African-American,Other,sky,Some college,Neither liberal nor conservative,Independent,0,NA,No,5d134be5269dd500012b15fd,NA,NA,-1,less,NA,2020,3,48
49.202,6/11/20 13:23,6/11/20 13:25,IP Address,100,133,TRUE,6/11/20 13:25,R_295qdBXAa1zSrVF,NA,NA,NA,NA,46.6257019,-94.2684021,anonymous,EN,I consent to take part in this study,5c7001cacf38670001c6e62d,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,"Politics, inflation, growing welfare recipients",58,Male,White,Other,Sky,Four-year college degree,Somewhat conservative,Independent,2,1988,,5c7001cacf38670001c6e62d,NA,NA,-1,less,NA,2020,5,49
50.202,6/11/20 13:23,6/11/20 13:26,IP Address,100,150,TRUE,6/11/20 13:26,R_8nP2SFAyMRIZyE1,NA,NA,NA,NA,28.58070374,-81.18930054,anonymous,EN,I consent to take part in this study,5dd81705f83c9f7b5e4a0771,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago",The different environment standards.,,39,Female,White,Other,sky,Four-year college degree,Somewhat liberal,Independent,4+,2004,Nope,5dd81705f83c9f7b5e4a0771,NA,NA,6,more,NA,2020,7,50
51.202,6/11/20 13:25,6/11/20 13:26,IP Address,100,65,TRUE,6/11/20 13:26,R_2WAwFA8TAHfSs3R,NA,NA,NA,NA,28.62249756,-81.43170166,anonymous,EN,I consent to take part in this study,5ea9d17ebd3d1011e05655e2,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,38,Male,White,Other,sky,Four-year college degree,Very liberal,Independent,0,NA,,5ea9d17ebd3d1011e05655e2,NA,NA,0,equal,NA,2020,5,51
