,StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age_1,footwear,footwear_DO_1,footwear_DO_2,footwear_DO_3,footwear_DO_4,footwear_DO_5,rsvp,rsvp_DO_1,rsvp_DO_2,rsvp_DO_3,rsvp_DO_4,rsvp_DO_5,elevator,elevator_DO_1,elevator_DO_2,elevator_DO_3,elevator_DO_4,elevator_DO_5,consent,X2015,X2010,X2005,X2000,X1995,X1990,X1985,X1980,X1975,X2000_born,X1995_born,X1990_born,X1985_born,X1980_born,X1975_born,X1970_born,X1965_born,X1960_born,X1955_.born,check_20,check_25,check_30,check_35,check_40,check_45,check_50,check_55,check_60,check_65,old_today,young_today,old_past,explain_more_20,explain_more_25,explain_more_30,explain_more_35,explain_more_40,explain_more_45,explain_more_50,explain_more_55,explain_more_60,explain_more_65,explain_less_20,explain_less_25,explain_less_30,explain_less_35,explain_less_40,explain_less_45,explain_less_50,explain_less_55,explain_less_60,explain_less_65,age,gender,race,income,check,check_4_TEXT,education,kids,political_ideology,oldest_kid,comments,inclusion,reason,diff,diff_born,diff_20,diff_cat,cat,cat2,born_minus_twenty,twenty_minus_today,born_minus_today,time,rating,participant
11.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,97,TRUE,1/29/20 10:27,R_3hoa91KMUUft1BI,NA,NA,NA,NA,40.73640442,-73.86949921,anonymous,EN,30-34,Bell bottoms,1,5,2,4,3,A wedding invitation,3,1,5,4,2,An elevator,4,2,5,1,3,I consent to take part in this study,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,,,"People are LESS kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,3,3,4,,,,,,,,,,,,,"People today are more greedy. 30 years ago, people would actually help one another.",,,,,,,,31,Male,Asian,"$75,000 - $95,000",Other,apple,Four-year college degree,1,Somewhat liberal,2017,,NA,NA,-3,-3,-2,less,"People are LESS kind, honest, nice, and good today compared to about 30 years ago",less,1,2,3,today,3,11
12.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,91,TRUE,1/29/20 10:27,R_bC5zeWDob559pwl,NA,NA,NA,NA,37.26870728,-76.72720337,anonymous,EN,40-44,Bell bottoms,2,4,5,3,1,A wedding invitation,2,4,3,1,5,An elevator,5,4,2,3,1,I consent to take part in this study,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,,,,,"People are equally kind, honest, nice, and good today compared to about 40 years ago",,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,43,Female,White,"$35,000 - $55,000",Other,apple,Graduate school,0,Very liberal,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 40 years ago",equal,0,0,0,today,5,12
13.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,81,TRUE,1/29/20 10:27,R_2atvjh98Gsq4gjD,NA,NA,NA,NA,42.72869873,-83.0279007,anonymous,EN,35-39,Bell bottoms,2,5,4,3,1,A wedding invitation,3,4,5,2,1,An elevator,1,3,5,4,2,I consent to take part in this study,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,,,,"People are equally kind, honest, nice, and good today compared to about 35 years ago",,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,35,Female,White,"$15,000 - $35,000",Other,apple,Four-year college degree,0,Somewhat liberal,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 35 years ago",equal,0,0,0,today,5,13
14.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,90,TRUE,1/29/20 10:27,R_1Dwmb86vKvTRkfr,NA,NA,NA,NA,41.21200562,-96.11009979,anonymous,EN,35-39,Bell bottoms,2,1,5,3,4,A wedding invitation,3,5,4,2,1,An elevator,3,5,2,1,4,I consent to take part in this study,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,,,,"People are equally kind, honest, nice, and good today compared to about 35 years ago",,,,,,,4,4,3,,,,,,,,,,,,,,,,,,,,,36,Female,White,"$35,000 - $55,000",Other,apple,Associate's degree,0,Somewhat liberal,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 35 years ago",equal,0,0,0,today,4,14
15.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,104,TRUE,1/29/20 10:27,R_sGzta1kiyXGPTm9,NA,NA,NA,NA,34.06260681,-118.3945999,anonymous,EN,30-34,Bell bottoms,1,3,2,5,4,A wedding invitation,4,3,5,2,1,An elevator,4,2,1,3,5,I consent to take part in this study,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,,,"People are equally kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,30,Male,Hispanic or Latino Origin,"$35,000 - $55,000",Other,apple,Associate's degree,0,Very liberal,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 30 years ago",equal,0,0,0,today,4,15
16.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,94,TRUE,1/29/20 10:27,R_1pMfLUSO5riZND2,NA,NA,NA,NA,39.95970154,-75.19950104,anonymous,EN,25-29,Bell bottoms,5,3,1,2,4,A wedding invitation,4,3,2,1,5,An elevator,1,3,5,4,2,I consent to take part in this study,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,,"People are equally kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,25,Female,White,"$15,000 - $35,000",Other,apple,Four-year college degree,0,Very liberal,NA,n/a,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 25 years ago",equal,0,0,0,today,4,16
17.today,1/29/20 10:25,1/29/20 10:27,IP Address,100,119,TRUE,1/29/20 10:27,R_2YbHl4vSgvHXjCG,NA,NA,NA,NA,39.03700256,-77.04119873,anonymous,EN,30-34,Bell bottoms,4,5,2,3,1,A wedding invitation,2,4,5,3,1,An elevator,4,1,3,5,2,I consent to take part in this study,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,,,"People are MORE kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,6,7,6,,,I think that we have been through a lot as a society. I think that we also have a situation where a lot of people are poor and struggling so it makes people kinder to each other.,,,,,,,,,,,,,,,,,,30,Male,White,"$150,000 - $200,000",Other,Apple,Graduate school,0,Very liberal,NA,,NA,NA,1,1,1,more,"People are MORE kind, honest, nice, and good today compared to about 30 years ago",more,0,-1,-1,today,5,17
18.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,80,TRUE,1/29/20 10:27,R_3oAfdbOuURW53dJ,NA,NA,NA,NA,38.77420044,-76.07589722,anonymous,EN,25-29,Bell bottoms,3,1,5,2,4,A wedding invitation,3,4,1,2,5,An elevator,1,3,5,4,2,I consent to take part in this study,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,,"People are equally kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,26,Male,White,"$95,000 - $150,000",Other,apple,Four-year college degree,0,Neither liberal nor conservative,NA,Great pay! Thank you! ,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 25 years ago",equal,0,0,0,today,4,18
19.today,1/29/20 10:25,1/29/20 10:27,IP Address,100,116,TRUE,1/29/20 10:27,R_2U2W4AHiSSRu4pX,NA,NA,NA,NA,35.18930054,-86.10980225,anonymous,EN,40-44,Bell bottoms,3,4,1,5,2,A wedding invitation,4,3,1,2,5,An elevator,4,5,1,3,2,I consent to take part in this study,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,,,,,"People are equally kind, honest, nice, and good today compared to about 40 years ago",,,,,,4,5,6,,,,,,,,,,,,,,,,,,,,,42,Male,White,"$55,000 - $75,000",Other,apple,Four-year college degree,0,Neither liberal nor conservative,NA,na,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 40 years ago",equal,0,0,0,today,4,19
20.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,78,TRUE,1/29/20 10:27,R_3oziA3oS5EOWxgW,NA,NA,NA,NA,42.12989807,-71.76319885,anonymous,EN,25-29,Bell bottoms,4,3,5,2,1,A wedding invitation,2,1,4,5,3,An elevator,2,4,5,3,1,I consent to take part in this study,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,,"People are equally kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,6,4,4,,,,,,,,,,,,,,,,,,,,,26,Female,White,"$95,000 - $150,000",Other,apple,Four-year college degree,0,Somewhat liberal,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 25 years ago",equal,0,0,0,today,5,20
21.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,89,TRUE,1/29/20 10:27,R_2WGw5TLwCoz4za1,NA,NA,NA,NA,38.68409729,-121.0675964,anonymous,EN,50-54,Bell bottoms,1,5,3,4,2,A wedding invitation,5,4,3,2,1,An elevator,4,5,1,3,2,I consent to take part in this study,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,,,,,,,"People are equally kind, honest, nice, and good today compared to about 50 years ago",,,,5,4,4,,,,,,,,,,,,,,,,,,,,,54,Male,White,"$15,000 - $35,000",Other,apple,Some college,0,Neither liberal nor conservative,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 50 years ago",equal,0,0,0,today,4,21
22.today,1/29/20 10:26,1/29/20 10:28,IP Address,100,91,TRUE,1/29/20 10:28,R_1IbfzBoXItKBnix,NA,NA,NA,NA,33.09509277,-96.88050079,anonymous,EN,30-34,Bell bottoms,2,5,4,3,1,A wedding invitation,3,5,2,1,4,An elevator,5,1,2,3,4,I consent to take part in this study,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,,,"People are LESS kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,3,2,3,,,,,,,,,,,,,Traditional values gradually went away,,,,,,,,31,Male,White,"$55,000 - $75,000",Other,apple,Four-year college degree,0,Somewhat conservative,NA,,NA,NA,-2,-2,-2,less,"People are LESS kind, honest, nice, and good today compared to about 30 years ago",less,0,2,2,today,4,22
23.today,1/29/20 10:25,1/29/20 10:28,IP Address,100,126,TRUE,1/29/20 10:28,R_BVplJw29yhsQErT,NA,NA,NA,NA,38.62730408,-76.98590088,anonymous,EN,25-29,Bell bottoms,2,4,5,3,1,A wedding invitation,5,1,4,2,3,An elevator,1,3,4,5,2,I consent to take part in this study,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,,"People are LESS kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,6,3,3,,,,,,,,,,,,The anonymity of the internet and the overall change in culture about complaining about some things that do not need that energy,,,,,,,,,26,Male,Black or African-American,"less than $15,000",Other,apple,Four-year college degree,0,Somewhat liberal,NA,,NA,NA,-2,-2,-1,less,"People are LESS kind, honest, nice, and good today compared to about 25 years ago",less,1,1,2,today,4,23
24.today,1/29/20 10:25,1/29/20 10:28,IP Address,100,124,TRUE,1/29/20 10:28,R_1jE6FTu6zgL4FZI,NA,NA,NA,NA,39.7875061,-75.17970276,anonymous,EN,60-64,Bell bottoms,5,1,3,4,2,A wedding invitation,2,3,4,5,1,An elevator,4,2,3,1,5,I consent to take part in this study,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 60 years ago",,4,3,5,,,,,,,,,,,,,,,,,,,I think the introduction of social media. You can be mean and lie without ever meeting someone.,,62,Male,White,"$35,000 - $55,000",Other,apple,High school diploma,3,Somewhat liberal,1982,,NA,NA,-2,-2,-2,less,"People are LESS kind, honest, nice, and good today compared to about 60 years ago",less,0,2,2,today,3,24
25.today,1/29/20 10:26,1/29/20 10:28,IP Address,100,121,TRUE,1/29/20 10:28,R_1djjO8m1ebXHwns,NA,NA,NA,NA,40.73590088,-73.99040222,anonymous,EN,40-44,Bell bottoms,2,1,5,4,3,A wedding invitation,5,3,1,4,2,An elevator,3,1,4,5,2,I consent to take part in this study,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,,,,,"People are LESS kind, honest, nice, and good today compared to about 40 years ago",,,,,,5,4,6,,,,,,,,,,,,,,,I think people just don't know how to communicate know because of electronic devices,,,,,,42,Male,White,"$75,000 - $95,000",Other,apple,Some college,4+,Very conservative,2005,,NA,NA,-1,-1,-1,less,"People are LESS kind, honest, nice, and good today compared to about 40 years ago",less,0,1,1,today,6,25
26.today,1/29/20 10:25,1/29/20 10:28,IP Address,100,135,TRUE,1/29/20 10:28,R_Ce453Hu39D0q6hr,NA,NA,NA,NA,42.45570374,-83.65419769,anonymous,EN,25-29,Bell bottoms,1,5,2,4,3,A wedding invitation,3,4,1,5,2,An elevator,3,5,1,2,4,I consent to take part in this study,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,,"People are LESS kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,3,2,4,,,,,,,,,,,,People got more opiniated and greedy.,,,,,,,,,26,Female,White,"$15,000 - $35,000",Other,apple,High school diploma,2,Neither liberal nor conservative,2013,None,NA,NA,-3,-3,-2,less,"People are LESS kind, honest, nice, and good today compared to about 25 years ago",less,1,2,3,today,3,26
27.today,1/29/20 10:26,1/29/20 10:28,IP Address,100,90,TRUE,1/29/20 10:28,R_1rleWy39JRA9TCM,NA,NA,NA,NA,32.07730103,-81.09010315,anonymous,EN,25-29,Bell bottoms,2,4,5,1,3,A wedding invitation,2,3,1,4,5,An elevator,3,1,5,4,2,I consent to take part in this study,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,,"People are equally kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,26,Female,More than 1 of the above,"$15,000 - $35,000",Other,apple,Four-year college degree,0,Neither liberal nor conservative,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 25 years ago",equal,0,0,0,today,5,27
28.today,1/29/20 10:26,1/29/20 10:28,IP Address,100,98,TRUE,1/29/20 10:28,R_3IT9WDWfMVirpJj,NA,NA,NA,NA,33.99780273,-83.71240234,anonymous,EN,35-39,Bell bottoms,1,2,3,5,4,A wedding invitation,2,3,5,4,1,An elevator,3,4,5,1,2,I consent to take part in this study,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,,,,"People are MORE kind, honest, nice, and good today compared to about 35 years ago",,,,,,,6,5,5,,,,"Closer communities, able to connect with people farther away. ",,,,,,,,,,,,,,,,,35,Female,White,"$35,000 - $55,000",Other,apple,Associate's degree,2,Neither liberal nor conservative,2015,,NA,NA,1,1,0,more,"People are MORE kind, honest, nice, and good today compared to about 35 years ago",more,-1,0,-1,today,7,28
29.today,1/29/20 10:26,1/29/20 10:28,IP Address,100,106,TRUE,1/29/20 10:28,R_2BnsDJFkS9KkQGn,NA,NA,NA,NA,41.8500061,-87.71649933,anonymous,EN,45-49,Bell bottoms,2,1,4,3,5,A wedding invitation,5,2,3,4,1,An elevator,2,4,5,1,3,I consent to take part in this study,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,,,,,,"People are LESS kind, honest, nice, and good today compared to about 45 years ago",,,,,5,4,5,,,,,,,,,,,,,,,,more crime,,,,,46,Female,White,"$15,000 - $35,000",Other,apple,Some college,2,Somewhat conservative,2000,,NA,NA,-2,-2,-1,less,"People are LESS kind, honest, nice, and good today compared to about 45 years ago",less,1,1,2,today,4,29
30.today,1/29/20 10:26,1/29/20 10:28,IP Address,100,132,TRUE,1/29/20 10:28,R_Res6uvRPWhwVtIJ,NA,NA,NA,NA,37.78329468,-122.1864014,anonymous,EN,30-34,Bell bottoms,2,3,5,4,1,A wedding invitation,3,5,2,1,4,An elevator,1,4,2,3,5,I consent to take part in this study,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,,,"People are equally kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,5,5,4,,,,,,,,,,,,,,,,,,,,,34,Male,White,"$15,000 - $35,000",Other,apple,Associate's degree,0,Somewhat liberal,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 30 years ago",equal,0,0,0,today,5,30
31.today,1/29/20 10:26,1/29/20 10:28,IP Address,100,139,TRUE,1/29/20 10:28,R_3kyNdtJpTamy2IK,NA,NA,NA,NA,35.08129883,-106.6212006,anonymous,EN,40-44,Bell bottoms,2,3,1,5,4,A wedding invitation,1,4,2,5,3,An elevator,5,3,2,4,1,I consent to take part in this study,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,,,,,"People are LESS kind, honest, nice, and good today compared to about 40 years ago",,,,,,7,6,6,,,,,,,,,,,,,,,I think the world has become more complicated by overpopulation and technology and people just don't trust each other quite as much as they used to.,,,,,,41,Male,White,"$95,000 - $150,000",Other,apple,Graduate school,0,Somewhat liberal,NA,,NA,NA,-1,-1,0,less,"People are LESS kind, honest, nice, and good today compared to about 40 years ago",less,1,0,1,today,6,31
