,Source,Question,Response options,Years,N,b,R2,% of 89% HDI in ROPE,data_source,
36,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Having your email, passwords or electronic records hacked into?","Frequently [4], Occasionally [3], Rarely [2], Never [1]","2014, 2016","2,065",0.01,0.0001,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
37,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Having the credit card information you have used at stores stolen by computer hackers?","Frequently [4], Occasionally [3], Rarely [2], Never [1]",2014-2016,"3,080",-0.02,0.0001,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
38,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Having your personal, credit card, or financial information stolen by computer hackers?","Frequently [4], Occasionally [3], Rarely [2], Never [1]",2017-2019,"3,089",0.04,0.001,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
39,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Being a victim of identity theft?","Frequently [4], Occasionally [3], Rarely [2], Never [1]","2009, 2010, 2011, 2013, 2015-2019","9,212",0.003,0.00007,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
40,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Being a victim of terrorism?","Frequently [4], Occasionally [3], Rarely [2], Never [1]","2001-2011, 2013-2019 ","18,336",-0.02,0.01,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
41,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Being the victim of a hate crime?","Frequently [4], Occasionally [3], Rarely [2], Never [1]","2000, 2001, 2003-2011, 2013-2019","18,346",0.01,0.005,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
42,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Being attacked while driving your car?","Frequently [4], Occasionally [3], Rarely [2], Never [1]","2000, 2001, 2003-2011, 2013-2019","18,346",-0.008,0.002,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
43,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Having a school-aged child of yours physically harmed while attending school?","Frequently [4], Occasionally [3], Rarely [2], Never [1]","2000-2011, 2013-2019","19,348",-0.005,0.0008,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
44,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Being assaulted or killed by a coworker or other employee where you work?","Frequently [4], Occasionally [3], Rarely [2], Never [1]","2000-2011, 2013-2019","19,348",0.001,0.0001,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
45,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Having your car stolen or broken into?","Frequently [4], Occasionally [3], Rarely [2], Never [1]","2000-2011, 2013-2019","19,348",-0.005,0.0007,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
46,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Being sexually assaulted?","Frequently [4], Occasionally [3], Rarely [2], Never [1]","2000-2011, 2013-2019","19,796",-0.0004,0.000005,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
47,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Your home being burglarized when you are not there?","Frequently [4], Occasionally [3], Rarely [2], Never [1]","2000-2011, 2013-2019","19,796",-0.004,0.0006,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
48,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Your home being burglarized when you are there?","Frequently [4], Occasionally [3], Rarely [2], Never [1]","2000-2011, 2013-2019","19,796",-0.002,0.00008,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
49,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Getting murdered?","Frequently [4], Occasionally [3], Rarely [2], Never [1]","2000-2011, 2013-2019","19,796",0.004,0.0006,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database",proprietary data
50,Gallup,"How often do you, yourself, worry about the following things -- frequently, occasionally, rarely or never? How about -- Getting mugged?","Frequently [4], Occasionally [3], Rarely [2], Never [1]","2000-2011, 2013-2019","19,796",0.001,0.00007,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
51,Gallup,"Overall, how would you describe the problem of crime in the area where you live -- is it extremely serious, very serious, moderately serious, not too serious or not serious at all?","Extremely [5]. Very [4], Somewhat [3], Not too [2], Not at all [1]","2000, 2003-2011, 2013-2019 ","17,819",0.002,0.0001,100,Roper Center iPoll Database,"proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
52,Gallup,"Overall, how would you describe the problem of crime in the United States -- is it extremely serious, very serious, moderately serious, not too serious or not serious at all?","Extremely [5]. Very [4], Somewhat [3], Not too [2], Not at all [1]","2000, 2003-2011, 2013-2019","18,025",-0.0002,0.000002,100,Roper Center iPoll Database,"proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
53,Gallup,"Is there any area near where you live -- that is, within a mile -- where you would be afraid to walk alone at night?","Yes [1], No [0]","1965, 1967, 1968, 1972, 1975, 1977, 1979, 1981, 1982, 1983, 1989, 1990, 1992, 1993, 1994, 1996, 1997, 2000-2011, 2013-2019","37,882",-0.006,0.002,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database",proprietary data
54,General Social Survey,"Now I''m going to read you a list of statements that might or might not describe your main job. Please tell me whether you strongly agree, agree, disagree, or strongly disagree with each of these statements.
I. At the place where I work, I am treated with respect","Strongly agree [5], Agree [4], Neither agree nor disagree [3], Disagree [2], Strongly disagree [1]","2002, 2006, 2010, 2014, 2018","7,301",-0.004,0.001,100,https://gss.norc.org/,
55,General Social Survey,"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?","Helpful [1], Depends [2], Looking out for self [3]","1972, 1973, 1975, 1976, 1978, 1980, 1983, 1984, 1986, 1987, 1988, 1990, 1991, 1993, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018","41,009",0.002,0.0006,100,https://gss.norc.org/,
56,General Social Survey,"Please tell me whether you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree with the following statements:
A. People should be willing to help others who are less fortunate","Strongly agree [5], Agree [4], Neither agree nor disagree [3], Disagree [2], Strongly disagree [1]","2002, 2004, 2012, 2014","5,248",0.001,0.00006,100,https://gss.norc.org/,
57,General Social Survey,"Now I''m going to read you another list of statements about your main job. For each, please tell me if the statement is very true, somewhat true, not too true, or not at all true with respect to the work you do.
N. The people I work with can be relied on when I need help","Very true [4], Somewhat true [3], Not too true [2], Not at all true [1]","2002, 2006, 2010, 2014, 2018","7,235",-0.001,0.0001,100,https://gss.norc.org/,
58,General Social Survey,"During the past 12 months, how often have you done each of the following things:
D. Allowed a stranger to go ahead of you in line","More than once a week [6], Once a week [5], Once a month [4], At least 2-3 times in the past year [3], Once in the past year [2], Not at all [1]","2002, 2004, 2012, 2014","4,916",0.003,0.0002,100,https://gss.norc.org/,
59,General Social Survey,"During the past 12 months, how often have you done each of the following things:
G. Offered your seat on a bus or in a public place to a stranger who was standing","More than once a week [6], Once a week [5], Once a month [4], At least 2-3 times in the past year [3], Once in the past year [2], Not at all [1]","2002, 2004, 2012, 2014","5,138",0.0006,0.000006,100,https://gss.norc.org/,
60,General Social Survey,"During the past 12 months, how often have you done each of the following things:
I. Carried a stranger's belongings, like groceries, a suitcase, or shopping bag","More than once a week [6], Once a week [5], Once a month [4], At least 2-3 times in the past year [3], Once in the past year [2], Not at all [1]","2002, 2004, 2012, 2014","5,157",0.003,0.0001,100,https://gss.norc.org/,
61,General Social Survey,"During the past 12 months, how often have you done each of the following things:
J. Given directions to a stranger","More than once a week [6], Once a week [5], Once a month [4], At least 2-3 times in the past year [3], Once in the past year [2], Not at all [1]","2002, 2004, 2012, 2014","4,978",-0.001,0.003,100,https://gss.norc.org/,
62,General Social Survey,"During the past 12 months, how often have you done each of the following things:
A. Donated blood","More than once a week [6], Once a week [5], Once a month [4], At least 2-3 times in the past year [3], Once in the past year [2], Not at all [1]","2002, 2004, 2012, 2014","5,257",-0.01,0.004,100,https://gss.norc.org/,
63,General Social Survey,"During the past 12 months, how often have you done each of the following things:
B. Given food or money to a homeless person","More than once a week [6], Once a week [5], Once a month [4], At least 2-3 times in the past year [3], Once in the past year [2], Not at all [1]","2002, 2004, 2012, 2014","5,091",0.01,0.002,100,https://gss.norc.org/,
64,General Social Survey,"During the past 12 months, how often have you done each of the following things:
C. Returned money to a cashier after getting too much change","More than once a week [6], Once a week [5], Once a month [4], At least 2-3 times in the past year [3], Once in the past year [2], Not at all [1]","2002, 2004, 2012, 2014","5,181",-0.02,0.01,100,https://gss.norc.org/,
65,General Social Survey,"During the past 12 months, how often have you done each of the following things:
E. Done volunteer work for a charity","More than once a week [6], Once a week [5], Once a month [4], At least 2-3 times in the past year [3], Once in the past year [2], Not at all [1]","2002, 2004, 2012, 2014","5,084",0.005,0.0003,100,https://gss.norc.org/,
66,General Social Survey,"During the past 12 months, how often have you done any of the following things for people you know personally, such as relatives, friends, neighbors or other acquaintances? 
B. Lent quite a bit of money to another person","More than once a week [6], Once a week [5], Once a month [4], At least 2-3 times in the past year [3], Once in the past year [2], Not at all [1]","2002, 2004, 2012, 2014","4,041",-0.02,0.005,100,https://gss.norc.org/,
67,General Social Survey,"During the past 12 months, how often have you done each of the following things:
K. Let someone you didn''t know well borrow a item of some value like dishes or tools.","More than once a week [6], Once a week [5], Once a month [4], At least 2-3 times in the past year [3], Once in the past year [2], Not at all [1]","2002, 2004, 2012, 2014","5,198",-0.004,0.0003,100,https://gss.norc.org/,
68,General Social Survey,"During the past 12 months, how often have you done each of the following things:
H. Looked after a person''s plants, mail, or pets while they were away","More than once a week [6], Once a week [5], Once a month [4], At least 2-3 times in the past year [3], Once in the past year [2], Not at all [1]","2002, 2004, 2012, 2014","5,149",-0.01,0.002,100,https://gss.norc.org/,
69,General Social Survey,"The following are things that you may experience in your daily life. Please tell me how often these occur.
A. I feel a selfless caring for others.","Many times a day [6], Every day [5], Most days [4], Some days [3], Once in a while [2], Never or almost never [1]","2002, 2004, 2012, 2014","5,151",-0.0002,0.0000004,100,https://gss.norc.org/,
70,General Social Survey,"Please tell me whether you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree with the following statements:
C. Personally assisting people in trouble is very important to me","Strongly agree [5], Agree [4], Neither agree nor disagree [3], Disagree [2], Strongly disagree [1]","2002, 2004, 2012, 2014","5,247",0.005,0.001,100,https://gss.norc.org/,
71,General Social Survey,"Is there any area right around here--that is, within a mile--where you would be afraid to walk alone at night?","Yes [1], No [0]","1973, 1974, 1976, 1977, 1980, 1982, 1984, 1985, 1987, 1988, 1990, 1991, 1993, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018 ","39,441",-0.01,0.005,100,https://gss.norc.org/,
72,General Social Survey,Other people take credit for my work or ideas.,"Often [4], Sometimes [3], Rarely [2], Never [1]","2004, 2012","2,931",0.03,0.008,100,https://gss.norc.org/,
73,General Social Survey,"D. People at work treat me in a manner that puts me down or address me in unprofessional terms, either publicly or privately.","Often [4], Sometimes [3], Rarely [2], Never [1]","2004, 2012","2,937",0.006,0.0008,100,https://gss.norc.org/,
74,General Social Survey,"H. People at work throw things, slam doors, or hit objects when they are upset with me.","Often [4], Sometimes [3], Rarely [2], Never [1]","2004, 2012","2,942",-0.003,0.0003,100,https://gss.norc.org/,
75,General Social Survey,I. People at work shout or yell at me in a hostile manner.,"Often [4], Sometimes [3], Rarely [2], Never [1]","2004, 2012","2,940",0.006,0.001,100,https://gss.norc.org/,
76,General Social Survey,"M. At work, people are treated with respect.","Strongly agree [4], Agree [3], Disagree [2], Strongly disagree [1]","2004, 2012","2,939",-0.006,0.001,100,https://gss.norc.org/,
77,General Social Survey,"N. In my workplace, people ""look the other way"" when others are threatened, intimidated, or put down.","Strongly agree [4], Agree [3], Disagree [2], Strongly disagree [1]","2004, 2012","2,887",0.06,0.09,100,https://gss.norc.org/,
78,General Social Survey,"Generally speaking, would you say that people can be trusted or that you can't be too careful in dealing with people?","Can trust [3], Depends [2], Can't be too careful [1]","1972, 1973, 1975, 1976, 1980, 1983, 1984, 1986, 1987, 1988, 1990, 1991, 1993, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014","41,258",-0.006,0.008,100,https://gss.norc.org/,
79,General Social Survey,"Now, I'm going to ask you about various events and conditions that happen to people. I'm interested in those that happened to you during the last 12 months, that is since (CURRENT MONTH), (1990/2003). As I ask you about the specific events, please think carefully, so I can record things accurately.
F. Next, did any of the following criminal or legal events occur to you since (CURRENT MONTH), (1990/2003)...
1. A robbery (e.g. a mugging or stick-up).","1 = yes, 2 = no","1991, 2004","2,341",0.0002,-0.0004,100,https://gss.norc.org/,
80,General Social Survey,"During the past 12 months, how often have you done any of the following things for people you know personally, such as relatives, friends, neighbors or other acquaintances? 
A. Helped someone outside of your household with housework or shopping","More than once a week [6], Once a week [5], Once a month [4], At least two or three times in the past year [3], Once in the past year [2], Not at all in the past year [1]","2002, 2004, 2012, 2014","5,042",-0.05,0.03,100,https://gss.norc.org/,
81,General Social Survey,"During the past 12 months, how often have you done any of the following things for people you know personally, such as relatives, friends, neighbors or other acquaintances?
C. Spent time talking with someone who was a bit down or depressed","More than once a week [6], Once a week [5], Once a month [4], At least two or three times in the past year [3], Once in the past year [2], Not at all in the past year [1]","2002, 2004, 2012, 2014","5,043",-0.02,0.004,100,https://gss.norc.org/,
82,General Social Survey,"During the past 12 months, how often have you done any of the following things for people you know personally, such as relatives, friends, neighbors or other acquaintances? 
D. Helped somebody to find a job","More than once a week [6], Once a week [5], Once a month [4], At least two or three times in the past year [3], Once in the past year [2], Not at all in the past year [1]","2002, 2004, 2012, 2014","5,047",0.001,0.00003,100,https://gss.norc.org/,
83,General Social Survey,"There are different opinions as to what it takes to be a good citizen. As far as you are concerned personally on a scale of 1 to 7, where 1 is not at all important and 7 is very important, how important is it… 
H. To help people in America who are worse off than yourself",1 [not at all important] - 7 [very important],"2004, 2014","2,712",-0.02,0.005,100,https://gss.norc.org/,
84,General Social Survey,"There are different opinions as to what it takes to be a good citizen. As far as you are concerned personally on a scale of 1 to 7, where 1 is not at all important and 7 is very important, how important is it…
 I. To help people in the rest of the world who are worse off than yourself",1 [not at all important] - 7 [very important],"2004, 2014","2,689",-0.02,0.003,100,https://gss.norc.org/,
85,General Social Survey,"During the past 12 months, how often have you done each of the following things: 
F. Given money to a charity","More than once a week [6], Once a week [5], Once a month [4], At least two or three times in the past year [3], Once in the past year [2], Not at all in the past year [1]","2002, 2004, 2012, 2014","3,568",-0.02,0.005,100,https://gss.norc.org/,
