"subId","covid_concern","covid_cases_personal","OUS1","OUS2","OUS3","OUS4","OUS5","OUS6","OUS7","OUS8","OUS9","gender","age","race","education","income","pol_ideology","religiosity","number_covid_studies","similarity_covid_studies","redcross_reliable","check_embezzle_clear","argument","gender_recode","race_recode","exclude_behav","avg_OUS_IB","avg_OUS_IH","dimension","dilemma","behav","moral","support","trustOther","trustworthy","avg_trust"
4,"5","Yes",5,3,6,6,2,1,1,1,2,"Female","26","White","4","3","4","6","1-5","Not at all similar","3","Yes","Non-Utilitarian","Female","White",0,3.5,1.5,"IH","lockdown","Non-Utilitarian","3","3",NA,NA,NA
4,"5","Yes",5,3,6,6,2,1,1,1,2,"Female","26","White","4","3","4","6","1-5","Not at all similar","3","Yes","Non-Utilitarian","Female","White",0,3.5,1.5,"IB","ppe",NA,"5","5",5,5,5
5,"6","Yes",3,1,3,6,4,4,3,5,5,"Male","27","White,Hispanic, Latino, or Spanish origin","5","5","3","1","0","Not at all similar","5","Yes","Utilitarian","Male","Other",0,3.5,4.5,"IH","ventilator",NA,"4","7",3,6,4.5
5,"6","Yes",3,1,3,6,4,4,3,5,5,"Male","27","White,Hispanic, Latino, or Spanish origin","5","5","3","1","0","Not at all similar","5","Yes","Utilitarian","Male","Other",0,3.5,4.5,"IH","lockdown",NA,"2","2",1,1,1
5,"6","Yes",3,1,3,6,4,4,3,5,5,"Male","27","White,Hispanic, Latino, or Spanish origin","5","5","3","1","0","Not at all similar","5","Yes","Utilitarian","Male","Other",0,3.5,4.5,"IB","medicine","Utilitarian","7","6",NA,NA,NA
6,"5","Yes",4,4,5,2,5,5,4,4,5,"Male","20","Asian,Middle Eastern or North African","2","1","4","1","0","Not at all similar","3","Yes","Utilitarian","Male","Other",0,4.5,5,"IB","medicine",NA,"6","6",2,2,2
6,"5","Yes",4,4,5,2,5,5,4,4,5,"Male","20","Asian,Middle Eastern or North African","2","1","4","1","0","Not at all similar","3","Yes","Utilitarian","Male","Other",0,4.5,5,"IB","ppe",NA,"6","6",2,3,2.5
6,"5","Yes",4,4,5,2,5,5,4,4,5,"Male","20","Asian,Middle Eastern or North African","2","1","4","1","0","Not at all similar","3","Yes","Utilitarian","Male","Other",0,4.5,5,"IH","lockdown","Non-Utilitarian","2","2",NA,NA,NA
7,"5","Unsure",5,5,6,2,4,4,6,4,3,"Male","50","White","4","4","2","2","6-10","Moderately similar","4","Yes","Utilitarian","Male","White",0,4.5,3.5,"IH","ventilator",NA,"3","5",2,2,2
7,"5","Unsure",5,5,6,2,4,4,6,4,3,"Male","50","White","4","4","2","2","6-10","Moderately similar","4","Yes","Utilitarian","Male","White",0,4.5,3.5,"IB","ppe","Utilitarian","5","2",NA,NA,NA
7,"5","Unsure",5,5,6,2,4,4,6,4,3,"Male","50","White","4","4","2","2","6-10","Moderately similar","4","Yes","Utilitarian","Male","White",0,4.5,3.5,"IH","lockdown",NA,"1","1",1,1,1
8,"5","No",5,5,5,4,4,3,4,4,5,"Male","19","White","1","5","4","1","11-20","Not at all similar","3","Yes","Utilitarian","Male","White",0,4.5,4,"IH","ventilator",NA,"5","2",5,5,5
8,"5","No",5,5,5,4,4,3,4,4,5,"Male","19","White","1","5","4","1","11-20","Not at all similar","3","Yes","Utilitarian","Male","White",0,4.5,4,"IB","ppe","Non-Utilitarian","4","4",NA,NA,NA
8,"5","No",5,5,5,4,4,3,4,4,5,"Male","19","White","1","5","4","1","11-20","Not at all similar","3","Yes","Utilitarian","Male","White",0,4.5,4,"IH","lockdown",NA,"4","4",5,5,5
9,"6","No",6,5,6,5,5,5,2,1,3,"Male","31","White","2","8","1","1","1-5","Slightly similar","4","Yes","Utilitarian","Male","White",0,5.5,4,"IH","ventilator",NA,"2","1",2,2,2
9,"6","No",6,5,6,5,5,5,2,1,3,"Male","31","White","2","8","1","1","1-5","Slightly similar","4","Yes","Utilitarian","Male","White",0,5.5,4,"IH","lockdown",NA,"1","1",2,2,2
9,"6","No",6,5,6,5,5,5,2,1,3,"Male","31","White","2","8","1","1","1-5","Slightly similar","4","Yes","Utilitarian","Male","White",0,5.5,4,"IB","medicine","Non-Utilitarian","6","2",NA,NA,NA
10,"5","No",4,4,6,4,3,5,3,5,4,"Male","24","Asian","4","9","3","4","1-5","Slightly similar","2","Yes","Utilitarian","Male","Asian",0,3.5,4.5,"IH","ventilator",NA,"5","1",4,4,4
10,"5","No",4,4,6,4,3,5,3,5,4,"Male","24","Asian","4","9","3","4","1-5","Slightly similar","2","Yes","Utilitarian","Male","Asian",0,3.5,4.5,"IH","lockdown",NA,"2","2",2,2,2
10,"5","No",4,4,6,4,3,5,3,5,4,"Male","24","Asian","4","9","3","4","1-5","Slightly similar","2","Yes","Utilitarian","Male","Asian",0,3.5,4.5,"IB","medicine","Utilitarian","6","5",NA,NA,NA
11,"5","No",4,4,2,5,2,3,5,3,2,"Female","39","White","3","8","5","7","1-5","Moderately similar","4","Yes","Non-Utilitarian","Female","White",0,3,2.5,"IH","lockdown",NA,"2","3",5,6,5.5
11,"5","No",4,4,2,5,2,3,5,3,2,"Female","39","White","3","8","5","7","1-5","Moderately similar","4","Yes","Non-Utilitarian","Female","White",0,3,2.5,"IH","ventilator",NA,"2","2",5,6,5.5
11,"5","No",4,4,2,5,2,3,5,3,2,"Female","39","White","3","8","5","7","1-5","Moderately similar","4","Yes","Non-Utilitarian","Female","White",0,3,2.5,"IB","ppe","Non-Utilitarian","4","2",NA,NA,NA
12,"7","Yes",5,3,5,5,5,3,2,2,3,"Male","32","White,Hispanic, Latino, or Spanish origin","4","2","1","1","1-5","Slightly similar","4","Yes","Non-Utilitarian","Male","Other",0,5,3,"IB","medicine","Utilitarian","6","7",NA,NA,NA
12,"7","Yes",5,3,5,5,5,3,2,2,3,"Male","32","White,Hispanic, Latino, or Spanish origin","4","2","1","1","1-5","Slightly similar","4","Yes","Non-Utilitarian","Male","Other",0,5,3,"IH","ventilator",NA,"3","5",4,4,4
12,"7","Yes",5,3,5,5,5,3,2,2,3,"Male","32","White,Hispanic, Latino, or Spanish origin","4","2","1","1","1-5","Slightly similar","4","Yes","Non-Utilitarian","Male","Other",0,5,3,"IH","lockdown",NA,"1","2",5,5,5
13,"1","No",4,4,4,4,4,4,1,4,1,"Male","29","White","2","6","7","2","more than 50","Slightly similar","1","Yes","Utilitarian","Male","White",0,4,2.5,"IH","ventilator","Non-Utilitarian","4","1",NA,NA,NA
13,"1","No",4,4,4,4,4,4,1,4,1,"Male","29","White","2","6","7","2","more than 50","Slightly similar","1","Yes","Utilitarian","Male","White",0,4,2.5,"IB","ppe",NA,"4","1",4,4,4
13,"1","No",4,4,4,4,4,4,1,4,1,"Male","29","White","2","6","7","2","more than 50","Slightly similar","1","Yes","Utilitarian","Male","White",0,4,2.5,"IB","medicine",NA,"4","1",4,4,4
14,"6","No",5,5,5,3,5,4,5,5,3,"Female","23","White","4","2","2","3","1-5","Slightly similar","3","Yes","Non-Utilitarian","Female","White",0,5,3.5,"IB","ppe",NA,"5","5",3,3,3
14,"6","No",5,5,5,3,5,4,5,5,3,"Female","23","White","4","2","2","3","1-5","Slightly similar","3","Yes","Non-Utilitarian","Female","White",0,5,3.5,"IH","lockdown","Non-Utilitarian","1","1",NA,NA,NA
14,"6","No",5,5,5,3,5,4,5,5,3,"Female","23","White","4","2","2","3","1-5","Slightly similar","3","Yes","Non-Utilitarian","Female","White",0,5,3.5,"IB","medicine",NA,"5","5",3,3,3
15,"6","Yes",6,5,7,3,7,2,3,5,5,"Male","18","Hispanic, Latino, or Spanish origin","1","6","1","1","0","Slightly similar","4","Yes","Non-Utilitarian","Male","Other",0,6.5,3.5,"IB","medicine",NA,"7","6",4,4,4
15,"6","Yes",6,5,7,3,7,2,3,5,5,"Male","18","Hispanic, Latino, or Spanish origin","1","6","1","1","0","Slightly similar","4","Yes","Non-Utilitarian","Male","Other",0,6.5,3.5,"IB","ppe",NA,"7","7",3,3,3
15,"6","Yes",6,5,7,3,7,2,3,5,5,"Male","18","Hispanic, Latino, or Spanish origin","1","6","1","1","0","Slightly similar","4","Yes","Non-Utilitarian","Male","Other",0,6.5,3.5,"IH","lockdown","Non-Utilitarian","2","5",NA,NA,NA
16,"5","Yes",6,7,7,5,7,5,3,7,7,"Female","19","Hispanic, Latino, or Spanish origin,Black or African American","2","8","2","5","1-5","Not at all similar","3","Yes","Non-Utilitarian","Female","Other",0,6.5,6,"IB","ppe",NA,"7","7",1,1,1
16,"5","Yes",6,7,7,5,7,5,3,7,7,"Female","19","Hispanic, Latino, or Spanish origin,Black or African American","2","8","2","5","1-5","Not at all similar","3","Yes","Non-Utilitarian","Female","Other",0,6.5,6,"IB","medicine",NA,"7","7",1,1,1
16,"5","Yes",6,7,7,5,7,5,3,7,7,"Female","19","Hispanic, Latino, or Spanish origin,Black or African American","2","8","2","5","1-5","Not at all similar","3","Yes","Non-Utilitarian","Female","Other",0,6.5,6,"IH","lockdown","Non-Utilitarian","3","2",NA,NA,NA
17,"6","Yes",5,6,4,5,6,4,4,4,5,"Female","27","White","4","7","1","1","0","Not at all similar","4","Yes","Utilitarian","Female","White",0,5.5,4.5,"IB","ppe",NA,"7","6",6,7,6.5
17,"6","Yes",5,6,4,5,6,4,4,4,5,"Female","27","White","4","7","1","1","0","Not at all similar","4","Yes","Utilitarian","Female","White",0,5.5,4.5,"IB","medicine",NA,"6","6",6,7,6.5
17,"6","Yes",5,6,4,5,6,4,4,4,5,"Female","27","White","4","7","1","1","0","Not at all similar","4","Yes","Utilitarian","Female","White",0,5.5,4.5,"IH","ventilator","Non-Utilitarian","3","2",NA,NA,NA
18,"7","No",1,1,4,1,4,1,5,6,1,"Male","26","White","4","8","3","1","0","Not at all similar","3","Yes","Non-Utilitarian","Male","White",0,2.5,1,"IH","ventilator","Non-Utilitarian","4","1",NA,NA,NA
18,"7","No",1,1,4,1,4,1,5,6,1,"Male","26","White","4","8","3","1","0","Not at all similar","3","Yes","Non-Utilitarian","Male","White",0,2.5,1,"IB","medicine",NA,"4","2",4,4,4
18,"7","No",1,1,4,1,4,1,5,6,1,"Male","26","White","4","8","3","1","0","Not at all similar","3","Yes","Non-Utilitarian","Male","White",0,2.5,1,"IB","ppe",NA,"4","2",4,4,4
19,"7","No",7,6,7,7,7,1,1,1,1,"Female","38","White","2","7","2","5","0",NA,"3","Yes","Utilitarian","Female","White",0,7,1,"IH","ventilator",NA,"2","3",3,3,3
19,"7","No",7,6,7,7,7,1,1,1,1,"Female","38","White","2","7","2","5","0",NA,"3","Yes","Utilitarian","Female","White",0,7,1,"IH","lockdown",NA,"2","1",2,4,3
19,"7","No",7,6,7,7,7,1,1,1,1,"Female","38","White","2","7","2","5","0",NA,"3","Yes","Utilitarian","Female","White",0,7,1,"IB","ppe","Utilitarian","7","7",NA,NA,NA
20,"5","No",2,3,6,6,6,4,2,3,3,"Female","19","Asian","2","1","1","2","6-10","Not at all similar","2","Yes","Non-Utilitarian","Female","Asian",0,4,3.5,"IH","ventilator","Non-Utilitarian","5","6",NA,NA,NA
20,"5","No",2,3,6,6,6,4,2,3,3,"Female","19","Asian","2","1","1","2","6-10","Not at all similar","2","Yes","Non-Utilitarian","Female","Asian",0,4,3.5,"IB","ppe",NA,"5","6",3,4,3.5
20,"5","No",2,3,6,6,6,4,2,3,3,"Female","19","Asian","2","1","1","2","6-10","Not at all similar","2","Yes","Non-Utilitarian","Female","Asian",0,4,3.5,"IB","medicine",NA,"5","6",2,2,2
21,"4","Yes",4,4,4,4,4,4,4,4,4,"Female","28","White","5","6","5","6","1-5","Moderately similar","3","Yes","Non-Utilitarian","Female","White",0,4,4,"IH","lockdown","Non-Utilitarian","3","5",NA,NA,NA
21,"4","Yes",4,4,4,4,4,4,4,4,4,"Female","28","White","5","6","5","6","1-5","Moderately similar","3","Yes","Non-Utilitarian","Female","White",0,4,4,"IB","ppe",NA,"4","3",4,4,4
21,"4","Yes",4,4,4,4,4,4,4,4,4,"Female","28","White","5","6","5","6","1-5","Moderately similar","3","Yes","Non-Utilitarian","Female","White",0,4,4,"IB","medicine",NA,"4","3",4,4,4
22,"5","Yes",5,5,5,5,4,2,2,2,4,"Female","33","Hispanic, Latino, or Spanish origin","4","10","2","4","1-5","Not at all similar","3","Yes","Non-Utilitarian","Female","Other",0,4.5,3,"IH","lockdown",NA,"4","5",4,4,4
22,"5","Yes",5,5,5,5,4,2,2,2,4,"Female","33","Hispanic, Latino, or Spanish origin","4","10","2","4","1-5","Not at all similar","3","Yes","Non-Utilitarian","Female","Other",0,4.5,3,"IB","medicine","Utilitarian","4","2",NA,NA,NA
22,"5","Yes",5,5,5,5,4,2,2,2,4,"Female","33","Hispanic, Latino, or Spanish origin","4","10","2","4","1-5","Not at all similar","3","Yes","Non-Utilitarian","Female","Other",0,4.5,3,"IH","ventilator",NA,"3","1",4,5,4.5
23,"7","No",6,6,7,6,6,2,4,4,2,"Female","33","White","2","6","1","4","1-5","Moderately similar","3","Yes","Utilitarian","Female","White",0,6,2,"IB","ppe","Utilitarian","5","1",NA,NA,NA
23,"7","No",6,6,7,6,6,2,4,4,2,"Female","33","White","2","6","1","4","1-5","Moderately similar","3","Yes","Utilitarian","Female","White",0,6,2,"IH","lockdown",NA,"1","1",1,1,1
23,"7","No",6,6,7,6,6,2,4,4,2,"Female","33","White","2","6","1","4","1-5","Moderately similar","3","Yes","Utilitarian","Female","White",0,6,2,"IH","ventilator",NA,"2","1",1,1,1
24,"5","No",2,2,6,5,6,5,2,5,3,"Female","25","White","4","5","1","1","11-20","Not at all similar","4","Yes","Non-Utilitarian","Female","White",0,4,4,"IH","ventilator","Utilitarian","3","7",NA,NA,NA
24,"5","No",2,2,6,5,6,5,2,5,3,"Female","25","White","4","5","1","1","11-20","Not at all similar","4","Yes","Non-Utilitarian","Female","White",0,4,4,"IB","medicine",NA,"7","7",2,2,2
24,"5","No",2,2,6,5,6,5,2,5,3,"Female","25","White","4","5","1","1","11-20","Not at all similar","4","Yes","Non-Utilitarian","Female","White",0,4,4,"IB","ppe",NA,"7","7",3,3,3
25,"6","Yes",5,5,3,3,5,3,3,3,5,"Female","47","White","2","8","2","6","1-5","Slightly similar","4","Yes","Utilitarian","Female","White",0,5,4,"IH","lockdown",NA,"3","2",2,3,2.5
25,"6","Yes",5,5,3,3,5,3,3,3,5,"Female","47","White","2","8","2","6","1-5","Slightly similar","4","Yes","Utilitarian","Female","White",0,5,4,"IB","medicine","Non-Utilitarian","5","2",NA,NA,NA
25,"6","Yes",5,5,3,3,5,3,3,3,5,"Female","47","White","2","8","2","6","1-5","Slightly similar","4","Yes","Utilitarian","Female","White",0,5,4,"IH","ventilator",NA,"2","2",5,5,5
26,"6","No",1,1,2,2,5,5,5,7,5,"Male","24","White","4","4","2","1","1-5","Slightly similar","2","Yes","Utilitarian","Male","White",0,3,5,"IH","ventilator",NA,"4","2",3,3,3
26,"6","No",1,1,2,2,5,5,5,7,5,"Male","24","White","4","4","2","1","1-5","Slightly similar","2","Yes","Utilitarian","Male","White",0,3,5,"IB","medicine","Utilitarian","6","3",NA,NA,NA
26,"6","No",1,1,2,2,5,5,5,7,5,"Male","24","White","4","4","2","1","1-5","Slightly similar","2","Yes","Utilitarian","Male","White",0,3,5,"IH","lockdown",NA,"3","2",2,2,2
27,"4","No",1,3,3,2,1,4,1,5,5,"Male","34","White","4","9","1","2","6-10","Slightly similar","2","No","Non-Utilitarian","Male","White",1,1,4.5,"IH","ventilator",NA,"4","4",4,4,4
27,"4","No",1,3,3,2,1,4,1,5,5,"Male","34","White","4","9","1","2","6-10","Slightly similar","2","No","Non-Utilitarian","Male","White",1,1,4.5,"IB","ppe","Utilitarian","4","4",NA,NA,NA
27,"4","No",1,3,3,2,1,4,1,5,5,"Male","34","White","4","9","1","2","6-10","Slightly similar","2","No","Non-Utilitarian","Male","White",1,1,4.5,"IH","lockdown",NA,"4","2",4,3,3.5
28,"6","Unsure",4,5,5,5,4,2,5,3,5,"Male,Female","26","Black or African American","5","9","2","3","1-5","Slightly similar","3","Yes","Utilitarian","Other","Black",0,4,3.5,"IB","medicine","Utilitarian","7","7",NA,NA,NA
28,"6","Unsure",4,5,5,5,4,2,5,3,5,"Male,Female","26","Black or African American","5","9","2","3","1-5","Slightly similar","3","Yes","Utilitarian","Other","Black",0,4,3.5,"IH","lockdown",NA,"3","3",5,6,5.5
28,"6","Unsure",4,5,5,5,4,2,5,3,5,"Male,Female","26","Black or African American","5","9","2","3","1-5","Slightly similar","3","Yes","Utilitarian","Other","Black",0,4,3.5,"IH","ventilator",NA,"6","3",6,6,6
29,"5","No",2,2,5,5,5,1,2,1,3,"Female","28","White","4","7","4","7","6-10","Not at all similar","3","Yes","Non-Utilitarian","Female","White",0,3.5,2,"IB","medicine",NA,"7","3",3,4,3.5
29,"5","No",2,2,5,5,5,1,2,1,3,"Female","28","White","4","7","4","7","6-10","Not at all similar","3","Yes","Non-Utilitarian","Female","White",0,3.5,2,"IH","lockdown","Non-Utilitarian","4","3",NA,NA,NA
29,"5","No",2,2,5,5,5,1,2,1,3,"Female","28","White","4","7","4","7","6-10","Not at all similar","3","Yes","Non-Utilitarian","Female","White",0,3.5,2,"IB","ppe",NA,"7","3",3,4,3.5
30,"4","No",6,5,6,2,5,5,4,5,5,"Male","20","White,Asian","2","1","3","3","6-10","Slightly similar","4","Yes","Non-Utilitarian","Male","Other",0,5.5,5,"IH","lockdown","Non-Utilitarian","4","4",NA,NA,NA
30,"4","No",6,5,6,2,5,5,4,5,5,"Male","20","White,Asian","2","1","3","3","6-10","Slightly similar","4","Yes","Non-Utilitarian","Male","Other",0,5.5,5,"IB","ppe",NA,"6","5",4,4,4
30,"4","No",6,5,6,2,5,5,4,5,5,"Male","20","White,Asian","2","1","3","3","6-10","Slightly similar","4","Yes","Non-Utilitarian","Male","Other",0,5.5,5,"IB","medicine",NA,"6","2",5,4,4.5
31,"7","No",4,3,7,6,6,2,2,3,2,"Male","21","White","2","2","1","1","1-5","Slightly similar","4","Yes","Non-Utilitarian","Male","White",0,5,2,"IH","ventilator",NA,"5","1",4,6,5
31,"7","No",4,3,7,6,6,2,2,3,2,"Male","21","White","2","2","1","1","1-5","Slightly similar","4","Yes","Non-Utilitarian","Male","White",0,5,2,"IH","lockdown",NA,"1","1",6,6,6
31,"7","No",4,3,7,6,6,2,2,3,2,"Male","21","White","2","2","1","1","1-5","Slightly similar","4","Yes","Non-Utilitarian","Male","White",0,5,2,"IB","medicine","Utilitarian","7","7",NA,NA,NA
32,"5","Yes",6,3,4,4,5,3,4,4,3,"Male","20","Hispanic, Latino, or Spanish origin","1","2","1","1","0","Not at all similar","4","Yes","Non-Utilitarian","Male","Other",0,5.5,3,"IB","medicine",NA,"4","1",4,5,4.5
32,"5","Yes",6,3,4,4,5,3,4,4,3,"Male","20","Hispanic, Latino, or Spanish origin","1","2","1","1","0","Not at all similar","4","Yes","Non-Utilitarian","Male","Other",0,5.5,3,"IB","ppe",NA,"4","1",4,5,4.5
32,"5","Yes",6,3,4,4,5,3,4,4,3,"Male","20","Hispanic, Latino, or Spanish origin","1","2","1","1","0","Not at all similar","4","Yes","Non-Utilitarian","Male","Other",0,5.5,3,"IH","ventilator","Utilitarian","4","3",NA,NA,NA
33,"5","No",6,5,6,1,3,5,2,3,5,"Male","20","White","2","1","1","1","0",NA,"2","Yes","Utilitarian","Male","White",0,4.5,5,"IH","lockdown",NA,"1","1",2,2,2
33,"5","No",6,5,6,1,3,5,2,3,5,"Male","20","White","2","1","1","1","0",NA,"2","Yes","Utilitarian","Male","White",0,4.5,5,"IH","ventilator",NA,"4","5",4,4,4
33,"5","No",6,5,6,1,3,5,2,3,5,"Male","20","White","2","1","1","1","0",NA,"2","Yes","Utilitarian","Male","White",0,4.5,5,"IB","ppe","Utilitarian","7","7",NA,NA,NA
34,"6","No",2,4,2,2,5,2,2,2,3,"Male","28","White","4","3","2","1","6-10","Not at all similar","5","Yes","Utilitarian","Male","White",0,3.5,2.5,"IB","ppe",NA,"5","3",5,6,5.5
34,"6","No",2,4,2,2,5,2,2,2,3,"Male","28","White","4","3","2","1","6-10","Not at all similar","5","Yes","Utilitarian","Male","White",0,3.5,2.5,"IH","lockdown","Non-Utilitarian","3","3",NA,NA,NA
34,"6","No",2,4,2,2,5,2,2,2,3,"Male","28","White","4","3","2","1","6-10","Not at all similar","5","Yes","Utilitarian","Male","White",0,3.5,2.5,"IB","medicine",NA,"3","3",5,6,5.5
35,"2","Yes",1,1,1,1,2,1,1,6,6,"Male","22","White","4","4","5","2","1-5","Moderately similar","3","Yes","Non-Utilitarian","Male","White",0,1.5,3.5,"IH","ventilator",NA,"4","1",5,6,5.5
35,"2","Yes",1,1,1,1,2,1,1,6,6,"Male","22","White","4","4","5","2","1-5","Moderately similar","3","Yes","Non-Utilitarian","Male","White",0,1.5,3.5,"IB","medicine","Non-Utilitarian","4","1",NA,NA,NA
35,"2","Yes",1,1,1,1,2,1,1,6,6,"Male","22","White","4","4","5","2","1-5","Moderately similar","3","Yes","Non-Utilitarian","Male","White",0,1.5,3.5,"IH","lockdown",NA,"3","5",4,4,4
36,"7","No",5,7,7,6,6,3,3,2,1,"Female","21","White","2","3","3","5","1-5","Not at all similar","3","Yes","Utilitarian","Female","White",0,5.5,2,"IB","medicine",NA,"6","7",4,4,4
36,"7","No",5,7,7,6,6,3,3,2,1,"Female","21","White","2","3","3","5","1-5","Not at all similar","3","Yes","Utilitarian","Female","White",0,5.5,2,"IH","ventilator","Non-Utilitarian","3","1",NA,NA,NA
36,"7","No",5,7,7,6,6,3,3,2,1,"Female","21","White","2","3","3","5","1-5","Not at all similar","3","Yes","Utilitarian","Female","White",0,5.5,2,"IB","ppe",NA,"6","7",4,4,4
37,"4","No",4,4,5,3,4,3,4,1,3,"Male","35","Black or African American","1","2","1","7","0","Very similar","5","Yes","Non-Utilitarian","Male","Black",0,4,3,"IB","ppe","Utilitarian","6","7",NA,NA,NA
37,"4","No",4,4,5,3,4,3,4,1,3,"Male","35","Black or African American","1","2","1","7","0","Very similar","5","Yes","Non-Utilitarian","Male","Black",0,4,3,"IH","ventilator",NA,"1","1",6,7,6.5
37,"4","No",4,4,5,3,4,3,4,1,3,"Male","35","Black or African American","1","2","1","7","0","Very similar","5","Yes","Non-Utilitarian","Male","Black",0,4,3,"IH","lockdown",NA,"1","1",6,7,6.5
38,"6","Yes",3,3,6,3,6,2,5,2,2,"Female","28","White","4","6","4","1","0",NA,"4","Yes","Non-Utilitarian","Female","White",0,4.5,2,"IH","ventilator",NA,"3","3",4,4,4
38,"6","Yes",3,3,6,3,6,2,5,2,2,"Female","28","White","4","6","4","1","0",NA,"4","Yes","Non-Utilitarian","Female","White",0,4.5,2,"IB","medicine","Utilitarian","4","2",NA,NA,NA
38,"6","Yes",3,3,6,3,6,2,5,2,2,"Female","28","White","4","6","4","1","0",NA,"4","Yes","Non-Utilitarian","Female","White",0,4.5,2,"IH","lockdown",NA,"3","2",5,4,4.5
39,"6","No",4,3,6,4,3,2,2,1,1,"Female","21","White","2","1","3","1","1-5","Not at all similar","4","Yes","Utilitarian","Female","White",0,3.5,1.5,"IB","medicine",NA,"7","7",4,7,5.5
39,"6","No",4,3,6,4,3,2,2,1,1,"Female","21","White","2","1","3","1","1-5","Not at all similar","4","Yes","Utilitarian","Female","White",0,3.5,1.5,"IH","lockdown","Non-Utilitarian","3","5",NA,NA,NA
39,"6","No",4,3,6,4,3,2,2,1,1,"Female","21","White","2","1","3","1","1-5","Not at all similar","4","Yes","Utilitarian","Female","White",0,3.5,1.5,"IB","ppe",NA,"4","7",4,6,5
40,"7","No",5,5,7,7,5,2,1,1,5,"Male","24","White","2","2","2","1","0","Not at all similar","4","Yes","Utilitarian","Male","White",0,5,3.5,"IB","ppe","Non-Utilitarian","7","7",NA,NA,NA
40,"7","No",5,5,7,7,5,2,1,1,5,"Male","24","White","2","2","2","1","0","Not at all similar","4","Yes","Utilitarian","Male","White",0,5,3.5,"IH","ventilator",NA,"3","4",4,3,3.5
40,"7","No",5,5,7,7,5,2,1,1,5,"Male","24","White","2","2","2","1","0","Not at all similar","4","Yes","Utilitarian","Male","White",0,5,3.5,"IH","lockdown",NA,"1","1",1,2,1.5
41,"6","Yes",4,5,6,5,4,2,2,1,5,"Male","31","White","4","9","2","3","1-5","Not at all similar","3","Yes","Utilitarian","Male","White",0,4,3.5,"IH","ventilator",NA,"4","5",4,4,4
41,"6","Yes",4,5,6,5,4,2,2,1,5,"Male","31","White","4","9","2","3","1-5","Not at all similar","3","Yes","Utilitarian","Male","White",0,4,3.5,"IB","ppe","Utilitarian","6","5",NA,NA,NA
41,"6","Yes",4,5,6,5,4,2,2,1,5,"Male","31","White","4","9","2","3","1-5","Not at all similar","3","Yes","Utilitarian","Male","White",0,4,3.5,"IH","lockdown",NA,"3","2",2,2,2
42,"6","No",1,1,1,1,1,1,1,7,1,"Male","60","White,Hispanic, Latino, or Spanish origin,Middle Eastern or North African","2","8","4","5","1-5","Not at all similar","1","Yes","Non-Utilitarian","Male","Other",0,1,1,"IB","medicine","Non-Utilitarian","4","1",NA,NA,NA
