StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q109,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,self_esteem_1,Q108_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots
4/29/2020,4/29/2020,0,94.67.90.236,100,888,1,4/29/2020,R_2zYcDAmC1uBbrvY, , , , ,40.6381073,22.94549561,anonymous,EN,8,10,0,10,10,10,0,6,10,10,10,10,10,10,10,10,100,0,0,0,2,0,0,0,6,0,0,0,0,0,2,8,10,10,3,3,8,8,10,8,7,3,10,1,2,3,2,2,8,2,4,9,9,3,0,0,0,1,7,0,2,10,10,0,0,2,7,0,2,2,10,80,80,4,4,9,25,3,7,2, ,23,2,0,4, ,6,1,1,1,213
4/29/2020,4/29/2020,0,79.130.235.50,100,843,1,4/29/2020,R_3KI5zUlPB4QXrrt, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,0,10,9,9,10,10,10,10,10,8,8,3,3,10,100,0,0,0,3,5,7,7,10,10,5,3,3,5,5,8,7,3,3,8,7,6,8,8,5,7,5,7,7,6,7,7,7,4,8,7,1,7,0,6,5,10,6,6,8,10,9,6,0,7,6,1,2,8,10,40,50,8,7,10,25,3,7,1, ,21,1,0,4, ,5,1,1,1,213
4/29/2020,4/29/2020,0,85.72.38.13,100,895,1,4/29/2020,R_3fO8xjOTvpQu6fl, , , , ,40.6381073,22.94549561,anonymous,EN,8,10,0,10,10,10,6,10,10,7,10,10,10,10,10,10,20,80,0,6,7,0,0,0,4,4,0,0,0,0,2,8,8,10,1,1,3,9,10,6,8,1,0,10,9,6,6,10,8,4,10,1,0,5,0,0,8,0,8,7,0,7,8,6,0,7,3,5,6,6,7,30,20,8,14,7,50,300,4,1, ,36,3,1,1, ,6,1,1,1,213
4/29/2020,4/29/2020,0,85.73.196.145,100,618,1,4/29/2020,R_UzQ4YlRa98DTB3H, , , , ,38.94999695,20.75,anonymous,EN,8,9,2,10,10,10,9,9,8,4,10,10,10,3,9,10,100,0,0,2,5,0,3,1,9,6,0,0,0,0,3,4,7,8,0,2,6,7,8,8,4,3,8,8,8,7,8,7,8,9,3,3,3,8,0,3,3,7,6,3,4,9,8,2,0,2,8,2,7,3,8,70,70,1,9,8,25,3,7,1, ,30,2,0,1, ,6,1,1,1,213
4/29/2020,4/29/2020,0,85.75.17.202,100,636,1,4/29/2020,R_2DLC0b1zYa7Z3ZO, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,0,9,9,10,8,7,10,9,9,10,9,9,9,10,100,0,0,4,4,3,5,3,6,6,0,0,0,0,5,9,8,8,2,2,7,6,7,3,6,5,6,5,4,6,7,8,7,7,6,4,2,6,0,3,7,6,5,5,6,9,6,4,0,4,4,2,1,4,6,20,40,3,4,4,0,3,4,1, ,20,1,0,4, ,5,1,1,1,213
4/29/2020,4/29/2020,0,2.86.87.185,100,939,1,4/29/2020,R_TbiKTPwr3WWZZIt, , , , ,37.98420715,23.73530579,anonymous,EN,8,2,9,3,1,7,9,9,10,10,10,9,9,8,7,9,10,70,20,3,3,1,1,1,8,6,2,1,2,1,4,10,10,10,1,2,7,6,7,8,8,8,8,8,8,6,8,8,10,2,9,1,0,7,8,0,6,0,7,3,0,8,8,1,0,7,7,1,6,7,8,10,20,2,4,9,25,300,4,2, ,22,2,0,4, ,4,1,1,1,213
4/29/2020,4/29/2020,0,85.72.237.135,100,752,1,4/29/2020,R_32VDc9Edr32iqIa, , , , ,39.36669922,22.94580078,anonymous,EN,8,10,0,6,5,10,5,8,9,2,9,10,10,2,9,9,10,60,30,3,3,1,5,2,5,1,0,3,0,1,4,8,10,9,0,1,3,8,8,8,9,9,4,2,4,3,5,5,6,5,4,2,7,6,0,1,5,3,6,1,9,7,6,5,2,5,6,4,3,5,6,40,70,3,3,8,25,3,7,1, ,24,2,0,4, ,5,1,1,1,213
4/29/2020,4/29/2020,0,94.67.190.182,100,704,1,4/29/2020,R_6VUrYRu1vewiaGJ, , , , ,40.84750366,25.87440491,anonymous,EN,8,10,0,5,10,10,3,5,10,4,10,10,10,6,10,10,20,40,40,5,3,0,5,5,5,1,0,0,0,0,4,0,9,10,1,1,0,0,0,0,0,10,10,8,6,5,4,4,4,6,8,5,6,2,0,0,5,0,2,5,2,10,9,2,0,6,0,0,7,7,9,10,30,5,14,6,25,3,7,2, ,23,2,0,4, ,3,1,1,1,213
4/29/2020,4/29/2020,0,2.86.73.124,100,1121,1,4/29/2020,R_3mZSLF5SJKDdBca, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,0,8,10,10,7,7,10,10,10,10,10,10,10,10,0,70,30,5,4,0,2,5,8,8,0,0,0,0,3,9,9,9,0,3,5,5,8,7,5,5,1,7,7,6,5,6,7,6,7,5,6,5,0,0,8,0,7,8,2,10,8,8,1,8,8,2,3,2,8,20,70,8,16,7,50,300,4,2, ,21,2,0,4, ,6,1,1,1,213
4/29/2020,4/29/2020,0,195.134.83.173,100,955,1,4/29/2020,R_22laX6Z3EN5yw3Y, , , , ,37.96409607,23.63639832,anonymous,EN,8,5,0,8,8,10,8,8,10,0,6,10,10,10,10,10,80,10,10,5,7,0,0,0,8,8,0,0,0,0,2,10,10,10,0,0,9,7,9,7,3,7,8,8,5,3,3,7,9,7,8,3,0,8,0,3,6,3,5,3,0,10,10,0,0,7,5,0,0,7,10,70,80,4,4,9,25,3,7,2, ,26,2,0,1, ,3,1,1,2,213
4/29/2020,4/29/2020,0,85.72.146.90,100,632,1,4/29/2020,R_3flaZRDWjcxye7K, , , , ,38.62139893,21.4078064,anonymous,EN,8,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,60,20,20,7,7,2,3,1,10,3,9,9,0,8,0,8,9,9,1,1,6,1,1,7,2,7,2,7,6,6,3,8,10,7,10,2,0,7,0,6,8,0,6,7,10,7,7,4,1,7,3,7,4,6,6,0,70,6,5,7,50,300,2,1, ,24,1,0,3, ,5,1,1,1,213
4/29/2020,4/29/2020,0,185.44.147.166,100,668,1,4/29/2020,R_3iCOCXa8MqZSTz9, , , , ,41.08560181,23.54969788,anonymous,EN,8,10,0,10,10,10,10,10,10,10,10,10,10,6,6,8,100,0,0,5,3,0,0,0,1,1,0,0,0,0,2,2,4,2,0,1,4,5,4,6,0,6,6,4,7,3,5,5,7,7,6,6,8,6,0,0,5,6,7,2,6,7,7,1,0,4,1,4,4,4,5,10,30,4,14,3,25,3,1,1, ,25,2,0,4, ,6,2,1,1,213
4/29/2020,4/29/2020,0,94.67.238.121,100,710,1,4/29/2020,R_O858PgRWhz6Lda9, , , , ,40.6381073,22.94549561,anonymous,EN,8,9,2,6,9,10,8,9,10,5,10,10,10,10,10,10,0,50,50,6,6,2,3,2,5,5,0,0,0,0,3,8,9,9,1,0,9,9,7,4,3,2,2,7,8,6,7,7,9,6,8,8,4,4,0,0,3,1,3,5,3,8,8,1,0,2,3,3,4,4,7,50,50,5,4,4,25,3,7,1, ,41,3,2,1, ,6,1,1,1,213
4/29/2020,4/29/2020,0,79.167.105.253,100,664,1,4/29/2020,R_1j8iX8rOlo2Pgot, , , , ,37.98420715,23.73530579,anonymous,EN,8,9,0,3,10,10,7,10,7,0,10,8,10,3,10,10,100,0,0,3,4,7,5,3,8,4,0,0,0,6,8,10,10,10,1,10,10,9,10,7,4,7,7,2,3,3,3,5,6,6,8,10,6,3,0,0,2,6,6,2,9,8,8,6,1,0,6,3,5,7,8,60,30,6,11,6,25,3,7,1, ,24,1,0,4, ,5,1,1,1,213
4/29/2020,4/29/2020,0,94.71.19.214,100,708,1,4/29/2020,R_3KIVzm3BPs4FzL5, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,0,7,9,10,10,10,10,10,10,10,10,10,10,10,40,30,30,9,4,0,2,2,5,5,0,0,0,0,5,10,10,10,0,0,10,9,10,10,9,3,0,10,10,10,10,10,10,10,10,10,0,10,0,0,2,5,2,2,7,10,10,0,0,7,2,2,4,1,5,10,70,3,16,10,50,300,7,1, ,28,2,0,3, ,6,1,1,1,213
4/29/2020,4/29/2020,0,77.49.210.237,100,700,1,4/29/2020,R_3LbeUZJr8u92oy0, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,0,9,9,10,8,10,10,7,10,10,10,4,10,10,0,100,0,7,8,1,0,0,5,1,0,0,0,0,3,0,10,10,0,1,7,8,5,3,3,6,6,4,6,6,4,7,9,4,7,7,6,8,0,3,6,1,6,6,0,9,7,0,0,5,4,1,0,0,8,70,70,2,3,7,25,3,7,1, ,39,3,0,1, ,4,1,1,1,213
4/29/2020,4/29/2020,0,5.54.19.246,100,976,1,4/29/2020,R_31o8HCLg02qYuNU, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,2,9,9,10,10,9,10,0,9,10,4,6,8,10,75,25,0,8,3,7,6,4,10,8,0,0,5,5,3,3,7,5,1,2,7,6,7,6,4,7,6,5,4,6,4,6,7,7,5,3,7,8,0,6,5,5,8,4,5,9,9,8,1,7,6,2,6,7,6,100,70,5,14,7,50,3,7,1, ,19,1,0,4, ,6,1,1,1,213
4/29/2020,4/29/2020,0,79.130.128.23,100,1127,1,4/29/2020,R_2uNYyarb0XcY4UY, , , , ,37.98420715,23.73530579,anonymous,EN,8,9,1,9,10,6,8,10,10,10,10,10,10,3,10,10,50,20,30,6,5,1,8,0,10,6,0,0,0,0,4,10,10,10,1,1,9,8,1,9,2,8,2,10,10,3,2,7,8,4,8,9,7,6,0,1,6,3,8,3,7,8,9,3,0,4,7,1,1,3,9,70,90,5,16,6,50,3,7,1, ,24,2,0,4, ,6,1,1,1,213
4/29/2020,4/29/2020,0,79.167.151.210,100,903,1,4/29/2020,R_2YDlitxAsiPLRKh, , , , ,37.98420715,23.73530579,anonymous,EN,8,9,1,8,8,10,7,7,10,4,8,10,10,9,10,10,60,30,10,3,3,4,6,5,10,8,2,2,2,2,6,7,6,8,3,3,7,6,6,6,7,4,4,3,2,6,6,6,8,3,4,9,10,3,0,6,3,6,4,3,3,7,7,4,2,7,3,3,3,4,6,10,70,6,10,2,50,900,4,1, ,22,1,0,3, ,7,1,1,1,213
4/29/2020,4/29/2020,0,62.1.165.231,100,811,1,4/29/2020,R_2q9IkONg2u3Pnpa, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,5,10,10,10,9,10,10,10,10,5,5,10,10,10,0,0,100,2,6,0,2,3,10,0,0,0,0,0,7,10,10,10,0,0,9,6,3,6,3,7,7,5,5,7,2,2,5,6,7,4,6,2,0,6,0,1,2,0,9,10,5,4,0,5,4,5,3,5,8,80,100,3,14,8,25,300,7,1, ,19,1,0,4, ,5,1,1,1,213
4/29/2020,4/29/2020,0,176.58.195.177,100,1046,1,4/29/2020,R_3FOpI8dzNAuhX2T, , , , ,37.98420715,23.73530579,anonymous,EN,8,9,1,9,9,10,10,10,10,10,9,10,10,8,10,10,80,20,0,4,6,1,1,1,6,2,1,1,1,1,4,7,9,7,2,3,7,7,9,7,8,8,9,6,5,6,4,5,7,9,8,3,8,4,0,3,4,3,6,3,6,9,9,4,0,6,7,1,3,2,8,10,20,4,10,9,25,3,7,1, ,38,3,1,1, ,3,1,1,1,213
4/29/2020,4/29/2020,0,77.49.8.24,100,906,1,4/29/2020,R_0SwjqqixDy9hqkF, , , , ,40.6381073,22.94549561,anonymous,EN,8,10,0,9,10,10,10,8,9,9,10,8,10,6,8,10,20,30,50,6,6,0,4,3,8,8,3,3,4,6,0,10,10,10,0,0,10,10,10,10,2,3,8,10,8,9,10,10,10,9,9,1,0,9,0,2,9,0,10,7,0,10,10,2,0,8,5,2,9,6,10,80,90,2,12,10,50,300,4,1, ,34,1,0,1, ,8,1,1,1,213
4/29/2020,4/29/2020,0,80.107.26.37,100,632,1,4/29/2020,R_OxpGNQhTZ0NRnZD, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,0,0,10,10,7,7,10,10,10,10,10,10,10,10,0,50,50,6,7,1,2,0,0,0,0,0,0,0,4,6,6,7,1,3,4,5,5,5,5,5,5,8,8,3,0,0,7,7,8,0,4,6,0,3,5,6,3,2,9,6,6,2,2,10,9,6,7,0,6,60,60,2,16,7,50,3000,24,2, ,41,2,0,1, ,6,1,1,2,213
4/29/2020,4/29/2020,0,94.67.3.18,100,999,1,4/29/2020,R_2v1wKWIUctoxdE7, , , , ,40.6381073,22.94549561,anonymous,EN,8,10,0,10,10,10,9,10,10,10,10,10,10,10,10,10,20,80,0,8,8,2,5,5,10,10,5,5,5,5,3,10,10,10,0,0,10,6,10,10,4,0,10,1,5,5,5,8,10,4,8,8,5,1,0,6,7,0,7,7,5,10,10,5,0,5,5,0,1,8,10,90,80,5,11,6,25,3,7,2, ,38,2,0,1, ,5,1,1,1,213
4/29/2020,4/29/2020,0,94.66.223.81,100,869,1,4/29/2020,R_vYJFV7uYwqZLHDX, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,6,8,9,10,7,6,4,3,8,7,10,10,10,10,60,20,20,3,4,1,8,6,10,10,9,3,6,3,3,8,9,9,1,2,6,7,8,7,7,3,3,9,8,7,8,9,8,8,9,7,3,7,7,4,8,2,9,6,2,9,9,3,1,3,3,2,8,5,9,80,80,5,15,7,50,900,4,1, ,22,2,0,4, ,4,2,1,1,213
4/29/2020,4/29/2020,0,45.139.213.188,100,822,1,4/29/2020,R_cAAMpj18TZIEoH7, , , , ,40.6381073,22.94549561,anonymous,EN,8,10,0,10,10,10,10,7,10,6,10,10,5,0,0,2,30,40,30,7,8,0,0,0,8,6,4,5,8,9,3,10,10,10,0,1,10,8,8,10,3,8,8,10,10,4,5,10,6,3,10,10,2,10,0,0,0,10,8,8,2,10,6,0,0,6,6,0,0,2,7,0,10,2,10,7,25,3,7,1, ,56,2,1,2, ,3,1,1,1,213
4/29/2020,4/29/2020,0,2.86.12.85,100,1080,1,4/29/2020,R_1QckdxgrV5R3ufo, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,6,7,6,10,10,9,10,8,7,10,8,4,5,10,30,70,0,5,4,5,6,6,9,7,8,3,3,2,6,7,7,8,3,3,7,7,7,7,8,8,3,6,7,8,5,9,9,8,8,3,2,7,7,4,6,3,7,5,4,8,8,8,3,9,7,7,4,2,7,30,70,6,9,7,50,3,5,1, ,32,2,0,1, ,4,1,1,1,213
4/29/2020,4/29/2020,0,2.85.229.204,100,764,1,4/29/2020,R_3fwwYr3pFo2wYnM, , , , ,40.6381073,22.94549561,anonymous,EN,8,9,0,7,9,10,5,5,10,7,10,9,9,4,9,9,20,60,20,9,4,1,2,0,8,8,3,1,3,3,1,9,10,10,0,0,7,9,9,8,7,9,9,8,9,7,8,10,9,6,7,5,6,2,0,6,7,0,7,7,0,10,10,3,0,9,3,0,3,8,10,30,60,7,16,5,25,3,7,1, ,34,1,0,3, ,6,1,1,1,213
4/29/2020,4/29/2020,0,85.75.149.7,100,691,1,4/29/2020,R_12cqi0EM4piHecZ, , , , ,36.41670227,25.43330383,anonymous,EN,8,10,0,9,10,10,2,7,9,0,10,10,10,2,8,10,100,0,0,7,7,0,0,0,0,0,0,0,0,0,3,7,10,10,0,0,9,10,8,5,1,10,8,9,10,5,5,6,10,3,2,6,7,5,0,0,6,2,1,0,0,10,9,5,0,1,3,0,1,0,7,0,20,1,9,7,25,3,7,2, ,33,3,1,3, ,6,1,1,1,213
4/29/2020,4/29/2020,0,79.107.150.230,100,1018,1,4/29/2020,R_3M3w62PFcFDeL36, , , , ,37.0388031,22.10780334,anonymous,EN,8,10,0,10,6,10,10,10,10,10,10,10,10,3,10,10,50,40,10,6,6,0,8,5,10,10,0,0,0,0,0,10,10,9,0,0,10,10,7,10,8,10,9,8,8,7,7,7,10,7,8,2,2,4,0,0,5,0,7,3,0,10,10,5,0,7,5,0,7,7,10,70,70,3,14,7,25,3,7,2, ,24,2,0,3, ,5,1,1,1,213
4/29/2020,4/29/2020,0,94.68.223.171,100,733,1,4/29/2020,R_OBXX6YGU1rHjsJz, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,0,9,10,10,9,9,10,4,10,8,3,6,7,7,100,0,0,7,7,0,0,0,5,4,3,1,0,0,4,7,7,9,1,4,6,6,8,7,2,4,9,6,6,2,2,3,1,3,4,6,7,5,0,5,0,3,2,0,4,7,7,2,0,3,5,4,0,0,4,90,60,3,1,7,25, ,7,1, ,25,2,0,4, ,4,1,1,1,213
4/29/2020,4/29/2020,0,178.59.205.99,100,739,1,4/29/2020,R_2qlnMQf1MbcpOAH, , , , ,37.98420715,23.73530579,anonymous,EN,8,9,3,4,9,10,10,8,6,4,2,10,3,7,3,6,60,30,10,2,4,6,7,7,10,9,7,6,6,7,9,3,7,7,6,8,7,6,8,7,10,7,0,7,6,6,6,6,8,1,6,9,4,4,8,10,9,10,10,7,7,6,6,7,2,7,6,6,6,6,6,10,40,9,11,9,50,300,4,1, ,53,1,0,3, ,5,1,1,1,213
4/29/2020,4/29/2020,0,83.212.129.166,100,985,1,4/29/2020,R_2z5CtmSptkqPKGZ, , , , ,41.1414032,24.88360596,anonymous,EN,8,9,3,4,2,6,7,6,9,6,9,8,8,6,6,5,80,5,15,2,4,1,1,1,6,4,5,5,4,7,0,10,10,9,0,0,8,6,9,9,0,5,2,8,8,6,5,7,8,7,8,7,5,8,0,3,7,1,9,2,4,9,10,5,2,6,1,0,6,8,9,60,40,0,9,5,25,300,7,2, ,27,1,0,3, ,4,1,1,1,213
4/29/2020,4/29/2020,0,2.84.43.125,100,1295,1,4/29/2020,R_NXfz7qb37SqofIJ, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,0,10,10,10,6,7,10,7,8,8,8,8,8,8,96,2,2,7,7,0,0,0,6,0,0,0,0,0,8,9,10,10,0,1,4,4,4,2,2,6,6,7,7,4,3,6,7,9,8,8,7,7,7,6,4,2,6,4,1,8,9,4,1,6,6,3,0,0,6,30,20,6,16,7,50,3,4,2, ,21,2,0,4, ,5,1,1,1,213
4/29/2020,4/29/2020,0,79.166.106.126,100,968,1,4/29/2020,R_RD2GeFn3RxCPz69, , , , ,37.98420715,23.73530579,anonymous,EN,8,8,6,7,8,8,6,8,10,5,8,10,10,6,10,10,80,15,5,3,3,0,1,0,2,2,0,0,0,0,0,9,10,9,0,0,7,8,8,6,1,6,7,3,3,8,6,7,8,6,6,7,6,3,0,4,1,0,9,1,0,10,8,4,0,6,8,1,0,7,9,40,40,3,14,7,25,300,4,2, ,20,2,0,4, ,8,1,1,1,213
4/29/2020,4/29/2020,0,37.6.1.232,100,749,1,4/29/2020,R_6mqEkAW5cYL9Pcl, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,3,9,4,9,10,10,10,10,10,10,9,10,10,10,30,40,30,4,6,3,3,4,10,9,0,0,0,3,8,10,10,10,0,5,10,10,10,10,10,3,2,7,7,2,3,3,4,10,10,4,0,6,0,0,9,0,10,9,0,10,10,7,1,10,10,1,6,10,10,70,100,5,9,7,50,9000,8,2, ,31,1,0,3, ,8,1,1,1,213
4/29/2020,4/29/2020,0,79.131.8.119,100,1029,1,4/29/2020,R_2xG0pBtqnC3MgxE, , , , ,37.79179382,20.90289307,anonymous,EN,8,9,4,7,4,9,7,8,10,7,5,10,10,6,8,10,90,10,0,8,8,5,7,5,8,6,1,3,2,2,2,10,10,10,0,0,7,5,7,8,5,8,5,6,8,7,5,8,8,4,8,3,3,8,0,2,8,5,8,5,3,9,9,5,1,6,7,2,5,6,8,30,30,4,11,10,25,3,7,2, ,21,2,0,4, ,5,1,1,1,213
