RecordedDate,Duration__in_seconds_,Progress,ResponseId,Country,Language,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_4,physical_hygiene_5,physical_hygiene_6,physical_hygiene_8,policy_support_1,policy_support_4,policy_support_5,policy_support_6,policy_support_9,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,self_esteem_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,edu,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,AttCheck2,weight,weight_trimmed_0.999,weight_trimmed_0.995,weight_trimmed_0.990
4/24/2020,899,100,R_1dtBJfmujKT9fkc,the Netherlands,NL,3,2,4,8,8,6,6,2,2,6,2,2,2,3,5,90,7,3,6,7,6,6,6,7,7,2,2,1,3,6,6,6,6,2,6,6,6,6,6,2,4,6,6,6,4,4,3,4,5,7,7,6,8,6,5,5,5,4,1,5,5,5,4,4,4,3,3,4,3,60,60,9,3,9,50,3,4,1, ,39,1,3,1,1, ,3,2,1,1,213,6,.418843929154691,.421397405711476,.433064190826925,.447865742096152
4/24/2020,2543,100,R_1rdnqlglH1f03Xj,the Netherlands,NL,9,1,10,9,10,8,8,9,5,10,10,10,10,10,10,0,90,10,7,7,1,5,5,10,5,5,1,1,1,5,8,8,8,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,1,1,1,1,1,5,5,2,5,2,2,5,2,1,5,0,0,5,1,2,50,100,4,1, ,81,5,3,2,5, ,6,2,1,1,213,0,.410177051337458,.412730527894242,.424397313009692,.439198864278918
4/28/2020,2419,100,R_3HRGn77puiGT2CW,the Netherlands,NL,9,0,10,10,10,5,6,10,8,8,10,10,7,10,10,0,80,20,7,7,5,7,5,7,6,8,1,1,1,8,9,9,9,0,0,7,6,7,7,6,9,9,7,7,7,7,7,7,7,8,3,1,6,2,2,0,5,1,0,10,10,7,0,7,9,0,8,0,9,60,80,1,11,6,50,300,7,2, ,43,2,3,0,1, ,6,2,1,1,213,0,1.74429642818215,1.74684990473894,1.75851668985439,1.77331824112361
4/26/2020,1690,100,R_0UmhHnchpQtsEaR,the Netherlands,NL,8,6,5,9,9,9,9,8,3,9,6,5,3,8,8,25,75,0,6,7,5,5,5,6,5,1,1,1,1,6,9,7,7,2,5,2,6,8,9,9,4,2,7,6,7,7,8,9,5,6,7,7,8,2,2,2,6,2,2,7,7,3,5,2,2,3,3,3,5,50,50,7,3,3,50,900,2,1, ,68,6,3,2,5, ,4,1,1,1,213,5,2.74201284157693,2.74456631813372,2.75623310324917,2.77103465451839
4/26/2020,968,100,R_1dmCxrkL94PqLb8,the Netherlands,NL,6,7,6,0,6,7,6,2,2,3,0,5,2,4,4,60,40,0,8,8,5,7,6,7,7,1,1,1,1,3,7,8,7,7,6,7,6,10,7,3,3,7,8,8,7,6,8,7,8,9,7,6,9,4,6,6,6,6,6,6,6,4,4,3,2,2,3,3,5,30,50,7,6,7,25,3min,4u,1, ,28,3,3,0,1, ,4,2,1,1,213,0,1.44064658769082,1.4432000642476,1.45486684936305,1.46966840063228
4/25/2020,2466,100,R_1FxgX6wo3PUWNFy,the Netherlands,NL,8,0,4,6,10,8,7,6,0,0,2,5,2,10,10,75,25,0,7,8,6,6,6,10,9,0,0,0,0,7,7,4,7,3,3,8,6,9,7,10,3,3,4,6,8,6,7,7,7,4,5,6,7,7,1,4,6,0,0,10,10,0,0,7,8,1,1,2,10,60,70,7,9,6,50,3,4,1, ,62,5,1,0,6,"WAO 60-80%, Vervroegd Pensioen",4,2,1,1,213,10,.770897037653301,.773450514210085,.785117299325535,.799918850594762
4/24/2020,1422,100,R_1gGgvkbZotnF1WD,the Netherlands,NL,6,7,1,10,10,10,10,10,1,4,6,10,8,10,7,90,5,5,4,3,0,0,0,8,7,0,0,0,0,7,9,10,10,0,7,0,7,8,9,1,3,9,3,3,6,6,5,6,5,6,7,1,8,4,7,8,9,3,4,6,6,1,0,2,1,6,1,1,2,20,20,3,11,9,25,3 minuten,7,1, ,39,3,1,0,6,ZZP,6,1,1,1,213,0,.946842748393123,.949396224949907,.961063010065357,.975864561334583
4/24/2020,7180,100,R_1H6xiTiQt27nvf6,the Netherlands,NL,8,3,8,9,10,8,9,6,3,6,8,8,6,9,8,100,0,0,7,7,2,2,1,8,4,1,1,1,1,4,9,9,9,1,1,5,9,7,8,9,8,8,8,8,8,8,8,7,7,6,9,4,8,3,2,1,2,2,1,8,7,5,1,4,6,3,8,5,5,50,70,3,11,6,50,3 minuten,4,1, ,51,4,2,0,1, ,4,1,1,1,213,0,.325612233493454,.328165710050238,.339832495165688,.354634046434914
4/28/2020,1345,100,R_1l4zxLni8pG4WzH,the Netherlands,NL,7,6,7,8,8,8,8,5,3,9,6,6,4,8,8,90,5,5,6,6,3,3,3,9,5,3,3,3,3,5,8,8,8,3,3, , , , , , , ,4,6,6,6,4,4,5,5,7,5,5,3,3,3,3,3,3,7,4,4,3,4,6,3,3,3,7,50,50,2,1,5,50,3,7,2, ,74,4,1,0,5, ,6,1,1,1,213,0,.903064785019875,.90561826157666,.917285046692109,.932086597961336
4/25/2020,1933,100,R_1mxFvyt3NdxrfOA,the Netherlands,NL,9,0,8,10,10,10,10,10,0,9,10,10,5,10,10,0,60,40,8,8,0,5,1,8,6,0,0,0,0,3,9,10,10,0,1,0,4,7,3,3,2,8,9,9,9,8,9,8,5,8,5,2,8,1,1,6,1,4,1,9,7,0,0,0,0,3,6,5,8,30,50,2,11,9,50cent,300,8,2, ,63,1,3,1,5, ,3,2,1,2,213,0,.325123091826591,.327676568383375,.339343353498825,.354144904768051
4/26/2020,1747,100,R_21GJB27HfJp5Elm,the Netherlands,NL,8,3,8,9,10,6,6,2,0,9,9,10,0,9,9,50,30,20,7,3,0,0,0,10,8,6,0,0,0,3,10,10,10,2,2,9,7,9,5,9,8,10,4,6,10,9,9,10,7,8,7,4,2,6,0,9,5,1,5,10,10,0,0,7,7,1,10,8,9,80,80,7,6,4,50,3,7,1, ,35,3,1,0,6,"Nul uren contract, wel volle werkweken",9,2,1,2,213,0,1.64813252512654,1.65068600168332,1.66235278679877,1.677154338068
4/26/2020,1364,100,R_27fC8CbZf5A6vlm,the Netherlands,NL,9,9,10,10,10,7,7,10,5,10,9,9,6,10,10,50,50,0,6,7,5,5,5,10,8,0,0,0,0,2,10,10,10,0,0,4,4,6,5,5,5,5,4,5,7,8,7,7,5,4,4,6,5,3,0,3,5,3,0,10,8,5,9,5,5,2,5,6,6,50,60,7,12,7,25,3 minuten,7 uur,2, ,37,4,2,2,3, ,8,1,1,1,213,0,.551782340647259,.554335817204044,.566002602319494,.58080415358872
4/24/2020,2018,100,R_2qpDjcHyNB5A8eS,the Netherlands,NL,10,0,10,10,10,0,0,0,0,0,5,10,5,10,10,100,0,0,5,8,5,9,5,10,5,3,3,0,3,5,5,5,5,5,5,5,5,10,7,9,5,9,9,8,7,7,6,4,9,9,6,0,3,5,5,5,5,3,3,9,9,5,1,1,1,5,0,5,8,30,70,3,16,8,"€0,25",1 minuut,6 uur,1, ,69,4,3,3,5, ,5,1,1,1,213,2,3.14306565328924,3.14561912984603,3.15728591496148,3.17208746623071
4/25/2020,3259,100,R_2rMeQ49qKCWp33r,the Netherlands,NL,10,2,9,10,10,1,1,9,0,10,6,6,4,8,7,0,100,0,7,7,4,5,2,10,10,6,4,0,3,5,10,7,9,2,2,9,8,10,8,8,5,10,8,8,7,8,7,6,8,6,5,4,7,4,2,4,6,5,1,10,9,9,0,5,5,0,0,0,10,50,20,7,5,8,25,3 minuten,7 uur,1, ,40,4,2,3,2, ,5,2,1,1,213,10,.997542656490652,1.00009613304744,1.01176291816289,1.02656446943211
5/3/2020,160745,89,R_2vdeMdfnvEHcnqw,the Netherlands,NL,10,0,10,10,10,10,10,10,7,10,8,8,4,10,10,80,20,0,9,8,8,7,5,10,10,0,0,0,0,5,9,9,9,0,0,8,8,2,6,9,0,0,8,8,8,8,9,7,7,9,4,0,9,0,7,0,8,8,0,10,9,8,0,8,8,6,8,6,6,40,90,8,4,9,50ct,300min,4u,1, ,50,1,2,4,1, ,3,1,1,1,213,0,.558003751241181,.560557227797965,.572224012913415,.587025564182642
4/25/2020,1420,100,R_2vZWrF1ggqIqatM,the Netherlands,NL,8,8,10,10,10,10,10,10,5,10,8,9,7,9,10,50,50,0,7,7,0,5,5,2,2,5,5,5,5,1,10,10,10,0,0,5,2,5,5,5,5,5,7,4,8,9,7,6,4,7,7,1,4,6,2,0,3,0,0,9,8,7,0,5,7,0,7,8,10,80,70,4,1,3,50,3,4,2, ,48,4,1,2,3, ,8,1,1,1,213,0,.317962826559934,.320516303116719,.332183088232168,.346984639501395
4/24/2020,2375,100,R_2YDJlMFJ0wcwKCb,the Netherlands,NL,9,1,9,10,10,9,9,6,0,8,9,10,9,10,10,20,30,50,9,9,0,3,0,8,7,0,0,0,0,4,10,10,10,0,1,5,7,9,7,7,9,9,8,8,9,9,9,9,7,9,4,1,9,2,0,1,1,2,0,9,8,0,0,7,8,1,7,7,9,30,20,3,14,9,25 cent,900 minuten,7 uur,2, ,66,1,3,0,5, ,4,1,1,1,213,0,.857923845692524,.860477322249308,.872144107364758,.886945658633984
4/25/2020,3773,100,R_30qa6i22ibnnbdK,the Netherlands,NL,3,7,5,7,10,7,7,5,2,6,5,3,1,4,3,90,7,3,5,7,1,2,1,4,2,7,5,5,4,3,10,10,10,0,4,5,5,9,6,4,5,8,4,5,4,7,5,5,4,3,8,6,5,8,1,4,1,0,1,7,4,0,0,0,0,6,0,0,4,60,60,4,12,5,25 cent,3 minuten,7 uur,1, ,72,4,3,2,5, ,5,2,1,1,213,0,.535920296172841,.538473772729625,.550140557845075,.564942109114302
4/24/2020,1790,100,R_3Ej22u8LcDROiN4,the Netherlands,NL,5,9,3,7,10,6,8,3,1,9,5,10,1,10,8,0,100,0,8,8,1,5,5,8,6,0,0,0,0,2,10,10,10,0,0,0,1,8,8,8,5,8,3,7,5,8,8,7,3,7,9,7,7,1,1,1,1,1,1,8,6,0,0,0,0,5,0,0,3,70,80,7,11,7,25,3,7,1, ,42,3,3,2,1, ,3,1,1,2,213,0,.733109928327634,.735663404884419,.747330189999869,.762131741269095
4/25/2020,2290,100,R_3HLlVUBCKHEs9iN,the Netherlands,NL,8,6,8,10,10,9,9,9,3,5,10,10,8,10,8,90,0,10,10,9,1,0,1,3,4,0,0,0,0,4,4,9,6,1,9,8,8,10,9,8,1,1,9,10,7,7,10,4,10,10,0,1,9,4,6,4,6,4,6,10,6,0,0,8,3,1,0,8,10,10,40,10,2,9,50 cent,3 minuten,7 uur,1, ,55,1,1,0,6,zzp in deeltijd,3,2,1,1,213,0,1.22220217827772,1.2247556548345,1.23642243994995,1.25122399121918
4/26/2020,7447,100,R_3itg8l7EfQ9Ch3B,the Netherlands,NL,9,3,10,10,10,9,9,10,8,0,10,10,2,10,10,80,20,0,9,8,2,8,2,9,9,1,1,1,1,2,10,10,10,0,1,3,1,8,8,3,3,7,8,9,7,6,8,7,8,9,5,1,8,3,4,6,4,4,7,9,9,2,0,7,2,0,8,8,9,50,30,9,8,7,25,3,7,1, ,30,3,2,1,6,Zelfstandige,5,2,1,1,213,0,1.44064658769082,1.4432000642476,1.45486684936305,1.46966840063228
5/1/2020,1157,89,R_3jW38rjR2Ah26T3,the Netherlands,NL,7,0,4,4,10,8,8,3,0,10,8,8,3,7,7,50,25,25,8,8,4,6,7,9,7,0,0,0,0,3,9,8,9,1,1,6,7,4,7,9,7,6,9,10,8,8,9,10,3,4,7,6,7,3,3,6,4,7,7,8,7,3,2,2,7,3,7,0,7,40,60,7,14,8,50,3,4,1, ,42,2,3,3,1, ,3,1,1,1,213,0,.677224734909598,.679778211466383,.691444996581833,.706246547851059
4/24/2020,2133,100,R_3k5F9Q8U1pbrfJt,the Netherlands,NL,9,0,10,10,10,9,9,9,10,10,5,7,2,4,2,70,20,10,8,7,6,3,4,10,9,4,0,0,0,6,7,8,8,0,0,8,8,8,7,7,5,4,8,8,9,9,6,9,6,8,8,2,8,6,8,2,8,7,0,9,8,6,2,8,8,9,8,8,8,60,70,5,13,4,50 cent,30,Dan ius de thee niet te drinken.,2, ,79,4,3,3,5, ,5,1,1,1,213,0,1.83968212728922,1.842235603846,1.85390238896145,1.86870394023068
4/26/2020,2008,100,R_d5Sufy1RuF6ESHL,the Netherlands,NL,4,6,4,9,9,8,9,9,5,9,5,7,5,7,7,60,40,0,4,7,1,1,1,1,1,9,9,9,9,1,9,9,8,1,1,8,8,8,8,9,2,2,9,9,9,8,9,10,9,9,1,1,9,1,1,1,5,1,1,9,9,7,1,7,7,8,3,9,7,50,30,5,16,7,Niets,300,?,2, ,76,4,1,2,5, ,4,2,1,1,213,0,.304503582872686,.30705705942947,.31872384454492,.333525395814147
4/26/2020,170507,100,R_pSFGWIcNEP5ZTt7,the Netherlands,NL,9,8,9,9,9,9,9,9,2,9,9,9,7,9,9,75,25,0,5,5,4,6,5,5,3,5,2,2,2,8,8,8,8,2,5,5,5,8,7,4,1,1,8,8,8,8,7,9,8,8,2,2,7,5,3,3,3,2,3,8,8,1,1,9,1,1,8,8,8,50,50,5,5,6,25,300,7,1, ,59,4,3,2,1, ,4,2,1,1,213,0,.975983624506513,.978537101063297,.990203886178747,1.00500543744797
4/24/2020,1408,100,R_qLvKkTfeURUz8zf,the Netherlands,NL,9,0,10,10,10,9,10,8,3,2,10,10,8,10,10,100,0,0,3,5,6,5,5,10,8,5,5,5,5,3,9,8,8,0,2,9,1,10,7,6,1,2,1,2,2,4,4,8,10,10,7,0,4,2,0,2,0,0,2,8,5,2,0,6,5,1,5,5,8,10,40,6,4,7,50,3min,16h,2, ,38,1,2,0,1, ,6,2,1,2,213,0,2.12815408739803,2.13070756395481,2.14237434907026,2.15717590033949
4/25/2020,2753,100,R_ukyWh7eUCjtFNct,the Netherlands,NL,10,1,10,10,10,7,7,10,7,10,4,10,0,10,10,0,50,50,7,8,0,6,3,10,4,0,0,0,0,3,10,10,10,0,4,0,3,3,7,7,2,4,10,10,6,6,9,8,9,10,6,0,7,6,1,1,4,6,1,10,8,2,0,0,0,1,10,7,10,50,80,6,5,10,25,3,Onzin en Ik drink nooit thee,1, ,75,1,3,2,5, ,2,1,1,2,213,0,.270988224633311,.273541701190095,.285208486305545,.300010037574771
4/25/2020,2142,100,R_xnl3iPSEaTuhYiJ,the Netherlands,NL,4,7,2,8,10,8,8,8,2,9,8,8,8,8,8,50,40,10,8,8,9,9,7,9,9,0,0,0,0,7,8,6,6,2,2,8,7,3,7,3,3,5,8,8,8,8,8,8,7,7,3,3,5,3,6,2,7,5,2,7,7,3,3,7,7,3,3,6,7,10,10,7,11,8,50 cent,3 minuten,4 uur,1, ,65,6,3,2,1, ,5,1,1,2,213,0,.878487542640875,.88104101919766,.89270780431311,.907509355582336
4/28/2020,2988,100,R_24AFVlJuJEs7jEw,the Netherlands,NL,7,2,8,9,10,7,7,9,4,9,8,10,4,10,4,50,50,0,8,8,5,5,5,7,7,4,5,3,1,2,8,8,8,1,1,3,7,8,8,3,8,8,7,7,8,8,8,8,3,8,3,2,7,6,4,4,4,4,1,8,8,5,1,8,8,1,8,5,8,80,80,5,14,8,25,3 minuten,7 uur,1, ,60,1,3,2,1, ,4,1,1,2,213,0,1.24284293643731,1.2453964129941,1.25706319810955,1.27186474937877
4/27/2020,4642,100,R_2A1fEDRcxvOErkL,the Netherlands,NL,6,3,6,8,10,5,5,6,5,8,6,9,9,10,9,50,25,25,7,7,5,8,6,9,9,3,2,0,0,4,7,7,7,3,3,5,5,7,7,7,6,5,7,7,7,7,8,4,9,8,4,2,8,3,4,4,6,5,4,7,6,4,2,2,2,4,4,4,5,40,50,7,12,8,25 cent,3 minuten,7 uur,1, ,75,1,2,1,5, ,4,2,1,1,213,0,.713254060603688,.715807537160473,.727474322275923,.742275873545149
4/24/2020,1683,100,R_2Ra0F8OhgVFzS57,the Netherlands,NL,9,3,10,10,10,10,10,8,0,10,2,7,5,5,10,75,25,0,0,5,5,5,5,10,10,0,0,0,0,1,8,10,7,0,0,5,5,9,7,5,8,8,2,2,1,9,0,1,5,9,5,2,2,5,0,5,0,0,0,10,7,5,0,7,5,0,0,7,10,50,50,2,3,7,25,300,4,2, ,56,1,1,1,2, ,5,1,1,1,213,0,.367709879699991,.370263356256775,.381930141372225,.396731692641451
4/24/2020,2455,100,R_2s15IO3qhqLjqHl,the Netherlands,NL,9,2,9,9,10,8,8,8,3,7,10,10,6,10,10,50,50,0,8,8,4,3,2,8,8,1,0,0,1,2,9,10,10,0,0,4,4,6,6,6,3,3,7,5,8,8,9,9,8,6,3,8,7,1,2,1,1,1,1,10,8,4,0,0,0,2,1,1,10,50,50,8,12,8,50,100,4,2, ,87,3,1,1,5, ,4,1,1,1,213,0,1.45873938798546,1.46129286454225,1.4729596496577,1.48776120092692
4/27/2020,2158,100,R_2s60Q6x3ifLogMo,the Netherlands,NL,10,4,10,10,10,10,6,10,10,10,10,10,10,10,10,10,90,0,2,3,3,5,0,10,10,4,1,0,0,0,8,8,8,0,1,3,4,6,5,7,5,7,3,3,7,9,6,6,6,6,4,1,4,2,3,3,5,2,0,10,9,5,0,6,5,2,6,6,10,90,90,5,12,1,50,9000,4,2, ,36,4,1,0,6,arbeidsongeschikt,8,1,1,2,213,0,.376380257661957,.378933734218741,.390600519334191,.405402070603417
4/24/2020,12627,100,R_2TvFu0lgomll8i5,the Netherlands,NL,10,5,10,10,10,10,10,10,5,10,6,8,8,10,10,0,100,0,6,8,8,8,5,10,10,0,0,0,0,10,10,10,10,0,0,9,8,10,10,10,0,0,9,9,8,8,8,8,8,9,1,10,7,1,1,1,9,1,0,10,10,1,0,6,6,8,1,1,6,10,40,8,5,10,25,100 minuten,7 uur,2, ,72,3,1,2,5, ,3,1,1,2,213,0,1.45310378836332,1.45565726492011,1.46732405003556,1.48212560130478
4/25/2020,1271,100,R_2TWP0Xb8tOSpAli,the Netherlands,NL,9,1,10,10,10,9,9,9,2,5,5,10,5,10,7,45,35,20,8,5,0,5,2,5,5,1,0,0,0,5,9,9,8,1,2,5,5,9,7,5,5,9,6,6,6,5,5,6,8,6,2,10,7,5,2,5,5,3,5,9,7,5,1,8,8,7,8,5,5,10,30,5,14,5,125,3,7,2, ,63,4,3,0,6,Huisvrouw (tegen wil en dank!),6,2,1,1,213,0,.703380483350042,.705933959906827,.717600745022277,.732402296291503
4/25/2020,1561,100,R_2udNiJF5i6tcKBj,the Netherlands,NL,6,1,8,9,10,5,5,7,5,9,1,8,0,6,10,50,25,25,3,3,1,5,0,5,5,1,0,0,0,5,7,7,7,0,2,8,6,8,5,5,6,8,6,3,4,3,1,6,7,4,6,4,2,3,1,0,0,0,2,8,6,2,2,2,1,6,1,1,7,50,50,1,1,2,50,3,7,2, ,62,4,3,2,6,werkzoekend huisvrouw,8,1,1,1,213,0,.455501951950329,.458055428507114,.469722213622564,.48452376489179
4/25/2020,1279,100,R_2wahqnY0yjWmvxN,the Netherlands,NL,10,0,10,0,10,9,9,10,10,10,10,10,0,10,3,0,50,50,9,8,2,2,0,1,1,0,0,0,0,2,10,10,10,0,0,2,6,8,6,4,5,4,7,7,7,6,5,3,5,7,4,2,4,3,4,3,3,2,1,8,5, ,0, ,6,3,9,7,6,70,20,6,7,7,50,900 minuten,7 uur,1, ,43,3,3,5,1, ,4,1,1,2,213,0,1.17881864165858,1.18137211821536,1.19303890333081,1.20784045460004
4/26/2020,1903,100,R_2yeaDjmu8fHeRX3,the Netherlands,NL,5,10,10,10,10,10,10,6,6,8,7,10,5,10,8,90,10,0,8,9,0,8,0,10,7,0,0,0,0,4,8,8,8,0,0,8,5,10,10,7,10,10,9,9,10,8,7,7,4,3,8,0,6,5,2,2,2,0,6,10,8,0,0,7,0,0,7,7,9,60,60,6,11,4,50 cent,3 minuten,7 uur,1, ,55,4,3,2,6,Zelfstandige,4,2,1,1,213,0,2.30215820543278,2.30471168198956,2.31637846710501,2.33118001837424
