V1,V2,V3,V4,V5,SC0_0,SC0_1,SC0_2,rid,pid,SUPPLIER_ID,SUPNAME,complete,information sheet,consent,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_4,collective_narcis_5,collective_narcis_6,national_identity_4,national_identity_5,conspiracy_theories_4,conspiracy_theories_5,conspiracy_theories_7,conspiracy_theories_8,open_mindness_4,open_mindness_5,open_mindness_7,open_mindness_8,open_mindness_9,open_mindness_10,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_7,morality_as_cooperat_8,morality_as_cooperat_9,morality_as_cooperat_10,morality_as_cooperat_11,trait_optimism_4,trait_optimism_5,social_belonging_4,social_belonging_5,social_belonging_12,social_belonging_13,trait_self-control_4,trait_self-control_5,trait_self-control_12,trait_self-control_13,self-esteem_4,attention_check_4,narcissism_4,narcissism_5,narcissism_12,narcissism_13,narcissism_14,narcissism_15,moral_identity_4,moral_identity_5,moral_identity_12,moral_identity_13,moral_identity_14,moral_identity_15,moral_identity_16,moral_identity_17,moral_identity_18,moral_identity_19,risk_perception_4,risk_perception_5,political_ideology_1,moral_circle,moral_circle1,health_8,CRT,CRT1,CRT2,CRT3,intro,sex,sex_TEXT,age,marital,children,employment,employment_TEXT,ladder_instro,ladder_picture,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,prefecture,education,income,support,comments,debrief,
R_3CPojs0RR6736uo,Default Response Set,2020-04-26 07:05:40,2020-04-26 07:17:44,1,0,0,0,5ea56af2-a815-62ac-8b0d-f7d9b8d5e0bc,102510600,1119,GMOResearch-Link,1,1,1,10,0,10,10,10,5,5,10,5,5,5,5,5,5,9,80,10,10,3,3,0,5,2,5,5,5,5,5,5,0,10,9,9,0,3,5,5,5,5,5,5,5,1,1,2,1,0,1,5,5,5,10,5,0,5,0,5,0,0,9,5,5,5,5,5,5,2,5,5,2,50,50,5,1,7,4,1,50,900,16,1,1,,40,1,0,3,,1,1,9,2,1,1,213,13,1,1,3,,1,
R_3J9kOpCykt6klRv,Default Response Set,2020-04-26 07:06:42,2020-04-26 07:18:01,1,0,0,0,5ea56b1c-2115-598e-d02d-1897b954c009,102426205,1119,GMOResearch-Link,1,1,1,7,3,7,6,8,7,8,9,7,7,7,7,6,7,9,100,0,0,4,6,6,7,4,9,6,6,7,3,4,7,6,4,3,7,7,7,7,7,4,3,7,3,4,4,6,6,7,7,7,6,6,7,7,0,6,4,7,6,6,6,7,8,7,7,8,8,8,3,4,8,30,30,7,1,9,6,1,25,9,16,1,1,,45,3,1,1,,1,1,4,1,1,1,213,28,5,6,3,,1,
R_1OJlbxrXjF1hlPr,Default Response Set,2020-04-26 07:11:54,2020-04-26 07:19:08,1,0,0,0,5ea56c5c-40ac-3f44-b029-42bc04e8c3f0,103409452,1119,GMOResearch-Link,1,1,1,10,0,6,5,10,5,5,5,5,5,5,5,5,5,5,10,80,10,5,5,5,5,5,5,5,6,6,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,30,60,5,1,16,6,1,50,100,16,1,1,,18,1,0,4,,1,1,5,3,1,1,213,26,2,3,3,なし,1,
R_3qIjl8cto3nQz2T,Default Response Set,2020-04-26 07:07:17,2020-04-26 07:19:39,1,0,0,0,5ea56b41-caf7-3c62-9d66-a33085197c25,103374757,1119,GMOResearch-Link,1,1,1,6,4,6,7,6,7,7,7,6,6,4,6,6,6,6,70,20,10,6,6,6,6,6,10,9,6,6,4,4,4,4,4,4,4,4,6,5,6,6,6,6,6,4,4,6,6,6,7,4,4,4,4,6,0,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,6,40,40,4,1,7,8,1,,300分,,1,2,,51,3,2,6,主婦,1,1,6,2,1,2,213,33,5,3,2,何がなんだかさっぱりわからなかった!,1,
R_UZ2nfoyUAuXFgiJ,Default Response Set,2020-04-26 07:06:29,2020-04-26 07:19:44,1,0,0,0,5ea56ad6-069d-449d-ae94-6e4beb4a749a,103288491,1119,GMOResearch-Link,1,1,1,9,2,9,10,9,5,5,5,5,9,7,8,9,9,9,0100,0,0,8,6,5,7,7,10,10,5,3,2,1,7,10,8,8,0,3,9,6,7,7,6,7,5,2,10,5,7,6,10,4,5,4,3,5,0,3,5,4,5,4,2,10,8,6,0,4,4,2,6,6,7,20,30,5,1,11,3,1,50,900,4時間半,1,1,,57,3,4,1,,1,1,5,1,1,1,213,43,2,3,2,早く終息することを願います。,1,
R_6XqWnlwnzZ3izHX,Default Response Set,2020-04-26 07:13:18,2020-04-26 07:20:26,1,0,0,0,5ea56ccd-d00b-3028-db55-07da2c0dffd6,103061245,1119,GMOResearch-Link,1,1,1,9,0,8,7,10,6,6,6,7,10,8,6,6,9,10,80,10,10,2,2,4,5,5,7,7,10,7,5,4,7,6,8,5,3,6,5,5,7,5,5,5,5,2,2,4,5,3,4,4,4,8,7,4,0,4,0,7,5,4,6,8,7,5,3,4,4,3,4,5,7,20,60,6,1,4,8,1,,100分,,1,2,,35,1,0,1,,1,1,9,2,1,1,213,24,5,4,4,,1,
R_OjmRpoaqtxaOZyh,Default Response Set,2020-04-26 07:13:57,2020-04-26 07:20:26,1,0,0,0,5ea56cd1-87fc-8e64-7244-1744a013e05e,99503016,968,TheoremReach,1,1,1,10,2,8,9,8,6,6,7,6,8,8,6,6,10,8,80,10,10,1,2,2,4,4,10,5,4,4,4,4,5,7,7,7,3,6,6,4,5,8,2,6,6,7,7,1,6,2,4,6,4,7,7,7,0,6,4,5,5,6,4,8,5,4,2,2,5,5,4,2,7,20,30,5,1,3,1,1,50,3,4,1,1,,31,1,0,3,,1,1,9,2,1,1,213,14,1,2,3,nai,1,
R_3s6ogyauxEr6Vu5,Default Response Set,2020-04-26 07:15:59,2020-04-26 07:20:44,1,0,0,0,5ea56d50-ee07-f323-2a23-ab81f7d3d9bd,12600084599,1119,GMOResearch-Link,1,1,1,5,6,6,4,4,6,6,6,4,4,6,6,5,4,4,50,30,20,4,7,6,6,6,5,5,4,6,5,5,6,6,6,5,6,4,6,3,7,4,6,7,6,5,5,5,5,5,5,4,4,4,6,6,5,5,5,6,4,6,6,4,6,6,5,4,4,5,5,6,5,50,50,8,1,16,6,1,25セント,,,1,1,,57,3,3,1,,1,1,6,1,1,1,213,34,5,6,3,,1,
R_2wTBUHdVfCQQ3ka,Default Response Set,2020-04-26 07:10:06,2020-04-26 07:21:37,1,0,0,0,5ea56bef-ff95-1a4d-37da-44d4870b536e,113867745,968,TheoremReach,1,1,1,10,0,5,8,10,5,8,10,10,10,9,6,5,10,8,50,20,30,7,4,5,8,2,8,8,0,0,0,0,1,10,10,10,0,0,10,8,9,8,0,0,0,2,5,8,9,9,10,7,4,8,6,2,0,5,1,3,5,1,0,8,8,0,3,1,1,7,0,0,10,50,80,5,1,4,7,1,25セント,3分,4時間,1,2,,21,1,0,4,,1,1,7,2,1,1,213,20,3,3,2,,1,
R_3CAT3lbs2B7LUYo,Default Response Set,2020-04-26 07:04:34,2020-04-26 07:21:56,1,0,0,0,5ea56a80-4fd9-cccc-7b11-0c742d34e5ae,103407624,1119,GMOResearch-Link,1,1,1,10,0,10,10,10,9,9,9,9,9,10,8,7,10,2,50,35,15,7,5,7,7,3,9,9,9,7,1,6,3,8,9,7,1,2,8,8,10,6,2,1,1,3,8,9,8,6,6,3,8,8,3,3,0,3,2,7,8,3,9,3,8,8,2,8,2,2,8,3,6,50,10,5,1,4,10,1,50セント,300分,4時間,1,2,,18,1,0,4,,1,1,6,1,1,1,213,27,2,4,1,新型コロナウイルスがいち早く収束することを願っています。,1,
R_3DA4HjlC3zSCR4l,Default Response Set,2020-04-26 07:12:13,2020-04-26 07:22:10,1,0,0,0,5ea56c83-41c6-c3dd-05c5-63ab6fc62085,101575568,1119,GMOResearch-Link,1,1,1,4,0,5,0,9,0,0,10,0,10,6,3,0,5,7,100,0,0,5,4,4,5,4,10,6,6,6,7,4,5,9,9,9,1,4,6,6,9,6,4,4,6,0,4,3,1,1,1,7,9,3,4,7,0,1,0,6,5,0,5,6,4,4,1,1,1,3,0,1,6,50,30,5,1,2,4,1,125,300,7,1,2,,48,1,0,1,,1,1,8,1,1,1,213,23,5,2,5,ペンの値段、血圧測定の時間、お茶の濃度の答えが知りたい,1,
R_1QElY3YytRGnUZq,Default Response Set,2020-04-26 07:18:32,2020-04-26 07:24:57,1,0,0,0,5ea56ddc-fbaf-c722-07ea-6f17de9dc385,103412426,1119,GMOResearch-Link,1,1,1,5,5,5,6,5,5,7,6,6,8,7,8,8,7,8,80,10,10,6,6,6,6,6,6,6,5,5,5,5,6,7,7,7,6,6,4,6,4,5,4,5,6,6,4,6,5,5,6,4,5,5,5,7,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,70,70,5,1,9,7,1,25,3,4,1,1,,19,1,0,4,,1,1,6,1,1,1,213,27,5,8,2,,1,
R_2CUoCOXuzayCuKY,Default Response Set,2020-04-26 07:14:46,2020-04-26 07:25:17,1,0,0,0,5ea56d0d-a42f-5094-098e-3251cf6711df,101584409,1119,GMOResearch-Link,1,1,1,10,0,3,3,10,0,0,0,0,4,0,10,0,5,10,100,0,0,8,10,0,3,0,0,0,0,0,0,0,10,10,10,10,0,7,7,0,10,4,0,10,8,0,0,0,0,4,5,10,10,0,0,10,0,8,10,0,10,10,10,10,10,2,0,3,3,0,8,0,10,20,10,0,1,3,3,1,50,３分,７時間,1,1,,69,3,0,5,,1,1,1,1,2,2,213,14,5,2,3,,1,
R_3PgDqSTApYQu5Y7,Default Response Set,2020-04-26 07:17:38,2020-04-26 07:26:01,1,0,0,0,5ea56db2-6aad-5054-1df3-a9b4b4bb8424,5ea56d99-7fc6-2111-f26d-67a7757ad78a,989,Innovate,1,1,1,8,4,8,6,3,9,4,7,7,6,7,3,8,4,10,35,45,20,8,3,9,4,8,9,3,8,2,8,2,8,4,4,8,7,3,8,8,3,8,3,10,1,8,8,3,8,6,3,8,2,8,3,7,9,8,4,5,10,7,3,9,2,9,5,4,7,2,3,8,3,30,90,9,1,5,8,1,400,600,16,1,2,,18,1,0,4,,1,1,9,1,1,1,100,23,4,1,2,Very nice survey the questions are good,1,
R_2U2Y3EEUvhQ3gdy,Default Response Set,2020-04-26 07:05:41,2020-04-26 07:26:37,1,0,0,0,5ea56af3-c630-c72a-3b20-3eb1d42d2454,43186739,968,TheoremReach,1,1,1,10,7,7,10,10,6,7,9,7,7,5,5,2,7,9,80,10,10,4,2,5,6,6,9,9,7,7,5,5,5,10,10,10,0,7,7,6,7,7,3,6,5,7,6,6,5,4,6,4,4,6,7,7,0,3,3,5,5,3,8,5,6,6,5,7,5,6,4,4,7,60,70,4,1,6,4,1,50,100,4,1,2,,57,1,2,3,,1,1,5,1,1,1,213,12,5,2,5,,1,
R_eesKX58GhZwomxX,Default Response Set,2020-04-26 07:12:07,2020-04-26 07:28:23,1,0,0,0,5ea56c4b-ae83-6660-e721-b890cdc4cf3a,103402464,1119,GMOResearch-Link,1,1,1,10,2,10,10,10,10,10,10,1,10,,5,0,10,0,80,10,10,3,3,10,10,10,10,10,10,9,10,10,,10,10,10,0,1,10,,,,0,0,10,0,3,10,0,10,,10,0,2,10,10,0,10,10,,,,,10,7,0,2,2,3,9,3,8,10,,,,1,10,3,1,50,300,4,1,1,,39,2,0,6,投資家,1,1,11,2,1,1,213,9,2,2,4,色んな人間がいる中で様々な意見もある。 / しかし、中国が元凶であるのは世間的にも皆同じ考えだと思う。 / その中で中国と言う国は世界に対してどのような責任を取るつもりか。 / ,1,
