RecordedDate,Duration (in seconds),Country,UserLanguage,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self-control_1,trait_self-control_2,trait_self-control_3,trait_self-control_4,self-esteem_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,Attention_check
4/25/2020 11:10,2684,NEPAL,EN/NP,9,1,2,9,10,10,10,10,9,9,10,10,10,10,10,60,10,30,8,6,5,7,7,10,10,0,0,0,0,7,10,10,10,0,6,5,6,8,8,8,5,5,10,7,8,6,8,9,6,6,1,6,7,5,3,5,6,6,10,10,8,3,3,5,6,5,7,7,8,50,40,4,12,8,0.05,5,47,1,,47,3,1,1,,6,1,1,1,213,0
4/26/2020 8:42,2465,NEPAL,EN/NP,10,0,8,10,10,10,10,10,10,10,10,10,10,10,10,80,10,10,7,8,8,8,8,10,9,5,3,3,2,8,10,10,10,1,4,9,9,8,5,8,8,6,9,10,8,9,9,10,9,8,8,5,9,8,6,8,7,7,9,10,9,9,1,8,8,1,9,9,9,50,50,5,16,7,0.1,100,24,2,,46,3,2,1,,4,1,1,2,213,8
4/25/2020 9:38,1294,NEPAL,EN/NP,10,1,10,9,10,10,10,10,7,9,10,10,10,10,10,0,60,40,9,9,10,2,9,10,10,0,0,0,0,7,10,10,10,0,10,6,9,9,10,9,10,0,10,10,10,9,10,10,10,9,10,0,9,0,7,0,8,8,1,10,9,10,0,10,10,0,0,10,10,20,10,5,16,9,0.1,3,47,1,,46,3,2,1,,2,1,1,1,213,10
5/4/2020 14:58,1610,NEPAL,EN/NP,9,7,9,8,10,9,10,10,8,9,9,9,8,10,9,75,15,10,7,8,2,8,7,10,10,6,5,6,2,7,9,9,8,9,8,8,8,7,7,7,7,6,9,9,8,8,9,9,8,8,4,2,9,4,7,3,9,7,9,8,8,6,6,7,7,7,6,8,8,10,60,3,12,8,0.1,5,24,1,,45,3,1,2,,4,1,1,1,213,8
4/29/2020 12:23,6509,NEPAL,EN/NP,10,6,10,10,10,10,10,10,10,10,10,10,10,10,10,50,25,25,8,8,10,9,10,10,8,9,9,9,7,10,10,10,10,5,2,10,8,8,7,9,7,4,10,10,10,8,8,8,6,8,3,7,10,6,7,5,10,7,8,8,9,10,0,10,10,2,8,8,10,50,50,5,1,8,0.1,5,24,2,,45,1,1,1,,6,1,1,1,213,10
4/25/2020 11:33,2293,NEPAL,EN/NP,10,1,10,10,10,10,10,10,9,10,10,10,10,10,10,0,100,0,4,7,6,4,6,10,10,5,5,5,5,0,8,8,8,1,7,7,7,3,3,5,2,3,10,10,7,8,7,9,7,7,3,2,9,3,6,1,7,6,10,8,8,7,1,8,9,0,9,9,9,20,10,5,9,9,0.1,5,12,1,,42,3,2,1,,4,1,1,1,213,3
4/25/2020 15:07,9472,NEPAL,EN/NP,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,100,0,6,6,10,5,10,10,10,5,0,0,0,10,10,10,10,0,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,5,4,10,5,8,0,10,10,10,10,10,10,0,10,10,0,10,10,10,0,30,5,16,8,0.1,1,24,2,,41,3,2,4,,7,1,1,1,213,0
4/25/2020 6:51,2924,NEPAL,EN/NP,10,3,10,10,10,7,10,9,8,10,3,10,9,10,10,20,50,30,8,9,6,10,9,10,10,10,10,10,8,4,10,10,10,2,10,8,8,1,10,4,10,8,10,10,9,8,8,10,10,10,0,6,10,8,8,8,8,10,10,8,10,8,6,7,9,3,9,9,10,40,0,2,16,9,0.1,100,24,1,,41,3,1,3,,6,1,1,1,213,9
4/24/2020 22:05,3131,NEPAL,EN/NP,3,0,9,9,10,10,8,0,9,9,1,9,1,9,10,50,30,20,3,4,10,8,10,10,4,2,3,2,2,3,10,4,10,4,8,8,10,9,10,10,9,2,9,10,9,6,9,9,9,6,1,2,8,7,2,4,0,1,1,10,9,10,0,9,7,1,0,1,10,10,10,5,16,7,0,1,24,1,,41,3,0,1,,6,1,1,2,213,10
4/25/2020 12:32,4620,NEPAL,EN/NP,10,1,9,10,10,10,10,10,10,10,8,10,10,10,10,0,100,0,6,5,10,10,10,10,10,1,5,10,6,10,10,10,10,1,7,6,9,6,9,8,6,7,10,10,9,8,9,10,9,10,9,1,9,8,5,5,7,6,10,8,9,5,8,8,8,9,6,8,9,0,60,5,16,10,0.1,1,47,1,,40,3,2,6,,6,1,1,1,213,0
5/3/2020 22:08,2097,NEPAL,EN/NP,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,50,50,10,10,10,10,10,10,10,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,8,10,10,4,10,10,5,10,10,10,0,10,10,0,10,10,10,0,40,5,1,7,0.1,5,24,2,,40,3,2,5,,4,1,1,1,213,0
5/1/2020 18:16,9385,NEPAL,EN/NP,7,9,9,10,10,8,8,9,4,7,7,9,9,10,10,10,50,40,6,8,9,9,9,10,10,5,5,5,5,8,9,9,9,2,8,8,8,8,8,8,8,10,9,10,7,8,8,9,7,10,9,6,8,2,5,5,10,10,9,9,8,8,2,7,7,2,6,5,8,90,30,5,11,9,0.1,5,24,2,,40,3,2,1,,5,1,1,1,213,8
4/29/2020 20:14,1303,NEPAL,EN/NP,10,1,9,10,10,8,10,9,2,10,10,10,0,10,10,90,10,0,5,5,5,6,7,10,10,6,4,7,4,0,10,10,10,0,0,7,5,5,5,4,6,5,10,10,8,10,8,10,10,7,0,10,8,6,8,0,10,9,1,10,10,5,10,9,8,1,10,10,10,50,10,5,10,5,0.05,5,47,1,,39,3,2,1,,6,1,1,1,213,0
5/5/2020 12:04,515481,NEPAL,EN/NP,9,8,9,10,10,9,9,10,8,10,10,10,10,10,10,50,40,10,7,8,7,8,8,10,10,6,3,3,3,8,9,9,9,3,8,8,8,8,8,7,8,6,9,10,8,9,9,10,8,9,3,3,9,10,9,3,9,9,8,10,9,10,3,10,9,3,9,9,10,90,30,5,9,8,0.1,5,24,2,,38,3,1,1,,5,1,1,1,213,0
5/5/2020 12:17,744,NEPAL,EN/NP,10,3,10,9,3,10,10,10,7,9,10,10,10,10,10,50,45,5,8,7,4,9,9,10,10,5,3,3,3,8,9,9,9,3,8,8,8,8,8,8,8,8,10,10,9,10,9,9,9,9,3,3,9,3,9,3,9,9,8,10,9,10,3,9,9,3,9,9,9,30,40,6,9,8,0.1,5,24,2,,38,3,1,1,,5,1,1,1,213,0
4/26/2020 22:37,28739,NEPAL,EN/NP,8,1,0,7,10,3,3,7,2,9,9,10,9,10,10,20,70,10,5,7,5,8,4,10,7,0,0,1,0,9,7,7,8,2,7,3,1,7,9,5,6,7,8,9,4,5,6,8,9,6,4,5,7,4,3,6,5,5,2,8,4,2,1,2,2,7,3,4,3,10,10,3,7,4,0.05,5,47,1,,38,3,1,1,,4,1,1,1,213,4
5/1/2020 15:15,3074,NEPAL,EN/NP,7,2,2,2,0,6,7,8,5,3,6,7,8,8,8,0,50,50,7,7,7,7,7,1,1,0,0,0,0,5,5,6,5,7,5,7,6,6,5,6,5,7,7,7,6,6,6,6,5,5,5,5,5,5,6,5,6,5,5,8,8,7,2,7,6,2,3,3,7,60,60,5,9,7,0.05,5,47,1,,38,1,0,2,,5,1,1,1,213,7
4/25/2020 12:04,1758,NEPAL,EN/NP,9,3,8,5,8,6,6,7,6,6,10,10,10,10,10,0,0,100,6,6,8,7,5,10,8,0,0,0,0,4,8,7,7,0,2,6,6,6,7,6,6,7,6,6,8,7,7,8,5,5,5,5,8,5,5,3,5,10,3,8,7,5,2,6,7,5,6,6,5,50,70,5,16,7,0.1,30,24,1,,38,3,1,1,,11,1,1,1,213,9
5/3/2020 20:14,3186,NEPAL,EN/NP,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,75,20,5,6,7,10,6,6,5,3,10,6,10,10,10,10,10,10,1,10,6,7,6,7,6,7,6,9,10,6,7,6,10,7,8,3,5,10,4,6,1,7,3,3,10,10,7,0,7,6,1,7,7,7,50,0,5,16,10,0.05,5,47,1,,37,3,2,1,,6,1,1,1,213,0
4/28/2020 10:55,1487,NEPAL,EN/NP,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,60,30,10,1,8,10,10,10,10,10,0,0,0,0,0,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,10,0,8,0,10,10,4,10,10,10,0,8,9,1,10,10,10,0,70,5,1,10,0.1,1,24,1,,37,3,2,6,,6,1,1,1,213,1
4/27/2020 12:05,2681,NEPAL,EN/NP,10,0,10,10,10,10,10,10,8,10,10,10,10,10,10,10,70,20,6,6,6,8,6,10,10,10,10,0,0,3,10,10,10,0,9,9,5,9,10,7,9,10,10,10,9,10,9,10,10,9,7,7,8,10,6,0,7,8,1,9,9,9,1,9,6,9,6,6,9,20,20,7,16,10,3.1,5,24,2,,37,1,0,2,,4,1,1,1,213,9
4/27/2020 15:09,1637,NEPAL,EN/NP,,3,7,8,9,7,8,8,5,5,9,9,8,9,8,75,25,0,7,5,8,9,7,8,9,5,5,7,4,2,1,9,9,1,5,8,8,7,8,6,7,6,9,7,8,9,9,9,8,8,9,8,8,6,7,10,8,6,4,9,9,8,0,8,8,1,8,9,9,0,0,8,9,8,0.05,5,47,1,,37,1,0,6,Uncertain,6,1,1,1,213,9
4/29/2020 10:47,1862,NEPAL,EN/NP,9,4,9,10,10,10,10,10,4,8,4,4,4,10,10,90,5,5,4,7,3,4,7,10,10,0,0,0,0,3,9,9,9,2,5,5,8,8,8,8,9,5,7,8,5,8,7,9,6,5,5,0,8,3,4,5,8,9,4,8,5,5,2,3,8,1,7,7,8,0,0,4,5,7,0.1,5,24,1,,36,3,1,2,,6,1,1,1,213,0
5/4/2020 7:10,31125,NEPAL,EN/NP,10,0,10,9,10,10,10,10,5,9,10,10,10,10,10,75,20,5,5,7,9,9,7,10,10,9,8,9,1,1,10,10,10,1,1,9,8,7,9,10,7,7,9,10,10,7,8,10,8,9,2,6,8,6,3,5,6,5,3,10,10,8,1,10,1,1,10,10,10,40,30,10,15,5,0.05,5,47,1,,36,3,1,2,,5,1,1,1,213,0
5/4/2020 21:53,1723,NEPAL,EN/NP,9,1,9,9,10,2,5,2,2,8,0,0,0,0,0,0,60,40,4,5,8,8,5,10,7,0,0,10,6,3,9,8,8,5,3,5,6,3,2,5,5,3,1,1,3,6,5,4,9,8,6,3,6,2,3,3,7,5,8,9,7,4,3,4,6,3,7,7,7,70,10,5,6,5,0.1,5,47,1,,36,3,1,1,,8,1,1,1,213,0
4/28/2020 19:32,1096,NEPAL,EN/NP,9,0,4,9,9,8,7,8,7,9,9,8,9,9,9,50,30,20,7,9,6,7,7,7,7,0,0,0,0,8,9,8,6,1,3,5,5,5,6,6,7,7,9,10,9,9,9,8,8,7,7,4,8,6,6,7,8,6,7,9,9,4,2,8,8,1,7,7,8,30,100,6,4,7,0.1,20,24,1,,36,3,1,1,,2,1,1,1,213,4
4/25/2020 9:32,970,NEPAL,EN/NP,9,1,9,9,10,9,9,9,9,10,8,9,9,9,10,100,0,0,6,7,8,9,9,9,9,8,3,7,3,9,9,9,10,2,9,9,10,10,10,10,9,9,8,9,10,10,10,10,8,8,9,5,7,7,6,7,7,7,7,10,9,9,9,9,8,9,9,7,8,10,10,4,4,7,0.1,5,24,1,,36,3,1,1,,3,1,1,1,213,7
4/26/2020 12:00,1974,NEPAL,EN/NP,9,3,8,8,10,3,4,6,7,9,9,9,1,3,10,40,40,20,6,8,6,10,9,10,10,8,0,2,1,2,10,9,9,0,0,9,4,1,4,9,9,1,9,9,8,8,8,10,7,7,1,1,9,3,6,1,2,1,2,9,6,2,0,0,1,4,0,9,6,0,10,5,16,8,0.1,5,47,1,,35,1,0,6,,4,1,1,1,213,0
4/29/2020 11:49,1715,NEPAL,EN/NP,6,0,8,6,10,9,10,10,6,7,10,10,8,8,8,20,50,30,6,7,7,5,10,10,7,0,6,0,0,10,10,9,9,10,9,0,0,2,7,6,7,6,10,10,7,4,7,8,8,8,4,4,4,9,7,10,8,6,8,9,6,10,6,6,6,0,6,4,6,0,60,1,9,5,0.1,5,24,1,,35,3,1,3,,9,1,1,1,213,0
5/2/2020 21:39,3881,NEPAL,EN/NP,10,0,10,10,10,10,7,10,7,8,8,9,8,10,10,0,85,15,6,6,5,8,8,8,5,0,0,0,0,8,10,10,10,2,0,7,8,8,8,8,8,8,6,10,5,5,5,7,9,9,10,5,6,3,5,1,2,6,9,8,5,9,0,4,5,8,9,9,5,50,10,5,14,6,0.05,5,24,1,,35,1,0,3,,6,1,1,2,213,0
5/3/2020 22:23,872,NEPAL,EN/NP,10,0,9,10,10,9,8,8,5,7,10,8,9,8,9,50,30,20,7,7,5,5,7,10,8,0,0,0,0,4,10,9,8,2,8,8,8,7,7,7,2,8,9,9,7,6,7,9,8,8,3,3,7,5,7,6,7,7,8,10,10,8,1,7,7,4,8,7,8,20,10,5,6,8,1,1,47,2,,35,3,1,2,,6,2,1,1,213,0
5/4/2020 18:31,23077,NEPAL,EN/NP,10,10,10,7,8,9,7,7,3,7,8,9,7,7,7,75,25,0,7,9,7,8,8,7,8,10,8,8,8,8,8,7,7,7,4,9,10,8,10,9,5,6,7,9,7,6,7,6,7,8,9,8,6,7,7,7,8,7,7,8,7,7,8,8,7,8,7,8,10,60,70,8,10,7,0.05,5,47,2,,35,3,3,1,,5,1,1,1,213,0
4/26/2020 10:57,1607,NEPAL,EN/NP,10,0,10,10,10,10,10,10,10,10,9,9,8,9,8,30,50,20,6,5,5,8,10,10,10,0,0,0,0,0,10,10,10,0,10,8,8,8,9,9,9,9,10,10,8,9,9,7,0,10,2,8,10,0,10,10,7,7,10,10,10,10,0,8,7,0,6,8,10,0,10,7,16,8,1,1,24,2,,35,3,1,4,,5,1,1,1,213,5
4/25/2020 11:16,1335,NEPAL,NP,10,1,10,0,10,10,10,10,8,10,10,10,10,10,10,0,100,0,7,7,10,10,10,10,10,6,6,6,6,6,10,10,10,0,10,10,10,10,10,10,10,10,8,8,8,4,6,10,10,10,0,2,7,0,6,0,6,6,10,8,8,6,6,6,6,6,6,6,6,10,20,,16,7,0.1,5,24,1,,35,3,3,6,ब्यबसायी ,6,1,1,1,213,10
4/29/2020 9:39,1914,NEPAL,NP,10,0,10,10,10,10,10,10,4,7,10,10,10,10,9,50,30,20,5,8,9,9,7,10,9,0,0,0,0,5,10,10,9,1,5,10,10,6,10,6,7,7,10,9,7,9,7,8,9,9,5,2,10,5,5,5,5,5,7,9,6,8,1,8,6,5,6,7,5,40,10,5,5,9,0.05,1,47,1,,35,3,2,3,,3,1,1,1,213,10
5/4/2020 7:47,2293,NEPAL,NP,10,6,9,10,10,10,10,10,7,10,10,10,10,10,10,25,75,0,9,8,5,5,10,10,10,9,5,3,3,10,10,10,10,10,9,10,10,8,9,8,8,8,10,6,7,8,7,10,10,10,9,1,10,8,10,10,10,10,5,8,10,9,9,8,10,10,6,9,7,40,40,5,1,6,0.05,5,24,2,,34,3,1,2,,6,1,1,1,213,0
4/30/2020 21:11,18092,NEPAL,EN/NP,8,3,7,8,5,8,8,9,5,7,6,5,8,8,9,20,60,20,5,5,7,7,8,10,10,7,3,7,3,7,9,9,9,0,2,5,7,8,8,7,2,2,9,9,5,5,5,7,7,7,4,5,7,5,3,2,6,5,7,9,9,8,2,5,5,2,5,5,8,50,30,5,7,5,0.1,5,48,2,,34,3,1,6,,6,1,1,1,213,0
5/4/2020 8:31,768,NEPAL,EN/NP,10,0,10,10,10,10,10,10,10,10,9,9,9,10,9,0,100,0,5,8,9,5,9,9,9,5,5,5,5,1,10,10,9,1,1,5,6,6,7,9,9,9,10,9,10,10,10,10,9,9,0,2,10,0,5,0,9,9,5,7,10,10,1,8,9,1,8,9,10,0,0,5,16,8,0.1,5,24,2,,34,3,0,1,,7,1,1,1,213,0
4/27/2020 10:35,2240,NEPAL,EN/NP,10,0,10,10,10,5,5,8,3,4,10,10,10,10,10,50,50,0,5,5,10,10,9,10,7,5,5,5,5,5,10,10,10,5,0,10,10,10,10,10,5,0,10,10,5,5,5,5,5,8,5,5,5,5,5,5,5,0,5,10,10,5,0,5,6,0,5,1,10,70,20,5,16,5,0.1,1,24,2,,34,1,0,3,,6,1,1,1,213,5
4/29/2020 14:53,2324,NEPAL,EN/NP,10,0,10,10,10,0,8,2,7,10,7,6,1,10,10,20,80,0,6,4,6,2,9,10,9,10,7,6,0,2,4,10,10,0,1,8,10,10,10,10,7,10,6,9,10,10,10,10,2,7,3,3,9,10,0,7,10,10,10,7,8,10,2,10,8,1,8,10,8,20,90,7,16,10,0.1,5,47,1,,33,3,1,2,,3,1,1,1,213,0
5/4/2020 17:49,1306,NEPAL,EN/NP,9,2,8,8,10,10,10,10,7,10,10,8,10,10,10,0,100,0,8,10,6,10,10,10,9,5,5,2,5,5,10,10,10,3,3,7,5,8,7,5,9,2,10,10,7,7,8,10,8,10,5,7,10,5,8,3,8,5,5,9,9,7,0,6,6,3,5,5,7,20,60,6,12,8,0.1,100,24,1,,33,1,0,1,,3,1,1,1,213,6
4/26/2020 15:23,2250,NEPAL,NP,10,0,10,10,10,10,10,10,5,10,10,10,10,10,10,25,50,25,5,3,10,10,10,10,0,10,0,10,5,0,10,10,10,0,0,0,5,10,10,10,5,0,10,10,10,5,5,5,5,5,5,5,5,5,0,5,3,3,10,10,10,0,0,10,10,0,0,10,10,100,50,10,16,5,0,5,48,1,,33,3,1,2,,6,2,1,1,213,10
4/25/2020 22:50,1378,NEPAL,EN/NP,10,0,10,10,10,10,10,10,10,10,10,10,10,10,8,70,20,10,0,6,6,10,0,10,10,0,0,0,0,0,10,10,10,0,0,10,10,10,10,10,0,0,10,10,10,10,10,10,8,10,0,0,10,0,0,0,5,3,0,7,0,0,0,7,6,0,6,7,0,20,60,0,5,10,0.05,5,47,1,,32,3,0,1,,4,1,1,1,213,0
4/26/2020 1:35,1908,NEPAL,EN/NP,8,1,9,0,0,10,10,10,9,10,10,10,10,10,10,0,100,0,9,7,8,8,6,10,8,4,4,4,4,6,9,9,9,2,1,6,7,3,7,9,4,4,10,9,7,7,8,9,0,9,7,0,8,6,6,4,6,6,4,7,8,6,0,7,8,1,6,8,6,40,40,4,10,9,1.05,5,47,1,,32,1,0,1,,5,1,1,1,213,0
4/29/2020 16:50,8511,NEPAL,EN/NP,10,0,10,10,10,10,10,10,9,8,10,10,10,10,10,70,30,0,7,6,8,9,10,10,7,5,5,5,5,2,10,10,10,0,0,5,6,7,5,7,5,8,10,10,9,8,9,10,8,10,2,2,10,8,9,7,10,8,9,10,10,6,0,5,7,1,5,5,10,40,90,5,13,9,0.05,1,47,2,,32,3,0,4,,4,1,1,1,213,0
5/1/2020 5:27,151923,NEPAL,EN/NP,10,0,10,10,10,10,10,10,8,9,8,8,5,6,8,20,40,40,2,5,10,10,5,10,10,5,5,5,5,2,9,9,10,5,9,10,10,10,10,10,10,10,10,9,10,10,10,10,5,5,5,5,5,0,0,5,1,0,5,10,10,5,5,5,8,1,5,5,10,50,50,2,16,5,0.1,5,24,2,,32,3,1,2,,6,1,1,1,213,0
5/4/2020 17:37,1363,NEPAL,EN/NP,8,2,9,9,10,5,8,10,8,10,10,10,10,10,10,10,90,0,4,5,9,8,7,10,10,5,3,1,3,10,10,10,10,0,10,3,7,9,10,8,8,7,9,10,3,3,5,2,9,7,8,9,9,6,6,1,8,7,1,10,9,6,0,7,6,1,1,6,8,10,30,5,11,5,0.1,100,24,2,,32,1,0,1,,5,1,1,1,213,0
4/28/2020 7:18,3619,NEPAL,EN/NP,10,0,10,10,10,10,10,10,8,10,10,10,10,10,10,0,80,20,6,7,10,5,5,10,10,5,5,5,5,5,10,10,10,0,10,1,7,5,0,10,0,3,10,10,10,8,10,10,8,10,0,0,10,0,10,0,10,8,0,10,10,0,0,5,7,0,8,10,10,0,0,10,16,9,0.1,5,47,1,,32,3,2,1,,5,2,1,1,213,5
5/5/2020 13:31,1493,NEPAL,EN/NP,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,25,50,25,7,3,10,10,10,10,10,0,0,10,0,10,10,10,10,10,10,0,0,0,0,10,10,1,10,10,10,10,10,10,10,10,0,0,10,0,10,0,10,10,10,10,10,10,0,10,10,0,10,10,10,0,0,0,2,10,0.1,5,24,1,,32,3,1,1,,6,2,1,1,213,10
4/25/2020 8:38,932,NEPAL,EN/NP,10,0,10,10,10,8,9,10,3,10,10,10,0,10,10,20,60,20,8,6,0,5,5,10,10,0,0,0,0,6,10,10,10,0,0,8,10,10,10,8,7,8,10,10,7,9,8,8,10,9,8,6,8,7,3,3,7,7,0,10,10,8,0,9,6,2,10,10,10,20,30,5,16,8,0.1,300,24,1,,31,1,0,1,,6,1,1,1,213,0
