"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","sex","sex_3_TEXT","age","physical_contact_1","physical_contact_2","physical_contact_3","physical_contact_4","physical_contact_5","physical_hygiene_1","physical_hygiene_2","physical_hygiene_3","physical_hygiene_4","physical_hygiene_5","policy_support_1","policy_support_2","policy_support_3","policy_support_4","policy_support_5","generosity_1","generosity_2","generosity_3","psych_wellbeing1_1","psych_wellbeing2_1","collective_narcis_1","collective_narcis_2","collective_narcis_3","national_identity_1","national_identity_2","conspiracy_theories_1","conspiracy_theories_2","conspiracy_theories_3","conspiracy_theories_4","open_mindness_1","open_mindness_2","open_mindness_3","open_mindness_4","open_mindness_5","open_mindness_6","morality_as_cooperat_1","morality_as_cooperat_2","morality_as_cooperat_3","morality_as_cooperat_4","morality_as_cooperat_5","morality_as_cooperat_6","morality_as_cooperat_7","trait_optimism_1","trait_optimism_2","social_belonging_1","social_belonging_2","social_belonging_3","social_belonging_4","trait_self.control_1","trait_self.control_2","trait_self.control_3","trait_self.control_4","self.esteem_1","Q108_1","narcissism_1","narcissism_2","narcissism_3","narcissism_4","narcissism_5","narcissism_6","moral_identity_1","moral_identity_2","moral_identity_3","moral_identity_4","moral_identity_5","moral_identity_6","moral_identity_7","moral_identity_8","moral_identity_9","moral_identity_10","risk_perception_1","risk_perception_2","political_ideology_1","moral_circle1","health_1","CRT1","CRT2","CRT3","marital","children","employment","employment_6_TEXT","ladder_answer","urban","tested_positive","know_tested_positive","no_bots","FL_28_DO"
"11","27/04/2020 16.48","27/04/2020 16.59",0,"84.206.48.251",100,629,1,"27/04/2020 16.59","R_3fMNnrlui0iZbrI",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",35,6,6,5,7,10,10,9,10,4,8,10,8,10,10,10,70,28,2,6,7,6,6,7,10,10,9,5,4,4,6,6,6,7,1,5,7,6,7,6,2,6,6,7,7,7,8,8,9,5,9,7,4,7,6,7,6,5,7,6,3,9,9,5,2,6,4,4,4,4,6,50,60,10,15,8,50,300,4,1,0,1,"",5,1,1,1,213,"Collectivenarcissism|MoralIdentity|Traitself-control|Politicalideology|Morality-as-cooperation(shortversion)|Physicalhygiene|Open-mindedness|Self-esteem|Traitoptimism|Physicalcontact|Moralcircle|Generosity|Anti-coronapolicysupport|Psychologicalwell-being|Riskperception|Physicalhealth|NationalIdentification|Attentioncheck|ConspiracyTheoriesCOVID-19|Narcissism|Socialbelonging"
"12","27/04/2020 16.38","27/04/2020 17.00",0,"176.63.3.33",100,1312,1,"27/04/2020 17.00","R_3KCa6F7rxJcAPDg",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",2,"",56,8,0,10,4,10,6,7,10,10,10,0,0,0,0,0,99,1,0,1,2,10,8,6,9,6,10,9,10,6,6,10,10,10,0,0,10,10,10,10,0,10,0,4,7,7,9,8,10,4,6,10,10,2,0,4,2,0,3,1,9,10,7,4,1,4,2,3,0,0,5,0,0,5,1,4,50,3,4,1,2,1,"",8,1,1,1,213,"Collectivenarcissism|Politicalideology|Socialbelonging|ConspiracyTheoriesCOVID-19|NationalIdentification|Self-esteem|Physicalhealth|Traitself-control|Traitoptimism|MoralIdentity|Physicalhygiene|Psychologicalwell-being|Riskperception|Narcissism|Open-mindedness|Generosity|Physicalcontact|Anti-coronapolicysupport|Moralcircle|Attentioncheck|Morality-as-cooperation(shortversion)"
"13","27/04/2020 16.40","27/04/2020 17.00",0,"176.63.4.38",100,1215,1,"27/04/2020 17.00","R_T60MHXkUza52Not",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",2,"",73,10,0,10,10,10,10,10,10,6,2,10,10,10,10,10,10,90,0,7,7,0,0,0,10,10,0,0,0,0,0,10,9,10,0,2,5,8,9,8,3,3,0,5,5,5,7,7,8,7,8,5,7,6,6,0,2,0,2,4,0,8,10,5,2,4,7,1,8,7,9,80,80,4,12,4,50,300,4,1,2,5,"",6,1,1,1,213,"Anti-coronapolicysupport|Self-esteem|Physicalcontact|Politicalideology|Psychologicalwell-being|Narcissism|Moralcircle|Morality-as-cooperation(shortversion)|Open-mindedness|Socialbelonging|Physicalhealth|Physicalhygiene|NationalIdentification|MoralIdentity|Traitself-control|ConspiracyTheoriesCOVID-19|Generosity|Riskperception|Collectivenarcissism|Attentioncheck|Traitoptimism"
"14","27/04/2020 16.33","27/04/2020 17.01",0,"178.164.220.206",100,1696,1,"27/04/2020 17.01","R_29bGbzrKheXKo0M",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",51,10,0,10,10,10,9,8,10,4,2,7,8,8,10,9,50,30,20,7,6,1,1,1,10,10,1,1,0,0,4,10,9,9,0,0,8,8,10,9,4,4,2,8,8,7,7,7,9,8,8,4,3,8,0,4,7,4,7,7,6,9,9,3,0,3,6,0,6,4,7,10,20,4,14,8,25,3,7,1,0,1,"",4,1,1,1,213,"Attentioncheck|Riskperception|MoralIdentity|Traitself-control|Moralcircle|Psychologicalwell-being|Narcissism|Physicalhygiene|NationalIdentification|Socialbelonging|Generosity|Morality-as-cooperation(shortversion)|Anti-coronapolicysupport|Politicalideology|Physicalcontact|Open-mindedness|Collectivenarcissism|Traitoptimism|Physicalhealth|Self-esteem|ConspiracyTheoriesCOVID-19"
"15","27/04/2020 16.32","27/04/2020 17.03",0,"80.98.152.59",100,1878,1,"27/04/2020 17.03","R_1ok8DyKaxMVeRqq",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",78,10,0,10,10,10,8,6,9,6,9,10,10,8,10,10,0,40,60,8,7,4,4,4,10,6,0,0,0,1,2,9,9,10,0,2,8,8,10,8,10,10,10,8,7,8,7,8,9,10,9,3,4,3,0,5,4,5,3,2,7,10,8,0,0,4,8,1,4,2,8,0,20,3,10,7,25,3,7,3,3,5,"",4,1,1,1,213,"Physicalhealth|Narcissism|Socialbelonging|Physicalhygiene|NationalIdentification|Generosity|Traitoptimism|Riskperception|MoralIdentity|Morality-as-cooperation(shortversion)|Politicalideology|Psychologicalwell-being|Physicalcontact|Attentioncheck|Collectivenarcissism|Anti-coronapolicysupport|Open-mindedness|Self-esteem|ConspiracyTheoriesCOVID-19|Moralcircle|Traitself-control"
"16","27/04/2020 16.44","27/04/2020 17.03",0,"94.44.127.48",100,1158,1,"27/04/2020 17.03","R_12A8C21El46Pd6E",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",2,"",63,4,0,2,1,0,6,6,10,7,8,9,10,5,10,10,50,50,0,8,7,8,10,10,10,10,10,10,10,10,1,10,1,0,10,3,9,10,10,10,5,0,0,10,10,9,10,9,10,8,10,5,8,7,0,6,8,2,10,10,7,10,10,9,10,7,9,0,8,8,10,10,30,7,16,7,50,1,4,3,0,2,"",9,1,1,1,213,"Physicalcontact|Morality-as-cooperation(shortversion)|MoralIdentity|Traitself-control|Generosity|Socialbelonging|Physicalhealth|Moralcircle|Open-mindedness|Riskperception|Collectivenarcissism|Traitoptimism|Self-esteem|Psychologicalwell-being|Narcissism|Physicalhygiene|Anti-coronapolicysupport|NationalIdentification|ConspiracyTheoriesCOVID-19|Attentioncheck|Politicalideology"
"17","27/04/2020 16.44","27/04/2020 17.05",0,"46.107.135.152",100,1247,1,"27/04/2020 17.05","R_2TvdJMvpPxQmEk7",NA,NA,NA,NA,47.102005,17.55889893,"anonymous","HU",1,"",86,10,4,9,8,9,8,8,10,6,9,4,4,4,7,7,80,15,5,8,9,0,2,1,10,8,2,1,1,2,7,10,9,9,1,2,9,9,8,8,3,2,1,5,4,9,8,9,9,7,9,6,4,6,0,2,6,1,4,4,5,9,9,6,2,7,9,2,8,8,7,20,40,2,16,6,50,300,4,3,2,5,"",4,1,1,1,213,"Traitself-control|Anti-coronapolicysupport|Politicalideology|ConspiracyTheoriesCOVID-19|Physicalhygiene|Moralcircle|Riskperception|Collectivenarcissism|Generosity|Socialbelonging|Open-mindedness|Narcissism|Psychologicalwell-being|MoralIdentity|Physicalhealth|Self-esteem|Physicalcontact|Morality-as-cooperation(shortversion)|NationalIdentification|Traitoptimism|Attentioncheck"
"18","27/04/2020 16.40","27/04/2020 17.06",0,"37.76.54.136",100,1570,1,"27/04/2020 17.06","R_3FPTsQIzZyjsBd0",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",2,"",71,10,0,10,10,10,3,3,3,0,7,10,10,2,10,8,60,40,0,7,7,1,2,2,10,10,0,2,0,2,2,10,9,10,8,0,9,10,9,8,1,0,0,9,10,8,10,10,9,9,2,3,1,9,0,8,1,0,7,9,3,10,10,8,0,8,8,0,2,7,10,20,80,3,9,9,50,3,4,1,0,5,"",6,1,1,1,213,"Collectivenarcissism|Narcissism|Traitoptimism|Traitself-control|Anti-coronapolicysupport|Physicalcontact|Open-mindedness|NationalIdentification|Politicalideology|ConspiracyTheoriesCOVID-19|Socialbelonging|Riskperception|Morality-as-cooperation(shortversion)|Psychologicalwell-being|Self-esteem|Generosity|Attentioncheck|MoralIdentity|Moralcircle|Physicalhealth|Physicalhygiene"
"19","27/04/2020 16.53","27/04/2020 17.07",0,"217.65.127.220",100,801,1,"27/04/2020 17.07","R_zZ7CcZC4pzFp4A1",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",35,4,6,6,4,6,6,6,7,6,7,7,6,4,6,8,90,5,5,8,4,9,10,10,10,10,7,6,6,7,4,7,7,7,7,3,7,3,6,6,7,8,6,6,6,7,4,6,6,9,7,4,6,3,8,4,3,4,6,6,4,6,6,6,4,4,4,4,4,6,6,30,70,8,12,8,50,100,64,1,0,1,"",8,1,2,2,213,"Moralcircle|NationalIdentification|Riskperception|Physicalcontact|Generosity|Traitoptimism|Physicalhealth|Anti-coronapolicysupport|ConspiracyTheoriesCOVID-19|MoralIdentity|Morality-as-cooperation(shortversion)|Socialbelonging|Politicalideology|Self-esteem|Narcissism|Collectivenarcissism|Open-mindedness|Psychologicalwell-being|Physicalhygiene|Attentioncheck|Traitself-control"
"20","27/04/2020 16.31","27/04/2020 17.08",0,"194.88.40.43",100,2223,1,"27/04/2020 17.08","R_1IGmpZd5SGhAxea",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",42,10,0,10,10,10,9,9,9,9,9,10,10,10,10,10,95,2,3,10,7,5,4,3,5,5,1,1,0,2,8,8,8,9,0,9,10,6,7,8,8,7,7,6,6,6,6,7,10,9,8,8,9,6,0,1,6,8,8,7,7,9,9,9,9,9,9,4,6,6,7,0,90,5,5,10,50,3,4,3,0,1,"",5,1,1,1,213,"Open-mindedness|Traitself-control|Physicalhealth|Psychologicalwell-being|Physicalhygiene|MoralIdentity|ConspiracyTheoriesCOVID-19|Generosity|Politicalideology|Moralcircle|Morality-as-cooperation(shortversion)|Riskperception|Anti-coronapolicysupport|Narcissism|NationalIdentification|Attentioncheck|Socialbelonging|Physicalcontact|Collectivenarcissism|Self-esteem|Traitoptimism"
"21","27/04/2020 16.57","27/04/2020 17.08",0,"149.200.83.173",100,666,1,"27/04/2020 17.08","R_3MSizkLqJw3XuXn",NA,NA,NA,NA,46.84089661,16.83990479,"anonymous","HU",1,"",63,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,50,25,25,8,6,5,0,0,10,10,0,9,0,0,4,10,9,10,10,5,10,10,10,10,0,3,0,5,5,10,10,10,10,10,10,5,0,10,0,3,4,4,7,5,5,10,10,5,0,5,7,0,5,8,10,50,80,3,13,9,50,300,4,3,0,1,"",6,1,1,1,213,"Physicalhygiene|Physicalhealth|Politicalideology|Attentioncheck|MoralIdentity|NationalIdentification|ConspiracyTheoriesCOVID-19|Morality-as-cooperation(shortversion)|Physicalcontact|Riskperception|Socialbelonging|Traitself-control|Traitoptimism|Anti-coronapolicysupport|Generosity|Self-esteem|Narcissism|Psychologicalwell-being|Open-mindedness|Moralcircle|Collectivenarcissism"
"22","27/04/2020 16.57","27/04/2020 17.08",0,"94.21.99.27",100,692,1,"27/04/2020 17.08","R_3Dbuc1hgZhsUFkf",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",65,9,10,10,10,10,7,9,8,2,2,8,2,0,6,0,100,0,0,7,6,0,0,0,10,2,10,8,8,7,7,6,7,7,9,7,9,3,8,5,4,5,5,6,10,3,6,5,8,10,9,2,5,7,0,4,6,3,6,6,3,7,7,6,3,7,4,3,3,3,7,10,30,10,4,8,NA,NA,NA,3,3,5,"",5,1,1,1,213,"Anti-coronapolicysupport|Traitoptimism|Collectivenarcissism|Politicalideology|Traitself-control|Moralcircle|Generosity|NationalIdentification|Attentioncheck|Physicalcontact|Riskperception|Physicalhealth|Self-esteem|Physicalhygiene|MoralIdentity|Narcissism|Psychologicalwell-being|Open-mindedness|Socialbelonging|ConspiracyTheoriesCOVID-19|Morality-as-cooperation(shortversion)"
"23","27/04/2020 16.38","27/04/2020 17.12",0,"188.6.208.178",100,2074,1,"27/04/2020 17.12","R_1jDO1BPCk4u972Z",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",67,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,80,20,0,7,6,0,0,0,10,9,10,2,0,0,0,0,0,10,0,0,10,8,10,10,0,0,0,2,5,6,8,9,9,0,4,0,10,4,0,0,0,1,0,0,0,10,8,4,0,2,9,0,0,2,10,10,50,4,16,2,50,300,4,2,1,5,"",6,1,1,2,213,"Riskperception|Self-esteem|Politicalideology|Psychologicalwell-being|Physicalcontact|MoralIdentity|Generosity|Narcissism|Morality-as-cooperation(shortversion)|Socialbelonging|Anti-coronapolicysupport|Traitself-control|Attentioncheck|Moralcircle|Open-mindedness|ConspiracyTheoriesCOVID-19|Collectivenarcissism|NationalIdentification|Traitoptimism|Physicalhealth|Physicalhygiene"
"24","27/04/2020 16.31","27/04/2020 17.12",0,"188.36.53.240",100,2515,1,"27/04/2020 17.12","R_24ezLnwOZ01ocN4",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",64,9,0,9,10,10,7,7,10,9,9,9,8,6,9,7,80,15,5,9,8,5,5,5,10,5,2,0,0,0,2,8,8,8,2,2,8,7,7,7,5,2,0,9,10,8,7,7,10,8,8,3,0,8,0,4,4,2,2,2,0,8,8,5,0,6,6,3,0,5,7,30,60,4,14,8,50,3,7,3,2,1,"",5,1,1,1,213,"Generosity|Moralcircle|ConspiracyTheoriesCOVID-19|Anti-coronapolicysupport|Narcissism|Attentioncheck|Physicalhealth|Physicalcontact|Traitoptimism|Self-esteem|Politicalideology|Psychologicalwell-being|Riskperception|MoralIdentity|Socialbelonging|Collectivenarcissism|Open-mindedness|Morality-as-cooperation(shortversion)|Physicalhygiene|Traitself-control|NationalIdentification"
"25","27/04/2020 16.39","27/04/2020 17.14",0,"178.164.151.101",100,2065,1,"27/04/2020 17.14","R_szDqg7OfegeVU1X",NA,NA,NA,NA,46.25300598,20.14819336,"anonymous","HU",1,"",69,10,0,10,10,10,1,1,9,2,5,10,10,9,10,10,90,10,0,9,7,5,5,5,10,10,0,0,0,0,6,10,10,10,0,5,9,9,10,10,5,2,0,8,8,5,2,8,4,10,10,9,1,5,0,1,1,1,2,3,5,5,8,1,1,0,0,5,0,0,5,10,30,8,3,9,25,3,7,3,1,5,"",5,1,1,1,213,"Traitself-control|Narcissism|Anti-coronapolicysupport|NationalIdentification|Attentioncheck|Self-esteem|Moralcircle|Open-mindedness|MoralIdentity|Morality-as-cooperation(shortversion)|Physicalhealth|Physicalhygiene|ConspiracyTheoriesCOVID-19|Collectivenarcissism|Physicalcontact|Psychologicalwell-being|Riskperception|Socialbelonging|Generosity|Politicalideology|Traitoptimism"
