StartDate,EndDate,Progress,Duration__in_seconds_,Finished,RecordedDate,consent,physical_contact_1,physical_contact_4,physical_contact_5,physical_contact_6,physical_contact_7,physical_hygiene_1,physical_hygiene_4,physical_hygiene_5,physical_hygiene_6,physical_hygiene_8,acq,policy_support_1,policy_support_4,policy_support_5,policy_support_6,policy_support_9,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,self_esteem_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,Q_Language
4/23/2020,4/23/2020,100,1618,1,4/23/2020,1,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,30,40,30,5,7,5,5,5,4,4,10,10,10,10,0,10,10,10,10,10,8,8,8,8,8,8,8,9,9,10,10,10,10,10,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,50,50,1,12,6,100,90000,4,2,,59,3,0,3,,5,1,0,0,213,AR
4/24/2020,4/24/2020,100,1785,1,4/24/2020,1,8,7,6,8,9,10,10,7,6,4,0,10,10,10,10,10,70,15,15,0,0,3,2,6,0,0,9,4,9,3,3,10,10,10,0,0,7,8,3,8,7,8,7,4,4,3,2,2,1,3,7,3,0,9,7,8,1,9,6,8,10,10,2,0,9,9,0,3,1,10,30,20,4,5,4,25,300,4,2,,30,1,0,4,,0,1,0,0,213,AR
4/24/2020,4/24/2020,100,1527,1,4/24/2020,1,9,0,9,9,10,7,8,7,5,8,0,10,10,10,10,9,60,40,0,7,6,3,3,4,4,8,7,2,2,2,2,9,10,9,1,2,1,6,7,6,6,9,9,8,8,9,8,7,8,9,7,7,2,7,8,7,2,7,4,6,9,9,9,0,9,8,0,5,2,9,10,30,4,16,8,25,300,7,1,,40,3,3,1,,6,2,0,0,213,AR
4/24/2020,4/24/2020,100,824,1,4/24/2020,1,10,0,10,10,10,7,6,10,6,3,0,10,10,10,10,10,100,0,0,10,8,1,0,10,10,10,6,0,10,10,10,10,10,10,10,0,7,0,8,8,7,1,8,7,8,2,7,6,8,1,8,10,8,2,0,9,10,0,1,10,6,3,7,0,7,0,7,6,0,10,80,60,9,1,8,50,300,4,1,,46,3,1,1,,5,2,1,1,213,HE
4/24/2020,4/24/2020,100,510,1,4/24/2020,1,8,2,9,9,10,8,7,8,7,8,0,9,9,4,9,10,100,0,0,7,6,3,3,2,0,1,2,2,2,1,7,8,8,8,2,7,6,7,4,7,3,7,7,6,4,2,2,2,2,6,10,3,8,10,8,8,10,10,3,7,6,7,3,7,7,3,7,7,6,7,20,40,4,11,8,50,900,7,2,,25,3,0,3,,7,1,0,0,213,AR
4/24/2020,4/24/2020,100,1247,1,4/24/2020,1,10,3,9,10,10,9,9,10,10,10,0,10,10,10,10,10,80,20,0,8,8,3,1,1,1,1,6,6,6,7,4,8,10,9,0,0,9,3,8,5,2,0,8,9,9,9,9,10,10,7,9,1,2,10,4,9,0,9,7,2,9,10,6,0,8,10,1,10,9,10,40,80,1,12,9,50,300,4,2,,30,3,3,2,,5,1,0,0,213,AR
4/24/2020,4/24/2020,100,908,1,4/24/2020,1,10,3,8,10,10,7,8,10,10,10,0,10,10,10,10,10,0,50,50,7,7,2,5,5,3,3,5,5,0,0,0,10,10,10,9,2,5,5,5,7,5,0,7,9,9,5,5,5,8,9,9,8,8,10,6,6,5,5,7,1,10,10,6,0,5,5,1,5,5,10,50,50,5,16,9,50,300,4,2,,29,1,0,1,,8,1,0,0,213,AR
4/24/2020,4/24/2020,100,1174,1,4/24/2020,1,10,0,9,9,10,10,10,6,3,6,0,4,3,3,0,4,50,15,35,1,3,0,1,0,5,2,3,3,4,6,4,8,8,8,1,2,6,7,7,8,7,7,8,5,5,6,6,6,8,6,7,4,4,8,4,5,4,5,5,3,7,7,2,2,2,6,3,5,5,7,80,80,2,5,7,25,3,7,1,,33,1,0,6,,8,1,0,0,213,AR
4/24/2020,4/24/2020,100,781,1,4/24/2020,1,10,0,10,9,10,10,10,10,7,8,0,10,9,8,10,7,100,0,0,6,7,0,0,0,2,0,7,5,8,8,4,7,6,6,8,1,6,7,6,6,4,5,6,6,5,6,4,7,7,3,6,3,5,8,4,8,5,6,6,6,6,7,0,3,4,2,3,3,4,5,50,60,3,5,8,100,3,4,2,,32,1,0,1,,5,1,0,0,213,AR
4/24/2020,4/24/2020,100,4457,1,4/24/2020,1,10,9,1,8,8,8,9,10,10,9,0,10,10,4,8,10,40,50,10,0,8,10,8,2,10,10,1,1,3,5,3,10,10,9,1,9,7,3,7,7,7,2,8,1,9,10,9,9,8,1,9,1,10,9,2,8,3,8,8,7,4,7,1,0,7,2,3,7,3,9,80,100,10,1,9,50,300 ?????,4 ????,2,,25,1,0,2,,5,2,0,0,213,AR
4/24/2020,4/24/2020,100,269,1,4/24/2020,1,9,2,2,9,8,10,9,8,9,8,0,9,8,9,9,9,90,0,10,7,8,2,4,4,3,4,8,9,8,8,9,2,8,6,8,8,8,9,7,8,8,8,8,9,7,8,8,9,7,8,7,8,6,8,8,7,8,7,8,9,8,7,6,8,7,8,8,8,9,8,20,50,3,7,9,50,1200,7,2,,19,1,0,3,,7,1,0,0,213,AR
4/24/2020,4/24/2020,100,889,1,4/24/2020,1,9,1,1,10,10,9,9,9,9,9,0,10,10,10,10,10,50,25,25,5,2,4,8,6,5,5,5,5,0,5,5,10,10,10,0,0,4,9,8,9,5,9,10,9,9,7,6,9,9,8,9,3,0,10,5,9,0,8,8,0,10,10,1,0,9,9,0,8,9,9,10,50,5,5,9,50,300,4,2,,32,3,2,3,,5,2,0,0,213,AR
4/24/2020,4/24/2020,100,1432,1,4/24/2020,1,10,0,10,9,10,10,10,10,8,10,0,10,10,10,10,10,50,50,0,5,5,5,5,0,10,10,10,5,10,5,0,10,10,10,0,5,10,10,10,10,5,5,0,10,10,10,10,10,10,10,10,0,0,10,5,5,5,5,5,2,10,10,5,10,10,5,0,5,5,10,20,20,5,14,10,50,300,01-îÅò,1,,40,3,2,1,,5,1,0,0,213,AR
4/24/2020,4/24/2020,100,275,1,4/24/2020,1,7,0,7,8,8,8,9,7,3,9,0,8,7,8,9,9,100,0,0,8,7,3,3,3,2,3,7,10,6,7,8,7,8,8,6,8,7,8,7,8,7,7,8,8,8,8,7,7,7,7,8,8,8,7,6,6,7,7,6,7,6,7,4,7,7,6,7,7,6,7,20,80,4,5,8,100,900,6,1,,30,3,0,2,,8,2,0,0,213,AR
4/24/2020,4/24/2020,100,291,1,4/24/2020,1,9,1,9,9,7,9,9,9,4,9,0,7,9,8,9,9,100,0,0,7,8,7,8,7,6,7,8,4,7,10,7,8,6,8,8,7,9,8,9,8,9,8,9,8,7,8,8,8,7,7,7,8,7,7,8,8,8,8,8,8,8,8,3,8,7,8,8,8,8,7,70,60,6,4,4,100,900,7,1,,89,3,0,5,,7,1,0,0,213,AR
4/24/2020,4/24/2020,100,368,1,4/24/2020,1,6,1,3,2,1,8,10,10,10,10,0,8,8,9,6,7,50,25,25,9,10,8,10,6,6,7,7,8,8,8,9,9,8,9,8,9,4,6,5,6,6,9,10,8,10,6,8,8,7,9,8,9,8,8,8,8,9,8,8,8,7,7,7,7,7,8,6,7,8,6,100,70,6,13,9,50,300,16,2,,26,3,1,3,,3,1,0,0,244,AR
4/24/2020,4/24/2020,100,808,1,4/24/2020,1,10,5,5,10,10,10,10,10,10,10,0,3,10,3,10,3,100,0,0,5,7,0,0,0,5,0,10,0,0,0,8,10,10,10,5,5,10,2,10,10,10,10,10,2,4,5,7,7,10,0,10,10,3,9,1,9,10,9,8,0,10,1,3,0,0,0,0,0,0,10,50,50,5,4,9,50,300,4,2,,26,3,1,2,,3,2,0,0,213,HE-FE
4/24/2020,4/24/2020,100,2362,1,4/24/2020,1,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,100,8,5,,,4,6,6,6,6,6,6,2,10,10,10,0,8,7,6,7,7,5,4,0,8,9,7,6,5,9,10,9,0,7,10,6,7,5,9,9,5,8,0,0,0,7,8,6,0,7,4,50,60,5,16,10,50,300,4,2,,30,3,2,6,?????,5,1,0,0,213,AR
4/24/2020,4/24/2020,100,587,1,4/24/2020,1,6,4,4,5,5,5,6,5,5,5,0,2,6,4,3,4,100,0,0,3,4,3,3,4,3,6,4,7,4,4,3,5,4,4,6,4,3,7,3,4,6,4,4,4,4,3,7,4,4,4,4,6,4,4,3,6,4,6,4,4,1,4,6,3,7,4,7,4,8,4,30,30,3,7,4,25,300 ÉóÖö,7,1,,48,3,3,6,ÅÉâóÑ ÅåÅÉ,6,1,0,0,213,HE
4/24/2020,4/24/2020,100,686,1,4/24/2020,1,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,50,40,6,10,0,0,0,5,1,7,5,7,7,6,10,10,10,0,6,9,9,10,9,8,10,10,10,10,8,8,9,10,3,10,2,0,7,7,5,1,6,0,0,10,10,7,3,8,8,0,4,7,10,50,50,5,16,8,50,300,4,2,,31,3,3,3,,4,2,0,0,213,AR
4/24/2020,4/24/2020,100,565,1,4/24/2020,1,10,0,10,10,10,10,10,10,10,9,0,2,10,10,10,10,10,50,40,4,2,6,3,1,10,10,4,2,5,0,10,10,10,10,8,8,10,9,8,8,8,8,8,4,4,10,10,9,10,9,8,10,4,10,0,7,6,10,10,0,10,10,10,10,10,10,10,10,10,10,0,0,0,3,9,50,8,77,2,,22,1,0,4,,5,1,0,0,213,AR
4/24/2020,4/24/2020,100,2230,1,4/24/2020,1,6,6,3,2,4,8,6,8,,4,0,4,3,3,2,4,70,20,10,6,7,3,4,2,10,8,9,6,6,7,3,9,10,8,6,2,6,4,7,4,6,4,6,10,8,7,6,9,8,6,7,4,1,8,3,7,2,6,4,3,10,9,2,0,8,3,4,7,6,8,40,60,1,4,10,50,300,4,1,,27,1,0,1,,5,2,0,0,213,HE
4/24/2020,4/24/2020,100,699,1,4/24/2020,1,9,2,9,10,10,10,10,10,10,10,0,10,10,10,9,10,50,20,30,7,6,7,5,6,9,9,9,7,6,6,1,10,10,10,0,1,9,9,8,9,8,8,8,8,7,10,9,9,10,9,9,3,2,7,8,9,2,7,8,3,10,10,8,0,9,8,0,8,8,10,20,80,5,5,10,50,300,4,2,,24,3,0,2,,8,2,0,0,213,AR
4/24/2020,4/24/2020,100,2228,1,4/24/2020,1,7,1,5,7,10,8,8,8,7,9,0,10,10,6,10,5,100,0,0,4,5,0,0,0,0,0,8,8,8,8,3,10,10,10,0,1,10,10,10,10,5,10,10,5,5,7,7,7,8,5,8,5,5,8,5,5,2,6,5,0,10,10,1,0,10,10,0,5,0,10,50,50,3,16,8,49.9,3,7,2,,31,4,0,1,,5,1,0,1,213,HE
4/24/2020,4/24/2020,100,1619,1,4/24/2020,1,3,1,8,8,8,6,6,6,2,7,0,10,10,10,10,10,100,0,0,2,3,7,6,5,4,2,6,6,7,2,0,8,10,10,3,3,6,4,3,3,3,10,10,2,3,3,3,8,3,8,8,8,7,8,4,8,6,6,1,7,7,8,3,0,6,5,1,0,0,8,80,80,2,4,8,25,1,7,1,,40,3,3,1,,5,1,0,0,213,AR
4/24/2020,4/24/2020,100,934,1,4/24/2020,1,7,2,9,7,8,5,7,9,9,7,0,10,10,10,10,10,50,30,20,4,6,6,6,6,4,4,7,7,4,3,2,10,10,8,2,2,6,6,6,6,3,3,3,10,10,8,8,8,9,8,8,3,4,9,2,9,3,8,8,2,10,10,2,2,8,8,2,8,6,10,70,80,0,16,9,50,900,7,2,,28,3,2,1,,6,1,0,0,213,AR
4/24/2020,4/24/2020,100,1295,1,4/24/2020,1,10,0,10,10,10,10,10,10,10,9,0,10,10,10,10,10,50,25,25,5,6,5,5,5,5,5,6,6,6,6,3,8,9,9,2,7,8,8,8,8,8,8,8,10,10,7,7,10,10,8,8,8,3,8,2,10,10,10,8,2,10,10,7,0,7,7,7,7,7,9,50,50,1,16,10, ???25,300 ?????,4,2,,26,3,1,3,,7,2,0,0,213,AR
4/24/2020,4/24/2020,100,916,1,4/24/2020,1,10,0,10,10,10,8,8,10,8,10,0,10,10,10,10,10,80,10,10,7,4,5,6,4,10,10,6,6,0,0,4,8,10,8,0,0,10,4,8,3,10,6,10,4,4,6,4,5,4,10,10,4,4,4,2,6,6,4,3,4,10,9,8,0,7,5,1,7,4,10,10,60,6,16,9,25,300 ÉóÖö,.,2,,20,1,0,2,,4,1,0,0,213,HE
4/24/2020,4/24/2020,100,532,1,4/24/2020,1,10,2,9,10,10,10,10,10,10,10,0,10,10,10,10,10,50,25,25,0,3,6,8,7,6,6,6,4,7,7,10,10,10,10,7,7,6,7,4,3,8,7,9,4,6,6,9,3,7,10,10,10,10,1,10,10,10,10,10,10,7,7,3,8,2,8,7,3,7,7,100,100,6,7,5,50,3 Éó,4,2,,19,2,0,3,,5,1,0,0,213,HE
4/24/2020,4/24/2020,100,1860,1,4/24/2020,1,10,2,9,10,10,10,9,10,7,10,0,10,10,10,10,7,50,50,0,5,6,5,7,3,10,10,6,0,0,0,2,8,8,6,0,2,8,4,7,7,3,4,8,9,8,7,6,6,7,8,3,5,7,7,4,8,2,4,3,0,10,10,0,0,5,5,0,3,3,8,60,60,8,9,10,50,900,7,2,,30,1,0,1,,5,1,0,1,213,HE
4/24/2020,4/24/2020,100,1016,1,4/24/2020,1,9,1,10,10,10,10,10,10,0,10,0,5,5,0,5,0,90,8,2,8,5,0,0,0,10,5,1,0,0,0,2,10,10,10,0,1,7,0,8,6,6,6,7,10,10,5,6,7,8,8,8,2,1,9,5,9,0,10,5,0,10,10,5,0,7,5,0,0,1,9,50,50,9,7,10,25,3 ÉóÖö,7,1,,19,1,0,6,öåéâÉ âôâÅÑ,2,1,0,1,213,HE
4/24/2020,4/24/2020,100,1486,1,4/24/2020,1,4,8,10,10,10,10,10,9,4,10,0,5,10,8,10,6,50,50,0,7,5,5,7,9,10,10,7,5,1,5,7,10,10,10,0,8,3,5,8,8,8,6,10,7,5,4,8,6,5,1,8,8,7,6,0,7,0,9,6,1,7,4,0,0,4,6,7,7,4,6,40,50,9,4,5,0,3 ÉóÖö,,2,,28,3,2,1,,3,1,0,0,213,HE-FE
4/24/2020,4/24/2020,100,1010,1,4/24/2020,1,10,6,9,10,10,8,9,10,10,6,0,10,10,10,10,10,60,40,0,6,7,10,10,10,10,10,10,10,8,9,3,0,10,9,0,0,10,9,7,10,10,9,8,8,7,9,9,10,10,6,6,3,3,5,4,10,10,10,4,1,10,10,6,0,6,6,0,9,8,10,50,50,3,1,5,50,3 ÉóÖö,16,2,,42,2,5,1,,5,2,0,0,213,HE
4/24/2020,4/24/2020,100,1066,1,4/24/2020,1,10,10,10,10,10,10,10,10,5,7,0,10,7,9,10,10,80,20,0,5,8,5,8,10,10,10,9,5,2,3,10,5,8,10,10,5,9,7,7,10,8,6,3,9,9,8,7,9,9,10,10,1,0,8,2,4,9,7,7,2,9,9,3,9,10,10,7,8,7,7,10,20,10,14,5,50,300,4,1,,69,4,1,2,,5,1,0,0,213,HE
4/24/2020,4/24/2020,100,1090,1,4/24/2020,1,10,0,10,10,10,10,10,10,10,10,0,9,10,10,10,10,50,50,0,1,8,9,8,8,9,8,0,0,0,1,1,9,9,10,0,0,10,10,10,10,9,9,1,9,9,10,10,10,10,8,9,2,0,9,2,6,2,7,8,1,10,10,0,0,9,0,10,0,0,9,60,70,1,16,10,50,3,4,1,,35,3,4,1,,3,2,0,0,213,AR
4/24/2020,4/24/2020,100,1310,1,4/24/2020,1,10,0,10,10,10,10,10,10,10,10,0,5,5,5,3,5,0,50,50,3,5,5,5,5,5,5,0,0,0,0,5,6,6,7,0,6,10,8,2,5,3,5,0,10,10,7,10,10,10,5,6,5,0,10,0,10,0,9,7,0,10,10,5,0,8,5,0,9,5,8,0,50,5,16,10,50,300 ?????,4,2,,31,1,0,3,,5,2,0,0,213,AR
4/24/2020,4/24/2020,100,858,1,4/24/2020,1,10,0,9,9,10,10,10,10,10,10,0,8,8,10,10,10,0,100,0,7,8,9,9,9,10,10,9,0,0,0,8,9,10,10,0,0,10,8,1,0,1,7,7,9,10,8,8,10,10,8,10,0,0,8,10,10,0,10,2,8,10,9,1,1,9,6,0,10,10,10,0,70,8,2,9,100,300,4,1,,66,3,3,3,,8,1,0,1,213,HE
4/24/2020,4/24/2020,100,1313,1,4/24/2020,1,10,0,8,10,10,10,10,10,7,9,0,0,10,0,10,10,100,0,0,2,1,10,10,10,10,10,1,1,0,0,10,10,10,10,10,3,8,7,8,10,1,8,10,10,10,8,9,10,10,6,1,0,2,10,8,10,6,10,10,1,10,10,1,0,0,10,0,10,10,10,10,30,4,10,7,50,900,48,1,,61,3,2,6,íñéÄâ,5,1,0,0,213,HE
4/24/2020,4/24/2020,100,1800,1,4/24/2020,1,10,1,10,10,10,8,8,10,8,10,0,3,8,8,10,8,90,10,0,7,8,7,6,6,10,10,3,0,0,0,1,9,9,9,0,0,6,6,9,6,7,4,5,9,9,8,8,9,10,6,8,8,5,9,7,5,5,7,7,0,9,8,2,0,7,6,5,3,6,8,20,60,6,11,9,25,3,7,1,,66,3,2,5,,8,1,0,0,213,HE
4/24/2020,4/24/2020,100,676,1,4/24/2020,1,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,100,0,0,0,0,5,5,5,8,8,8,8,6,6,0,9,9,8,0,0,10,2,8,8,8,7,6,2,3,8,8,8,8,4,6,5,4,2,8,8,8,8,4,1,8,8,2,2,3,4,2,1,2,7,70,70,10,1,8,50,300,4,2,,26,1,0,6,áÖîô Ååâ áåö,5,1,1,1,213,HE
4/24/2020,4/24/2020,100,756,1,4/24/2020,1,10,4,6,2,6,9,10,7,6,7,0,10,10,10,10,10,20,50,30,8,6,7,10,6,6,6,8,7,6,7,8,8,7,3,6,10,7,6,8,8,7,3,9,8,6,8,5,8,7,7,8,8,10,7,8,6,9,8,7,7,8,7,3,7,7,3,7,9,3,8,80,100,8,10,9,300,6,900,2,,57,3,5,3,,5,1,0,1,213,AR
4/24/2020,4/24/2020,100,1653,1,4/24/2020,1,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,60,40,0,7,8,8,10,8,10,10,0,0,0,0,6,9,10,10,10,1,8,8,9,10,6,4,3,10,10,8,8,8,8,7,8,2,1,6,0,5,0,6,6,4,10,10,6,0,6,6,4,4,6,10,10,60,4,16,2,50,100,2,1,,70,3,4,5,,6,1,0,0,213,HE
4/24/2020,4/24/2020,100,1367,1,4/24/2020,1,10,1,9,9,9,7,7,8,2,4,0,8,10,6,8,8,0,100,0,4,8,5,6,9,10,10,5,4,4,3,0,10,10,10,0,0,5,9,7,4,0,6,4,8,9,9,10,10,5,7,7,3,5,7,1,7,1,8,9,0,7,9,0,0,8,0,0,7,7,8,30,60,9,7,8,50,300 ÉóÖö,4 ôíÖö,1,,17,1,0,6,,5,1,0,0,213,HE
4/24/2020,4/24/2020,100,1150,1,4/24/2020,1,10,0,10,10,10,9,9,9,5,9,0,1,3,3,3,3,90,10,0,1,4,2,2,2,,,1,1,1,1,1,9,9,9,0,1,7,1,8,8,4,2,8,6,10,6,8,8,3,8,8,8,0,4,1,1,5,1,1,6,9,9,0,0,3,3,3,1,1,9,50,70,5,4,7,50,3,7,1,,72,3,5,5,,5,1,0,0,213,HE
4/24/2020,4/24/2020,100,715,1,4/24/2020,1,10,1,9,10,10,8,10,7,2,2,0,6,7,9,10,2,80,20,0,9,10,5,7,2,10,10,5,0,0,0,0,10,10,10,0,0,0,0,0,0,6,6,0,10,10,10,10,10,10,9,10,7,5,7,3,6,0,8,5,0,10,7,0,0,8,4,0,7,7,10,100,100,7,9,9,25,300,4,2,,23,2,0,4,,5,1,0,0,213,HE
4/24/2020,4/24/2020,100,1435,1,4/24/2020,1,6,5,6,4,10,8,8,9,8,8,0,10,3,2,3,0,90,5,5,7,8,6,4,4,8,7,8,6,2,6,7,8,7,7,2,6,6,6,4,6,6,6,6,8,7,6,6,6,8,6,8,6,2,7,4,6,8,7,7,3,7,7,7,6,6,3,6,7,8,6,20,40,2,16,7,50,900,16,1,,43,4,0,1,,7,1,0,0,213,HE
4/24/2020,4/24/2020,100,1122,1,4/24/2020,1,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,70,30,0,8,9,9,10,8,10,10,0,0,0,0,3,9,9,8,0,1,9,9,2,8,7,7,6,9,10,10,10,10,10,9,8,1,1,10,1,9,2,10,10,7,10,9,9,0,8,1,1,0,0,9,20,10,0,10,9,25300,300,4,1,,23,1,0,4,,5,2,0,0,213,AR
4/24/2020,4/24/2020,100,1303,1,4/24/2020,1,3,0,8,10,10,10,10,9,10,10,0,8,7,7,10,5,90,10,0,5,5,6,7,3,7,5,4,2,2,2,0,9,10,10,0,0,7,7,10,7,5,9,7,6,5,8,5,5,1,5,10,6,1,7,8,9,8,8,5,2,10,10,5,0,7,5,0,8,9,10,80,100,4,11,7,25,300 Éó?,7 ôíÖö,2,,30,1,0,1,,5,1,0,0,213,HE-FE
