ResponseID,Timestamp_mm_dd_yyyy,Time_seconds,Q109_Informedconsent,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing_1,psych_wellbeing_2,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,national_identity_3,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,selfesteem,Q108_attention_check,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1_percentage,risk_perception_2_percentage,political_ideology,moral_circle,health,CRT_1_eurocents,CRT_2_minutes,CRT_3_hours,gender,age,marital,children,employment,ladder_answer,urban,tested_positive,know_tested_positive,no_bots
64326165,4/29/2020,1116,1,5,10,0,9,10,5,5,10,10,5,5,0,0,2,4,85,10,5,1,2,5,10,6,10,10,10,1,5,0,1,10,10,10,0,0,10,10,10,10,0,10,10,10,10,6,8,7,9,4,8,8,5,0,0,0,0,0,0,5,0,9,5,0,0,5,5,5,5,0,9,20,40,10,16,5,50,3,4,2,54,1,1,1,6,1,1,1,213
64326231,4/29/2020,883,1,5,1,2,8,8,6,6,8,6,5,4,5,8,5,8,100,0,0,7,6,5,5,5,5,5,2,2,2,3,7,7,7,7,4,6,6,5,7,6,6,5,6,6,6,5,6,6,6,7,7,2,8,8,0,5,5,6,6,6,7,6,6,5,2,6,6,5,6,5,6,70,70,5,3,3,25,900,7,1,59,2,3,6,4,1,1,1,213
64326256,4/29/2020,2646,1,5,5,5,5,5,5,8,8,5,10,5,10,3,10,10,50,50,0,5,3,10,10,10,10,10,10,10,5,5,5,10,10,10,0,0,9,5,5,5,5,5,10,10,8,5,5,5,5,4,5,9,5,5,0,5,1,0,5,5,5,5,1,1,5,5,5,5,5,1,5,50,50,5,16,5,50,300,4,1,49,2,3,1,7,2,1,1,213
64326620,4/29/2020,931,1,0,10,0,2,2,0,0,0,0,2,5,5,5,5,5,100,0,0,10,6,0,0,0,10,0,10,0,10,5,7,10,10,10,0,7,5,5,6,5,5,5,5,7,7,4,5,5,4,5,8,7,7,6,0,2,0,3,0,4,4,5,5,0,0,10,0,5,5,5,0,0,0,5,4,5,25,3,4,1,51,3,3,1,5,1,1,1,213
64326794,4/29/2020,1393,1,9,0,9,10,10,10,10,10,9,5,5,10,6,7,8,80,10,10,2,2,6,7,5,10,8,6,7,6,6,0,10,10,9,10,0,6,6,7,7,7,6,6,6,8,9,8,9,10,4,9,2,1,8,0,0,1,0,5,5,1,9,8,3,8,7,6,3,5,5,10,10,10,6,10,8,50,300,4,2,56,2,4,2,7,2,1,1,213
64327079,4/29/2020,950,1,7,2,7,3,7,10,10,10,7,7,9,10,7,10,10,100,0,0,3,2,10,10,10,10,10,5,5,5,5,5,10,10,5,5,5,2,5,5,5,5,5,2,7,5,9,9,10,9,8,8,5,5,6,0,3,5,2,5,5,2,7,7,5,5,7,7,5,5,5,5,0,10,5,1,5,50,5,4,2,38,2,3,1,6,1,1,1,213
64327324,4/29/2020,917,1,10,8,9,9,10,10,10,10,3,6,10,2,7,8,10,40,60,0,7,4,6,6,9,9,6,8,7,4,9,3,9,9,9,0,8,8,4,9,6,4,9,9,7,9,4,2,4,2,7,10,9,8,3,0,6,7,7,8,4,2,10,10,9,0,4,4,0,1,7,10,100,100,0,16,2,50,3,7,2,40,1,1,1,5,1,1,1,213
64327351,4/29/2020,945,1,8,0,9,8,9,9,10,10,8,5,5,5,5,9,9,60,25,15,5,6,5,5,5,10,9,5,0,0,0,1,10,10,10,0,0,8,8,8,7,8,8,8,6,7,8,6,8,10,3,9,3,7,5,0,5,5,1,5,5,1,6,5,5,5,5,5,10,5,5,5,50,50,6,7,6,25,3,7,1,49,3,3,1,5,1,1,1,213
64327658,4/29/2020,1555,1,8,10,10,10,10,10,10,10,10,10,3,5,3,10,10,95,5,0,5,5,5,5,5,10,8,5,5,5,5,5,10,10,10,10,0,10,3,3,5,0,5,0,7,5,5,7,6,8,3,8,7,5,5,0,0,7,8,5,5,5,8,8,5,0,7,5,0,5,8,8,50,50,5,16,4,50,3,7,2,60,1,2,1,5,2,1,1,213
64327963,4/29/2020,1151,1,2,0,3,5,10,3,3,10,0,1,5,2,3,1,5,100,0,0,3,5,10,5,10,6,5,10,10,10,10,10,6,8,5,0,10,7,5,8,5,5,8,6,10,10,5,5,10,10,10,10,0,4,10,0,0,7,0,7,7,4,4,0,1,5,5,3,10,0,6,3,0,0,3,1,5,5,3,1,2,58,3,3,6,4,2,1,1,213
64328038,4/29/2020,1115,1,10,10,10,10,10,5,7,10,5,5,10,7,2,8,10,92,3,5,5,2,0,7,0,5,5,10,2,2,0,0,10,10,10,0,0,10,2,10,8,0,5,5,8,6,4,5,5,10,9,5,2,0,5,0,0,0,0,0,0,1,5,3,5,0,5,1,2,2,2,10,50,10,5,2,5,50,3,4,1,65,3,3,5,7,2,1,1,213
64328045,4/29/2020,930,1,9,10,7,7,5,10,10,10,10,9,5,10,9,9,10,17,3,80,6,1,9,5,7,9,7,10,10,5,5,5,10,10,10,0,5,9,5,10,6,6,5,6,1,10,5,5,5,9,5,7,7,1,1,0,2,1,2,5,5,5,5,7,2,5,7,5,7,5,5,8,50,80,5,16,5,50,3,4,2,34,2,4,6,7,1,1,1,213
64328068,4/29/2020,1479,1,5,3,7,7,9,9,9,10,5,5,5,5,5,7,5,69,22,9,6,6,7,7,7,8,8,2,3,4,3,3,8,8,7,2,3,8,5,8,6,5,5,3,5,8,7,7,7,7,3,7,8,7,4,0,3,4,3,6,3,6,3,4,4,4,7,4,7,2,3,3,20,20,7,1,4,25,3,4,1,54,3,5,5,4,2,1,1,213
64328206,4/29/2020,1300,1,5,8,6,8,10,10,10,10,8,8,5,9,4,10,10,70,25,5,5,7,5,7,10,10,8,5,2,0,0,2,10,5,10,0,5,5,5,9,5,5,5,9,7,7,6,8,5,9,4,6,8,2,5,0,0,2,0,2,2,2,9,5,5,0,5,5,5,5,5,5,20,50,5,5,5,50,100,4,1,51,3,2,5,4,1,1,1,213
64328261,4/29/2020,1376,1,8,8,8,10,7,5,9,8,0,10,0,0,0,0,0,100,0,0,1,2,1,0,0,10,5,10,10,10,6,0,10,10,10,10,0,5,5,10,5,5,5,10,5,5,0,0,0,9,4,7,5,6,3,0,0,6,0,0,0,2,3,8,0,0,7,0,5,0,0,5,0,0,5,10,5,50,3,4,2,52,3,3,1,6,1,1,1,213
64328342,4/29/2020,3056,1,10,10,10,9,10,10,10,10,6,10,9,10,9,10,10,90,10,0,8,9,10,9,9,10,10,5,5,5,5,9,8,9,8,9,8,5,5,5,5,5,5,5,6,8,7,8,2,9,9,7,6,7,7,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,50,5,16,7,50,3,4,2,55,1,3,5,2,2,1,1,213
64328580,4/29/2020,1686,1,10,1,10,9,10,8,10,10,5,10,10,10,10,10,10,50,50,0,7,7,5,10,0,10,5,9,0,5,5,0,10,10,10,0,0,10,5,10,9,5,5,10,10,10,10,10,10,10,10,8,2,10,8,0,0,10,0,8,0,0,5,10,0,0,5,0,0,0,0,10,70,70,5,16,5,25,3,7,2,53,2,3,3,6,2,1,1,213
64328587,4/29/2020,1243,1,10,0,10,10,10,10,10,10,9,10,10,10,10,10,10,50,25,25,8,6,6,6,6,10,10,10,0,0,6,10,10,10,10,0,4,7,7,7,7,7,7,7,7,10,8,10,10,10,6,9,7,1,4,0,0,6,0,9,1,8,10,10,0,0,9,7,3,9,10,10,60,70,6,16,2,50,300,4,2,58,2,6,1,6,2,1,1,213
64328613,4/29/2020,2309,1,9,0,9,9,9,7,7,10,7,5,10,7,10,10,10,45,45,10,5,3,5,5,8,10,10,8,4,7,8,5,9,9,9,0,0,9,9,5,9,5,7,1,8,8,6,4,6,7,6,5,10,10,4,0,1,5,2,1,1,10,10,8,5,0,5,0,7,5,5,10,50,80,5,10,2,50,3,4,2,58,1,6,3,6,2,1,1,213
64328617,4/29/2020,1211,1,10,5,5,10,10,10,10,10,10,9,0,0,6,0,0,10,50,40,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,5,10,10,10,10,5,10,5,10,5,5,10,0,5,10,5,10,5,5,10,10,5,2,10,10,10,10,10,5,0,10,5,9,3,50,300,4,2,62,2,9,5,8,2,1,1,213
64328781,4/29/2020,1738,1,10,0,8,10,10,9,9,10,2,0,10,10,10,10,10,0,100,0,9,7,3,3,5,10,10,10,0,0,6,7,10,10,10,0,0,0,0,7,0,0,1,10,10,10,1,5,5,0,3,10,2,0,7,0,0,0,0,1,5,1,5,0,0,0,5,1,10,0,0,1,10,80,5,7,8,50,3,2,1,50,2,1,6,7,1,1,1,213
64328977,4/29/2020,1905,1,10,0,10,10,10,5,10,10,5,10,10,10,10,10,10,50,0,50,0,0,10,10,10,10,10,5,10,10,5,5,10,8,8,5,5,7,5,10,5,5,10,10,2,2,5,2,5,10,8,10,8,0,3,0,0,5,0,0,0,3,3,5,0,0,5,5,10,5,0,5,50,50,10,2,5,50,3,4,2,65,1,8,5,10,2,1,1,213
64329074,4/29/2020,1729,1,9,2,9,10,10,10,10,10,10,10,9,10,8,10,10,30,60,10,7,4,10,10,10,9,9,10,9,9,7,1,10,10,10,0,1,10,5,8,8,5,8,5,9,9,5,3,5,10,9,9,2,1,7,0,2,8,2,7,5,1,5,5,6,5,5,3,7,5,5,5,30,30,7,1,7,50,3,4,2,39,1,1,2,5,1,1,1,213
64329094,4/29/2020,2224,1,5,5,5,5,5,10,10,10,10,0,10,10,10,10,10,18,60,22,7,7,3,3,3,10,10,5,1,1,1,1,10,8,10,0,0,9,5,8,3,2,2,8,9,9,6,8,8,10,2,10,7,5,8,0,1,5,1,7,7,1,5,8,5,5,5,5,5,5,5,10,10,20,3,11,7,50,3,4,2,57,2,2,1,5,1,1,1,213
64329279,4/29/2020,1090,1,10,0,9,10,10,10,10,10,10,10,10,10,10,10,10,90,10,0,4,5,5,5,5,10,10,0,0,0,0,5,10,10,10,0,5,10,5,10,5,5,10,10,8,10,8,9,9,7,2,8,7,6,6,0,0,5,0,5,5,5,10,10,5,0,10,5,0,0,0,10,20,50,5,8,7,50,3,4,2,49,1,2,1,5,1,1,1,213
64329386,4/29/2020,911,1,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,90,10,0,9,9,5,2,2,10,10,5,1,3,1,0,10,10,10,10,0,10,5,10,6,5,5,5,10,10,5,7,7,8,3,10,4,8,9,0,4,6,7,6,5,5,10,10,5,0,10,5,0,8,7,10,20,10,5,16,8,50,3, ,2,41,1,3,1,4,1,1,1,213
64329463,4/29/2020,1782,1,5,5,5,5,5,5,5,7,3,6,5,2,3,6,8,99,1,0,3,2,7,10,10,5,5,10,8,9,9,10,8,5,6,0,5,10,6,10,5,5,7,9,5,6,5,5,5,8,6,6,8,5,5,0,5,6,2,5,5,6,5,6,5,5,5,5,4,5,5,5,50,50,5,3,3,25,300,4,2,48,1,1,1,9,1,1,1,213
64329776,4/29/2020,1747,1,10,0,9,9,10,9,10,10,9,9,8,8,8,0,10,70,20,10,7,5,7,7,10,8,8,10,4,4,4,4,10,10,10,0,0,5,5,5,5,5,5,5,8,10,7,8,8,10,7,8,8,9,6,0,6,8,8,8,3,0,10,5,5,5,5,0,5,2,5,10,50,50,5,5,5,50,300,5.5,1,44,3,2,1,5,1,1,1,213
64330049,4/29/2020,1126,1,7,6,5,6,6,10,9,8,2,9,10,10,9,9,10,50,50,0,6,4,6,8,2,10,9,2,1,1,1,6,10,7,9,0,1,7,6,5,9,5,9,9,7,9,6,7,6,7,7,9,6,4,6,0,2,6,0,6,5,3,8,9,7,0,7,9,1,8,7,9,10,10,7,16,6,25,3,7,1,54,1,2,1,3,1,1,1,213
64330251,4/29/2020,1558,1,9,7,7,9,10,10,10,10,8,8,10,10,10,10,10,10,70,20,5,5,10,10,10,10,10,7,5,5,5,5,10,5,8,10,5,8,7,10,7,9,8,10,6,6,8,8,5,10,6,8,7,10,5,0,0,7,0,7,6,7,6,7,7,3,7,7,2,5,5,7,0,20,7,1,3,25,300,4,1,64,3,3,5,5,2,1,1,213
64330300,4/29/2020,758,1,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,100,0,0,9,6,10,10,10,0,0,10,6,10,0,0,10,10,10,0,0,10,10,10,10,10,10,10,10,10,5,7,3,3,4,6,9,4,9,0,0,0,0,0,6,0,10,10,0,0,10,5,0,0,0,10,10,10,8,5,7,25,300,7,1,36,2,1,2,7,1,1,1,213
64330314,4/29/2020,2127,1,9,1,9,9,10,6,6,9,8,8,9,9,5,9,9,80,20,0,1,1,1,1,1,10,10,1,1,1,1,1,9,9,9,1,1,7,5,8,2,1,2,1,8,8,7,7,9,9,2,8,9,6,7,0,2,5,2,7,5,2,5,9,5,0,5,3,1,1,8,10,50,50,3,3,3,25,3,7,2,50,3,5,3,7,1,1,1,213
64330536,4/29/2020,1092,1,10,0,10,10,10,10,10,10,10,5,7,10,0,10,10,0,77,23,5,7,5,5,5,7,7,0,0,0,0,0,10,10,10,0,1,10,5,10,10,0,5,5,8,9,8,8,8,8,7,8,6,10,6,0,0,5,5,3,5,0,10,7,2,0,9,5,1,7,5,10,50,50,5,14,7,50,3,4,2,61,1,2,1,5,1,1,1,213
64330627,4/29/2020,1187,1,10,1,9,8,10,10,8,10,6,10,10,10,10,10,10,0,100,0,10,8,5,5,5,10,5,0,0,0,0,0,10,10,10,0,0,6,7,7,6,4,8,7,7,6,8,7,8,8,4,6,7,8,4,0,1,0,0,0,1,0,9,7,1,2,4,0,4,0,3,6,70,70,4,14,7,25,3,7,1,29,1,1,1,3,1,1,1,213
64330668,4/29/2020,1415,1,5,6,7,10,10,10,10,10,0,5,6,10,10,10,10,30,50,20,4,3,7,6,10,10,10,6,6,7,5,8,10,8,6,0,5,8,5,5,7,2,5,7,6,6,6,8,8,7,5,6,5,4,5,0,3,5,0,6,4,5,10,7,5,0,7,6,0,5,6,10,70,80,6,2,5,50,300,4,2,58,2,5,1,5,2,1,1,213
64331173,4/29/2020,1415,1,7,10,8,8,10,8,8,10,5,10,10,10,10,10,10,0,100,0,4,5,5,5,5,5,5,5,5,5,5,7,10,10,10,8,7,5,5,5,5,5,5,5,8,8,8,8,8,9,6,6,7,7,5,0,5,6,3,8,5,5,5,5,5,5,5,5,5,5,5,5,50,50,5,16,6,25,3,7,2,65,1,2,5,4,1,1,1,213
64331174,4/29/2020,2558,1,9,8,10,10,10,9,10,10,8,8,10,10,10,10,10,70,20,10,10,5,7,6,6,10,10,10,6,6,10,10,10,10,10,0,5,10,9,10,6,8,8,10,10,10,10,10,10,10,10,10,0,0,5,0,5,5,0,10,5,5,10,5,5,5,5,10,10,5,10,10,10,50,5,1,7,50,300,4,2,56,3,4,1,5,2,1,2,213
64331185,4/29/2020,1075,1,10,10,10,9,10,10,10,10,9,9,10,10,10,10,10,0,100,0,7,8,5,5,5,3,2,7,1,0,0,9,9,5,9,0,0,10,1,10,5,10,5,1,9,9,5,8,9,9,2,6,10,7,9,0,1,5,0,0,3,0,10,10,0,0,0,0,5,5,9,10,50,50,5,10,7,50,300,4,2,53,3,3,6,2,1,1,1,213
64331268,4/29/2020,759,1,5,10,5,5,5,0,0,5,0,0,0,0,0,0,0,100,0,0,10,10,0,0,0,10,10,10,10,10,10,10,10,10,10,0,0,10,10,0,10,0,0,0,10,10,0,5,5,5,5,10,5,5,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,25,1,4,1,55,2,1,3,5,2,1,1,213
64331417,4/29/2020,1275,1,10,2,10,10,10,10,10,10,10,7,10,10,5,10,10,100,0,0,7,8,0,0,0,9,5,5,0,1,4,7,10,9,9,0,0,5,5,5,5,5,5,5,8,10,7,8,9,6,2,4,2,7,7,0,5,6,1,7,7,5,10,6,5,0,4,5,1,1,4,10,10,10,5,9,7,25,3,4,2,52,1,2,1,3,2,1,1,213
64331681,4/29/2020,1365,1,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,0,0,100,6,7,5,5,5,10,10,10,5,5,10,5,10,10,10,5,5,10,10,5,10,5,5,0,10,10,10,10,10,10,10,10,5,0,5,0,5,5,10,5,5,0,5,5,0,5,5,5,10,5,5,5,50,50,5,1,5,50,900,4,2,62,2,3,1,5,1,1,1,213
64331878,4/29/2020,1346,1,10,0,10,10,10,6,7,10,7,10,10,10,10,10,10,100,0,0,0,1,10,10,10,10,10,10,0,0,0,0,10,10,10,0,10,5,8,5,10,6,1,4,10,10,10,10,1,2,8,10,5,5,10,0,5,10,5,10,5,5,10,10,8,0,8,5,10,10,5,10,50,100,2,16,7,50,300,4,2,60,3,1,1,5,2,1,1,213
64332080,4/29/2020,992,1,8,4,8,8,10,10,9,10,5,5,8,4,2,5,5,30,70,0,9,5,10,10,10,10,8,8,10,9,10,1,10,10,10,10,0,7,5,10,5,0,5,10,7,10,7,7,8,10,5,7,5,5,7,0,2,6,3,2,5,5,8,8,2,0,5,5,2,5,7,10,90,90,6,16,5,50,900,4,2,55,3,2,1,5,2,1,1,213
64332180,4/29/2020,1335,1,10,10,10,10,10,10,10,10,5,5,10,10,5,10,10,80,20,0,5,5,10,5,5,10,10,10,0,5,5,0,10,10,10,0,0,5,5,5,5,5,5,5,10,10,10,10,10,10,5,10,5,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,5,5,5,10,100,100,5,5,5,76,30, ,2,57,2,2,1,5,1,1,1,213
64332220,4/29/2020,1676,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,15,9,10,10,5,10,10,10,10,0,10,10,10,10,10,10,0,4,5,0,10,10,0,10,0,10,0,0,0,0,5,0,7,10,6,5,0,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,0,100,100,10,12,10,50,300,4,1,34,1,1,1,10,2,1,1,213
64332423,4/29/2020,1618,1,6,6,6,7,10,1,6,10,2,9,7,5,5,9,10,47,47,6,6,6,4,0,0,10,10,0,0,2,0,5,10,10,10,0,1,8,2,9,5,5,8,10,4,8,7,7,8,7,4,2,10,8,3,0,3,6,5,0,2,0,5,8,0,0,4,5,4,5,7,9,10,20,4,16,7,50,3,4,2,57,1,3,1,5,2,1,1,213
64332439,4/29/2020,877,1,9,9,9,10,10,10,10,10,10,10,10,9,10,10,10,0,88,12,9,9,5,5,5,10,10,5,5,5,6,1,9,9,9,1,2,5,5,9,6,5,5,9,9,8,4,4,5,9,7,9,2,4,7,0,2,6,2,5,7,1,9,9,5,1,9,5,6,5,7,9,70,70,5,15,8,50,1,4,2,36,3,4,1,5,1,1,1,213
64332567,4/29/2020,2125,1,5,0,5,6,0,6,10,10,4,8,8,5,7,8,10,78,14,8,5,5,5,5,5,10,10,5,8,3,3,3,10,8,9,4,5,7,3,7,7,2,7,4,5,5,8,8,8,9,1,6,8,7,5,0,2,7,3,7,7,3,10,9,5,0,5,5,2,5,5,9,50,50,5,5,5,50,3,4,2,54,1,5,1,6,1,1,1,213
64332607,4/29/2020,1426,1,8,10,0,10,10,5,10,10,2,5,10,10,10,10,10,100,0,0,1,1,0,0,0,10,10,0,0,0,0,7,10,9,9,0,5,5,5,5,5,5,5,5,2,2,2,5,2,2,3,0,3,5,3,0,3,5,0,3,5,7,10,6,0,0,5,5,1,8,1,10,30,70,9,7,2,25,1,7,1,49,1,4,6,8,1,1,1,213
64333009,4/29/2020,1062,1,0,10,10,9,5,5,5,10,5,10,9,7,9,9,9,100,0,0,8,8,5,5,5,10,7,2,5,6,2,0,10,10,10,0,0,5,5,8,5,2,5,8,10,10,5,5,5,5,8,10,5,5,10,0,3,5,0,5,5,5,5,5,0,5,5,5,10,5,0,5,50,50,6,16,10,25,3,7,2,55,3,2,6,5,1,1,1,213
64333037,4/29/2020,1731,1,7,10,7,10,10,10,10,10,5,5,4,8,0,8,10,100,0,0,0,5,5,5,5,8,5,10,10,10,10,5,10,8,7,0,5,7,5,8,5,5,6,5,6,6,4,4,4,6,4,9,4,4,3,0,5,6,5,3,6,7,10,7,4,0,7,7,0,5,7,10,80,80,5,16,3,50,3,4,2,59,3,3,6,7,1,1,1,213
64347892,4/29/2020,2019,1,5,5,5,5,5,9,10,8,3,10,7,10,4,9,9,0,100,0,3,2,5,5,5,10,7,0,0,0,0,6,10,8,4,1,4,10,10,7,9,4,8,8,6,6,8,6,7,6,4,3,5,7,6,0,2,6,1,6,2,5,8,4,1,0,2,4,1,9,2,7,80,40,3,7,8,25,900, ,2,57,3,3,6,3,1,1,1,213
64379739,4/30/2020,1759,1,9,1,9,8,10,10,10,10,9,9,9,9,8,9,10,60,30,10,7,7,2,2,2,10,10,5,0,1,5,2,9,9,9,2,2,5,5,5,5,5,5,5,8,8,8,8,8,9,7,9,4,2,8,0,4,5,1,6,5,3,9,9,5,1,9,7,3,8,7,8,50,50,6,16,7,50,3,4,2,54,1,2,1,3,1,1,1,213
64379793,4/30/2020,1278,1,10,0,10,10,10,10,10,10,5,5,10,9,5,10,10,92,4,4,9,9,5,5,5,9,9,5,4,0,5,5,10,10,10,0,0,5,8,9,9,2,5,5,7,7,7,8,8,10,5,8,5,5,8,0,3,8,5,8,7,0,9,9,5,0,6,8,0,8,8,9,50,50,5,16,5,25,3,4,2,47,3,3,1,6,1,1,1,213
64380807,4/30/2020,1979,1,10,0,10,10,10,5,5,10,8,5,10,5,5,10,10,0,50,50,7,5,8,8,5,10,10,5,5,5,5,2,10,10,9,5,5,9,10,5,10,8,5,1,10,10,10,10,10,10,5,9,5,5,5,0,0,8,0,10,7,0,10,10,10,0,10,7,5,10,10,10,50,50,5,6,10,50,3,4,2,44,2,4,1,4,1,1,1,213
