ResponseId,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Common difference,Subadditivity,Delay-speedup,Interval markup,Risk preference,Q22_2,Q22_3,Q22_4,Q22_5,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35
AD11,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $250 right now,"$5,000 right now",A 50% chance of $100 (50% chance of $0),83,191,209,517,Two extra weeks of salary with no additional work in 2055,Things will be much worse,"Everything is paid off and I have enough to save, invest, or spend freely",32788,26598,48141,My financial situation became somewhat worse,I generally pay off the interest but not the balance,Above average but not wealthy,1967,Prefer not to answer,MBA,Not in paid employed (looking for work),"Native Hawaiian,Pacific Islander","Non-Hispanic,Immigrant"
AD12,Receiving $500 right now,Receiving $500 right now,Receiving $750 in 12 months,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $250 right now,"$5,000 right now",A 75% chance of $67 (25% chance of $0),16,39,75,870,Two extra weeks of vacation with no change in salary in 2056,Things will be somewhat better,I had to take on a lot of debt to pay my bills last month,36760,42302,42345,My financial situation became somewhat better,My debts increase beyond what I earn in a given month,Above average but not wealthy,1928,Prefer not to answer,Primary school,Full-time student,"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White",Non-Hispanic
AD13,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $1100 in 24 months (2 years),Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 67% chance of $75 (33% chance of $0),25,278,231,466,One extra week of vacation for no change in salary in 2030,Things will be much better,I paid everything and saved some,11539,46564,40344,My financial situation became much worse,I pay off much of the balance,Around average,1955,Other,Graduate (Masters or equivalent),Not in paid employed (looking for work),"Black or African-American,Native Alaskan","Hispanic,Non-Hispanic"
AD14,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),$500 per month for 12 months,Guaranteed $50,117,64,56,763,One extra week of salary for no additional work in 2055,Things will be somewhat worse,"Everything is paid off and I have enough to save, invest, or spend freely",18277,42217,35034,My financial situation became somewhat worse,I generally pay off the interest but not the balance,Wealthy,1999,Woman,College or university (Bachelor or equivalent),Not in paid employed (looking for work),"Asian,Black or African-American,Native Alaskan",Immigrant
AD15,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$6,000 in 12 months",Guaranteed $50,199,82,128,591,One extra week of vacation for no change in salary in 2055,Things will be about the same,I had to take on a lot of debt to pay my bills last month,40391,22044,23508,My financial situation became somewhat worse,I make the minimum payment and the interest is charged,Poor,1934,Man,College or university (Bachelor or equivalent),Employed part-time (less than 25 hours per week),Native American,Hispanic
AD16,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $505 in 12 months,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $505 in 24 months (2 years),Receiving $500 right now,Receiving $495 right now,$500 per month for 12 months,A 75% chance of $67 (25% chance of $0),138,284,55,523,Two extra weeks of salary with no additional work in 2056,Things will be much worse,"Everything is paid off and I have enough to save, invest, or spend freely",16089,25650,14034,My financial situation became somewhat worse,I never purchase anything on credit or take on debt,Around average,1952,Other,Secondary school (high school),Employed part-time (less than 25 hours per week),"Asian,Native Alaskan,Native American,Native Hawaiian,Pacific Islander",Immigrant
AD17,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $505 in 12 months,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $505 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 67% chance of $75 (33% chance of $0),69,221,106,604,Two extra weeks of vacation with no change in salary in 2057,Things will be about the same,I had to take on a lot of debt to pay my bills last month,16364,17311,21960,My financial situation became somewhat better,My debts increase beyond what I earn in a given month,Poor,1930,Woman,Primary school,Employed full-time (25+ hours per week),"Native Hawaiian,White","Non-Hispanic,Immigrant"
AD18,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $505 in 12 months,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $505 in 24 months (2 years),Receiving $500 right now,Receiving $495 right now,"$6,000 in 12 months",A 67% chance of $75 (33% chance of $0),151,157,109,583,One extra week of salary for no additional work in 2056,Things will be about the same,I had to take on a lot of debt to pay my bills last month,24740,27382,41831,My financial situation became much better,I pay off any balances every month,Wealthy,1998,Other,College or university (Bachelor or equivalent),Full-time student,Native American,"Hispanic,Non-Hispanic,Immigrant"
AD19,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $505 in 12 months,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $505 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 25% chance of $200 (75% chance of $0),188,216,268,328,One extra week of vacation for no change in salary in 2056,Things will be about the same,I had to take on some debt to pay them,37276,47282,40330,My financial situation became somewhat worse,I make the minimum payment and the interest is charged,Poor,1949,Woman,Doctoral degree,Not in paid employed (looking for work),"Asian,White",Immigrant
AD20,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $505 in 12 months,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $505 in 24 months (2 years),Receiving $500 right now,Receiving $495 right now,"$5,000 right now",A 50% chance of $100 (50% chance of $0),182,258,49,511,Two extra weeks of salary with no additional work in 2057,Things will be much worse,I paid everything but saved nothing,11319,42223,29688,My financial situation became somewhat better,I never purchase anything on credit or take on debt,Below average but not poor,1944,Man,Vocational school,Employed full-time (25+ hours per week),"Black or African-American,Native Alaskan,Pacific Islander","Non-Hispanic,Immigrant"
AD21,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $505 in 12 months,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $505 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$6,000 in 12 months",A 75% chance of $67 (25% chance of $0),245,111,96,548,Two extra weeks of vacation with no change in salary in 2058,Things will be much better,I had to take on some debt to pay them,46260,24491,31591,My financial situation became somewhat better,I never purchase anything on credit or take on debt,Below average but not poor,1969,Man,Graduate (Masters or equivalent),Not in paid employment (by choice),Native American,"Non-Hispanic,Immigrant"
AD22,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $505 in 12 months,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $505 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",A 50% chance of $100 (50% chance of $0),35,201,134,630,One extra week of salary for no additional work in 2057,Things will be somewhat worse,I had to take on some debt to pay them,11064,34970,48213,There were no major impacts on my financial situation,I pay off much of the balance,Above average but not wealthy,1942,Other,MBA,Not in paid employment (by choice),"Asian,Native Alaskan",Hispanic
AD23,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $505 in 12 months,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $505 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 25% chance of $200 (75% chance of $0),79,60,99,762,One extra week of vacation for no change in salary in 2057,Things will be somewhat better,"Everything is paid off and I have enough to save, invest, or spend freely",25397,23322,31617,There were no major impacts on my financial situation,I generally pay off the interest but not the balance,Around average,1988,Man,Secondary school (high school),Employed part-time (less than 25 hours per week),"Pacific Islander,White",Hispanic
AD24,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $1100 in 24 months (2 years),Receiving $450 right now,"$6,000 in 12 months",A 25% chance of $200 (75% chance of $0),280,166,107,447,Two extra weeks of salary with no additional work in 2031,Things will be somewhat worse,I paid everything but saved nothing,45459,43105,20985,My financial situation became much worse,I pay off much of the balance,Above average but not wealthy,1942,Woman,College or university (Bachelor or equivalent),Full-time student,"Asian,Black or African-American,Native Alaskan,Pacific Islander,White","Hispanic,Immigrant"
AD25,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $505 in 12 months,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $505 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",Guaranteed $50,25,16,178,781,Two extra weeks of salary with no additional work in 2058,Things will be about the same,I paid everything and saved some,27646,21088,21644,My financial situation became somewhat worse,I pay off any balances every month,Poor,1965,Other,Secondary school (high school),Employed full-time (25+ hours per week),"Black or African-American,White","Hispanic,Non-Hispanic,Immigrant"
AD26,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $500 right now,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $510 in 24 months (2 years),Receiving $500 right now,Receiving $490 right now,"$6,000 in 12 months",A 75% chance of $67 (25% chance of $0),298,119,22,561,Two extra weeks of vacation with no change in salary in 2059,Things will be somewhat worse,I paid everything and saved some,28650,47503,43055,My financial situation became somewhat worse,I pay off any balances every month,Below average but not poor,1934,Man,MBA,Employed full-time (25+ hours per week),"Asian,Native Alaskan,Native American,Pacific Islander","Hispanic,Non-Hispanic,Immigrant"
AD27,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $500 right now,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $510 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 50% chance of $100 (50% chance of $0),35,88,298,579,One extra week of salary for no additional work in 2058,Things will be somewhat worse,I paid everything and saved some,12840,43426,27023,There were no major impacts on my financial situation,I pay off much of the balance,Above average but not wealthy,1960,Other,College or university (Bachelor or equivalent),Employed part-time (less than 25 hours per week),"Native Alaskan,Native American,Pacific Islander,White",Non-Hispanic
AD28,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $500 right now,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $510 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",A 50% chance of $100 (50% chance of $0),227,295,73,405,One extra week of vacation for no change in salary in 2058,Things will be much better,"Everything is paid off and I have enough to save, invest, or spend freely",47935,16930,41150,My financial situation became somewhat better,I never purchase anything on credit or take on debt,Above average but not wealthy,1995,Other,Doctoral degree,Not in paid employment (by choice),"Black or African-American,Native American,Native Hawaiian","Non-Hispanic,Immigrant"
AD29,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $500 right now,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $510 in 24 months (2 years),Receiving $500 right now,Receiving $490 right now,$500 per month for 12 months,A 67% chance of $75 (33% chance of $0),25,30,58,887,Two extra weeks of salary with no additional work in 2059,Things will be somewhat better,I paid everything but saved nothing,28308,27308,31465,My financial situation became much worse,I never purchase anything on credit or take on debt,Around average,1969,Man,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),"Asian,Native Alaskan","Hispanic,Non-Hispanic,Immigrant"
AD30,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $500 right now,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $510 in 24 months (2 years),Receiving $500 right now,Receiving $490 right now,"$5,000 right now",A 50% chance of $100 (50% chance of $0),37,148,120,695,Two extra weeks of vacation with no change in salary in 2060,Things will be somewhat better,I had to take on a lot of debt to pay my bills last month,48977,28236,16414,My financial situation became much better,I pay off much of the balance,Around average,1991,Man,College or university (Bachelor or equivalent),Not in paid employed (looking for work),"Asian,Black or African-American,Native Alaskan,Pacific Islander",Hispanic
AD31,Receiving $550 in 12 months,,,Receiving $510 in 12 months,Receiving $500 right now,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $510 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 50% chance of $100 (50% chance of $0),153,23,223,601,One extra week of salary for no additional work in 2059,Things will be about the same,I could not pay all my bills last month,27596,37666,16274,My financial situation became much better,I pay off any balances every month,Above average but not wealthy,1927,Prefer not to answer,Doctoral degree,Not in paid employed (looking for work),"Black or African-American,Pacific Islander,White",Non-Hispanic
AD32,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $550 in 24 months (2 years),Receiving $500 right now,Receiving $450 right now,"$6,000 in 12 months",A 75% chance of $67 (25% chance of $0),49,150,154,647,One extra week of vacation for no change in salary in 2059,Things will be much better,"Everything is paid off and I have enough to save, invest, or spend freely",47471,23388,11027,My financial situation became much better,I pay off any balances every month,Wealthy,1973,Woman,MBA,Employed full-time (25+ hours per week),"Asian,Black or African-American,Native American,Native Hawaiian,White",Immigrant
AD33,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $550 in 24 months (2 years),Receiving $500 right now,Receiving $450 right now,"$6,000 in 12 months",A 67% chance of $75 (33% chance of $0),257,25,154,564,Two extra weeks of salary with no additional work in 2060,Things will be much better,I had to take on some debt to pay them,14417,30266,26429,My financial situation became somewhat worse,My debts increase beyond what I earn in a given month,Wealthy,1920,Man,MBA,Employed full-time (25+ hours per week),"Black or African-American,Native Alaskan,Native Hawaiian,Pacific Islander,White",Non-Hispanic
AD34,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $550 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",A 25% chance of $200 (75% chance of $0),212,237,239,312,Two extra weeks of vacation with no change in salary in 2061,Things will be about the same,I paid everything but saved nothing,21561,23555,40253,There were no major impacts on my financial situation,I pay off much of the balance,Wealthy,2001,Prefer not to answer,Primary school,Not in paid employed (looking for work),Native Hawaiian,"Hispanic,Non-Hispanic"
AD35,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $1100 in 24 months (2 years),Receiving $450 right now,"$5,000 right now",A 25% chance of $200 (75% chance of $0),89,97,210,604,Two extra weeks of vacation with no change in salary in 2032,Things will be much better,I could not pay all my bills last month,18565,31893,20897,My financial situation became much worse,I generally pay off the interest but not the balance,Wealthy,1954,Man,Doctoral degree,Employed full-time (25+ hours per week),"Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander","Hispanic,Non-Hispanic,Immigrant"
AD36,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $550 in 24 months (2 years),Receiving $500 right now,Receiving $450 right now,"$5,000 right now",A 50% chance of $100 (50% chance of $0),92,3,136,769,One extra week of salary for no additional work in 2060,Things will be about the same,I had to take on some debt to pay them,14019,28235,22392,My financial situation became somewhat worse,I make the minimum payment and the interest is charged,Wealthy,2001,Other,Vocational school,Not in paid employment (by choice),"Native Alaskan,Native American,Native Hawaiian,White","Hispanic,Non-Hispanic,Immigrant"
AD37,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $550 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",A 75% chance of $67 (25% chance of $0),8,31,54,907,One extra week of vacation for no change in salary in 2060,Things will be much better,I had to take on a lot of debt to pay my bills last month,10656,27065,29729,There were no major impacts on my financial situation,I pay off much of the balance,Below average but not poor,1966,Woman,Primary school,Employed part-time (less than 25 hours per week),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,White","Hispanic,Non-Hispanic,Immigrant"
AD38,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $600 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",A 67% chance of $75 (33% chance of $0),52,274,253,421,Two extra weeks of salary with no additional work in 2061,Things will be about the same,I paid everything but saved nothing,20522,28299,12074,My financial situation became somewhat better,I pay off any balances every month,Wealthy,1939,Woman,Doctoral degree,Not in paid employed (looking for work),"Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander","Hispanic,Non-Hispanic"
AD39,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $600 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",Guaranteed $50,284,295,249,172,Two extra weeks of vacation with no change in salary in 2062,Things will be much better,I had to take on a lot of debt to pay my bills last month,25440,27667,36469,My financial situation became much better,I pay off much of the balance,Wealthy,1941,Woman,Doctoral degree,Not in paid employed (looking for work),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White","Hispanic,Non-Hispanic"
AD40,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $600 in 24 months (2 years),Receiving $500 right now,Receiving $400 right now,"$6,000 in 12 months",A 67% chance of $75 (33% chance of $0),292,298,203,207,One extra week of salary for no additional work in 2061,Things will be much better,"Everything is paid off and I have enough to save, invest, or spend freely",15495,16953,18115,My financial situation became somewhat better,My debts increase beyond what I earn in a given month,Wealthy,1998,Prefer not to answer,MBA,Not in paid employment (by choice),"Asian,Black or African-American,Native American,Native Hawaiian,Pacific Islander",Non-Hispanic
AD41,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $600 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",Guaranteed $50,268,192,167,373,One extra week of vacation for no change in salary in 2061,Things will be somewhat worse,I had to take on some debt to pay them,49544,39485,38722,My financial situation became much better,My debts increase beyond what I earn in a given month,Wealthy,1980,Prefer not to answer,Vocational school,Not in paid employment (by choice),"Native Hawaiian,Pacific Islander,White",Immigrant
AD42,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $600 in 24 months (2 years),Receiving $500 right now,Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 75% chance of $67 (25% chance of $0),193,64,190,553,Two extra weeks of salary with no additional work in 2062,Things will be much worse,I had to take on a lot of debt to pay my bills last month,43854,44737,49392,My financial situation became somewhat better,I pay off any balances every month,Above average but not wealthy,1923,Other,Primary school,Employed full-time (25+ hours per week),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White","Hispanic,Immigrant"
