"consent_1","consent_2","social_media","lockdown_support","lockdown_wrong","timing_1","lockdown_deon_trustworthy_v1","lockdown_deon_trust_other_v1","lockdown_deon_share_v1","lockdown_deon_share_media_v1","timing_2","lockdown_consq_trustworthy_v1","lockdown_consq_trust_other_v1","lockdown_consq_share_v1","lockdown_consq_share_media_v1","timing_3","lockdown_consq_trustworthy_v2","lockdown_consq_trust_other_v2","lockdown_consq_share_v2","lockdown_consq_share_media_v2","lockdown_deon_trustworthy_v2","lockdown_deon_trust_other_v2","lockdown_deon_share_v2","lockdown_deon_share_media_v2","ventilator_support","ventilator_wrong","timing_4","ventilator_deon_trustworthy_v1","ventilator_deon_trust_other_v1","ventilator_deon_share_v1","ventilator_deon_share_media_v1","timing_5","ventilator_consq_trustworthy_v1","ventilator_consq_trust_other_v1","ventilator_consq_share_v1","ventilator_consq_share_media_v1","timing_6","ventilator_consq_trustworthy_v2","ventilator_consq_trust_other_v2","ventilator_consq_share_v2","ventilator_consq_share_media_v2","timing_7","ventilator_deon_trustworthy_v2","ventilator_deon_trust_other_v2","ventilator_deon_share_v2","ventilator_deon_share_media_v2","timing_8","tracing_support","tracing_wrong","timing_9","tracing_deon_trustworthy_v1","tracing_deon_trust_other_v1","tracing_deon_share_v1","tracing_deon_share_media_v1","timing_10","tracing_consq_trustworthy_v1","tracing_consq_trust_other_v1","tracing_consq_share_v1","tracing_consq_share_media_v1","timing_11","tracing_consq_trustworthy_v2","tracing_consq_trust_other_v2","tracing_consq_share_v2","tracing_consq_share_media_v2","timing_12","tracing_deon_trustworthy_v2","tracing_deon_trust_other_v2","tracing_deon_share_v2","tracing_deon_share_media_v2","timing_13","medicine_support","medicine_wrong","timing_14","medicine_deon_trustworthy_v1","medicine_deon_trust_other_v1","medicine_deon_share_v1","medicine_deon_share_media_v1","timing_15","medicine_consq_trustworthy_v1","medicine_consq_trust_other_v1","medicine_consq_share_v1","medicine_consq_share_media_v1","timing_16","medicine_consq_trustworthy_v2","medicine_consq_trust_other_v2","medicine_consq_share_v2","medicine_consq_share_media_v2","timing_17","medicine_deon_trustworthy_v2","medicine_deon_trust_other_v2","medicine_deon_share_v2","medicine_deon_share_media_v2","timing_18","ppe_support","ppe_wrong","timing_19","ppe_deon_trustworthy_v1","ppe_deon_trust_other_v1","ppe_deon_share_v1","ppe_deon_share_media_v1","timing_20","ppe_consq_trustworthy_v1","ppe_consq_trust_other_v1","ppe_consq_share_v1","ppe_consq_share_media_v1","timing_21","ppe_consq_trustworthy_v2","ppe_consq_trust_other_v2","ppe_consq_share_v2","ppe_consq_share_media_v2","timing_22","ppe_deon_trustworthy_v2","ppe_deon_trust_other_v2","ppe_deon_share_v2","ppe_deon_share_media_v2","timing_23","covid_concern","covid_cases_personal","timing_24","OUS1","OUS2","OUS3","OUS4","OUS5","OUS6","OUS7","OUS8","OUS9","attention1","timing_25","gender","QID126_5_TEXT","age","race","timing_26","education","income","timing_27","political_ideology","pol_party","Q168_4_TEXT","timing_28","religious","timing_29","number_covid_studies","similarity_covid_studies","timing_30","order_dilemmas","order_lockdown","order_ventilators","order_tracing","order_medicine","order_ppe","OUS_DO","gender_recode","race_recode","education_num","medicine_deon_trustworthy","medicine_consq_trustworthy","medicine_deon_trust_other","medicine_consq_trust_other","medicine_deon_share","medicine_consq_share","medicine_deon_share_media","medicine_consq_share_media","ventilator_deon_trustworthy","ventilator_consq_trustworthy","ventilator_deon_trust_other","ventilator_consq_trust_other","ventilator_deon_share","ventilator_consq_share","ventilator_deon_share_media","ventilator_consq_share_media","lockdown_deon_trustworthy","lockdown_consq_trustworthy","lockdown_deon_trust_other","lockdown_consq_trust_other","lockdown_deon_share","lockdown_consq_share","lockdown_deon_share_media","lockdown_consq_share_media","tracing_deon_trustworthy","tracing_consq_trustworthy","tracing_deon_trust_other","tracing_consq_trust_other","tracing_deon_share","tracing_consq_share","tracing_deon_share_media","tracing_consq_share_media","ppe_deon_trustworthy","ppe_consq_trustworthy","ppe_deon_trust_other","ppe_consq_trust_other","ppe_deon_share","ppe_consq_share","ppe_deon_share_media","ppe_consq_share_media","exclude","consq_overall_trustworthy","deon_overall_trustworthy","consq_overall_trust_other","deon_overall_trust_other","lockdown_deon_overall_trust","lockdown_consq_overall_trust","medicine_deon_overall_trust","medicine_consq_overall_trust","ppe_deon_overall_trust","ppe_consq_overall_trust","tracing_deon_overall_trust","tracing_consq_overall_trust","ventilator_deon_overall_trust","ventilator_consq_overall_trust","consq_overall_trust","consq_trust_IH","consq_trust_IB","deon_overall_trust","deon_trust_IH","deon_trust_IB","consq_overall_share","consq_share_IH","consq_share_IB","deon_overall_share","deon_share_IH","deon_share_IB","support_overall","support_IB","support_IH","wrong_overall","wrong_IB","wrong_IH","policy_attitude","policy_attitude_IB","policy_attitude_IH","lockdown_policy_attitude","ventilator_policy_attitude","tracing_policy_attitude","ppe_policy_attitude","medicine_policy_attitude","impartial_beneficence","instrumental_harm"
1,1,"Yes",2,2,64.515,5,5,5,3,18.423,5,5,6,3,19.247,NA,NA,NA,NA,NA,NA,NA,NA,2,3,54.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,3,40.187,6,5,6,3,33.248,4,4,37.76,5,5,5,3,14.965,5,5,6,3,12.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,25.358,5,5,6,3,18.037,5,5,6,3,16.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,40.041,5,5,6,3,18.821,5,5,5,3,22.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Yes",6.883,4,4,5,5,5,3,5,2,5,NA,78.728,"Female","",39,"White",9.977,"Bachelor's degree ",5,9.666,3,1,NA,8.632,1,10.094,"1-5",1,8.736,"FL_17|FL_24|FL_68|FL_16|FL_35","Deontological First","VentilatorsVersion2","Deontological First","Deontological First","Deontological First","Instruct|OUS7|OUS4|OUS5|OUS1|attention1|OUS2|OUS9|OUS6|OUS8|OUS3|Q231","Female","White",3,5,5,5,5,6,6,3,3,6,4,5,4,6,5,3,3,5,5,5,5,5,6,3,3,5,5,5,5,5,6,3,3,5,5,5,5,6,5,3,3,0,4.8,5.2,4.8,5,5,5,5,5,5,5,5,5,5.5,4,4.8,4.66666666666667,5,5.1,5.16666666666667,5,4.3,4.33333333333333,4.25,4.3,4.16666666666667,4.5,2.4,2,2.66666666666667,3.4,4,3,2.9,3,2.83333333333333,2,2.5,4,3,3,4.6,3.75
1,1,"Yes",3,3,52.322,6,5,6,6,20.565,3,4,3,2,30.171,NA,NA,NA,NA,NA,NA,NA,NA,3,4,30.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,11.201,4,4,3,2,11.06,2,2,25.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,2,13.972,4,5,4,4,15.933,5,5,25.451,5,5,4,2,15.928,5,5,4,4,12.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,38.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,19.335,2,2,1,1,16.627,5,"No",13.855,5,5,6,3,2,2,1,5,4,NA,219.136,"Male","",42,"White",10.268,"Bachelor's degree ",6,11.65,3,1,NA,11.242,4,3.094,"1-5",2,9.789,"FL_16|FL_24|FL_35|FL_68|FL_17","Deontological First","VentilatorsVersion2","Consequentialist First","Deontological First","Consequentialist First","Instruct|OUS2|OUS4|OUS1|OUS8|OUS5|OUS3|OUS7|attention1|OUS9|OUS6|Q231","Male","White",3,5,5,5,5,4,4,2,4,4,4,4,4,3,4,2,3,6,3,5,4,6,3,6,2,4,4,5,3,4,2,4,2,2,5,2,5,1,5,1,5,0,4.2,4.2,4.2,4.2,5.5,3.5,5,5,2,5,4.5,3.5,4,4,4.2,3.66666666666667,5,4.2,4.66666666666667,3.5,3.4,2.66666666666667,4.5,3.3,4.16666666666667,2,3.6,5,2.66666666666667,4,5.5,3,3.8,5.25,2.83333333333333,3,3.5,2,5.5,5,4.2,3
1,1,"Yes",2,2,57.322,6,6,5,5,14.427,3,3,1,1,11.632,NA,NA,NA,NA,NA,NA,NA,NA,1,1,50.727,7,7,5,5,12.064,1,1,1,1,10.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,67.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,41.933,4,4,1,1,19.76,7,7,45.288,1,1,1,1,12.889,7,7,5,5,13.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,38.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,16.481,4,4,1,1,10.772,7,"No",6.872,2,4,7,6,2,1,4,4,4,NA,110.982,"Female","",39,"White",14.872,"College qualifications ",6,24.54,6,3,NA,9.294,5,5.045,"0",1,10.492,"FL_35|FL_68|FL_17|FL_16|FL_24","Deontological First","VentilatorsVersion1","Consequentialist First","Deontological First","Consequentialist First","Instruct|OUS3|OUS2|attention1|OUS7|OUS8|OUS9|OUS4|OUS5|OUS1|OUS6|Q231","Female","White",2,1,7,1,7,1,5,1,5,7,1,7,1,5,1,5,1,6,3,6,3,5,1,5,1,4,4,4,4,1,1,1,1,4,4,4,4,1,1,1,1,0,3.8,4.4,3.8,4.4,6,3,1,7,4,4,4,4,7,1,3.8,2.66666666666667,5.5,4.4,5.66666666666667,2.5,1.8,1,3,2.6,3.66666666666667,1,3,5,1.66666666666667,3.2,5.5,1.66666666666667,3.1,5.25,1.66666666666667,2,1,2,3.5,7,4.2,3.25
1,1,"Yes",1,1,92.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,6,6,2,3,1,1,78.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,39.45,6,5,6,5,24.024,1,1,35.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,20.464,6,4,4,4,33.575,6,7,92.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,4,47.942,1,2,1,1,22.38,7,7,60.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,5,22.322,4,3,2,1,20.712,1,"No",11.285,2,5,3,6,2,2,5,3,5,NA,160.157,"Male","",24,"White",9.509,"College qualifications ",4,18.075,4,9,NA,22.244,1,2.244,"1-5",2,12.612,"FL_16|FL_68|FL_17|FL_24|FL_35","Consequentialist First","VentilatorsVersion2","Consequentialist First","Consequentialist First","Consequentialist First","Instruct|OUS7|OUS1|OUS2|OUS9|OUS4|OUS6|OUS8|OUS3|attention1|OUS5|Q231","Male","White",2,1,6,2,5,1,5,1,4,6,1,5,2,6,1,5,1,6,3,6,2,2,1,3,1,6,1,4,1,4,1,4,1,4,6,3,6,2,4,1,5,0,3.4,4.6,3.2,4,6,2.5,1.5,5.5,3.5,6,5,1,5.5,1.5,3.3,1.66666666666667,5.75,4.3,5.5,2.5,2.4,1,4.5,2.9,4,1.25,3.2,6.5,1,3.4,7,1,3.3,6.75,1,1,1,1,7,6.5,3.6,3.75
1,1,"Yes",2,5,44.838,6,6,5,1,30.372,5,4,4,1,16.22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,24.767,7,7,7,1,10.917,1,1,6,1,11.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,34.237,6,5,6,1,18.19,3,3,4,1,15.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,25.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,158.699,4,4,4,1,13.371,3,5,36.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,1,19.654,2,3,1,1,23.93,5,"No",4.923,2,2,5,6,6,1,1,2,1,NA,94.463,"Female","",21,"White",12.13,"Bachelor's degree ",1,12.359,2,5,NA,10.367,1,3.026,"1-5",1,7.859,"FL_16|FL_24|FL_68|FL_35|FL_17","Deontological First","VentilatorsVersion1","Deontological First","Consequentialist First","Consequentialist First","Instruct|OUS8|OUS3|OUS7|OUS4|attention1|OUS9|OUS5|OUS6|OUS1|OUS2|Q231","Female","White",3,4,5,4,5,4,5,1,1,7,1,7,1,7,6,1,1,6,5,6,4,5,4,1,1,6,3,5,3,6,4,1,1,2,4,3,4,1,2,1,1,0,3.6,5,3.4,5,6,4.5,4,5,2.5,4,5.5,3,7,1,3.5,2.83333333333333,4.5,5,6.16666666666667,3.25,2.6,2.83333333333333,2.25,2.8,3.5,1.75,2.8,4.5,1.66666666666667,3.8,6,2.33333333333333,3.3,5.25,2,3.5,1,1.5,4,6.5,4.2,1.25
1,1,"Yes",2,2,21.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,6,5,5,5,5,6,19.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,5,8.593,4,4,4,4,6.278,7,7,13.93,3,2,2,3,8.094,6,6,5,5,9.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,82.126,3,3,2,2,8.781,5,6,5,5,6.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,134.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,5,14.823,4,4,3,2,13.595,7,"No",3.663,2,1,7,3,3,5,6,2,4,NA,51.381,"Female","",39,"White",6.078,"Bachelor's degree ",6,5.367,2,5,NA,5.325,1,2.404,"1-5",1,8.943,"FL_24|FL_68|FL_17|FL_16|FL_35","Consequentialist First","VentilatorsVersion2","Deontological First","Deontological First","Consequentialist First","Instruct|attention1|OUS7|OUS6|OUS2|OUS5|OUS4|OUS3|OUS9|OUS1|OUS8|Q231","Female","White",3,3,5,3,6,2,5,2,5,4,5,4,6,4,5,4,5,6,4,5,4,5,4,5,4,3,6,2,6,2,5,3,5,4,5,4,6,3,5,2,5,0,5,4,5.6,3.6,5.5,4,3,5.5,4,5.5,2.5,6,4,5.5,5.3,5.16666666666667,5.5,3.8,4,3.5,4.8,4.66666666666667,5,3.2,3.83333333333333,2.25,4.8,5,4.66666666666667,5.6,6.5,5,5.2,5.75,4.83333333333333,2,5.5,7,5.5,6,3.2,4.25
1,1,"Yes",3,4,52.53,6,6,5,4,13.595,3,3,4,4,14.547,NA,NA,NA,NA,NA,NA,NA,NA,3,3,43.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,22.451,6,6,4,3,18.843,1,4,44.297,6,6,5,4,18.402,3,3,6,6,12.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,65.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,2,31.277,4,4,4,3,26.731,2,4,29.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,3,15.745,5,5,4,2,11.671,6,"No",6.87,2,4,5,2,5,3,2,6,5,NA,90.045,"Male","",31,"White",5.747,"Secondary School or High School",2,50.282,4,9,NA,6.544,1,1.99,"1-5",1,18.419,"FL_68|FL_17|FL_24|FL_35|FL_16","Deontological First","VentilatorsVersion2","Deontological First","Consequentialist First","Consequentialist First","Instruct|OUS9|OUS1|OUS8|OUS5|OUS2|OUS4|OUS6|OUS3|OUS7|attention1|Q231","Male","White",1,4,6,4,6,4,4,3,2,6,4,6,4,4,4,3,3,6,3,6,3,5,4,4,4,6,3,6,3,5,6,4,6,5,5,5,5,4,4,2,3,0,4.2,5.4,4.2,5.4,6,3,4,6,5,5,6,3,6,4,4.2,3.33333333333333,5.5,5.4,6,4.5,4,4.5,3.25,3.8,4.16666666666667,3.25,3,4,2.33333333333333,4.2,5,3.66666666666667,3.6,4.5,3,3.5,3,2.5,3,6,3.6,4
1,1,"Yes",1,2,39.812,2,2,2,1,32.926,2,2,2,1,27.295,NA,NA,NA,NA,NA,NA,NA,NA,1,4,60.257,6,5,5,4,105.492,4,4,4,2,47.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,52.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,25.639,4,3,3,3,20.547,4,7,22.912,3,3,3,2,66.898,3,3,3,2,35.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,27.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,2,35.133,4,4,4,3,45.237,6,"No",9.095,1,1,4,2,2,1,1,1,1,NA,118.3,"Female","",18,"White",12.781,"College qualifications ",2,18.818,6,3,NA,25.855,1,2.675,"1-5",3,44.149,"FL_17|FL_16|FL_68|FL_24|FL_35","Deontological First","VentilatorsVersion1","Consequentialist First","Deontological First","Consequentialist First","Instruct|OUS8|OUS6|attention1|OUS3|OUS9|OUS5|OUS4|OUS7|OUS1|OUS2|Q231","Female","White",2,3,3,3,3,3,3,2,2,6,4,5,4,5,4,4,2,2,2,2,2,2,2,1,1,4,1,3,1,3,1,3,1,4,4,4,4,4,3,3,2,0,2.8,3.8,2.8,3.4,2,2,3,3,4,4,3.5,1,5.5,4,2.8,2.33333333333333,3.5,3.6,3.66666666666667,3.5,2.1,1.83333333333333,2.5,3,3,3,2.2,2.5,2,4.6,7,3,3.4,4.75,2.5,1.5,2.5,3.5,4,5.5,2,1
1,1,"Yes",3,4,2.696,4,3,5,2,6.973,3,5,3,6,4.238,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,5,3.788,3,4,5,5,3.066,3,5,2.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,3.621,4,4,3,4,3.071,3,5,2.449,4,5,5,4,3.293,4,3,4,5,3.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,4,3.319,4,5,4,5,3.011,4,"No",3.144,4,5,5,5,5,4,5,3,3,NA,11.307,"Male","",18,"Mixed / Multiple ethnic groups",7.15,"College qualifications ",1,4.33,4,1,NA,3.417,1,1.912,"6-10",4,7.108,"FL_17|FL_24|FL_16|FL_35|FL_68","Deontological First","VentilatorsVersion2","Consequentialist First","Deontological First","Consequentialist First","Instruct|OUS1|OUS6|OUS2|OUS9|OUS3|attention1|OUS5|OUS8|OUS7|OUS4|Q231","Male","Other",2,4,4,5,3,5,4,4,5,3,3,4,4,5,4,5,5,4,3,3,5,5,3,2,6,4,3,4,5,3,5,4,5,4,4,5,5,4,4,5,4,0,3.4,3.8,4.4,4.2,3.5,4,4.5,3.5,4.5,4.5,4,4,3.5,3.5,3.9,3.83333333333333,4,4,3.66666666666667,4.5,4.5,4.66666666666667,4.25,4.2,4,4.5,3.6,4,3.33333333333333,4.4,4,4.66666666666667,4,4,4,3.5,4.5,4,4,4,4.8,3.75
1,1,"No",1,7,6.747,7,7,7,NA,3.353,1,1,1,NA,3.767,NA,NA,NA,NA,NA,NA,NA,NA,3,5,11.079,6,6,5,NA,5.264,4,4,4,NA,5.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,10.284,7,7,5,NA,5.165,3,3,4,NA,6.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,12.456,1,1,1,NA,10.596,7,7,7,NA,9.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,4.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,NA,4.525,1,1,1,NA,8.685,5,"Yes",3.476,7,5,7,6,7,5,2,7,6,NA,44.579,"Male","",25,"White",6.085,"Bachelor's degree ",5,5.578,2,1,NA,3.861,3,2.823,"1-5",1,5.055,"FL_68|FL_35|FL_17|FL_16|FL_24","Deontological First","VentilatorsVersion1","Deontological First","Deontological First","Consequentialist First","Instruct|OUS9|OUS5|OUS6|attention1|OUS2|OUS7|OUS1|OUS8|OUS3|OUS4|Q231","Male","White",3,1,7,1,7,1,7,NA,NA,6,4,6,4,5,4,NA,NA,7,1,7,1,7,1,NA,NA,7,3,7,3,5,4,NA,NA,1,7,1,7,1,7,NA,NA,0,4.4,4.4,4.4,4.4,7,1,1,7,1,7,7,3,6,4,4.4,2.66666666666667,7,4.4,6.66666666666667,1,4.6,3,7,3.8,5.66666666666667,1,3.8,7,1.66666666666667,6.2,7,5.66666666666667,5,7,3.66666666666667,4,4,3,7,7,6.4,5
1,1,"Yes",3,4,5.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,3,4,4,3,3,4,9.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,12.361,4,3,3,3,7.488,4,4,45.237,5,5,3,3,15.742,4,3,2,3,8.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,41.436,5,5,4,4,22.424,4,4,3,4,9.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,7.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,6.809,5,4,4,4,9.461,4,"Yes",3.803,5,5,4,4,6,4,5,4,5,4,38.097,"Female","",18,"White",6.877,"College qualifications ",1,9.838,4,9,NA,6.189,1,7.244,"6-10",1,12.272,"FL_68|FL_35|FL_17|FL_16|FL_24","Consequentialist First","VentilatorsVersion2","Deontological First","Deontological First","Consequentialist First","Instruct|OUS5|OUS8|OUS4|OUS2|OUS3|OUS6|attention1|OUS9|OUS1|OUS7|Q231","Female","White",2,5,4,5,4,4,3,4,4,4,3,3,4,3,3,3,3,3,4,4,4,4,3,3,3,5,4,5,3,3,2,3,3,5,4,4,4,4,5,4,5,0,3.8,4.4,3.8,4.2,3.5,4,5,4,4.5,4,5,3.5,3.5,3.5,3.8,3.66666666666667,4,4.3,4,4.75,3.4,2.83333333333333,4.25,3.5,3.16666666666667,4,3.2,3,3.33333333333333,4.6,5.5,4,3.9,4.25,3.66666666666667,3.5,3.5,4,4,4.5,4.8,4.5
1,1,"Yes",3,4,27.963,5,5,3,2,12.187,5,5,2,2,7.938,NA,NA,NA,NA,NA,NA,NA,NA,5,5,18.082,5,5,2,2,6.046,5,5,2,2,6.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,19.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,14.831,5,5,4,2,8.337,6,6,17.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,2,8.684,5,5,2,2,8.69,5,5,28.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,2,18.829,5,5,2,2,15.401,5,"No",3.667,5,3,6,6,5,4,2,3,5,NA,66.035,"Male","",39,"White",7.524,"Doctorate degree",7,6.391,5,2,NA,11.25,6,2.3,"1-5",2,6.741,"FL_24|FL_16|FL_68|FL_35|FL_17","Deontological First","VentilatorsVersion1","Consequentialist First","Consequentialist First","Consequentialist First","Instruct|OUS6|OUS7|OUS5|OUS9|OUS2|OUS8|attention1|OUS1|OUS3|OUS4|Q231","Male","White",5,5,5,5,5,2,4,2,2,5,5,5,5,2,2,2,2,5,5,5,5,3,2,2,2,5,3,5,3,4,5,2,2,5,5,5,5,2,4,2,2,0,4.6,5,4.6,5,5,5,5,5,5,5,5,3,5,5,4.6,4.33333333333333,5,5,5,5,2.7,2.5,3,2.3,2.5,2,4.2,5.5,3.33333333333333,4.4,5.5,3.66666666666667,4.3,5.5,3.5,3.5,5,2,5,6,5,3.5
1,1,"Yes",2,3,30.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,5,4,4,3,6,3,29.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,1,26.097,4,3,3,1,16.209,1,1,13.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,5.817,7,7,7,7,4.718,3,3,20.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,6.701,5,4,1,1,5.546,7,7,16.812,5,4,4,1,13.124,3,2,1,1,6.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"No",4.163,4,5,7,5,6,3,1,2,5,NA,63.186,"Male","",24,"White",12.956,"Bachelor's degree ",2,6.513,3,5,NA,7.898,1,1.893,"1-5",3,6.586,"FL_17|FL_16|FL_24|FL_68|FL_35","Consequentialist First","VentilatorsVersion2","Consequentialist First","Consequentialist First","Deontological First","Instruct|OUS9|OUS5|attention1|OUS4|OUS6|OUS8|OUS2|OUS3|OUS1|OUS7|Q231","Male","White",3,5,4,4,3,1,1,1,1,4,5,3,2,3,4,1,1,5,2,4,1,4,1,3,1,7,1,7,1,7,1,7,1,5,3,4,2,4,1,1,1,0,3,5.2,1.8,4.4,4.5,1.5,4.5,3.5,4.5,2.5,7,1,3.5,3.5,2.4,2,3,4.8,5,4.5,1.3,1.5,1,3.2,4.16666666666667,1.75,3.8,5,3,3.4,5,2.33333333333333,3.6,5,2.66666666666667,2.5,4.5,1,7,3,5.4,2.75
1,1,"Yes",1,2,23.21,7,7,7,7,12.166,1,1,1,1,9.306,NA,NA,NA,NA,NA,NA,NA,NA,3,3,21.27,6,6,4,2,10.583,5,5,5,1,11.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,19.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,11.221,5,5,1,1,8.885,3,3,19.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,8.731,4,4,1,1,6.171,2,4,23.455,5,5,1,1,19.013,5,5,1,1,11.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"No",4.141,1,1,5,2,4,1,5,1,1,NA,81.765,"Female","",31,"White",7.087,"Secondary School or High School",4,13.222,1,5,NA,5.832,1,2.37,"1-5",1,7.577,"FL_16|FL_24|FL_35|FL_17|FL_68","Deontological First","VentilatorsVersion1","Consequentialist First","Consequentialist First","Deontological First","Instruct|OUS6|OUS1|OUS2|OUS9|OUS4|OUS7|OUS8|OUS3|attention1|OUS5|Q231","Female","White",1,4,4,4,4,1,1,1,1,6,5,6,5,4,5,2,1,7,1,7,1,7,1,7,1,5,4,5,4,1,1,1,1,5,5,5,5,1,1,1,1,0,3.8,5.4,3.8,5.4,7,1,4,4,5,5,5,4,6,5,3.8,3.33333333333333,4.5,5.4,6,4.5,1.4,1.66666666666667,1,2.6,3.66666666666667,1,2.8,2.5,3,3.4,3.5,3.33333333333333,3.1,3,3.16666666666667,1.5,3,5,3,3,2.6,2
